COGID	1	10	2	3	4	5	6	7	8	9
893-1	a a Ø i i a									
2689-1	Ø a m a									
1285-1	Ø Ø Ø i									
1303-1	Ø Ø ʊ̀ m a									
1475-1	Ø a									
2828-1	Ø i Ø a									
3464-1	m ʊ̀ Ø a									
3572-1	Ø ʊ̀ Ø i									
448-1	Ø u Ø a a i									
630-1	Ø i i l i									
1095-1	Ø i m a									
1755-1	i Ø i									
1767-1	tsʰ u tsʰ u									
1789-1	tsʰ a l a a Ø k a									
2197-1	Ø a l a									
3207-1	b u l a									
3519-1	r u m a									
3686-1	a i i m pʰ a									
4040-1	Ø Ø i									
4249-1	tsʰ u m i									
4451-1	pʰ i Ø i									
814-1	ʊ̀ a m pʰ ɛ									
1216-1	a Ø i i a									
1228-1	pʰ Ø a									
1396-1	Ø ʊ̀ b ʊ									
1418-1	Ø i m ʊ a									
2026-1	r Ø ɛ									
2775-1	pʰ u m pʰ Ø									
3397-1	pʰ a l a									
3826-1	a ʊ̀ tsʰ a									
4003-1	Ø i i Ø a									
4137-1	m i l a									
4384-1	i Ø a									
116-1	Ø i tsʰ a									
181-1	ʊ̀ Ø k ʊ̀									
200-1	Ø i Ø Ø									
419-1	l ʊ̀ a									
459-1	Ø u m a									
587-1	Ø k									
660-1	l i l a									
848-1	tsʰ Ø l a									
1083-1	Ø i l a									
1122-1	pʰ i Ø a									
1159-1	Ø a									
1350-1	Ø Ø a									
1374-1	Ø a a a Ø á									
1666-1	Ø á Ø ʊ̀									
1906-1	i Ø k i Ø a									
2177-1	Ø k a i Ø									
2286-1	l a									
2317-1	Ø u Ø a									
2419-1	Ø i tsʰ a									
2738-1	Ø ɛ i Ø ɛ									
2750-1	ɛ Ø Ø i									
3018-1	Ø i a a									
3275-1	Ø a Ø á									
3441-1	Ø a a Ø a									
3639-1	r i r i m i i a									
3865-1	Ø a a Ø i									
3981-1	i m i Ø a									
4192-1	Ø i i m pʰ a									
4260-1	Ø Ø a									
4350-1	l ɛ i l ʊ̀									
43-1	Ø i i m u									
93-1	Ø Ø Ø Ø									
374-1	i a l Ø a									
