COGID	1	10	2	3	4	5	6	7	8	9
2689-1	ɲ a m a									
893-1	a a n a									
1285-1	ŋ w a a									
1303-1	ŋ ɔ m a									
2197-1	z a l a									
2828-1	l ìì n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	n ɛ									
1789-1	k a l a a ŋ g a									
3207-1	b u l a									
3519-1	t ʊ m a									
3686-1	i m b a									
4249-1	k ʊ m i									
4451-1	β i s i									
448-1	n ɔ n i									
630-1	β ɛ ɛ l ɛ									
814-1	ŋ ɔ ɔ m b ɛ									
1216-1	g a β a									
1228-1	b w a a									
1418-1	z i m a									
1475-1	g w a									
2026-1	t w ɛ ɛ									
2775-1	β ʊ ʊ m b a									
3397-1	β ɔ l a									
3826-1	z ɔ k a									
4003-1	i β a									
4040-1	g ɛ n i									
4373-1	d i m i									
4384-1	i n ɔ									
84-1	g ʊ l ʊ̀									
116-1	ʃ i k a									
181-1	g ɔ ɔ ŋ g ɔ									
419-1	l ɔ g a									
587-1	ɔ ŋ g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	f u n a									
1159-1	ɲ a									
1350-1	l j a a									
1374-1	n a á n ɛ									
1396-1	z ɔ v u									
1430-1	i s ɔ									
1666-1	t a a n ɔ									
1767-1	g ɔ k ɔ									
1906-1	i ŋ g i l a									
2177-1	ŋ g a									
2286-1	l a									
2317-1	β ʊ β a									
2419-1	s ɛ k a									
2750-1	ɛ ɛ z i									
3018-1	z i l a									
3275-1	k a á n a									
3441-1	s ɛ ɛ ŋ g a									
3464-1	β ɔ n a									
3639-1	d i t i m a									
3885-1	tʃ i m u									
3981-1	i m a									
4192-1	β i i m b a									
4260-1	s w a a									
4350-1	l ɛ ɛ l ɔ ɔ									
43-1	z i m u									
93-1	k ɔ n ɔ									
200-1	β i i									
374-1	a a l w a a									
459-1	l u m a									
508-1	h ɔ f u									
528-1	β i l i									
575-1	t a a									
871-1	t a m a									
1137-1	ʃ i k ʊ									
1339-1	t w i i									
1585-1	a a l a									
1712-1	f u l ɔ									
1872-1	p a a									
2088-1	β i s a									
2166-1	n u u m b a									
2334-1	f i g ɔ									
