COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	Xiamen	XiAn	Yangzhou	ZhongyuanYinyun
1011	ʐ ʅ ⁵¹	ʐ ʅ ²⁴	z i k ⁴	z ɿ ³¹	l i ʔ ⁴	j a t ²	ɯ ²¹³	ʐ ʅ ²¹	ɲ i t ¹	l ə t ⁵	z ɤ ʔ ¹³	i ²³	z ɤ ʔ ²³	z ə ʔ ²	z ai ²¹²	dz i t ⁵	ə ²¹	l ə ʔ ⁴	ʒ i ²¹⁴
1014	ts au ²¹⁴	ts au ⁴¹	ts a ⁵³	ts au ⁵³	ts ɔ ³¹	tʃ ou ³⁵	ts au ⁴²	ts ɔ ⁵⁵	ts au ³¹	ts au ²¹³	ts ɔ ⁵⁵	ts ə ²¹	ts æ ⁵²	ts au ⁵³	ts ɜ ⁴⁵	ts o ⁵¹	ts au ⁵³	ts ɔ ⁴²	ts au ³⁵
1016	x a n ⁵¹	x a n ⁵⁵	uaː ³⁵	x a n ¹³	a ŋ ²⁴²	h ɔ n ²³	x a n ³⁵	x aː ²¹	h ɔ n ⁴⁴	h ɔ n ²¹	ɦ ø ¹³	ɣ uɛː ³³	ɦ ø ³¹	x æː ⁴⁵	ɦ y ³⁴	h a n ³³	x aː ⁵⁵	x ɛː ⁵⁵	x a n ⁵¹
1021	m i ŋ ³⁵	m i n ¹³	m e ŋ ⁵⁵	m i n ³¹	m i ŋ ⁵²	m ɪ ŋ ²¹	m i n ²¹³	m i ŋ ⁴²	m i n ¹¹	m i n ⁴⁵	m i ŋ ¹³	m i n ²³	m i n ²⁴	m i ŋ ¹¹	m e ŋ ³¹	b ɪ ŋ ²⁴	m i ŋ ²⁴	m iː ³⁴	m j ə ŋ ⁵⁵
1023	i ⁵¹	i ²¹	i ³⁵	i ¹³	ei ²⁴²	j i ²²	i ³⁵	i ²¹	j i ⁵²	i t ⁵	j i ¹³	i ²³	i ³¹	i ⁴⁵	ɦ i ²²	i ³³	i ⁵⁵	i ⁵⁵	i ²¹⁴
1024	ɕ i ŋ ⁵⁵	s i n ³³	tsʰ eː ³³	ɕ i n ⁴⁴	s i ŋ ⁴⁴	ʃ ɪ ŋ ⁵⁵	ɕ i n ⁵⁵	ɕ i ŋ ²¹³	s ɛ n ⁴⁴	ɕ i n ⁴²	s i ŋ ⁵³	ɕ i n ⁵⁵	s i n ⁴⁴	ɕ i ŋ ¹¹	s e ŋ ⁴⁴	s ɪ ŋ ⁵⁵	ɕ i ŋ ²¹	ɕ iː ²¹	s j ə ŋ ⁵⁵
1029	ʂ ʅ ⁵¹	ʂ ʅ ²¹	s i ³⁵	s ɿ ¹³	s ei ²⁴²	ʃ i ²²	s ɿ ³⁵	ʂ ʅ ²¹	s ɿ ³¹	s ɿ ²¹	z ɿ ¹³	dz ɿ ³³	z ɿ ³¹	s ɿ ⁴⁵	z ɿ ³⁴	s i ³³	s ɿ ⁵⁵	s ɿ ⁵⁵	ʃ ɿ ⁵¹
1033	ʂ ai ⁵¹	s ai ⁵⁵	s ai ²¹³	s ai ¹³	s ai ²¹³	ʃ aːi ³³	s ai ³⁵	ʂ ɛ ²¹	s ai ⁵²	s ai ⁴⁵	s ɔ ⁵⁵	s o ³⁵	s o ⁴¹²	s ai ⁴⁵	s a ⁴²	s ai ¹¹	s ɛ ⁵⁵	s ɛ ⁵⁵	ʃ ai ⁵¹
1034	w a n ²¹⁴	w a n ⁴¹	m o ŋ ⁵³	w a n ⁵³	w a ŋ ³¹	m aː n ²³	w a n ⁴²	uaː ⁵⁵	v a n ⁴⁴	w a n ²¹³	u ɛ ⁵⁵	uaː ²¹	u ɛ ⁴¹²	v æː ⁵³	v a ³⁴	b w a n ⁵¹	v aː ⁵³	uɛː ⁴²	v a n ³⁵
1036	ʈʂʰ ə n ³⁵	ʂ ə n ¹³	s i ŋ ⁵⁵	s ə n ³¹	s i ŋ ⁵²	ʃ a n ²¹	s ə n ²¹³	ʈʂʰ eː ⁴²	s ə n ¹¹	s ə n ⁴⁵	z ə ŋ ¹³	ɣ i n ²³	z ə n ²⁴	tsʰ ə ŋ ¹¹	z a ŋ ³¹	s i n ²⁴	ʈʂʰ eː ²⁴	tsʰ ə n ³⁴	tʃʰ j ə n ⁵⁵
