COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
1	w a z a		w a j a	w a ʒ̟ a	w a t a ʔ	w a j a	w a z a	w a t a	w a t a ʔ	w a t a ʔ
2	u m		a h u m	m o m r a	w y m	a w i m o	w e b m	v i m	i m	w u m
3			a r i k o	k o r a r i	w o r i k o	a r i k a h u	w a r i k o	o k a i n	a r u k w a n	w i r i k o
4			w a tʃ e	w a t i ʔ	w a r i ʔ	w a j a h u	w a z a t i	w a r i	w a r i	w a r i ʔ
5				w u r a	f u ʔ		w i h u			w a h u ʔ
6					w o r i k o k o		w a r i k o			w i r i k o k o
9				a t i	a t i					
10				t i k o w			t e o k a j			k a ɲ
11					m i j a ʔ		j a b			m i j a
12	n a p a			n a p a	n a p a					
18					k a w a s a n					t o k w a n
21	t a n			t a n	k a w a s a n	t a n	k w a t a d n		k a w a tʃ y k	
24	w a k o r a n			p o k o r a n		w a g a r a g a t a n	k u r a d n		k a r i k a n	t y k y
27		h o r a			f o r a ʔ					h w a r a ʔ
28					e k e m		u k a d n	e v e k e m		
30	i n a			i n a						
34					w i j a m a n			i a m a j	w i j i k u n	w i j i m a
35			p i ʃ i t i k o			m i tʃ i t i k o n				
36	e			e j e						
39		j a m i r i m a n			j a m i r i m a			j a m r a	j a m a r i m a ʔ	n a r i m a ʔ
40	t a n a m a n			t a n a m a n						
41			ɲ a m a k i			j a m a k e	n a k a m i n			
42		k i t r a m a n			k i t r a m a			k i t r a m a	k i t a r a m a ʔ	t a r a m a ʔ
43	n a m a k o n			n a m a k o n			n a k o n			
44		w a n j a n		w a n j a m	w a j a m				w a n j a m	w i j a m
45		o n j a n		j o m a	i f i j a m a			u h u n j a m	m a r a h u j a m a	h w i j i m a ʔ
47	r a t o			r a t o ʔ			i r a t o			
50	i n a ʔ			i n a ʔ	i n a		i n j a		i n a ʔ	n a ʔ
51	u w e ʔ	u w e		u w e ʔ	y w e		i w i	i v e	e w i ʔ	w e
52	i t e	e t e	t a t i a	i t e	i t e ʔ	t i a	i t e	e t e	t a t a	t e
53	p a t i ʔ			p a t i ʔ					p a t i ʔ	
55		i h a m ʔ	i h a m		i f a m	i h u a m	h o a m	i h a m	i h a m	h w a m
56	u m e	u m e	h u m e	u m e	y m e	i m e	u m a	u m e	i m e ʔ	m e
57	t o k o w a n		t u k a w a n	t o k o w a n		t u k a w a	t u k a w a d n		t o k a w a n	
