COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	ʔ Ø t ʔ Ø ʔ									
56-1	ʔ i m Ø ʔ									
96-1	ʔ e Ø e Ø Ø ʔ									
99-1	e Ø j Ø Ø i ʔ i									
114-1	t Ø k Ø Ø Ø ʔ									
115-1	i Ø ø Ø Ø Ø Ø ʔ									
133-1	i t Ø Ø k Ø e Ø Ø ʔ									
144-1	ʔ e Ø e w e t Ø ʔ									
150-1	k e w									
234-1	i k o m									
236-1	Ø e k Ø ʔ Ø									
241-1	ʔ ʔ ʔ e w Ø Ø									
249-1	Ø Ø Ø ʔ									
1-1	w e t e ʔ									
2-1	Ø w i ʔ m ʔ i									
65-1	Ø w Ø ʔ i									
74-1	Ø e Ø e									
106-1	t Ø Ø ʔ ʔ i j Ø ʔ									
128-1	i Ø k Ø Ø Ø ʔ									
147-1	t i m Ø Ø Ø ʔ									
231-1	Ø e Ø e i o ʔ									
232-1	i i Ø Ø ʔ j i ʔ i									
239-1	m e Ø e k e Ø ʔ									
266-1	i Ø i t Ø i Ø Ø									
51-1	i w Ø i									
97-1	t e ʔ o m i k Ø i									
109-1	ʔ Ø Ø ʔ ʔ Ø Ø ʔ									
121-1	k e Ø Ø i e k a Ø Ø i									
149-1	t o k Ø Ø									
160-1	k ʔ Ø i k									
163-1	i Ø Ø Ø i Ø Ø									
167-1	i i Ø e i									
207-1	m i ʔ									
259-1	t o i e i									
66-1	k i Ø e k e o Ø									
134-1	Ø i Ø e t i Ø ʔ Ø									
139-1	ʔ i ʔ m Ø Ø Ø ʔ Ø ʔ									
142-1	i Ø k Ø e m e Ø Ø i									
145-1	k e Ø e t Ø Ø Ø Ø									
148-1	t k Ø e w k Ø Ø Ø Ø i									
162-1	Ø Ø j Ø i Ø i									
166-1	Ø m Ø i									
179-1	t e i i i									
201-1	Ø i i Ø									
21-1	k Ø ʔ e t e i Ø									
24-1	Ø Ø k e i e Ø Ø t i Ø									
50-1	i Ø i e i									
57-1	t Ø k a w a ʔ ʔ									
84-1	Ø Ø w e Ø									
91-1	m a k t t t t o Ø									
