COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t e									
56-1	u m e									
96-1	a t									
99-1	a r i									
114-1	t o k									
115-1	u r									
133-1	t i p a n									
144-1	a t a w									
150-1	k a w ʔ									
234-1	k o m									
236-1	p i k u n									
241-1	a w i n									
249-1	i tʃ e									
1-1	w a z a									
2-1	u m									
65-1	i w									
74-1	p a n a									
52-2		e t e								
56-2		u m e								
96-2		r a s i								
99-2		r e j e n								
114-2		t e k i s i								
115-2		j o l i s i								
133-2		t i p r a s i								
144-2		a r a w a s i								
150-2		k a w								
234-2		k o								
236-2		p a k e n								
241-2		a w i								
249-2		i s e								
74-2		p a n a								
93-2		t u p a r e s i								
95-2		w i t								
52-3			t a t i a							
56-3			h u m e							
96-3			t a r i tʃ e							
99-3			t i r a n t i a							
114-3			k u tʃ i							
115-3			t u r u tʃ e							
133-3			tʃ e p a r a j u							
144-3			t o t o j a tʃ e							
150-3			k a w							
234-3			a k o							
236-3			p i k u i							
241-3			a w e n							
249-3			i s e							
1-3			w a j a							
2-3			a h u m							
65-3			a h i h i							
93-3			p a r i tʃ e							
95-3			a w e i tʃ e							
52-4				i t e						
56-4				u m e						
96-4				a t						
99-4				a r i ʒ̟ a						
114-4				t o k						
115-4				u ʒ̟						
133-4				t i p a n						
144-4				a t a w						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a ʒ̟ a						
2-4				m o m r a						
65-4				i w						
74-4				p a n a						
93-4				t o p a n						
95-4				w y k						
52-5					i t e ʔ					
56-5					y m e					
96-5					a r a n					
99-5					a r i k o n					
114-5					t o k i s i					
115-5					y r y s i					
133-5					t i p r a s i					
144-5					a r a w a s i					
150-5					k a w					
234-5					k o m					
236-5					p e k y n					
241-5					a w i n					
249-5					i s e					
1-5					w a t a ʔ					
2-5					w y m					
65-5					i w i s i					
74-5					p a n a					
93-5					t o p o r i s i					
95-5					w i k i s i					
52-6						t i a				
56-6						i m e				
96-6						a t a t				
99-6						a t e r a n t a				
114-6						t u k u tʃ i				
115-6						u t u r u tʃ i				
133-6						i tʃ o p a r a tʃ i				
144-6						o t o w a tʃ i				
150-6						k a w				
234-6						a k u m				
236-6						p e k u n				
241-6						a w i n				
249-6						i s e				
1-6						w a j a				
2-6						a w i m o				
65-6						a w i				
74-6						p a n e				
93-6						t u p a r i tʃ i				
95-6						a w i				
52-7							i t e			
56-7							u m a			
96-7							a t a ʃ i			
99-7							a z e r o n			
114-7							t o k			
115-7							u j			
133-7							t i p a r a			
144-7							w u r i t i m			
150-7							k a w			
234-7							k o m			
236-7							p i k u n			
241-7							a w i n			
249-7							i ʃ e ʔ			
1-7							w a z a			
2-7							w e b m			
65-7							i w			
74-7							p a n a			
93-7							t u p a r a			
95-7							w i			
52-8								e t e		
56-8								u m e		
96-8								a r a s i		
99-8								e r e j e n		
114-8								t u k e s i		
115-8								j u r e s i		
133-8								t i p r a s i		
144-8								e r a w a s i		
150-8								k a w		
234-8								k o m		
236-8								p a k y n		
241-8								a w i n		
249-8								i s e		
1-8								w a t a		
2-8								v i m		
65-8								i w		
74-8								p a n a		
93-8								t u p a r i s i		
95-8								w i k i s i		
52-9									t a t a	
56-9									i m e ʔ	
96-9									a r a j	
99-9									a r i k o n	
114-9									t o k i ʃ i ʔ	
115-9									i r i ʃ i ʔ	
133-9									t i p a r a ʃ i ʔ	
144-9									a w a r a ʃ i ʔ	
150-9									k a w	
234-9									k o m	
236-9									p e k i n	
241-9									a w i n	
249-9									i ʃ e ʔ	
1-9									w a t a ʔ	
2-9									i m	
65-9									i w i	
74-9									p a n a	
93-9									t u p a r i ʃ i ʔ	
95-9									w i k i	
52-10										t e
56-10										m e
96-10										a r a tʃ i ʔ
99-10										a r a j e ɲ
114-10										t o k o tʃ i ʔ
115-10										w e r e tʃ i ʔ
133-10										t a p a r a tʃ i ʔ
144-10										w a r a tʃ i ʔ
150-10										k a w
234-10										k o m
236-10										p a k y n
241-10										n a n a w i n
249-10										tʃ e
1-10										w a t a ʔ
2-10										w u m
65-10										i w ʔ
74-10										p a n a
93-10										t a p a r i tʃ i ʔ
95-10										k i tʃ i ʔ
