COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
936	l e	l a	l e		l a	l a	l ə	l ə
943	pʰ a k	pʰ a	pʰ a k		pʰ a k	pʰ a k	pʰ a k	pʰ a k
965	d u ŋ	d y ŋ		d y ŋ	d y ŋ	d y ŋ	d y ŋ	d u ŋ
981		d u	d a	d u	d u	d u	d u	d u
1039	s a ŋ	z a ŋ	s a ŋ		s ũ ŋ	s ɔ ŋ	s u ŋ	s u m
1044	u	a	ɔ	a	a		u	u
1076	kʰ ɛi	kʰ ɐ	kʰ ai	kʰ ɐ	kʰ ɔ	kʰ ɔ	kʰ ɔ	
1126	tʰ ɛ s	tʰ ɛ ʔ		tʰ ɛ ʔ	tʰ ɛ ʔ	tʰ ɛ ʔ	tʰ a t	tʰ ɛ t
1131	pʰ a	pʰ l uː	pʰ a		pʰ l uː	pʰ uː	pʰ uː	pʰ uː
1132	tɕʰ a p	tɕʰ ɛˀ		tɕʰ a	tɕʰ a p	tɕʰ a p	ʨʰ a p	tɕʰ a p
1166	d ɛ p	d ɛː	d e		d ɛ p	d ɛ p	d ɛ p	d ɛ p
1175	h i n	n ə	ɕ i n	n y	n ə	pʰ		n ə
944	t u ŋ	tʰ y ŋ	t u ŋ	tʰ y ŋ	tʰ y ŋ	tʰ y ŋ		tʰ u ŋ
1199	tɕʰ ɔ ŋ	dʑ ɔ̃ː ŋ	tɕʰ ɔ ŋ	dz ɔ̃ː	dʑ ũː ŋ		dʑ ũː ŋ	dʑ ɔ̃ː
1228		r ɐ k	d a k	r ɐ k	r a k	r a k	r a k	r a k
1256	tɕ u ŋ	tɕ y ŋ	tɕ u ŋ	tɕ y ŋ	tɕ y ŋ	tɕ y ŋ		tɕ u ŋ
1282	d ɛi	d y	d i	d y	dʑ y	dʑ oː	d y	
1283	j u	j ɔː	j u	j ɔː	j ɔː	h ɔː	j au	
