ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_SUBGROUP	PARTIAL_COGNACY	COGIDS
1	1_1sg	1sg	Khispi	Khispi	ga	ga	g a	lish1235	27.37	92.23	Western Kho-Bwa	1	1
2	1_1sg	1sg	Duhumbi	Duhumbi	ga	ga	g a	chug1252	27.42	92.23	Western Kho-Bwa	1	1
3	1_1sg	1sg	Khoina	Khoina	guː	guː	g uː	khoi1253	27.334981	92.52994	Western Kho-Bwa	1	1
4	1_1sg	1sg	Jerigaon	Jerigaon	guː	guː	g uː	jeri1243	27.340629	92.486595	Western Kho-Bwa	1	1
5	1_1sg	1sg	Khoitam	Khoitam	guː	guː	g uː	khoi1252	27.327487	92.439455	Western Kho-Bwa	1	1
6	1_1sg	1sg	Rahung	Rahung	guː	guː	g uː	rahu1234	27.310778	92.395028	Western Kho-Bwa	1	1
7	1_1sg	1sg	Rupa	Rupa	guː	guː	g uː	rupa1234	27.203065	92.398757	Western Kho-Bwa	1	1
8	1_1sg	1sg	Shergaon	Shergaon	guː	guː	g uː	sher1261	27.105018	92.272133	Western Kho-Bwa	1	1
9	2_2plexcl	2pl.excl	Khispi	Khispi	na+lu	na+lu	n a + l u	lish1235	27.37	92.23	Western Kho-Bwa	5 2	5 2
10	2_2plexcl	2pl.excl	Duhumbi	Duhumbi	na+ɹ	na+ɹ	n a + ɹ	chug1252	27.42	92.23	Western Kho-Bwa	5 2	5 2
11	2_2plexcl	2pl.excl	Rahung	Rahung	na+ryː	na+ryː	n a + r yː	rahu1234	27.310778	92.395028	Western Kho-Bwa	5 2	5 2
12	2_2plexcl	2pl.excl	Rupa	Rupa	naː+bluŋ	naː+bluŋ	n aː + b l u ŋ	rupa1234	27.203065	92.398757	Western Kho-Bwa	5 1285	5 1285
13	2_2plexcl	2pl.excl	Shergaon	Shergaon	naː+bluŋ	naː+bluŋ	n aː + b l u ŋ	sher1261	27.105018	92.272133	Western Kho-Bwa	5 1285	5 1285
14	3_2plincl	2pl.incl	Khispi	Khispi	nal+tʰe	nal+tʰe	n a + l + tʰ e	lish1235	27.37	92.23	Western Kho-Bwa	5 3 4	5 3 4
15	3_2plincl	2pl.incl	Duhumbi	Duhumbi	naɹ+tʰeˀ	naɹ+tʰeˀ	n a + ɹ + tʰ eˀ	chug1252	27.42	92.23	Western Kho-Bwa	5 3 4	5 3 4
16	3_2plincl	2pl.incl	Khoina	Khoina	na+tʰik	na+tʰik	n a + tʰ i k	khoi1253	27.334981	92.52994	Western Kho-Bwa	5 4	5 4
17	3_2plincl	2pl.incl	Jerigaon	Jerigaon	na+tʰik	na+tʰik	n a + tʰ i k	jeri1243	27.340629	92.486595	Western Kho-Bwa	5 4	5 4
18	3_2plincl	2pl.incl	Khoitam	Khoitam	na+tʰɛk	na+tʰɛk	n a + tʰ ɛ k	khoi1252	27.327487	92.439455	Western Kho-Bwa	5 4	5 4
19	3_2plincl	2pl.incl	Rahung	Rahung	na+tʰɛk	na+tʰɛk	n a + tʰ ɛ k	rahu1234	27.310778	92.395028	Western Kho-Bwa	5 4	5 4
20	3_2plincl	2pl.incl	Rupa	Rupa	naː+tʰik	naː+tʰik	n aː + tʰ i k	rupa1234	27.203065	92.398757	Western Kho-Bwa	5 4	5 4
21	3_2plincl	2pl.incl	Shergaon	Shergaon	naː+tʰik	naː+tʰik	n aː + tʰ i k	sher1261	27.105018	92.272133	Western Kho-Bwa	5 4	5 4
22	4_2sg	2sg	Khispi	Khispi	naŋ	naŋ	n a ŋ	lish1235	27.37	92.23	Western Kho-Bwa	6	6
23	4_2sg	2sg	Duhumbi	Duhumbi	naŋ	naŋ	n a ŋ	chug1252	27.42	92.23	Western Kho-Bwa	6	6
24	4_2sg	2sg	Khoina	Khoina	naŋ	naŋ	n a ŋ	khoi1253	27.334981	92.52994	Western Kho-Bwa	6	6
25	4_2sg	2sg	Jerigaon	Jerigaon	naŋ	naŋ	n a ŋ	jeri1243	27.340629	92.486595	Western Kho-Bwa	6	6
26	4_2sg	2sg	Khoitam	Khoitam	naŋ	naŋ	n a ŋ	khoi1252	27.327487	92.439455	Western Kho-Bwa	6	6
27	4_2sg	2sg	Rahung	Rahung	naŋ	naŋ	n a ŋ	rahu1234	27.310778	92.395028	Western Kho-Bwa	6	6
28	4_2sg	2sg	Rupa	Rupa	naŋ	naŋ	n a ŋ	rupa1234	27.203065	92.398757	Western Kho-Bwa	6	6
29	4_2sg	2sg	Shergaon	Shergaon	naŋ	naŋ	n a ŋ	sher1261	27.105018	92.272133	Western Kho-Bwa	6	6
30	5_3sg	3sg	Khispi	Khispi	wuj	wuj	w ui	lish1235	27.37	92.23	Western Kho-Bwa	7	7
31	5_3sg	3sg	Duhumbi	Duhumbi	wɔj	wɔj	w ɔi	chug1252	27.42	92.23	Western Kho-Bwa	7	7
32	5_3sg	3sg	Khoina	Khoina	laŋ+waː	laŋ+waː	l a ŋ + w aː	khoi1253	27.334981	92.52994	Western Kho-Bwa	1191 7	1191 7
33	5_3sg	3sg	Jerigaon	Jerigaon	waː	waː	w aː	jeri1243	27.340629	92.486595	Western Kho-Bwa	7	7
34	5_3sg	3sg	Khoitam	Khoitam	waː+ʥi	waː+ʥi	w aː + dʑ i	khoi1252	27.327487	92.439455	Western Kho-Bwa	7 9	7 9
35	5_3sg	3sg	Rahung	Rahung	hɛˀ	hɛˀ	(h)/h ɛˀ	rahu1234	27.310778	92.395028	Western Kho-Bwa	8	8
36	5_3sg	3sg	Rupa	Rupa	waː	waː	w aː	rupa1234	27.203065	92.398757	Western Kho-Bwa	7	7
37	5_3sg	3sg	Shergaon	Shergaon	waː	waː	w aː	sher1261	27.105018	92.272133	Western Kho-Bwa	7	7
38	73_bugun	Bugun	Khoina	Khoina	ʂə+luŋ	ʂə+luŋ	ʂ ə + l u ŋ	khoi1253	27.334981	92.52994	Western Kho-Bwa	11 12	11 12
39	73_bugun	Bugun	Rahung	Rahung	su+luŋ	su+luŋ	s u + l u ŋ	rahu1234	27.310778	92.395028	Western Kho-Bwa	11 12	11 12
40	73_bugun	Bugun	Rupa	Rupa	sə+luŋ	sə+luŋ	s ə + l u ŋ	rupa1234	27.203065	92.398757	Western Kho-Bwa	11 12	11 12
41	73_bugun	Bugun	Shergaon	Shergaon	su+luŋ	su+luŋ	s u + l u ŋ	sher1261	27.105018	92.272133	Western Kho-Bwa	11 12	11 12
42	250_indoaryanperson	Indo-Aryan person	Khispi	Khispi	bi+ʨʰa	bi+ʨʰa	b i + tɕʰ a	lish1235	27.37	92.23	Western Kho-Bwa	15 13	15 13
43	250_indoaryanperson	Indo-Aryan person	Duhumbi	Duhumbi	bi+ʨʰa	bi+ʨʰa	b i + tɕʰ a	chug1252	27.42	92.23	Western Kho-Bwa	15 13	15 13
44	250_indoaryanperson	Indo-Aryan person	Khoina	Khoina	də+ʨʰuː	də+ʨʰuː	d ə + tɕʰ uː	khoi1253	27.334981	92.52994	Western Kho-Bwa	16 13	16 13
45	250_indoaryanperson	Indo-Aryan person	Khoitam	Khoitam	ʨʰə+ʨʰuː	ʨʰə+ʨʰuː	tɕʰ ə + tɕʰ uː	khoi1252	27.327487	92.439455	Western Kho-Bwa	14 13	14 13
46	250_indoaryanperson	Indo-Aryan person	Rahung	Rahung	ʨʰə+ʨʰuː	ʨʰə+ʨʰuː	tɕʰ ə + tɕʰ uː	rahu1234	27.310778	92.395028	Western Kho-Bwa	14 13	14 13
47	250_indoaryanperson	Indo-Aryan person	Rupa	Rupa	nə+ʨʰuː	nə+ʨʰuː	n~d/n ə + tɕʰ uː	rupa1234	27.203065	92.398757	Western Kho-Bwa	16 13	16 13
48	250_indoaryanperson	Indo-Aryan person	Shergaon	Shergaon	də+ʨʰuː	də+ʨʰuː	d ə + tɕʰ uː	sher1261	27.105018	92.272133	Western Kho-Bwa	16 13	16 13
49	256_jerigaonpeople	Jerigaon people	Khoina	Khoina	də+ʨĩː+ʥi	də+ʨĩː+ʥi	d ə + tɕ ĩː + dʑ i	khoi1253	27.334981	92.52994	Western Kho-Bwa	19 17 18	19 17 18
50	256_jerigaonpeople	Jerigaon people	Jerigaon	Jerigaon	kʰ+ʨĩː+ʥi	kʰ+ʨĩː+ʥi	kʰ + tɕ ĩː + dʑ i	jeri1243	27.340629	92.486595	Western Kho-Bwa	20 17 18	20 17 18
51	256_jerigaonpeople	Jerigaon people	Rupa	Rupa	di+ʨʰi+ʥi	di+ʨʰi+ʥi	d ə + tɕ ĩː + dʑ i	rupa1234	27.203065	92.398757	Western Kho-Bwa	19 17 18	19 17 18
52	256_jerigaonpeople	Jerigaon people	Duhumbi	Duhumbi	but+pa	but+pa	b u t + p a	chug1252	27.42	92.23	Western Kho-Bwa	10431 10432	10431 10432
53	256_jerigaonpeople	Jerigaon people	Duhumbi	Duhumbi	but+pa	but+pa	b u t + p a	chug1252	27.42	92.23	Western Kho-Bwa	11141 11142	11141 11142
54	259_khoitampeople	Khoitam people	Khispi	Khispi	kʰus+tam+bi	kʰus+tam+bi	kʰ u s + t a m + b i	lish1235	27.37	92.23	Western Kho-Bwa	21 23 18	21 23 18
55	259_khoitampeople	Khoitam people	Khoina	Khoina	gə+tam+ʥi	gə+tam+ʥi	g ə + t a m + dʑ i	khoi1253	27.334981	92.52994	Western Kho-Bwa	21 23 18	21 23 18
56	259_khoitampeople	Khoitam people	Jerigaon	Jerigaon	kʰ+tam+ʥi	kʰ+tam+ʥi	kʰ + t a m + dʑ i	jeri1243	27.340629	92.486595	Western Kho-Bwa	21 23 18	21 23 18
57	259_khoitampeople	Khoitam people	Rupa	Rupa	gə+tam+ʥi	gə+tam+ʥi	g ə + t a m + dʑ i	rupa1234	27.203065	92.398757	Western Kho-Bwa	21 23 18	21 23 18
58	259_khoitampeople	Khoitam people	Shergaon	Shergaon	ka+tam+ʥi	ka+tam+ʥi	k a + t a m + dʑ i	sher1261	27.105018	92.272133	Western Kho-Bwa	21 23 18	21 23 18
59	259_khoitampeople	Khoitam people	Duhumbi	Duhumbi	kʰɔj+tam+pa	kʰɔj+tam+pa	kʰ ɔi + t a m + p a	chug1252	27.42	92.23	Western Kho-Bwa	10433 10434 10435	10433 10434 10435
60	259_khoitampeople	Khoitam people	Duhumbi	Duhumbi	kʰɔj+tam+pa	kʰɔj+tam+pa	kʰ ɔi + t a m + p a	chug1252	27.42	92.23	Western Kho-Bwa	11143 11144 11145	11143 11144 11145
61	307_mijipeople	Miji people	Khoina	Khoina	kʰu+nɔ̃ː	kʰu+nɔ̃ː	kʰ u + n ɔ̃ː	khoi1253	27.334981	92.52994	Western Kho-Bwa	25 24	25 24
62	307_mijipeople	Miji people	Jerigaon	Jerigaon	kʰu+nɔ̃ː+ʥi	kʰu+nɔ̃ː+ʥi	kʰ u + n ɔ̃ː + dʑ i	jeri1243	27.340629	92.486595	Western Kho-Bwa	25 24 26	25 24 26
63	307_mijipeople	Miji people	Rahung	Rahung	kʰu+nũː	kʰu+nũː	kʰ u + n ũː (ŋ)/ŋ	rahu1234	27.310778	92.395028	Western Kho-Bwa	25 24	25 24
64	307_mijipeople	Miji people	Rupa	Rupa	kʰu+nũː	kʰu+nũː	kʰ u + n ũː	rupa1234	27.203065	92.398757	Western Kho-Bwa	25 24	25 24
65	307_mijipeople	Miji people	Shergaon	Shergaon	kʰu+nɔ̃ː	kʰu+nɔ̃ː	kʰ u + n ɔ̃ː	sher1261	27.105018	92.272133	Western Kho-Bwa	25 24	25 24
66	312_monpa	Monpa	Khispi	Khispi	mɔn+pa	mɔn+pa	m ɔ n + p a	lish1235	27.37	92.23	Western Kho-Bwa	30 28	30 28
67	312_monpa	Monpa	Duhumbi	Duhumbi	mɔn+pa	mɔn+pa	m ɔ n + p a	chug1252	27.42	92.23	Western Kho-Bwa	30 28	30 28
68	312_monpa	Monpa	Khoina	Khoina	ʥə+mɐ̃ː	ʥə+mɐ̃ː	dʑ ə + m ɐ̃ː	khoi1253	27.334981	92.52994	Western Kho-Bwa	29 30	29 30
69	312_monpa	Monpa	Rahung	Rahung	mɔn+pa	mɔn+pa	m ɔ n + p a	rahu1234	27.310778	92.395028	Western Kho-Bwa	30 28	30 28
70	312_monpa	Monpa	Rupa	Rupa	ʥə+mɔ̃ː	ʥə+mɔ̃ː	dʑ ə + m ɔ̃ː	rupa1234	27.203065	92.398757	Western Kho-Bwa	29 30	29 30
71	312_monpa	Monpa	Shergaon	Shergaon	ʥɔ+mɔ̃ː	ʥɔ+mɔ̃ː	dʑ ɔ + m ɔ̃ː	sher1261	27.105018	92.272133	Western Kho-Bwa	29 30	29 30
72	327_namshupeople	Namshu people	Khispi	Khispi	nam+ɕu+pa	nam+ɕu+pa	n a m + ɕ u + p a	lish1235	27.37	92.23	Western Kho-Bwa	33 31 32	33 31 32
73	327_namshupeople	Namshu people	Duhumbi	Duhumbi	nam+ɕu+pa	nam+ɕu+pa	n a m + ɕ u + p a	chug1252	27.42	92.23	Western Kho-Bwa	33 31 32	33 31 32
74	327_namshupeople	Namshu people	Khoina	Khoina	na+ʦʰɔː+ʥi	na+ʦʰɔː+ʥi	n a + tsʰ ɔː + dʑ i	khoi1253	27.334981	92.52994	Western Kho-Bwa	33 31 32	33 31 32
75	327_namshupeople	Namshu people	Jerigaon	Jerigaon	nə+ʨo+ʥi	nə+ʨo+ʥi	n ə + tɕʰ o + dʑ i	jeri1243	27.340629	92.486595	Western Kho-Bwa	33 31 32	33 31 32
76	327_namshupeople	Namshu people	Rahung	Rahung	pʰ+ʨʰoː+ʥi	pʰ+ʨʰoː+ʥi	pʰ + tɕʰ oː + dʑ i	rahu1234	27.310778	92.395028	Western Kho-Bwa	33 31 32	33 31 32
77	376_puroik	Puroik	Khispi	Khispi	bi+ɕ+taŋ	bi+ɕ+taŋ	b i + ɕ + t a ŋ	lish1235	27.37	92.23	Western Kho-Bwa	15 38 35	15 38 35
78	376_puroik	Puroik	Duhumbi	Duhumbi	bi+s+taŋ	bi+s+taŋ	b i + s + t a ŋ	chug1252	27.42	92.23	Western Kho-Bwa	15 38 35	15 38 35
79	376_puroik	Puroik	Khoina	Khoina	ɕ+taŋ	ɕ+taŋ	ɕ + t a ŋ	khoi1253	27.334981	92.52994	Western Kho-Bwa	38 35	38 35
80	376_puroik	Puroik	Rupa	Rupa	s+taŋ	s+taŋ	s + t a ŋ	rupa1234	27.203065	92.398757	Western Kho-Bwa	38 35	38 35
81	384_rahungpeopleof	Rahung, people of	Khispi	Khispi	la+pʰuŋ+bi	la+pʰuŋ+bi	l a + pʰ u ŋ + b i	lish1235	27.37	92.23	Western Kho-Bwa	41 40 18	41 40 18
82	384_rahungpeopleof	Rahung, people of	Khoina	Khoina	rə+pʰiŋ+ʥi	rə+pʰiŋ+ʥi	r ə + pʰ i ŋ + dʑ i	khoi1253	27.334981	92.52994	Western Kho-Bwa	41 40 18	41 40 18
83	384_rahungpeopleof	Rahung, people of	Jerigaon	Jerigaon	rə+pʰiŋ+ʥi	rə+pʰiŋ+ʥi	r ə + pʰ i ŋ + dʑ i	jeri1243	27.340629	92.486595	Western Kho-Bwa	41 40 18	41 40 18
84	384_rahungpeopleof	Rahung, people of	Rupa	Rupa	rə+pʰyŋ+ʥi	rə+pʰyŋ+ʥi	r ə + pʰ y ŋ + dʑ i	rupa1234	27.203065	92.398757	Western Kho-Bwa	41 40 18	41 40 18
85	384_rahungpeopleof	Rahung, people of	Shergaon	Shergaon	ru+pʰuŋ+ʥi	ru+pʰuŋ+ʥi	r u + pʰ u ŋ + dʑ i	sher1261	27.105018	92.272133	Western Kho-Bwa	41 40 18	41 40 18
86	425_sherdukpen	Sherdukpen	Khoina	Khoina	tʰɔː+mø+ʥi	tʰɔː+mø+ʥi	tʰ ɔː + m ø + dʑ i	khoi1253	27.334981	92.52994	Western Kho-Bwa	44 43 18	44 43 18
87	425_sherdukpen	Sherdukpen	Jerigaon	Jerigaon	tʰɔ̃ŋ+ʥi	tʰɔ̃ŋ+ʥi	tʰ ɔ̃ ŋ + dʑ i	jeri1243	27.340629	92.486595	Western Kho-Bwa	44 18	44 18
88	425_sherdukpen	Sherdukpen	Rahung	Rahung	tʰə+mø+ʥi	tʰə+mø+ʥi	tʰ ə + m ø + dʑ i	rahu1234	27.310778	92.395028	Western Kho-Bwa	44 43 18	44 43 18
