COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	l aː b a			
222-1	a b a b ɔ ʔ i			
208-1	a b u r b u d u			
962-1	a g o r a			
203-1	a g u d i ʔ o			
138-1	ʃ i l e			
504-1	ɗ o s ɛ n e			
662-1	ɓ u d ɛ n e			
478-1	g o ɗ e			
409-1	a r e			
410-1	g u n d i			
256-1	ɓ aː l e			
622-1	n d u			
546-1	n d u			
547-1	ʃ ɛ w a			
847-1	n ɛ d i g i			
95-1	b ə ɗ i			
105-1	b ɛ ɲ i			
510-1	b o s a			
951-1	m b ə m a r e			
1116-1	m b ə m a			
149-1	ɓ u tʃ ʔ i			
376-1	ɓ ə l i			
815-1	g o r a			
453-1	ɗ uː ɲ e			
67-1	ɗ aː s e			
47-1	d o k o l ɛ n e			
869-1	ɗ uː l a			
57-1	k aː g u			
303-1	k ʔ ɛ tʃ ʔ i a			
443-1	g e r a			
884-1	g u n d i			
166-1	g u n d u			
918-1	a b a r e			
831-1	h aː s e			
616-1	b iː e			
84-1	h o s a l e			
346-1	h oː h o l o			
601-1	dʒ i g i			
177-1	k ʔ a w a			
341-1	k ʔ o l a			
1066-1	w ɛ n t e ɲ e			
318-1	u w e s i			
241-1	m aː s iː s o			
556-1	h a n d u			
191-1	b ɪ mː b i l			
458-1	a s ʔ i s ʔ e			
1-1	h a ɲ g ɪ r i			
751-1	r o			
864-1	a ŋ o n ɛ n e			
154-1	a ʔ m ɛ n dʒ i			
278-1	m i l o ʔ i			
766-1	s oː r e			
251-1	a g u r u			
582-1	o ʔ o ɲ e			
6-1	a l i			
1106-1	n g o			
473-1	ɪ nː e			
1111-1	h a l u			
957-1	m a r e			
41-1	b i e			
468-2		θ a b a		
222-2		a b ɔ b ɔ n e		
208-2		a b u r b u d u		
962-2		a g o r a		
203-2		a g u d i		
138-2		ʃ ɪ l e		
504-2		ɗ oː ʃ a		
662-2		ɓ ʊː d a		
478-2		eː g oː ɗ a		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a ʔ		
847-2		n ɛ n d ɛ g i		
95-2		b ɛ ɗ i		
105-2		b ɪ n i		
510-2		b o ʃ a		
951-2		m b ə m a r e		
1116-2		m b ə m a		
149-2		ɓ u s ʔ i		
376-2		ɓ a l i		
815-2		k o r a		
453-2		ɗ u ɲ e		
67-2		ɗ aː ʃ e		
47-2		ɗ o k o θ a		
869-2		ɗ oː θ a		
57-2		k aː g u		
303-2		g a s ʔ i a		
443-2		g ɛː r a		
884-2		g u n d i		
166-2		g u n d i		
918-2		a b ɛ r e		
831-2		h aː ʃ e		
616-2		ɓ aːi̯ e		
84-2		h o ʃ ɛ l e		
346-2		h o l u		
601-2		s i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
1066-2		f ɛ n s i ŋ a		
318-2		f eː s i		
241-2		m aː ʃ o		
556-2		h a n d u ŋ u		
191-2		ɓ ɛ m b ɛ l		
458-2		a s ʔ i s ʔ i		
1-2		h a ɳ dʒ i r		
751-2		r o		
864-2		a ŋ o n i		
154-2		a m a n z i		
278-2		a m i l u ʔ a		
766-2		ʃ oː r a		
251-2		a g uː r u		
582-2		o ʔ o ŋ		
6-2		a l i		
1106-2		n g o		
473-2		ɲ i n e		
1111-2		h a l u		
957-2		m a r e		
41-2		b eː		
468-3			θ a b a	
222-3			a b ɔ b ɔ n e	
208-3			a b u r b u d u	
962-3			a g ɔ r θ e	
203-3			a g u d i	
138-3			ʃ i l i	
504-3			ɗ ɔː ʃ a	
662-3			p ʊː d a	
478-3			g ɔ ɗ a	
409-3			a r e	
410-3			g u n d i	
256-3			p ʔ aː l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a	
847-3			n ɛ n d i g i	
95-3			b ɛ ɗ i	
105-3			b ɪ ɲ ɛ n i	
510-3			b ɔ ʃ a	
951-3			m a r e	
1116-3			m b ə	
149-3			p ʔ ʊ s ʔ i	
376-3			p ʔ aː l i	
815-3			g ɔ r a	
453-3			ɗ aː ŋ a	
67-3			ɗ ɛ ʃ i	
47-3			ɗ ɔ k ʔ ɔ θ a	
869-3			ɗ ʊː θ a	
57-3			k aː g u	
303-3			g a s ʔ i a	
443-3			g eː r a	
884-3			g ʊ n d i	
166-3			g u n d i	
918-3			a b a r o	
831-3			h aː ʃ i	
616-3			b iː e	
84-3			h ɔ ʃ ə l a	
346-3			h u h u l u	
601-3			s ɪ g i	
177-3			k ʔ a f a	
341-3			k ʔ ɔ l a	
1066-3			f e n s ʔ i ŋ a	
318-3			f e ʃ a	
241-3			m aː ʃ ũ	
556-3			h a n d u ŋ u	
191-3			p ʔ ɪ mː p ʔ i l	
458-3			a s ʔ i s ʔ i	
1-3			h a n dʒ i r	
751-3			r ɔ	
864-3			a ŋ ɔ n a	
154-3			a m a n z i	
278-3			a m i l o	
766-3			ʃ ɔː r a	
251-3			a g uː r u	
582-3			ʊ ʔ u ŋ	
6-3			a l i	
1106-3			ŋ g o	
473-3			ɲ i n e	
1111-3			h a θ u	
957-3			m ə r e	
468-4				θ a b a
222-4				aː b ɔ b ɔ ʔ i
208-4				a b u r b u d u
962-4				a g o r θ a
203-4				a g u d i ʔ
138-4				a ʃ i l e
504-4				ɗ oː ʃ ɛ f a
662-4				ɓ uː d aː
478-4				g oː ɗ e
409-4				a r e
410-4				g u n d i
256-4				ɓ aː l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a ʔ
847-4				ə n d ɪ g e
95-4				b ɛ ɗ i
105-4				b ɛ n i
510-4				b oː ʃ a
951-4				m b ə m a r e
1116-4				m b u m a
149-4				ɓ u s ʔ i
376-4				ɓ ɛ l i
815-4				g o r a f a
453-4				ɗ u ɲ e
67-4				ɗ a ʃ e
47-4				d u k u θ a
869-4				ɗ uː θ a
57-4				g aː g u
303-4				g a s ʔ i a
443-4				g ɛː r e
884-4				g uː n d o
166-4				g u n d i
918-4				a b ɛ r e
831-4				h əː n ʃ e
616-4				b iː e
84-4				h o ʃ a l a
346-4				h oː h o l u
601-4				z i g i
177-4				k ʔ a f a ŋ
341-4				k ʔ o l a
1066-4				f ɛ n t e ŋ i
318-4				f ɛ ʃ i
241-4				m ə n ʃ o
556-4				h a n d u ŋ u
191-4				ɓ ɪ m ɓ ɪ l
458-4				a s ʔ i s ʔ i
1-4				h a ŋː h i r
751-4				r o
864-4				a ŋː o n i
154-4				a m a n z i
278-4				a m i l u ʔ i
766-4				ʃ oː r a
251-4				a g uː r u
582-4				u q u ɲ
6-4				a l i
1106-4				ɲ ɦ o
473-4				ɪ nː e
