COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
385		m ə k ʔ o ʃ	m ə k ʔ ɔ ʃ	m o k ʔ o ʃ
283	a n tʃ ʔ ɛ r e	a n s aː r e	m a n s ʔ a r e	
390		a bː a	a bː a	aː b a i y o
783		m aː r a	m ʊ r θ a	m a r θ a
52	d oː ʃ i		d ʊu̯ o ʃ	t oː ʃ
842	ɗ o ŋ o s e	ɗ o ŋ o ʃ a	ɗ ɔ ŋ ɔ ʃ a	
110	k ʔ i d e ɾ e	tʃ ʔ ɪ d ɛ r i		dʒ i d ɛ r i
650		k ʔ o ʃ	k ʔ ɔ ʃ	k ʔ o ʃ
91		g a l a s i	g ɛ l a s i	g a l a z i
668		w ɛ lː a	w ɛ lː a	w ɛ lː a
777		g i n d aː l i a	d aː l i a	g i n d aː l i a
728		s i ʔ i	h u ʃ i	s i ʔ i
165	m a	m a	m a	
1007	ɪ ŋ g o l e	ɪ ŋ g o l e		o ŋ g o l e
1088	h o s a l e		h ɔ ʃ ɛ l i	h o ʃ ɛ l e
1087	ɪ ŋ g o l e	ɪ ŋ g o l e		o ŋ g o l e
702	iː l e		iː l a	iː l a
894		iː s ʔ u	iː s ʔ u	iː s ʔ u
536	k ʔ eː t e	k eː d e	k ʔ eː d a	
694	n d ə	n d ə		n d ə
695	m i l i	m i l i		m i l i
263		m a	m ə	m a
264		g aː ʃ a	g aː ʃ a	g aː ʃ a
853		t i r ʃ a	d i r ʃ a	θ ə r ʃ a
678	m a ŋ k a	mː a n k a	m a n k ʔ a	
592	m a n k o	mː a n k o	m a n k ʔ o	
1122	mː b a ʔ a	m b a ʔ a	m b a ʔ a	
558		m u l h i	m u l h i	m u l h i
908	m u ɲ dʒ o		m u n s u	m u n z u
308	m uː ʃ e	m u ʃ e	m u ʃ a	
100	o l g ɪ n e	o l g i ŋ i	ɔ l g ɪ ɲ i	
173	ɓ uː ɗ e		ɓ u d a	ɓ u ɗ i
247		o r	ɔ r	o r
978	b eː		b eː	b eː
1017		w aː s a	a w a z a	w aː s a
