COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1858	s a		s a	s a	s a	s a	s a	s a	s ə	s a	s a	s a	s a	s a	s a	s a
1859	ŋ ɛ	ŋ ai̯	ŋ ɔi̯	ŋ ai̯	ŋ iː	ŋ iː	ŋ ai̯	ŋ ai̯	ŋ əi̯	ŋ iː	ŋ ai̯	ŋ ɛ	ŋ ɛ	ŋ ai̯	ŋ ɛi̯	ŋ ɛː
1813			s ə		s a	s ə				s a		s a	s a		s a	s a
1563	s a	s ə	s ə					s a		s a		s a	s a	s a	s a	s a
1322	kʰ ɛ	kʰ a	kʰ a					kʰ iː	kʰ iːu̯			kʰ ɛ		kʰ i m	kʰ ɛ	
1152		l ə n	b l a n	p a	b a n	p a n	p a	b l a n	b l a n	b l a n	p a			b l a n		
1151	g j a n		k j a r	k j əː	k j a	k j a	k j əː	g j aː	g j a r	k j əː r	k j əː	g j a n	g j a n	g j a n	g j a n	g j a n
1150												m a	m a		m a	m ə
1110	m a	m a										m a	m a		m a	m a
1814	m ă n	m a n	m a ɲ		m e ɲ	m e ɲ			m a n	m ɛ ŋ		m ă ɲ	m ă n		m a ɲ	m ɛ ɲ
1817								p l aː ŋ						p l aː ŋ		
175	k a	k a	k a	k a	k a	k a	k a	k a	k ə	k ə r	k a	k a	k a	k a	k a	k a
1816				l aːu̯			l aːu̯				l aːu̯					
241	ʔ u ʔ	ʔ uː ʔ	ʔ uː t	ʔ uː ʔ	ʔ uː ʔ	ʔ uː t	ʔ u ʔ	ʔ u t	ʔ uː t	ʔ uː t	ʔ uː ʔ	ʔ u	ʔ u ʔ	ʔ uː t	ʔ u ʔ	ʔ u ʔ
240		ə ŋ					ə ŋ				ə ŋ	ə ŋ	ə ŋ		ə ŋ	ə ŋ
1218	ə ŋ											ə ŋ	ə ŋ		ə ŋ	ŋ
1460					dʑ uː ŋ	dʑ o ŋ				tɕ u ŋ						
1459	g l ai̯	g l aːi̯	k l ai̯	k l aːi̯			k l aːi̯	g l aːi̯	g l aːi̯		k l aːi̯	g l ai̯	g l ai̯	g l aːi̯	g l aːi̯	g l aːi̯
2163	kʰ u n	kʰ uː	kʰ uː r	kʰ uː	kʰ uː r	kʰ uː r	kʰ uː	kʰ uː	kʰ uː r	kʰ uː r	kʰ uː	kʰ u n	kʰ u n	kʰ uː n	kʰ uː n	kʰ uː n
1325					r ə n					r a						tɕ u ŋ
1323	m̥ ə	m̥ eːu̯	m̥ ɯ		m̥ əː	m̥ əː		m̥ əɯ̯	m̥ əɯ̯	m̥ əɯ̯		m̥ ə	m̥ ə	m̥ əɯ̯	m̥ əɯ̯	m̥ əɯ̯
1324				s ɛ m			s ə m				s ə m					
2181	n ă m	n a m	n ɔ m	n a m	n ə m	n ə m	n a m	n a m	n a m	n ə m	n a m	n ə̆ m	n ă m	n a m	n ə m	n ə m
2060	ʔ ɨ m	ʔ ɛ m	ʔ uː m	ʔ ɛ m	ʔ oː m	ʔ oː m	ʔ ə m	ʔ oː m	ʔ uː m	ʔ oː m	ʔ ə m	ʔ ɨ m	ʔ ɨ m	ʔ oː m	ʔ ɨ m	ʔ ɨ m
409						k ə n				k ə						
410	d ai̯	d aːi̯	ɗ aːi̯	t aːi̯	ɗ ei̯	d ɛi̯	t aːi̯	ɗ aːi̯	d ai̯	ɗ ɛː	t aːi̯	d ai̯	d ai̯	ɗ aːi̯	d aːi̯	d ɛːi̯
1841	m au̯	m aːu̯	m aːu̯	m aːu̯	m oːu̯	m oːu̯	m aːu̯	m aːu̯	m ɛːu̯	m oː	m aːu̯	m au̯	m au̯	m aːu̯	m aːu̯	m aːu̯
1185					s u r̥	s o r			s u l	s u r						
