COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ a															
175-1	g a															
241-1	ʔ uː ʔ															
2163-1	Ø uː n															
2181-1	n a m															
2060-1	ʔ uː m															
410-1	t Ø															
1841-1	m Ø															
2017-1	h Ø															
1004-1	Ø a															
614-1	b Ø h															
686-1	b l Ø															
88-1	g a ʔ															
872-1	n Ø ŋ															
1891-1	t a															
68-1	s a m															
631-1	b uː n															
594-1	g a															
1759-1	h a n															
805-1	g a n															
756-1	h Ø k															
1201-1	m a ʔ															
2042-1	ʔ a															
1968-1	t a ʔ															
2000-1	Ø a ŋ															
17-1	Ø a ʔ															
4-1	Ø a m															
788-1	t a															
1219-1	h a m															
141-1	ʔ a ŋ															
541-1	b r j a ŋ															
1687-1	h uː n															
123-1	Ø a m															
1652-1	Ø a n															
576-1	ŋ a															
1738-1	t a g															
442-1	h Ø m															
368-1	t j a ŋ															
1778-1	b a ʔ															
957-1	n a h															
1704-1	ʔ a ʔ															
304-1	j a m															
1796-1	Ø Ø ŋ															
720-1	t Ø h															
287-1	k a b															
321-1	g a h															
206-1	k Ø ʔ															
1950-1	ʔ Ø															
665-1	Ø a n															
703-1	n Ø ʔ															
1290-1	m a															
1391-1	ʔ Ø t															
269-1	g a ʔ															
855-1	Ø a n															
2078-1	s a															
2213-1	m a															
1858-1	s a															
1151-1	g j a n															
737-1	b a															
1859-2		ŋ ɨ														
175-2		g a														
241-2		ʔ Ø ʔ														
2163-2		g Ø n														
2181-2		n Ø m														
2060-2		ʔ Ø m														
410-2		ʔ Ø														
1841-2		m Ø														
2017-2		h Ø														
1004-2		Ø a														
614-2		b Ø h														
686-2		b l Ø														
88-2		g Ø ʔ														
872-2		n Ø ŋ														
1891-2		ʔ a														
68-2		s ɨ m														
631-2		b ə n														
594-2		g a														
1759-2		h a Ø														
805-2		g ɨ Ø														
756-2		h Ø ʔ														
1201-2		m a ʔ														
2042-2		ʔ a														
1968-2		ʔ Ø ʔ														
2000-2		Ø a ŋ														
17-2		Ø a ʔ														
4-2		Ø ə m														
788-2		ʔ ɨ														
1219-2		h ɨ m														
141-2		ʔ a ŋ														
541-2		b x a ŋ														
1687-2		h Ø n														
123-2		Ø a m														
1652-2		Ø Ø n														
576-2		ŋ Ø														
1738-2		ʔ Ø ʔ														
442-2		h Ø m														
368-2		Ø x a ŋ														
1778-2		b a ʔ														
957-2		n a ʔ														
1704-2		ʔ ɨ ʔ														
304-2		Ø a m														
1796-2		Ø Ø ŋ														
720-2		ʔ ɛ h														
287-2		g a														
321-2		g ə h														
206-2		ʔ Ø ʔ														
1950-2		ʔ Ø														
665-2		Ø a n														
703-2		n Ø ʔ														
1290-2		m Ø														
1391-2		ʔ ɨ n														
269-2		g a ʔ														
855-2		Ø a n														
2078-2		s ɨ														
2213-2		m ɨ														
1859-3			ŋ ɔ													
175-3			ʔ ə													
241-3			ʔ Ø ʔ													
2163-3			Ø Ø Ø													
2181-3			Ø Ø m													
2060-3			ʔ a m													
410-3			Ø ɔ													
1841-3			m ɔ													
2017-3			h Ø													
1004-3			Ø Ø													
614-3			b ou̯ h													
686-3			b l Ø													
88-3			k ə ʔ													
872-3			Ø Ø ŋ													
1891-3			Ø Ø													
68-3			s ə m													
631-3			b Ø Ø													
594-3			ʔ Ø													
1759-3			h ə Ø													
805-3			ʔ a Ø													
756-3			h Ø k													
1201-3			m a ʔ													
2042-3			ʔ Ø													
1968-3			Ø ə ʔ													
2000-3			Ø Ø ŋ													
17-3			Ø ɛ ʔ													
4-3			Ø a m													
788-3			Ø ɔ													
1219-3			h ə m													
141-3			ʔ Ø ŋ													
541-3			b r j Ø ŋ													
1687-3			h Ø Ø													
123-3			Ø Ø m													
1652-3			Ø a Ø													
576-3			ŋ ɔ													
1738-3			Ø a k													
442-3			h ou̯ m													
368-3			Ø j Ø ŋ													
1778-3			b a ʔ													
957-3			Ø Ø ʔ													
1704-3			ʔ ə ʔ													
304-3			j ə m													
1796-3			Ø ɔ ŋ													
720-3			Ø ɔ h													
287-3			k Ø b													
321-3			h Ø h													
206-3			Ø ou̯ ʔ													
1950-3			ʔ Ø ɔ													
665-3			Ø ə Ø													
703-3			Ø ou̯ ʔ													
1290-3			m ɔ													
1391-3			k ɛ ʔ													
269-3			ʔ Ø ʔ													
855-3			Ø ə Ø													
2078-3			s a													
2213-3			m ɔ													
1858-3			s ə													
1151-3			ʔ j ə Ø													
737-3			b Ø Ø													
1859-4				ŋ a												
175-4				g a												
241-4				ʔ u ʔ												
2163-4				g Ø n												
2181-4				n a m												
2060-4				ʔ a m												
410-4				Ø Ø												
1841-4				m Ø												
2017-4				h Ø												
1004-4				Ø a												
614-4				Ø au̯ h												
686-4				Ø l Ø												
88-4				g Ø ʔ												
872-4				n Ø ŋ												
1891-4				Ø a												
68-4				s Ø m												
631-4				Ø ə n												
594-4				g a												
1759-4				h a n												
805-4				g a n												
756-4				h Ø ʔ												
1201-4				m Ø ʔ												
2042-4				ʔ a												
1968-4				Ø a ʔ												
2000-4				Ø a ŋ												
17-4				Ø a ʔ												
4-4				Ø ə m												
788-4				Ø a												
1219-4				h Ø m												
141-4				ʔ a ŋ												
541-4				p Ø j Ø ŋ												
1687-4				h Ø n												
123-4				Ø a m												
1652-4				Ø a n												
576-4				ŋ Ø												
1738-4				Ø a g												
