COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665	ŋ ɔ ⁵⁵	ŋ o ⁵¹	ŋ a ⁵⁵	ŋ o ³¹	ŋ ɔ ³¹	ŋ a	ŋ a ¹	ŋ ɑ ²²	ŋ ɔ ⁵⁵
4	p a n ⁵⁵	p a̱ n ⁵⁵	p ɛ̃ ⁵⁵	p a n ³¹	p ə ŋ ³¹		b a n ¹		p a n ⁵⁵
384	m a n ³⁵	m a n ⁵⁵	m ɛ̃ ³⁵	m aː n ⁵⁵	m ə ŋ ⁵⁵		m a n ³	m ɑ ⁵³	m̥ a n ³⁵
467	n ɔ ³¹	n o ⁵¹		n ɔː ³¹		n a ⁵		n ɑ ⁵⁵	n̥ ɔ ³¹
466	n ɔ ⁵⁵		n a ⁵⁵		n ɔ ³¹	n a			
197					k j au k ³¹	k r ɔ k	g r u k ⁴		
201		k j u ʔ ²¹	k j au ʔ ³¹	k j uː k ³¹		k j ɔ k	g j u k ⁴	tɕ ɑu ʔ ⁴	
342	ʐ o ʔ ⁵⁵	v u ʔ ²¹	ɣ au ʔ ³¹	j uː k ³¹	ɣ au k ³¹		r u k ⁴		ʐ u ʔ ⁵⁵
61	tɕ a ŋ ³¹	ts a n ⁵¹	t ɛ̃ ⁵⁵	ts a n ³¹	t ɛ̃ ³¹		d a m ¹	t ɑ̃ ²²	ʈʂ a ŋ ³¹
495	n au ³⁵	n au ⁵⁵	n au ³⁵	n ou ⁵⁵	n u k ³¹	n ui̯ ʔ	n u ³	n o ⁵³	ɲ ɔ n ³⁵
76		ts u ŋ ²¹		t ə ŋ ³³		c a ɲ ⁵		tɕʰ ẽ ⁵⁵	t ɤ ŋ ³¹
75	t ə ŋ ³¹		t a ŋ ³¹		t a ŋ ³⁵		d i ŋ ²		
536	s ɔ ʔ ⁵⁵	p a n ²¹	x a ʔ ⁵⁵	ʃ ɔ̱ ʔ ⁵⁵	s o ʔ ⁵⁵		ˀs a k ⁴	t θ ɑ ⁵³	s ɔ ʔ ⁵⁵
539					ʃ ɔ ʔ ⁵⁵		ˀr j a k ⁴		
6	p ʐ a ⁵⁵				p j ɛ ³¹		b r ɛ ¹		
540			ʃ a ʔ ⁵⁵				ʃ a k ⁴		
837		n a̱ ŋ ⁵¹	n ɔ̱̃ ⁵⁵		n ɔ̱̃ ³¹		ˀn a ŋ ¹		n̥ ɔ ŋ ⁵⁵
552	ʂ ə ŋ ⁵⁵	k a n ²¹	s a ŋ ⁵⁵		k a ŋ ³⁵				
208	j ɔ ³¹	n i̱ k ⁵⁵				j a ⁵			j ɔ ³¹
838	n̥ ə k ⁵⁵	j o ²¹	l a m ³¹	j ɔː ³³	j o ³¹	nʰ a c	ˀn i k ⁴	h n i ʔ ⁴	n̥ ɤ k ⁵⁵
438	ȵ ɔ ʔ ⁵⁵	l ă ²¹	m j a ʔ ³¹	l ə̆ ⁵⁵	m j ɔ ʔ ³¹	m j a k	m j a k ⁴	l ɑ ⁵³	ɲ ɔ ʔ ⁵⁵
280	tɕʰ i ³⁵	k u̱ ²¹		kʰ j ei ³³	kʰ j i k ³¹		ˀk j ai ³	tɕʰ e ²²	tʃʰ i ⁵⁵
638		tʃʰ a p ⁵⁵	tʃʰ ɛ ʔ ⁵⁵	tʃʰ a m ⁵⁵	tʃʰ ɛ ʔ ⁵⁵		tʃ a p ⁴	m j ɛ ʔ ⁴	tʃʰ a p ⁵⁵
278			kʰ j i ⁵⁵		kʰ j i k ⁵⁵				
334	l ɔ ʔ ⁵⁵	l o ʔ ²¹	l a ʔ ³¹	l ɔ ʔ ³¹	l ɔ ʔ ³¹	l a k	l a k ⁴	l ɛ ʔ ⁴	l ɔ ʔ ⁵⁵
360	l i ³¹	l ai ²¹	l i ³¹	l ei ³³	l a ³⁵	l i j ⁵	l i ²	l e ⁵⁵	l̥ ai ³⁵
729		ʃ i ⁵¹	ʃ ɿ ³⁵	ʃ ə̱i ³³	ʃ i̱ k ³¹		ʃ i ³	t θ e ²²	ʂ ɿ ⁵⁵
731	ʂ ə ³¹	ts ui ²¹		ʃ ɿ ⁵⁵	ʃ i ³⁵	s i ⁵	ʃ e ²	w ɛ ʔ ⁴	ʂ ɿ ³¹
397						m i j ⁵	m i ²		
394	ȵ i ³¹	m j i ²¹	m əi ³¹	m j eːi ³³	m j i k ⁵⁵	m u n ⁵	n e ²	m e ⁵⁵	n i ³¹
72		v u t ²¹	t ɔ̃ ³¹	j uː t ³¹	t ɔ̃ ³⁵		d a ŋ ²	j ĩ ²²	ʈʂ a m ⁵⁵
71			j ɔ̃ ⁵⁵		j ɔ̃ ³¹		j a ŋ ¹		
784		j o̱ n ⁵⁵	j a̱ k ⁵⁵	j u̱ː n ⁵³	j a̱ k ⁵⁵		ˀj i k ⁴	p j ɑ̃ ²²	
221	i t ⁵⁵	j u̱ p ⁵⁵	j a̱ p ⁵⁵	j u̱ː p ⁵⁵	j a p ³¹	i p	j i p ⁴	e ʔ ⁴	i t ⁵⁵
202	k au ³¹	k au ²¹	k u ³¹	k ou ³³	k u k ³¹	k ui̯ ⁵	g u ²	kʰ ɛ ⁵⁵	k au ³¹
779	ɕ ɔ ⁵⁵	o̱ ⁵¹	a ⁵⁵	w o̱ ⁵⁵	ɔ ³¹		ʔ a ¹	tɕ e ²²	tʰ ɛ ³¹
487		a ⁵⁵	n ai ⁵⁵	ŋ j eːi ³¹			n ai ¹	ɑ ⁵³	n ai ⁵⁵
612	tʰ w a ŋ ³¹	tʰ a ŋ ²¹		tʰ a ŋ ⁵⁵	tʰ ɔ̃ ³⁵		t a ŋ ²	d ɔ ²²	tʰ ɔ ŋ ³¹
486	n i ⁵⁵				n a ³¹		n i ¹		
935	u ³¹	u ²¹	ŭ ³¹	w o ³³	a̱u ³⁵	u ⁵	ʔ ʊ ²	u ⁵⁵	u ³¹
459	m ʐ ə ŋ ⁵⁵	m j i ŋ ⁵¹		m j əː ŋ ³¹	m j a ŋ ³¹		m r i ŋ ¹	m j i ²²	m ɯ ŋ ⁵⁵
460			m j a ŋ ⁵⁵				m j i ŋ ¹		
93	ts ɔ ³¹	s i k ⁵⁵	t a ³¹	l ə ŋ ⁵⁵	ts ɔ̆ ³⁵	c a ⁵	dz a ²	sʰ ɑ̃ ⁵⁵	s ɔ ŋ ³⁵
591	l u ŋ ³⁵						l u ŋ ³		
592	n̥ o ŋ ⁵⁵						ˀn o ŋ ¹		
589	tʰ ə k ³⁵	kʰ u ŋ ⁵¹	tʰ ɔ̃ ⁵⁵	kʰ u ŋ ³³	tʰ ɔ̃ ³¹		t a ŋ ¹	tʰ i ʔ ⁴	t u ⁵¹
593			t ɔ̱̃ ³⁵				ˀt a ŋ ³		
594					t ɔ̃ ⁵⁵		d a ŋ ³		
680		ŋ o̱ ʔ ⁵⁵	ŋ a̱ ʔ ⁵⁵	ŋ ɔ̱ ʔ ⁵⁵	ŋ ɔ̱ ʔ ⁵⁵	ŋʰ a k	ˀŋ a k ⁴	ŋ̊ ɛ ʔ ⁴	ŋ̊ ɔ ʔ ⁵⁵
681		ŋ o ʔ ⁵⁵	ŋ a ʔ ³¹	ŋ ɔ ʔ ⁵⁵	ŋ ɔ ʔ ³¹		ŋ a k ⁴		
496						n ui̯	n u ¹		
504		p u̱ ʔ ⁵⁵	pʰ a ʔ ⁵⁵	pʰ ɔ ʔ ⁵⁵	pʰ ɔ ʔ ⁵⁵		p a k ⁴	p j u ʔ ⁴	
488			ŋ j i ⁵⁵				ŋ j i ¹		
