COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ o ³⁵								
495-1	n o ⁵⁵								
838-1	Ø ⁵⁵								
438-1	m l ɯ ʔ ⁵⁵								
334-1	l o ʔ ⁵⁵								
360-1	l̥ ɔ Ø								
394-1	m ŋ ɛ ³⁵								
221-1	ʐ a p ⁵⁵								
202-1	ʔ ɛ ŋ ⁵⁵								
935-1	u Ø								
93-1	Ø ɯ ³⁵								
7-1	p Ø n Ø								
664-1	a ŋ ³⁵								
246-1	ʔ ʐ ɯ ʔ ³⁵								
547-1	s Ø k ³⁵								
555-1	a m ŋ								
464-1	m o ŋ ³⁵								
119-1	m p Ø ŋ ⁵⁵								
835-1	n ɯ pʰ ³⁵								
79-1	t o ʔ ⁵⁵								
693-1	ŋ o ŋ ³⁵								
477-1	n ʐ ɯ ʔ ⁵⁵								
891-1	t ai ŋ ⁵⁵								
528-1	ʐ o ŋ								
797-1	ʔ o ʔ ³⁵								
493-1	n Ø k ⁵⁵								
217-1	a pʰ ⁵⁵								
896-1	Ø u t ³⁵								
452-1	m ʐ u ʔ ⁵⁵								
580-1	s a ʔ ³⁵								
833-1	n̥ ɯ ŋ								
390-1	m o ŋ Ø								
696-1	ŋ u ³⁵								
86-1	t u ŋ ³⁵								
384-1	m a n ⁵⁵								
61-1	p ɔ ⁵⁵								
536-1	s ɔ ʔ ⁵⁵								
731-1	ʂ Ø ŋ ³¹								
779-1	a ⁵⁵								
589-1	kʰ ɯ ŋ ⁵⁵								
658-1	a m ⁵⁵								
456-1	m ʐ a ŋ ⁵⁵								
183-1	k i Ø								
785-1	kʰ ɔ ³⁵								
714-1	o ʔ								
331-1	l ɔ ³⁵								
665-2		ŋ ɔ ³⁵							
495-2		n ɔ ³⁵							
838-2		kʰ ɤ ⁵⁵							
438-2		m tʃʰ ɔ ʔ ⁵⁵							
334-2		l ɔ ʔ ⁵⁵							
360-2		l i ⁵⁵							
394-2		n ɯ ³¹							
221-2		i p ⁵⁵							
202-2		k Ø ŋ ³¹							
935-2		ɔ ⁵⁵							
93-2		kʰ ɤ ⁵⁵							
7-2		p ɔ n̥ ⁵⁵							
664-2		ɔ ŋ ³⁵							
246-2		ʔ ʐ ɤ ʔ ³⁵							
547-2		tʃʰ ɤ k ³⁵							
555-2		a m ⁵⁵							
464-2		m ɔ ŋ ³¹							
119-2		n ɔ ŋ ³⁵							
835-2		n̥ ɤ p ³⁵							
79-2		t u ʔ ⁵⁵							
693-2		ŋ ɔ ŋ ³⁵							
477-2		n i ʔ ³¹							
891-2		tʰ ɤ ŋ ³¹							
528-2		ʂ ɯ ⁵⁵							
797-2		m tʃʰ u ʔ ³⁵							
493-2		n ɤ k ⁵⁵							
217-2		j ɤ p ³⁵							
896-2		kʰ a t ³¹							
452-2		n ɔ ʔ ⁵⁵							
580-2		tʃʰ a ʔ ³⁵							
833-2		j ɔ ⁵⁵							
390-2		m ɔ ŋ ⁵⁵							
696-2		ŋ au ³⁵							
86-2		t ɔ ŋ ³⁵							
384-2		m ɔ n̥ ³⁵							
61-2		t ɔ ⁵⁵							
536-2		s ɔ ʔ ³⁵							
731-2		tʃʰ i ³¹							
779-2		o ⁵⁵							
589-2		t a n ³⁵							
680-2		a ʔ ³¹							
658-2		ɔ m ⁵⁵							
456-2		m ʐ ɔ ŋ ⁵⁵							
183-2		k ʐ i ⁵⁵							
785-2		kʰ o ⁵⁵							
714-2		ʐ a ⁵⁵							
331-2		l o ⁵⁵							
665-3			ŋ ɔ ⁵⁵						
495-3			n u ³⁵						
838-3			tʃʰ ɯ ŋ ⁵⁵						
438-3			ʐ ɔ ʔ ⁵⁵						
334-3			l ɔ ʔ Ø						
360-3			l Ø ³¹						
394-3			Ø ʐ i ŋ ³¹						
221-3			ʐ i p ⁵⁵						
202-3			k u ŋ ³⁵						
935-3			u ³¹						
93-3			Ø a ⁵⁵						
7-3			p ɤ n̥ ³¹						
664-3			Ø ŋ ⁵⁵						
246-3			ʔ ʐ a ʔ ⁵⁵						
547-3			tʃʰ ɯ k ³⁵						
555-3			ʐ Ø Ø ³¹						
464-3			m u ŋ ³¹						
119-3			Ø ʐ Ø ŋ ³⁵						
835-3			n̥ a p ³⁵						
79-3			t ɔ ³⁵						
693-3			ŋ u ŋ ⁵⁵						
477-3			ŋ̊ ɤ ³¹						
891-3			tʰ a ŋ ³¹						
528-3			tʃʰ ɔ ³¹						
797-3			k tʃʰ o ʔ ³⁵						
493-3			n ɯ k Ø						
217-3			j Ø p Ø						
896-3			Ø o t ³⁵						
452-3			m u ʔ Ø						
580-3			tʃʰ u t ³⁵						
833-3			n̥ u ³¹						
390-3			m ɤ ŋ ³¹						
696-3			ŋ ɛ ⁵⁵						
86-3			t u ŋ ⁵⁵						
384-3			m o n̥ ³⁵						
61-3			Ø o ɲ ³¹						
536-3			v o ʔ ⁵⁵						
779-3			ɔ ³¹						
589-3			tʰ ɯ Ø ³⁵						
680-3			ŋ̊ o ʔ ³⁵						
456-3			m ʐ o ŋ ³¹						
183-3			k ʐ ɯ ³¹						
785-3			ɔ ³¹						
331-3			l ɔ ³¹						
665-4				ŋ ɔ ⁵⁵					
495-4				n u ³⁵					
838-4				ʈʂ ɔ ⁵⁵					
438-4				m ʈʂ ɔ ʔ ⁵⁵					
334-4				l ɔ ʔ ⁵⁵					
360-4				l a Ø					
394-4				m ɯ Ø					
221-4				Ø p ⁵⁵					
202-4				ʔ u Ø					
935-4				u Ø					
93-4				s i ⁵⁵					
7-4				p a n̥ Ø					
664-4				ɔ ŋ ⁵⁵					
246-4				ʔ ʐ a ʔ ⁵⁵					
547-4				ʂ ɔ ʔ ⁵⁵					
555-4				Ø m ⁵⁵					
464-4				m u Ø					
119-4				a ŋ ³⁵					
835-4				n̥ a p ⁵⁵					
79-4				t u Ø					
693-4				ŋ u ⁵⁵					
477-4				n i ʔ Ø					
891-4				tʰ ɯ ŋ ³¹					
528-4				tʃʰ u ⁵⁵					
797-4				x tʃʰ ɔ ʔ ⁵⁵					
493-4				n ɔ ʔ ⁵⁵					
217-4				j a p ⁵⁵					
896-4				kʰ Ø t ³¹					
452-4				m u ʔ ⁵⁵					
580-4				ɲ ɔ ʔ ⁵⁵					
833-4				l ɔ ⁵⁵					
390-4				m ɔ ŋ Ø					
696-4				ŋ u ⁵⁵					
86-4				t ɔ ŋ ⁵⁵					
384-4				m a n̥ ³⁵					
61-4				t a Ø ³¹					
536-4				s ɔ ʔ ⁵⁵					
731-4				ʂ ɔ ⁵⁵					
779-4				ɔ ⁵⁵					
589-4				t ɔ ŋ ⁵⁵					
680-4				ɔ ʔ ³¹					
658-4				ɔ m ⁵⁵					
456-4				m ʐ a Ø ⁵⁵					
183-4				ʔ ʐ ɔ ³¹					
785-4				kʰ ɔ ⁵⁵					
714-4				ʐ Ø ⁵⁵					
331-4				l ɔ ⁵⁵					
665-5					ɲ ɔ ⁵⁵				
495-5					n Ø t ³¹				
838-5					ŋ ʈʂʰ ɤ ⁵⁵				
438-5					Ø ɔ ʔ ³¹				
334-5					l ɔ ʔ ³⁵				
360-5					l ai ŋ ⁵⁵				
394-5					Ø ŋ i ŋ ⁵⁵				
221-5					i p ³⁵				
202-5					k Ø ⁵⁵				
935-5					u ⁵⁵				
93-5					tʃʰ a ŋ ³¹				
7-5					p a n̥ ⁵⁵				
664-5					ɔ ɲ ⁵⁵				
246-5					ʔ ɛ ʔ ⁵⁵				
547-5					ŋ tʃʰ ɔ k ³⁵				
555-5					i Ø ⁵⁵				
464-5					m Ø ⁵⁵				
119-5					ŋ a ɲ ³¹				
835-5					ŋ n̥ ɛ p ³⁵				
79-5					t ŋ o ŋ ⁵⁵				
693-5					ɲ Ø ⁵⁵				
477-5					n ŋ ɔ ʔ ³¹				
891-5					tʰ i ɲ ŋ ³⁵				
528-5					ŋ ʐ o ⁵⁵				
797-5					k ʐ u ʔ ³⁵				
493-5					n i k ³⁵				
217-5					ŋ j Ø p ⁵⁵				
896-5					tsʰ u t ³⁵				
452-5					Ø u ʔ ³⁵				
580-5					ŋ tʃʰ u ʔ ³⁵				
833-5					n̥ ɔ ⁵⁵				
390-5					m ɔ ɲ ⁵⁵				
696-5					ɲ ŋ u ŋ ⁵⁵				
86-5					t Ø ɲ ⁵⁵				
384-5					m Ø n̥ ³¹				
61-5					t a ɲ ³¹				
536-5					ŋ s o ʔ ³¹				
731-5					s ɯ ŋ ³¹				
779-5					ŋ ɔ ⁵⁵				
589-5					tʰ ɤ ŋ ⁵⁵				
680-5					u ʔ ³⁵				
658-5					ɤ m ⁵⁵				
456-5					m ʐ a ŋ ³¹				
785-5					x ɔ ³¹				
714-5					ɛ ⁵⁵				
331-5					l ɔ ³¹				
665-6						ɲ ɔ ³¹			
495-6						n ɔ Ø Ø			
838-6						i k ⁵⁵			
438-6						Ø Ø ɔ ʔ ⁵⁵			
334-6						l ɔ ʔ ⁵⁵			
360-6						l ai ³¹			
394-6						n i Ø ³¹			
221-6						j i p ⁵⁵			
202-6						k Ø Ø ³¹			
935-6						Ø ³¹			
93-6						ts Ø ³¹			
7-6						p Ø n ³¹			
664-6						ɔ ŋ ³¹			
