COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ ɔ ⁵⁵								
495-1	n au ³⁵								
838-1	n̥ ə k ⁵⁵								
438-1	ȵ ɔ ʔ ⁵⁵								
334-1	l ɔ ʔ ⁵⁵								
360-1	l i ³¹								
394-1	ȵ i ³¹								
221-1	i t ⁵⁵								
202-1	k au ³¹								
935-1	u ³¹								
93-1	ts ɔ ³¹								
7-1	p a n ³¹								
664-1	ɔ ŋ ⁵⁵								
246-1	k ʐ a ŋ ⁵⁵								
547-1	ʂ ə k ⁵⁵								
555-1	i n ⁵⁵								
464-1	m au ³¹								
119-1	ts e ŋ ³⁵								
835-1	n̥ a p ⁵⁵								
79-1	t o ³¹								
693-1	ŋ au ⁵⁵								
477-1	ȵ e n ³¹								
891-1	tʰ ə ŋ ³⁵								
528-1	ʐ o ⁵⁵								
797-1	x ʐ o ʔ ⁵⁵								
493-1	n ə k ⁵⁵								
217-1	ʑ a p ⁵⁵								
896-1	tɕʰ o t ⁵³								
452-1	ȵ u ʔ ⁵⁵								
580-1	m̥ ɔ ʔ ⁵⁵								
833-1	ȵ̥ ɔ ŋ ⁵⁵								
390-1	m w a ŋ ³¹								
696-1	ŋ ui ⁵⁵								
86-1	t u ŋ ⁵⁵								
384-1	m a n ³⁵								
61-1	tɕ a ŋ ³¹								
536-1	s ɔ ʔ ⁵⁵								
731-1	ʂ ə ³¹								
779-1	ɕ ɔ ⁵⁵								
589-1	tʰ ə k ³⁵								
658-1	ɔ m ⁵⁵								
456-1	m̥ ʐ a ŋ ³¹								
183-1	k ʐ ə ³¹								
785-1	x ɔ ³¹								
714-1	ʐ i t ⁵⁵								
331-1	l ɔ ³¹								
930-1	n ai ³⁵								
161-1	k w a ŋ ⁵⁵								
814-1	x ui ³¹								
179-1	k ʐ w a ʔ ⁵⁵								
194-1	ʐ w a ʔ ⁵⁵								
727-1	oi ³¹								
260-1	tɕʰ a p ⁵⁵								
144-1	ts e ŋ ⁵⁵								
53-1	p u m ⁵⁵								
59-1	t ɔ ʔ ⁵⁵								
506-1	pʰ ə k ⁵⁵								
29-1	p ə k ⁵⁵								
316-1	tʰ ɔ ʔ ⁵⁵								
389-1	m ʐ w a ŋ ⁵⁵								
118-1	m ɔ ʔ ³¹								
312-1	x o ³¹								
490-1	n i ʔ ³¹								
436-1	ȵ ɔ ³¹								
927-1	ŋ̊ a n ⁵⁵								
383-1	m ɔ ʔ ⁵⁵								
211-1	ʑ a m ⁵⁵								
873-1	s ə ŋ ⁵⁵								
877-1	s a ³⁵								
344-1	l a m ⁵⁵								
666-1	ŋ ɔ ³¹								
595-1	oi ³¹								
660-1	ɔ p ⁵⁵								
642-1	ʈʂʰ a ŋ ³⁵								
257-1	kʰ ʐ a m ⁵⁵								
167-1	tɕ ɔ ³¹								
880-1	ʈʂʰ a p ³⁵								
484-1	n w a ŋ ⁵⁵								
574-1	s u m ³¹								
718-1	ʂ a n ³¹								
811-1	x au ³¹								
458-1	tʰ u ŋ ³¹								
884-1	tʰ i ʔ ³¹								
205-1	k u ʔ ⁵⁵								
499-1	n a ⁵⁵								
706-1	ɕ ɔ ⁵⁵								
920-1	u ŋ ³¹								
36-1	pʰ a k ³⁵								
665-2		ŋ o ⁵¹							
495-2		n au ⁵⁵							
838-2		j o ²¹							
438-2		l ă ²¹							
334-2		l o ʔ ²¹							
360-2		l ai ²¹							
394-2		m j i ²¹							
221-2		j u̱ p ⁵⁵							
202-2		k au ²¹							
935-2		u ²¹							
93-2		s i k ⁵⁵							
7-2		p a n ²¹							
664-2		v a ŋ ⁵¹							
246-2		k j a̱ ŋ ⁵¹							
547-2		s i k ⁵⁵							
555-2		j u̱ m ⁵¹							
464-2		m au ²¹							
119-2		m j i̱ ⁵⁵							
835-2		n a̱ p ⁵⁵							
79-2		t o ²¹							
693-2		ŋ au ⁵¹							
477-2		ŋ j i ⁵⁵							
891-2		tʰ i ŋ ⁵⁵							
528-2		v o ⁵¹							
797-2		k j u̱ ʔ ⁵⁵							
493-2		n i k ²¹							
217-2		j a p ²¹							
896-2		ts u̱ t ⁵⁵							
452-2		m j u ʔ ²¹							
580-2		ŋ o̱ ʔ ⁵⁵							
833-2		n o̱ ⁵¹							
390-2		m a ŋ ²¹							
696-2		ŋ u n ⁵¹							
86-2		ts u̱ ŋ ⁵¹							
384-2		m a n ⁵⁵							
61-2		ts a n ⁵¹							
536-2		p a n ²¹							
731-2		ts ui ²¹							
779-2		o̱ ⁵¹							
589-2		kʰ u ŋ ⁵¹							
680-2		ŋ o̱ ʔ ⁵⁵							
658-2		v a m ⁵¹							
456-2		m j a ŋ ⁵¹							
183-2		k o̱ ²¹							
785-2		kʰ o ²¹							
714-2		u ⁵¹							
331-2		l o ²¹							
206-2		j o ⁵¹							
930-2		ŋ a̱ p ⁵⁵							
353-2		l ai ⁵¹							
161-2		k a ŋ ⁵¹							
814-2		kʰ ui ²¹							
179-2		v o ʔ ²¹							
194-2		v o ʔ ²¹							
727-2		ʃ a ŋ ⁵¹							
260-2		kʰ j a p ⁵⁵							
144-2		k a m ⁵¹							
53-2		p u m ⁵¹							
59-2		t o ʔ ²¹							
506-2		pʰ e k ⁵⁵							
29-2		p i k ²¹							
316-2		tʰ ɔ ʔ ⁵⁵							
389-2		m j a ŋ ⁵¹							
118-2		m o ⁵⁵							
312-2		kʰ o ²¹							
490-2		ŋ j i ⁵⁵							
436-2		m j o ²¹							
