COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
395			m i ³¹		m i ³⁵	m i ⁵	m e ²		
615	tsʰ au ³¹				ts u̱ k ⁵⁵	tʃʰ ui̯ ⁵	ˀts u ²		
346		l a̱ ŋ ⁵¹	l ɔ̃ ⁵⁵	l a ŋ ³¹	l ɔ̃ ³¹				
188		s e ŋ ⁵¹	k j a ŋ ³¹			k j a ɲ ⁵		tɕ ĩ ⁵⁵	
388		m a ŋ ⁵¹	m ɔ̃ ⁵⁵	m a ŋ ³¹	m ɔ̃ ³¹				
247			kʰ a ʔ ⁵⁵		kʰ ɔ ʔ ⁵⁵	kʰ a k	k a k ⁴		
858			p j ɛ̱ ʔ ⁵⁵		p j ɛ̱ ʔ ⁵⁵		ˀp j a t ⁴	p j õ ⁵⁵	
628		tʰ au ²¹	tʰ au ³⁵		tʰ u k ⁵⁵			tʰ o ⁵⁵	
18	p i ³¹		p i ³¹			p i j ⁵	b i ²		
228		j ui ⁵¹	j u ⁵⁵	j aːu ³¹	j u k ³¹				
713	ʂ a m ⁵⁵		ʃ ɛ̃ ⁵⁵		ʃ ɛ̃ ³¹		ʃ a m ¹		
372	l ə ŋ ³⁵		l a ŋ ³⁵		l a ŋ ⁵⁵				l̥ ɯ ŋ ³⁵
534	ʂ a ⁵⁵		ʃ ɛ ⁵⁵		ʃ ɛ ³¹		ʃ ɛ ¹		
818		l ŏ̱ ⁵⁵			l ɔ̱ ⁵⁵			l ɑ ⁵³	l ɤ n ³¹
871		x a m ⁵¹	x ɛ̃ ⁵⁵	ʃ a̱ m ³³			s a m ¹		
793		k j u̱i ²¹	k j u̱ ³⁵	k j o̱u ⁵⁵			ˀk j u ³		
890			t a̱ k ⁵⁵	t ə̱ː k ⁵⁵	t a̱ k ⁵⁵		ˀt i k ⁴		
47	p ʐ ə ŋ ⁵⁵				p j a ŋ ³¹	p r a ɲ	b r i ŋ ¹		
104	ʈʂ ui ³¹		tʃ ui ³¹		tʃ ui ³⁵		dʒ ui ²		
184		k j i ⁵⁵	k j i ³⁵	k j iː ⁵⁵		k j i ʔ			
143	k ɔ ʔ ⁵⁵	k o ʔ ²¹			k ɔ ʔ ³¹				k o ʔ ⁵⁵
508			pʰ j a ⁵⁵	pʰ j ɔː ³³	pʰ j ɔ ³¹		p j a ¹		
44			p j ɛ ⁵⁵	p i ³¹			b j ɛ ¹		p a ⁵⁵
924			ŋ a̱ ⁵⁵		ŋ ɔ̱ ³¹		ˀŋ a ¹		ɲ u ⁵⁵
197					k j au k ³¹	k r ɔ k	g r u k ⁴		
6	p ʐ a ⁵⁵				p j ɛ ³¹		b r ɛ ¹		
71			j ɔ̃ ⁵⁵		j ɔ̃ ³¹		j a ŋ ¹		
486	n i ⁵⁵				n a ³¹		n i ¹		
248	x a m ⁵⁵					kʰ a m	ˀk a m ¹		
94	ʈʂ w a ³¹		tʃ a ³¹				dʒ a ²		
102	t i ³¹		t ai ³¹				d ai ²		
251			kʰ ɛ ʔ ⁵⁵		kʰ ɛ ʔ ⁵⁵		k a p ⁴		
288	m̥ ʐ a ŋ ³¹					kʰ j i j ⁵	ˀk j i ²		
789		k j o̱ ²¹	k j a̱ ⁵⁵	k j o̱ ³³					
66			t ɛ ʔ ³¹		t ɛ ʔ ³¹		d a p ⁴		
500			pʰ a ³⁵		pʰ ɔ ⁵⁵		p a ³		
599	tʰ o ŋ ³¹					tʰ ʊ ŋ ⁵	ˀt o ŋ ²		
57			p u ŋ ³¹	p u ŋ ³¹				b u ⁵³	
641			tʃ ɛ̱ ʔ ⁵⁵		tʃ ɛ̱ ʔ ⁵⁵		ˀtʃ a p ⁴		
566	s o ³¹				x u ³⁵		ˀr o ²		
160	k ə ŋ ³¹							p ĩ ⁵⁵	p ɔ ŋ ³¹
330	l ɔ ⁵⁵	l o ⁵¹	l a ⁵⁵						
636			tʃʰ a ʔ ⁵⁵		tʃʰ ɔ ʔ ⁵⁵		tʃ a k ⁴		
169	k ʐ w a ³⁵				k j ɔ ⁵⁵		g r a ³		
469			n ɛ̃ ⁵⁵		n ɛ̃ ³¹	n a m			
