ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	PARTIAL_COGNACY	COGIDS
1	928_i	I	OldBurmese	Old Burmese	ṅa	ṅa	ṅ/ŋ a				Sino-Tibetan	665	665
2	928_i	I	Rangoon	Rangoon Burmese	ŋɑ²²	ŋɑ²²	ŋ ɑ ²²				Sino-Tibetan	665	665
3	928_i	I	AchangLongchuan	Achang	ŋɔ⁵⁵	ŋɔ⁵⁵	ŋ ɔ ⁵⁵				Sino-Tibetan	665	665
4	928_i	I	Atsi	Atsi	ŋo⁵¹	ŋo⁵¹	ŋ o ⁵¹				Sino-Tibetan	665	665
5	928_i	I	Bola	Bola	ŋa⁵⁵	ŋa⁵⁵	ŋ a ⁵⁵				Sino-Tibetan	665	665
6	928_i	I	Lashi	Lashi	ŋo³¹	ŋo³¹	ŋ o ³¹				Sino-Tibetan	665	665
7	928_i	I	Maru	Maru	ŋɔ³¹	ŋɔ³¹	ŋ ɔ ³¹				Sino-Tibetan	665	665
8	928_i	I	Xiandao	Xiandao	ŋɔ⁵⁵	ŋɔ⁵⁵	ŋ ɔ ⁵⁵				Sino-Tibetan	665	665
9	928_i	I	ProtoBurmish	ProtoBurmish	*ŋa	ŋa¹	ŋ a ¹				Sino-Tibetan	665	665
10	1193_accomplishsucceed	accomplish / succeed	Atsi	Atsi	pa̱n⁵⁵	pa̱n⁵⁵	p a̱ n ⁵⁵				Sino-Tibetan	4	4
11	1193_accomplishsucceed	accomplish / succeed	Bola	Bola	pɛ̃⁵⁵	pɛ̃⁵⁵	p ɛ̃ ⁵⁵				Sino-Tibetan	4	4
12	1193_accomplishsucceed	accomplish / succeed	Maru	Maru	pəŋ³¹	pəŋ³¹	p ə ŋ ³¹				Sino-Tibetan	4	4
13	1712_accustomedtobehabitofhaveve	accustomed to, be / habit of, haveve	Atsi	Atsi	man⁵⁵	man⁵⁵	m a n ⁵⁵				Sino-Tibetan	384	384
14	1712_accustomedtobehabitofhaveve	accustomed to, be / habit of, haveve	Bola	Bola	mɛ̃³⁵	mɛ̃³⁵	m ɛ̃ ³⁵				Sino-Tibetan	384	384
15	1712_accustomedtobehabitofhaveve	accustomed to, be / habit of, haveve	Lashi	Lashi	maːn⁵⁵	maːn⁵⁵	m aː n ⁵⁵				Sino-Tibetan	384	384
16	1712_accustomedtobehabitofhaveve	accustomed to, be / habit of, haveve	Maru	Maru	məŋ⁵⁵	məŋ⁵⁵	m ə ŋ ⁵⁵				Sino-Tibetan	384	384
17	1712_accustomedtobehabitofhaveve	accustomed to, be / habit of, haveve	ProtoBurmish	ProtoBurmish	*manX	man³	m a n ³				Sino-Tibetan	384	384
