COGID	Albanian	English	French	German	Latin
560-1	Ø Ø Ø Ø				
438-1	Ø r Ø Ø				
1222-1	Ø Ø Ø				
353-1	Ø Ø Ø Ø Ø Ø				
201-1	Ø Ø Ø Ø Ø				
20-1	Ø Ø Ø Ø Ø r				
503-1	Ø Ø Ø Ø Ø Ø				
957-1	Ø Ø Ø				
728-1	Ø Ø Ø Ø Ø				
244-1	Ø Ø m Ø Ø				
289-1	Ø Ø Ø Ø t				
911-1	Ø Ø r Ø Ø Ø Ø				
724-1	Ø r Ø Ø				
145-1	Ø Ø Ø Ø				
992-1	Ø Ø				
1181-1	Ø Ø Ø Ø Ø Ø				
741-1	Ø Ø Ø Ø				
1150-1	Ø Ø r t				
585-1	Ø Ø				
814-1	Ø Ø r Ø				
916-1	Ø Ø				
1079-1	Ø Ø Ø Ø				
630-1	Ø Ø Ø Ø Ø Ø Ø				
343-1	Ø Ø Ø Ø Ø				
8-1	Ø r Ø Ø				
385-1	Ø Ø				
683-1	Ø Ø Ø Ø Ø Ø				
650-1	Ø Ø Ø Ø Ø				
612-1	Ø Ø Ø Ø				
871-1	Ø r Ø Ø Ø Ø Ø				
667-1	Ø Ø Ø Ø				
527-1	Ø Ø t Ø r				
499-1	Ø Ø				
1029-1	Ø Ø				
336-1	Ø Ø r Ø				
198-1	Ø Ø Ø Ø Ø				
164-1	Ø Ø Ø Ø Ø Ø				
560-2		Ø Ø Ø a a			
438-2		Ø Ø Ø Ø			
1222-2		a a Ø Ø			
353-2		Ø Ø Ø Ø a Ø			
201-2		a a Ø Ø Ø a			
20-2		Ø Ø Ø a a Ø			
503-2		Ø a Ø Ø Ø a			
957-2		Ø Ø a			
728-2		Ø Ø a Ø a			
244-2		a a Ø Ø a			
289-2		Ø Ø Ø a a			
911-2		a Ø Ø Ø Ø Ø Ø			
724-2		Ø Ø Ø Ø			
145-2		t a Ø a			
992-2		Ø Ø			
706-2		Ø Ø a a a			
106-2		Ø Ø a a Ø			
741-2		Ø Ø a a			
421-2		Ø Ø Ø Ø			
227-2		Ø Ø Ø a			
920-2		Ø a Ø a a a			
1083-2		Ø Ø Ø Ø a			
1066-2		a Ø Ø			
1125-2		Ø Ø Ø Ø			
1197-2		Ø u a a Ø			
473-2		Ø Ø Ø Ø Ø			
284-2		Ø a a Ø			
