COGID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	ProtoKaren	SouthernPao	WesternBwe
10	l ɔ ³³	l ɔ ʔ ³³	l ə ³³	l o ʔ ⁴⁵	l au ʔ ²¹	l o ʔ̚ ⁵¹	l u ʔ ⁴⁵	
21	t ɔ ¹¹	t ə ¹¹	t ə ¹¹	tʰ ə ŋ ⁵³	tʰ ã ɦ ¹¹	d ə ŋ ¹¹	t ə ŋ ⁵⁵	d o ³³
33	t o ¹¹	t əɨ ¹¹	t ə ¹¹	tʰ ə ⁵⁵	tʰ ɔ ³¹	d ə ¹¹	t ə ³³	d o ³³
46	p l e ¹¹	p l a ¹¹	p l a ¹¹	pʰ l a ⁵³	pʰ l a ɦ ¹¹	b l a ¹¹	p l a ⁵⁵	b l ɛ ³³
59	tʰ ɛ ¹¹	tʰ a ŋ ¹¹		tʰ a ŋ ⁵⁵	tʰ ɛ̃ ³³	tʰ a ŋ ¹¹	tʰ a ŋ ³³	tʰ a ³³
72	pʰ e ¹¹	pʰ a ¹¹	pʰ a ¹¹	pʰ a ⁵⁵		pʰ a ¹¹	pʰ a ³³	
81	kʰ j a ⁵⁵	kʰ i ʔ ⁴⁵		kʰ j a ʔ ²¹	k ai ʔ ⁴⁵	k j a ʔ̚ ⁵¹		
91	w e ¹¹	h w a ¹¹		w a ⁵⁵	w a ³³	h w a ¹¹	w a ³³	h ɛ ³³
103		kʰ a ŋ ⁵³	kʰ ɔ ⁵⁵	kʰ a ŋ ɦ ³¹	kʰ ɛ̃ ³⁵	kʰ a ŋ ⁵⁵		kʰ a ⁵⁵
126	s e ³³	θ a ⁵³	s a ⁵⁵	s a ɦ ³¹	s j a ³⁵	s r a ⁵⁵	s a ɦ ³¹	θ r ɛ ⁵⁵
114	b ɛ ¹¹	b a ŋ ¹¹	b ɔ ¹¹	b a ŋ ⁵⁵	b ɛ̃ ³³	ˀb a ŋ ¹¹	b a ŋ ³³	ɓ a ³³
138	pʰ a ⁵⁵		pʰ e ³³	pʰ e ʔ ²¹	pʰ ai ʔ ⁴⁵	pʰ e ʔ̚ ⁵¹		pʰ e ³³
149	p l e ¹¹	b l a ¹¹	p l a ¹¹	p l a ɦ ³¹	pʰ l a ³³	p l a ⁵⁵	p l a ɦ ³¹	p l ɛ ¹¹
161	l o ¹¹		l u ¹¹	l u ⁵⁵	l ou ³³	l̥ ou ¹¹	l u ³³	
171	tʰ e ³³	tʰ a ŋ ⁵³	tʰ ɔ ⁵⁵	tʰ a m ɦ ³¹	tʰ ã ³⁵	tʰ a m ⁵⁵	tʰ a m ɦ ³¹	tʰ ɛ ⁵⁵
182	kʰ r ɛ ¹¹					g r a m ⁵⁵		
191	w ɛ ⁵⁵	h w ɛ ʔ ⁴⁵	h w ɛ ³³	w a t ²¹	k w ɛ ⁵⁵	k w a t̚ ⁵¹	w a p ²¹	w ɛ ³³
203	n i ³³	n ai ⁵³	n i ⁵⁵	n e ɦ ³¹	n i ³⁵	n̥ e ⁵⁵	n e ɦ ³¹	n ɪ ³³
217	j i ¹¹	ɟ ɨ ¹¹	j ɨ ¹¹	j u m ⁵³		j ɨ m ¹¹	j ə m ⁵⁵	
224	l e ³³	l a ʔ ⁴⁵	l ɔ ³³	l a ʔ ⁴⁵	l a ʔ ²¹	l a ʔ̚ ⁵¹	l a ʔ ⁴⁵	l a ¹¹
242	d u ¹¹	d au ¹¹	d u ¹¹		d u ³³	ˀd o ¹¹		ɗ o ³³
253	tʰ u ¹¹	tʰ au ¹¹	tʰ u ¹¹		tʰ u ³³	tʰ o ¹¹		tʰ o ³³
264	ʔ a ¹¹	ʔ i ¹¹		ʔ ɛ ŋ ⁵⁵	ʔ ãi ³³	ʔ ɛ ɴ ¹¹	ʔ ɛ m ³³	
275	kʰ e ¹¹	kʰ a ¹¹	kʰ a ¹¹	kʰ a ⁵⁵	kʰ a ³³	kʰ a ¹¹	kʰ a ³³	kʰ ɛ ³³
288	s w i ¹¹	θ w i ¹¹		s w i ⁵⁵	s w i ³³	s w i ¹¹	s w i ³³	θ w i ³³
302	ʔ u ³³	ʔ u ⁵³	ʔ u ⁵⁵	ʔ u ɦ ³¹	ʔ u ⁵⁵	ʔ u ⁵⁵	ʔ u ɦ ³¹	u ³³
315	tʰ ɛ ⁵⁵	tʰ au ʔ ⁴⁵	tʰ o ³³	tʰ ɔ ʔ ²¹	tʰ o ʔ ⁴⁵	tʰ ɔ ʔ̚ ⁵¹	tʰ ɔ ʔ ²¹	tʰ ɔ ³³
316	m i ¹¹	m i ³³	m i ³³	m i ³³	m ei ⁵⁵	m i ⁵⁵	m i ⁵³	
336	kʰ l ə ³³		kʰ l i ⁵⁵	kʰ l i ɦ ³¹	kʰ l ei ³⁵	kʰ l ei ⁵⁵	kʰ l i ɦ ³¹	kʰ l i ³³
348	kʰ r ə ¹¹		c i ¹¹	kʰ r i ⁵⁵	k ei ³³	kʰ r ei ¹¹	kʰ r i ³³	
359	pʰ o ³³	pʰ ɔ ⁵³	pʰ o ⁵⁵		pʰ ɔ ³⁵	pʰ r ɔ ⁵⁵		pʰ r ɔ ³³
371	kʰ r w i ⁵⁵	cʰ w i ʔ ⁴⁵	cʰ u ³³	cʰ u t ²¹		kʰ r w i t ⁵¹	cʰ əu t ²¹	kʰ w i ³³
