ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
21	1521_birdscrychirp	(birds)cry/chirp	ProtoBai	Proto-Bai	mæ1b	mæ1b	m æ 1b/¹				Sino-Tibetan	4 7 8	AXT	ME6	8	8.M.C 8.E.V 8.6.T	1.6 3.0 1.0	mæ1b/¹	0	1
22	1521_birdscrychirp	(birds)cry/chirp	Tuoluo	Tuoluo	ma35	ma35	m a ³⁵	tuol1234	23.3833337	102.1839821	Sino-Tibetan	4 7 8	AXT	MA2	9	9.M.C 9.A.V 9.2.T	1.6 3.0 1.0	ma³⁵	0	1
23	1521_birdscrychirp	(birds)cry/chirp	Gongxing	Gongxing	mæ12	mæ12	m æ ¹²		27.0852794	99.1652452	Sino-Tibetan	4 7 8	AXT	ME2	4	4.M.C 4.E.V 4.2.T	1.6 3.0 1.0	mæ¹²	0	1
24	1521_birdscrychirp	(birds)cry/chirp	Enqi	Enqi	mæ21	mæ21	m æ ²¹	enqi1234	26.4738155	99.1189832	Sino-Tibetan	4 7 8	AXT	ME3	3	3.M.C 3.E.V 3.3.T	1.6 3.0 1.0	mæ²¹	0	1
25	1521_birdscrychirp	(birds)cry/chirp	Jinxing	Jinxing	man21	man21	m a n ²¹		24.9259218	103.1237482	Sino-Tibetan	4 7 4 8	AXLT	MAN3	6	6.M.C 6.A.V 6.N.c 6.3.T	1.6 3.0 1.1 1.0	man²¹	0	1
26	1521_birdscrychirp	(birds)cry/chirp	Dashi	Dashi	mɚ21	mɚ21	m ə˞ ²¹		26.3530106	100.1930442	Sino-Tibetan	4 7 8	AXT	ME3	1	1.M.C 1.E.V 1.3.T	1.6 3.0 1.0	mə˞²¹	0	1
27	1521_birdscrychirp	(birds)cry/chirp	Mazhelong	Mazhelong	mɚ̃21	mɚ̃21	m ə̃˞ ²¹		24.1677209	104.1950232	Sino-Tibetan	4 7 8	AXT	ME3	7	7.M.C 7.E.V 7.3.T	1.6 3.0 1.0	mə̃˞²¹	0	1
28	1638_fruitberipe	(fruit) be ripe	ProtoBai	Proto-Bai	dzro4	dzro4	ɖʐ o ⁴				Sino-Tibetan	2 7 8	AXT	CU6	8	8.C.C 8.U.V 8.6.T	1.6 3.0 1.0	ɖʐo⁴	0	11
29	1638_fruitberipe	(fruit) be ripe	Tuoluo	Tuoluo	ʐy42	ʐy42	ʐ y ⁴²	tuol1234	23.3833337	102.1839821	Sino-Tibetan	3 7 8	AXT	SY3	9	9.S.C 9.Y.V 9.3.T	1.6 3.0 1.0	ʐy⁴²	0	11
30	1638_fruitberipe	(fruit) be ripe	Gongxing	Gongxing	dzao21	dzao21	dz ao ²¹		27.0852794	99.1652452	Sino-Tibetan	2 7 8	AXT	CA3	4	4.C.C 4.A.V 4.3.T	1.6 3.0 1.0	dzao²¹	0	11
