COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	a ŋ							
37-1	n a n							
46-1	n a n							
98-1	a ŋ s i l a							
125-1	b e n n ŋ ɾ a							
162-1	l e s i							
171-1	tʃ o m ʃ a							
219-1	t a ŋ p u							
247-1	p a ŋ l u ŋ							
282-1	l u s p u							
292-1	a ŋ							
301-1	l i							
354-1	m u m b a t i							
363-1	n a m b u							
397-1	g a m Ø i							
406-1	a tʃ u tʃ							
426-1	m Ø k p a							
473-1	pʰ i n n a ŋ							
483-1	l a tʃ tʃ tʃ tʃ							
499-1	s a m Ø n							
526-1	g a ʃ n a							
544-1	u							
553-1	k o t a ŋ							
599-1	g o i tʰ a m							
608-1	b a n tʰ u							
617-1	j e n							
645-1	a n a							
663-1	s o ŋ tʰ u ɾ							
672-1	t o ŋ p a							
681-1	Ø i ɾ i							
690-1	m i ŋ							
708-1	Ø a tʃ ɾ i ŋ b u							
717-1	o k p u							
726-1	s i							
744-1	a p a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m o m n a ŋ							
836-1	p n ʃ i							
881-1	l a m							
890-1	ɾ a b a							
899-1	s e ɾ							
926-1	p a m							
944-1	g a ɾ a ŋ							
953-1	ʃ j a ɾ a ŋ							
980-1	l a ɾ u ŋ							
998-1	pʰ e tʃ i							
1022-1	tʃ j a tʰ u ɾ							
1031-1	b i n a ŋ k u k a n							
1069-1	tʃ o n ŋ tʃ tʃ a							
1079-1	ʃ a tʃ tʃ Ø a							
1098-1	j a ŋ pʰ n n u							
1117-1	tʃ u n							
1141-1	ɾ i ŋ b u							
1189-1	m a n							
1198-1	n u tʃ tʃ							
1208-1	s a l tʃ tʃ a							
1217-1	l a n i tʃ n tʃ							
1253-1	a m a							
1271-1	n o n a ŋ							
1289-1	m i ŋ							
1316-1	ŋ a ŋ							
1325-1	a m							
1334-1	s i ŋ pʰ a							
1343-1	b u i n a ŋ							
1361-1	j e n a ŋ tʃ tʃ							
1370-1	n a k u ŋ							
1388-1	m a n pʰ a							
1397-1	tʰ u ɾ							
1406-1	tʃ o ŋ							
1424-1	g a ɾ a ŋ p tʃ tʃ a ɾ tʃ tʃ							
1433-1	ʃ u g u							
1442-1	l a m							
1451-1	b a Ø a m							
1468-1	pʰ a k p a							
1477-1	ŋ a s							
1502-1	ŋ a m s u							
1529-1	tʃ a l u							
1538-1	s u l u							
1557-1	tʃ o i Ø u ŋ							
1618-1	i Ø tʃ a							
1663-1	s u m							
1689-1	ŋ o i							
1698-1	u ŋ							
1707-1	m o ŋ n a ŋ							
1716-1	ŋ a m tʃ n tʃ							
1751-1	b u ʃ i l a							
1778-1	s a							
1787-1	tʃ u ɾ p u n							
1823-1	l e m							
1832-1	k a ɾ m a							
1842-1	l u ŋ							
1860-1	ŋ a m tʃ tʃ tʃ							
1869-1	ʃ u p t̪ a ŋ							
1888-1	ʃ a m pʰ i							
1897-1	s n e							
1932-1	ɾ i n a ŋ s o p l a n							
1950-1	s u							
1968-1	t o ŋ t a n ŏ ɾ n							
1978-1	k u t p a tʃ							
1987-1	s a m							
2015-1	ŋ a m kʰ u n							
2118-1	m o ŋ ʃ o n							
2238-1	ŋ a ɾ ʃ u n							
2507-1	tʰ e n u ŋ							
2526-1	l e tʃ							
2544-1	ʃ i ŋ							
2560-1	s o ŋ n i tʃ i ŋ							
2569-1	e tʃ tʰ u ɾ							
2578-1	n i tʃ i ŋ							
2596-1	Ø u ŋ							
2615-1	ɾ i							
2663-1	g i t i							
2690-1	s i tʃ a							
2719-1	ɾ i Ø i							
2728-1	k o tʃ u ŋ							
2747-1	Ø i ŋ n n n							
2756-1	s e ɾ b u							
2774-1	b o Ø i ŋ							
19-1	n a ʃ i b a n							
28-1	n a ʃ i b a p							
89-1	g a ŋ p u							
107-1	n n d i m i n							
190-1	p u tʃ i							
229-1	a							
257-1	tʰ a ŋ a							
338-1	b r u ŋ							
436-1	s u l u							
535-1	s o s o							
571-1	g e l e n Ø i							
699-1	Ø o ŋ p a							
845-1	ɾ o k tʃ							
971-1	tʃ i n p u							
1049-1	b u							
1161-1	a m							
1180-1	ʃ n a							
1226-1	l a Ø i tʃ							
1235-1	n a m n i ŋ							
1280-1	s i ŋ tʃ a ŋ							
1352-1	g u							
1379-1	s i							
1415-1	ɾ a							
1636-1	b e s a							
1654-1	l i							
1680-1	p a n Ø a							
1725-1	s a p s e n							
1742-1	m u g i							
2127-1	Ø a m kʰ ŏ n							
2181-1	d i l n n							
2366-1	n n j a k l o n							
2535-1	ʃ n a							
2672-1	pʰ a g a							
2681-1	b a l u ŋ b u							
55-1	Ø a ʃ i b a p							
80-1	tʰ u ŋ g a							
116-1	tʰ u l i							
210-1	g o i							
319-1	pʰ o t p a n							
453-1	tʃ a ŋ p u							
508-1	ŋ a m							
754-1	n n ŋ tʰ u ɾ							
764-1	g a ɾ a ŋ b ɾ u m a							
827-1	b i n							
1244-1	k n ɾ o ŋ tʃ u ŋ b n							
1460-1	s o ŋ a							
1511-1	m u d j a ŋ b a							
1611-1	ʃ i p a n							
1734-1	s i m pʰ u							
2033-1	g o k s u tʃ							
2172-1	b i l o a							
2209-1	b i t i ŋ p kʰ o n							
2256-1	pʰ u tʃ l o n							
2517-1	ŋ a m s a tʃ							
2645-1	Ø a ŋ j a							
2654-1	n n n b o ŋ							
2737-1	ŋ i n a							
415-1	k a tʃ u							
1013-1	g e Ø a ŋ j a							
10-2		Ø a ŋ						
37-2		n a n						
46-2		n a n						
98-2		a ŋ Ø i l a						
