COGID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	Malayo	MalekuJaika	Ngabere	Pech	Rama	SanBlasKuna	Teribe
4-1	Ø Ø ɸ Ø Ø Ø Ø Ø Ø Ø																		
113-1	Ø Ø Ø Ø kʰ o Ø ɸ Ø o Ø																		
270-1	Ø Ø Ø Ø n Ø Ø ɸ o Ø																		
424-1	Ø Ø Ø Ø Ø Ø Ø Ø o																		
1078-1	kʰ Ø Ø Ø Ø																		
1272-1	Ø o Ø Ø Ø Ø Ø Ø																		
1293-1	Ø o Ø Ø																		
42-1	kʰ Ø Ø Ø ɸ Ø Ø u																		
421-1	kʰ o Ø Ø																		
900-1	Ø Ø Ø Ø ɸ Ø u																		
361-1	Ø o Ø Ø kʰ Ø Ø Ø																		
651-1	Ø Ø Ø Ø n Ø Ø Ø																		
48-1	Ø Ø Ø Ø Ø Ø n Ø																		
931-1	n n Ø Ø n Ø Ø																		
961-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																		
1057-1	Ø Ø Ø Ø Ø Ø Ø																		
1035-1	n Ø Ø Ø Ø Ø Ø Ø																		
1116-1	Ø Ø Ø Ø Ø Ø Ø																		
1251-1	Ø Ø Ø Ø Ø n																		
1414-1	Ø Ø Ø Ø																		
527-1	Ø Ø Ø Ø Ø Ø Ø Ø																		
71-1	Ø Ø Ø Ø Ø Ø Ø Ø																		
169-1	ɸ Ø Ø ɸ ɸ ɸ ɸ ɸ ɸ ɸ ɸ ɸ ɸ ɸ																		
237-1	Ø Ø n n Ø Ø n n Ø Ø Ø Ø																		
676-1	kʰ Ø o Ø Ø Ø o																		
685-1	Ø Ø Ø Ø ɸ Ø Ø																		
1386-1	Ø Ø Ø o o o Ø																		
294-1	Ø o Ø Ø Ø Ø o																		
697-1	Ø Ø Ø Ø																		
906-1	Ø n Ø n Ø Ø Ø n o																		
1193-1	n o Ø n Ø Ø n o																		
1342-1	Ø Ø n n																		
157-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																		
401-1	Ø Ø n Ø Ø Ø Ø																		
437-1	Ø u																		
745-1	Ø Ø n o Ø																		
756-1	kʰ Ø o Ø Ø Ø																		
880-1	n Ø Ø Ø Ø o Ø o																		
923-1	n Ø n Ø Ø Ø																		
1052-1	kʰ Ø Ø n n Ø																		
267-1	Ø Ø Ø Ø Ø																		
282-1	ɸ ɸ Ø Ø ɸ Ø Ø ɸ o																		
445-1	n Ø Ø Ø Ø Ø																		
485-1	Ø Ø Ø Ø Ø																		
1245-1	Ø ɸ Ø Ø Ø																		
1327-1	Ø Ø Ø Ø Ø																		
218-1	Ø Ø Ø Ø																		
372-1	Ø Ø ɸ Ø Ø																		
538-1	Ø u Ø Ø Ø Ø Ø																		
601-1	Ø Ø Ø Ø Ø n Ø																		
126-1	Ø u n Ø u n Ø Ø																		
642-1	Ø o Ø Ø Ø Ø Ø Ø Ø n Ø																		
745-2		Ø Ø Ø Ø Ø																	
4-3			Ø Ø Ø Ø Ø Ø Ø																
113-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																
270-3			Ø Ø Ø Ø Ø Ø Ø Ø																
1078-3			Ø Ø Ø Ø Ø																
1293-3			Ø Ø Ø Ø																
42-3			Ø Ø Ø Ø Ø Ø Ø Ø																
421-3			Ø Ø Ø Ø																
470-3			Ø Ø Ø Ø Ø Ø Ø Ø																
584-3			Ø Ø Ø Ø Ø Ø Ø																
651-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																
48-3			Ø Ø Ø Ø Ø Ø Ø Ø																
931-3			Ø Ø Ø Ø Ø Ø Ø																
961-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																
1057-3			Ø Ø Ø Ø Ø Ø Ø																
1203-3			Ø Ø Ø Ø Ø																
