COGID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	Malayo	MalekuJaika	Ngabere	Pech	Rama	SanBlasKuna	Teribe
4-1	dʒ e																		
113-1	k ə + k a																		
270-1	b u n z ə g a																		
424-1	m o u g a																		
1078-1	k u																		
1272-1	m a i k ə n ɨ																		
1293-1	m a																		
42-1	k ə n																		
421-1	k ə m																		
900-1	m ə ɲ ɨ																		
361-1	m a ʔ k e i w a																		
651-1	a ʔ t ʃ u k w																		
48-1	u z u																		
931-1	u m ɨ																		
961-1	k u k w ɨ																		
1057-1	a ʔ n ɨ																		
1035-1	w a k ɨ																		
1116-1	i n ɨ																		
1251-1	t u																		
1414-1	n ə n																		
527-1	z i																		
71-1	k u e																		
169-1	s a + k u k u																		
237-1	i + n g w ə n ɨ																		
676-1	k o ɾ i ʔ g ə n ɨ																		
685-1	t i m a																		
1386-1	b u n t i k ə n ɨ																		
294-1	d ʒ o ʔ o																		
697-1	m a u																		
906-1	a b i t i																		
1193-1	n ə g + w ɨ																		
1342-1	t ʃ w																		
157-1	s a + g ə n ɨ																		
401-1	g w a k																		
437-1	e k ɨ																		
745-1	g u n ɨ																		
756-1	g w a k																		
880-1	s e i a ʔ																		
923-1	n o ʔ k w																		
1052-1	k ə t ɨ																		
267-1	g ə tʃ ɨ																		
282-1	a s e w a																		
445-1	e m a																		
485-1	g e i																		
1245-1	dʒ w i																		
1327-1	n a + k																		
218-1	n a ʒ																		
372-1	g a ʔ n ɨ																		
538-1	a + s e i																		
601-1	t ʃ e i ɾ w a																		
126-1	k ə n k ə n i																		
642-1	g a + ɾ i																		
843-1	g ə m ɨ s i n ɨ																		
971-1	k a k ɨ																		
1267-1	k a ʔ a																		
1314-1	m i w i																		
20-1	t ʃ ə m i																		
100-1	b u n s i + k a w a																		
253-1	z a m a ʒ																		
310-1	z																		
432-1	a																		
774-1	g w i ɾ k ə n ɨ																		
1062-1	k a n ë																		
745-2		g u n a																	
971-2		k a k e																	
4-3			s ĩː + m ã																
113-3			k a + k s i uː																
270-3			i b ũ d ɪ̃																
1078-3			k u																
1293-3			b a i																
42-3			k ãː																
421-3			k a b																
470-3			t eː																
584-3			k a																
651-3			d u k																
48-3			ũ d a																
931-3			oː																
961-3			k o k t i																
1057-3			ãː																
1203-3			aː b i																
813-3			n i s a																
1251-3			t u																
1414-3			n ã ĩ																
527-3			i ʃ a n a b a																
169-3			s aː																
676-3			k o b ẽː																
685-3			t i b aː																
609-3			k a n a																
880-3			s ẽ ẽ																
1052-3			k i h t uː																
445-3			i n a b ã i																
625-3			i n a k b a																
1214-3			b u n ũ n ĩ																
385-3			i n a																
454-3			s ũ d + ũ																
556-3			s i																
715-3			a b a m a																
790-3			k o																
1125-3			a n																
1314-3			b i ɲ i																
443-3			a k i																
703-3			k o n a																
919-3			a n aː																
4-4				d i ʔ															
113-4				k a + s a															
270-4				b ɾ u ŋ															
424-4				b u ʔ k															
1078-4				k u a															
1272-4				m a ŋ															
1293-4				b a															
42-4				k ɾ a ŋ															
421-4				k a b															
900-4				b o k															
361-4				b a x k a ŋ															
470-4				s e x k a															
584-4				k a															
651-4				t u x k															
48-4				u b															
961-4				k u a g a x															
1203-4				dʒ i b i															
1035-4				u ŋ															
1116-4				i															
349-4				k u a ʔ s															
527-4				dʒ i ŋ															
71-4				k u i k															
169-4				s a + g ɾ a															
59-4				d u															
697-4				b o															
84-4				dʒ a ŋ															
401-4				dʒ u a k															
437-4				k a															
745-4				dʒ u ɾ e ʔ															
923-4				d o x k															
1181-4				u i															
283-4				ʃ i s k a ŋ															
485-4				dʒ i k ɾ a															
675-4				k u a t k u a															
1296-4				e ʔ t s i															
218-4				d e + k															
427-4				i															
538-4				t e + k															
1087-4				k a															
1230-4				t e b e k															
316-4				m a ŋ															
454-4				s ɾ u t															
1254-4				k a ʔ															
1260-4				t a b															
1314-4				b i ʔ + ɾ o x k															
1415-4				a t															
495-4				b a x t															
568-4				k o ʔ + k															
711-4				b e															
804-4				ɾ a m ɾ o x k															
4-5					d i ʔ														
113-5					a x k ʊ														
270-5					b u ɺ ũ														
424-5					b ʊ														
1078-5					k ũ														
1272-5					b a dʒ ã														
1293-5					b e ʔ														
42-5					k a ɺ														
421-5					k a p ɪ														
900-5					b õ														
361-5					t k ɪ														
470-5					s ẽ s ẽ														
584-5					k ʊ														
651-5					s u k														
931-5					u ʊ b a ɺ a														
961-5					k u k ʊ														
1057-5					a k														
1203-5					a p ɪ														
813-5					dʒ ɪ k														
1116-5					i														
1251-5					t s u ʔ														
1414-5					dʒ e ʔ														
349-5					a x k u ʊ														
527-5					ɪ														
676-5					k u ʔ														
685-5					s i u ʊ														
59-5					d u														
1193-5					d a dʒ + ɪ														
1342-5					s ũ														
84-5					dʒ a														
157-5					t s ã														
745-5					u ɺ a														
1181-5					u x tʃ + ẽ														
283-5					s k ẽ														
445-5					ɪ ʔ														
1296-5					e														
293-5					b a ɺ ẽ k														
427-5					i e ʔ														
1087-5					k ʊ														
1230-5					t k a b ɪ														
1326-5					d ɪ														
411-5					a k a														
556-5					k u t a														
790-5					k ʊ														
979-5					t s i d														
1128-5					a dʒ ĩ														
30-5					b õ														
49-5					s t s ã ʔ														
97-5					s a d u d u														
183-5					ã d														
249-5					s t s ɪ														
333-5					t ɪ														
387-5					a b ẽ														
400-5					dʒ ɪ														
539-5					u t														
804-5					a ɺ a + k ʊ ɺ														
842-5					a ɺ a														
944-5					a ɺ a + s t s ɪ														
1044-5					k a ɺ ʊ														
1102-5					u ã u ã d														
4-6						tʃ i													
113-6						k a													
270-6						m n u													
424-6						b o k e													
1078-6						k ũ													
1272-6						m a i													
1293-6						b a													
42-6						g l i													
421-6						g b e													
900-6						b o g a													
361-6						b a g a													
470-6						s k e k e													
584-6						g a													
48-6						u b a													
931-6						g w a g w a													
1203-6						b e													
1035-6						ŋ w e													
1116-6						dʒ e m a													
1251-6						t u s u													
1414-6						tʃ a													
349-6						k w a ɾ a													
71-6						g w i e													
676-6						k w i ɾ a													
1386-6						m l i e													
697-6						m o e													
609-6						g d a													
756-6						g w e d a													
923-6						tʃ u g e													
1181-6						u ɲ + e													
283-6						t i g a													
485-6						h i t a													
1245-6						tʃ w i													
221-6						tʃ a + g e													
1087-6						g a													
1326-6						tʃ i g e													
666-6						b a t e													
1260-6						d b i													
173-6						tʃ u g a													
432-6						a m a													
441-6						s k e													
495-6						b a t e													
576-6						t a + k w a													
774-6						h w i tʃ u g a													
792-6						g u t e													
1003-6						t o													
4-7							d i k ɺ ʊ												
113-7							h k ʊ												
270-7							b u ɺ i t u												
424-7							b o												
1078-7							k ũ												
1272-7							b a dʒ ã												
1293-7							b a												
42-7							k a ɺ												
421-7							k a p ɪ												
900-7							b õ												
361-7							t k i												
470-7							t s ẽ												
584-7							k ʊ												
651-7							s k u												
931-7							u ʊ b a ɺ a												
961-7							k u k ʊ												
1057-7							h a k												
1203-7							p i												
813-7							dʒ i k												
1116-7							h i d ʊ												
1251-7							t s u												
1414-7							dʒ i s												
349-7							h k u ʊ												
527-7							h ĩ												
169-7							t s ã + k ũ												
59-7							d u												
1193-7							d a dʒ + ɪ												
1342-7							s ũ												
84-7							dʒ ɪ												
745-7							h u ɺ a												
1181-7							h u dʒ + ẽ												
283-7							s k ẽ												
445-7							h i												
675-7							k u												
1296-7							e												
293-7							b a ɺ ẽ k												
427-7							h i e												
1087-7							k ʊ												
1230-7							t k a b ɪ												
1326-7							d e												
411-7							k a												
556-7							k u t a												
790-7							k ʊ												
843-7							dʒ a b a												
971-7							k a k a												
1128-7							h a dʒ ẽ												
30-7							b õ												
49-7							t s ã												
97-7							s a d u u												
183-7							h ã d												
249-7							k s ɪ												
321-7							d a												
333-7							t ɪ												
387-7							b ẽ												
400-7							dʒ ɪ												
441-7							s k a												
479-7							dʒ ʊ k ʊ												
539-7							u t ɪ												
804-7							a ɺ a + k ɺ ʊ												
944-7							h a ɺ a + s ɪ												
1044-7							k a ɺ ʊ												
1102-7							h ũ ã h ũ ã d ã ɺ a												
4-8								r i ʔ a											
113-8								k a h + k a											
270-8								b u ɾ a											
424-8								b u k a j a											
1078-8								k u ɾ i a											
1272-8								b a j a											
1293-8								b a ʔ a											
42-8								k a ɾ u k w a											
421-8								k a m i											
900-8								b o w a ɾ a											
361-8								b a k a j a											
470-8								s e r o a											
584-8								k a j a											
651-8								s u k w i											
48-8								u m i t a											
931-8								u b a											
961-8								k u h + k a h a											
1057-8								a k a											
1203-8								a b a											
813-8								r e ʃ a											
1116-8								i k u ɾ											
1251-8								s u t a											
237-8								i + b i t a											
676-8								k u w a											
685-8								s i ʔ j o ɾ a											
59-8								ɾ u w a s i ɾ a											
294-8								ɾ u s t a ɾ a											
906-8								i b s o j a											
1193-8								ɾ a u + w a											
84-8								j a ʔ a											
401-8								w a k i											
609-8								k a ɾ a ɾ a											
880-8								ʃ e j k a ɾ a											
1052-8								k e s a											
282-8								e s i a											
625-8								i j a ɾ a											
601-8								s e ɾ a											
1089-8								a n a ɾ a											
1214-8								b u ɾ + a + b u ɾ + a											
430-8								e j a											
556-8								ʃ i t a											
715-8								a b a											
790-8								k o ʔ											
1267-8								k a h k a											
1415-8								a s a											
20-8								t a w a j a											
252-8								t a											
486-8								o k a											
576-8								t a n u b a											
703-8								k o n i											
748-8								a t k a ɾ a											
919-8								ɾ a ʔ											
4-9									s i e										
113-9									k ɨ h ɨ k a										
270-9									β u s k ɨ										
424-9									b o										
1078-9									k u e										
1272-9									m i k a										
1293-9									m ɨ e										
42-9									k ɨ e										
421-9									k ɨ β ɨ										
900-9									ʔ a o a										
361-9									m ɨ h ɨ k a										
584-9									k ɨ e										
651-9									tʲ u h u										
48-9									ɣ u a n t s a										
931-9									u p k u a										
961-9									k u h u + k a										
1057-9									h ɨ k a										
1203-9									b a										
813-9									s a k a										
1035-9									ɣ u a										
1116-9									i p k u a										
1251-9									tʲ u e										
349-9									h u k a										
527-9									t s i n a										
169-9									t s ɨ s k ɨ										
237-9									i e										
685-9									tʲ i e										
59-9									s u e										
294-9									s u h u k a										
906-9									β i h i t s a										
1193-9									n ɨ g + u a										
157-9									t s ɨ e										
401-9									g u										
609-9									k ɨ n ɨ										
756-9									ɣ u										
880-9									t s a										
1052-9									k i h i tʲ a										
282-9									h ɨ t s k a										
485-9									ɣ a t a										
625-9									i + e										
675-9									p k u a										
1245-9									s u a										
1296-9									a t a										
1327-9									n ɨ										
221-9									n ɨ + n										
372-9									g ɨ										
601-9									tʲ a										
825-9									m ɨ h ɨ s i o										
1214-9									β u tʲ u a										
385-9									n ɨ										
430-9									a s ɨ										
642-9									ɣ a h a s i o										
1314-9									m i e										
1415-9									h ɨ tʲ a										
20-9									t ɨ β a n										
252-9									t ɨ										
408-9									s i k a										
443-9									n a										
448-9									s i s ɨ										
576-9									t ɨ h ɨ + β a										
703-9									k o n										
748-9									ɨ t a										
774-9									ɣ u a										
919-9									n ɨ p k u a										
1003-9									t o										
4-10										d i t a k eː									
113-10										k a + k w a									
270-10										b u h ŋ a ʔ									
424-10										b u h n a									
1078-10										k uː									
1272-10										m aː h n a									
42-10										k aː									
900-10										m o n s e									
470-10										s aː h n i h k aː									
584-10										k aː									
651-10										t u k u a									
931-10										w aː k w a									
961-10										k uː s a + k a									
813-10										d aː									
1035-10										w aː ŋ g ɾ aː ʔ									
1414-10										n aː ɾ i									
71-10										k u i a h n e									
237-10										h iː									
1342-10										t uː									
756-10										g w a h									
880-10										s i h n a k a									
923-10										n o k									
1052-10										k aː s a									
1181-10										w i									
267-10										e ŋ a t a									
625-10										i ŋ a ʔ									
675-10										k u aː ʔ									
601-10										s aː w i ɾ i									
1089-10										g aː									
1214-10										b ɾ oː n t a									
642-10										g a + ɾ i h ŋ aː t e									
666-10										m a t a									
1125-10										h aː ɾ a									
1254-10										k aː ʔ									
49-10										s a ʔ s a ɾ i									
212-10										w eː									
408-10										d iː									
568-10										k aː w i ʔ									
748-10										h a t a k ɾ a									
4-11											n i								
113-11											k a + k a								
270-11											m u l i								
424-11											m a u ʒ u a								
1078-11											k u i								
1272-11											m a i g u a								
1293-11											m a								
42-11											k a l i								
421-11											k a b a								
900-11											m a u i								
361-11											m a k e u a								
584-11											k a i								
48-11											u i								
931-11											u b a								
961-11											k u + k a								
1057-11											h a g i								
1203-11											a b i								
1035-11											ũ a								
1116-11											h i								
1251-11											s u m i								
1414-11											n a s								
527-11											ʒ i								
71-11											k u i z								
169-11											s a + n k a l a								
237-11											h i + ũ g u l a								
1386-11											m u l k a l a								
59-11											n u b a								
294-11											n u g i								
697-11											m a u								
906-11											a b i s a								
1193-11											n a k + u								
1342-11											t ũ								
157-11											s ã + ĩ								
401-11											g u a ʃ								
437-11											k a								
756-11											g u a ʃ								
880-11											s e s ɯ n								
923-11											n u k								
1052-11											k a s a								
267-11											g a t a								
282-11											h a t ʃ i g u a								
625-11											i h i a								
