COGID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	Malayo	MalekuJaika	Ngabere	Pech	Rama	SanBlasKuna	Teribe
790			k o		k ʊ		k ʊ	k o ʔ											
843	g ə m ɨ s i n ɨ						dʒ a b a						g ɨ m ɨ n t i n a		n ɔ b ɔ g ɾ e				
971	k a k ɨ	k a k e					k a k a												kʰ o k
979					t s i d							c h i t a l			tʃ i				t i ɾ a
1125			a n							h aː ɾ a						a ɾ k õ h		a ʎ	
1128					a dʒ ĩ		h a dʒ ẽ					a j i g		o iː					
1209													ʒ i t a	t i ɬ aː + x a	n ɣ t a + ɾ e			t i n a	
1254				k a ʔ						k aː ʔ				k oː ɾ i			k aː ŋ a l iː		
1260				t a b		d b i									d ɔ b r ɔ			n a p a	
1267	k a ʔ a							k a h k a			k a g i		k ɨ n g ɨ m a						
1314	m i w i		b i ɲ i	b i ʔ + ɾ o x k					m i e										
1415				a t				a s a	h ɨ tʲ a									a n i	
20	t ʃ ə m i							t a w a j a	t ɨ β a n										
30					b õ		b õ					b u i							
34											a k a + l i h i		ɾ i n ʒ i i					e + t i n e	
49					s t s ã ʔ		t s ã			s a ʔ s a ɾ i									
97					s a d u d u		s a d u u										p l uː m a		
100	b u n s i + k a w a												a m b ɨ n ʃ i						ɸ ɺ u ɾ u n
173						tʃ u g a						d u k u			d o k w ɔ				
183					ã d		h ã d									ã h			
212										w eː			w i a n ʒ ɨ n g a					u e t i	
249					s t s ɪ		k s ɪ												t ɪ
252								t a	t ɨ									n a + m a k e	
253	z a m a ʒ										m a i		ʒ a m a i						
310	z										z a		ʒ a						
319														ʝ u		j o	u		
321							d a				n a		n ɨ n						
333					t ɪ		t ɪ								t i k e k ɔ				
387					a b ẽ		b ẽ								b ĩ				
400					dʒ ɪ		dʒ ɪ							k iː					
408									s i k a	d iː							s iː k		
413												s u			t u			n u k a l a	
432	a					a m a					a l e								
441						s k e	s k a												ʃ k o
443			a k i						n a									k i	
448									s i s ɨ					n iː			n i ŋ		
479							dʒ ʊ k ʊ								ɲ u k w ɔ				i ʊ k
486								o k a			g a u k s e i							s oː	
495				b a x t		b a t e									m e t				
539					u t		u t ɪ											s u n m a k e	
568				k o ʔ + k						k aː w i ʔ				k u aː + k i					
576						t a + k w a		t a n u b a	t ɨ h ɨ + β a										
703			k o n a					k o n i	k o n										
711				b e											m e j e				m e
748								a t k a ɾ a	ɨ t a	h a t a k ɾ a									
774	g w i ɾ k ə n ɨ					h w i tʃ u g a			ɣ u a										
792						g u t e									k w e t			k u n	
804				ɾ a m ɾ o x k	a ɺ a + k ʊ ɺ		a ɺ a + k ɺ ʊ												
842					a ɺ a							a n i		a ɾ a p tʃ aː					
919			a n aː					ɾ a ʔ	n ɨ p k u a										
944					a ɺ a + s t s ɪ		h a ɺ a + s ɪ								ɾ ɔ s e				
1003						t o			t o						n u				
1044					k a ɺ ʊ		k a ɺ ʊ										k aː t		
1062	k a n ë										k a l a		k ɨ n a						
1102					u ã u ã d		h ũ ã h ũ ã d ã ɺ a						u n g w ɨ z i						
1133	s e m										ʃ i m i h ĩ		ʒ i ʃ i m						
1194						tʃ o				n oː ʔ m a r i n d a							t a u l i		
1198												b a l i			m ɾ ẽ			p a l u	
1240				k a + k			k ã + u ʊ									ãː			
1246			n i + aː		d i + u ʊ					d i + ŋ a ʔ									
1302						i t e				t e					t i				
1337				i ʃ t				i s t i	i h i s t ɨ										
1349									tʲ ɨ s k i k o					ɬ aː ŋ a		s a ʔ k a			
1361	t ʃ i k i ɾ u ɾ u							t i k a j a					i t i k i						
1372					a k ɪ tʃ k e		k ɪ dʒ a k e												k ɪː g ɪ
1387				ʃ u ŋ	s i u a ã ʔ		s i u ã												
13					t s i k i d i d i		t s i k i d i												
