COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ i								
2-1	k i + n e x + tɬ i								
8-1	w e j i i								
16-1	e s + tɬ i								
24-1	i s t i								
32-1	m i k i								
51-1	o n +								
52-1	w aː k + t								
53-1	n a k a s + tɬ i								
54-1	tɬ aː l i l i								
55-1	k w a								
60-1	iː x + t o oː + i								
83-1	tɬ i + tɬ								
87-1	p a tɬ aː n i i								
92-1	m a k aː								
103-1	m a								
106-1	k a k i								
138-1	n e ʔ								
139-1	m i k i + t i aː								
142-1	m a t i								
145-1	m o + t eː k a								
176-1	tɬ aː k a + tɬ								
179-1	n a k a + tɬ								
180-1	m eː ts + tɬ i								
1-2		n u tʃ i							
2-2		+ n e x i							
8-2		w e j							
16-2		e s + r i							
24-2		i s t i							
32-2		m i k i							
51-2		u n + i							
52-2		w e k + k u k							
53-2		n a k a s							
54-2		r a h l i							
55-2		k w a							
60-2		i x l u l u							
83-2		+ r i + r							
87-2		a r a n i							
92-2		m a k a							
103-2		m i j							
106-2		k a k i							
138-2		n e h							
139-2		m i k + t i i							
142-2		m a t i							
145-2		m u + t e k a							
176-2		i k a + t							
179-2		n a k a + t							
180-2		m e s + r i							
1-3			n o tʃ i n						
2-3			ʔ a n e x + ʔ i						
8-3			w eː j						
16-3			e s + ʔ i						
24-3			i s t i						
32-3			m i k i						
51-3			o n + iː						
52-3			w aː + + ʔ						
53-3			n a k a s						
54-3			ʔ aː l i						
55-3			k w a						
60-3			iː x + t l o l o						
83-3			ʔ i + ʔ						
87-3			p a t aː n i						
92-3			m a k a						
103-3			m a						
106-3			k a k i						
138-3			n e h n a +						
139-3			m i + t i a						
142-3			m a t i						
145-3			m o + t eː k a +						
176-3			aː k a ʔ						
179-3			n a k a + ʔ						
180-3			m eː ts + ʔ i						
1-4				n o tʃ i					
2-4				k + n e x tɬ i					
8-4				w e j					
16-4				e s + tɬ i					
24-4				i s t e					
32-4				m i k i					
51-4				o n + i					
52-4				w a k + t k					
53-4				n a k a s					
54-4				tɬ a l i					
55-4				k w a					
60-4				i x + t o					
83-4				tɬ i + tɬ					
87-4				p a tɬ a n i					
92-4				m a k a					
103-4				m o					
106-4				k a k i					
138-4				n e h a					
139-4				m i k + t i a					
142-4				m a t i					
145-4				m o + t e k a					
176-4				t a k e + tɬ					
179-4				n a k a + tɬ					
180-4				m e ts + tɬ i					
1-5					m o tʃ i				
2-5					k a n e x + t i				
8-5					w e j i				
16-5					e s + t i				
24-5					i s t i				
32-5					m i g i				
51-5					o n + a				
52-5					aː g + oː k				
53-5					n a g a s				
54-5					t a h l i				
55-5					b a				
60-5					i x o o				
83-5					t i + t				
87-5					p a t a n i				
92-5					m a k a				
103-5					m a				
106-5					g a k i				
138-5					n e h e				
139-5					m i g + t i				
142-5					m a t i				
145-5					m o + t e g a				
176-5					aː g a + t				
179-5					n a g a + t				
180-5					m eː ts + t i				
1-6						n u tʃ a			
2-6						k a + n e x + t i			
8-6						w e j i +			
16-6						e s + t i			
24-6						i s t i +			
32-6						m a k i			
51-6						+ u n + i			
52-6						w a k + t u k			
53-6						n a k a s			
54-6						t a l i			
55-6						k w a			
60-6						iː x t e l u l u + +			
83-6						t i + t			
87-6						p a t a n +			
92-6						m a k a			
103-6						m a +			
106-6						k a k i			
138-6						n e e			
139-6						m a k + + + t i a			
142-6						m a t i			
145-6						m u + t eː k a			
176-6						a k a +			
179-6						n a k a + t			
180-6						m eː ts + t i			
1-7							n o		
2-7							n e x +		
8-7							w e		
16-7							e Ø + t		
24-7							Ø t t		
32-7							m k u		
51-7							o n + u		
52-7							w e k + k		
53-7							n a k a Ø		
54-7							t e u		
55-7							k w a		
60-7							x t e		
83-7							t u + t		
87-7							Ø a t e n u		
92-7							m a k e		
103-7							m e		
106-7							k a k u		
138-7							n e e		
139-7							m k + t e		
142-7							m a t u		
145-7							m o + t e k a		
176-7							t e k a + t		
179-7							n a k a + t		
180-7							m e ts + t		
1-8								n tʃ ɨ +	
2-8								+ n ɨ x + tɬ	
8-8								w eː j	
16-8								ɨ s + tɬ ɨ	
24-8								ɨ s t ɨ + tɬ	
32-8								m ɨ k	
51-8								n + iː	
52-8								w a k + k ɨ	
53-8								n a k a s + t ɨ	
54-8								tɬ a l + l ɨ	
55-8								k w a	
60-8								iː x + t l +	
83-8								tɬ ɨ + tɬ	
87-8								p a tɬ a n ɨ	
92-8								m a k a	
103-8								m a	
106-8								k a k	
138-8								n ɨ h + + +	
139-8								m ɨ k t + t ɨ a	
142-8								m a t	
145-8								m o + t eː k a	
176-8								t a k a + tɬ	
179-8								n a k a + tɬ	
180-8								m eː ts + tɬ ɨ	
1-9									n o tʃ i
2-9									n iː + n e x + tɬ i
8-9									b e j ø iː
16-9									e s + tɬ iː
24-9									i s t e + tɬ
32-9									m i k iː
51-9									o n + + iː
52-9									b ø k + t iː k
53-9									n a k a s + tɬ
54-9									tɬ ø l iː
55-9									k w a
60-9									i x + t + l o l u ø ø
83-9									tɬ e + tɬ
87-9									tʃ a tɬ ø n ø iː
92-9									m a k a
103-9									m a
106-9									k a k
138-9									n e a +
139-9									m i k ø iː + t iː a
142-9									m a t
145-9									m o + t e k a + +
176-9									tɬ ø k a + tɬ
179-9									n a k a + tɬ
180-9									m e ts + tɬ iː
