COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d u w̃ w̃															
1089-1	n aː w w̃															
1319-1	n ɔː															
1398-1	s u r̃ u r u															
1557-1	dʒ i r oː															
1626-1	w̃ a g a															
1840-1	t u r̃ u															
2247-1	g oː n															
4677-1	k u r oː j															
5162-1	m i n r̃ ɛ															
5406-1	t aː n d uː															
359-1	g a r u															
1577-1	g i r e															
2196-1	n a r̃ a															
2230-1	s i g															
2533-1	b a r u															
3605-1	k a n d a															
3866-1	oː s uː															
4553-1	t a g u															
4822-1	k u m b oː															
5254-1	d uː r ɔ															
503-1	k i r̃ a															
1356-1	m a j															
1881-1	n uː m uː w̃ w̃															
3218-1	p uː w̃ s uː															
3372-1	n a m a															
3718-1	a r a															
4135-1	b a r̃ u															
4694-1	g u s u															
807-1	k oː m w̃ w̃															
2320-1	k a n e															
2476-1	k u															
3719-1	m i															
4081-1	d a m b n u															
4313-1	n ɛ m w̃															
4460-1	s uː j															
5810-1	p i r u															
93-1	d ɔː															
260-1	b e n r e															
385-1	z e m b ɛ															
890-1	n a m b i r i															
1336-1	t e g e															
1703-1	b aː															
1769-1	t ɛ m b i															
2162-1	b ɛ r e															
2635-1	s oː															
3031-1	d ɛ g ɛ															
4591-1	t aː r u															
5301-1	p ɛ r u															
5605-1	t i m a															
463-1	d u m b aː															
1432-1	t r u															
1474-1	t ɔ n															
1788-1	s i r̃ u															
2044-1	d i m b oː															
2713-1	t ɛ m ɛ n d e r e															
3219-1	p a s uː															
3425-1	j uː															
4184-1	n ɛ															
4629-1	n u n j uː															
4759-1	n u j̃ u															
4904-1	n n u n ɔ															
4960-1	dʒ i dʒ i															
4980-1	t ɔː															
5059-1	g u j oː															
5339-1	p aː g a															
5549-1	t a w̃ n uː															
5905-1	t i r̃ u															
5922-1	b i r aː															
5938-1	n a d u n n n a															
1-1	p ɛ															
483-1	g e s u															
629-1	d ŋ w̃															
667-1	ɛ w̃ ɛ															
1254-1	z a n d u r u															
1415-1	Ø n ɛ															
1542-1	ŋ n u n															
1683-1	s u															
1898-1	p u r̃ oː j															
2901-1	t u ŋ dʒ u															
2957-1	m a n d i															
3048-1	b i j aː															
3251-1	j a r a															
3885-1	d e r ɔ															
4402-1	j u															
5622-1	p e i j e j															
6006-1	p i r̃ a															
135-1	t u n d uː															
158-1	m ɔ uː															
194-1	b e															
221-1	ɛ s u															
650-1	b ɛ s i															
1152-1	t i b ɛ															
1374-1	k ɔ w ɔ															
1452-1	g Ø r a															
1862-1	i s u															
2083-1	k a r̃ i															
2108-1	n j̃															
2636-1	m n															
2924-1	p e r u															
2941-1	b i r u															
3405-1	ɛ m ɛ j															
3751-1	p aː j															
4066-1	g ɔː r̃ ɔ															
4535-1	s u w ɔ															
4888-1	s aː m n n i															
5583-1	t a Ø n i															
5751-1	t u j ɛ															
5981-1	a r̃ a n															
114-1	d ɔ j ɔ															
851-1	Ø ɔ n ɔ															
1941-1	k i r i															
2179-1	d i															
2351-1	p aː n n															
2496-1	n u n															
3482-1	m i s i d w̃ n w̃ ɛ															
3497-1	ŋ aː															
3588-1	k ɔː r ɔː															
4202-1	g e r e															
4293-1	z ɔ b ɔ															
4921-1	Ø a m b j aː															
408-1	j oː m b u															
545-1	o r u															
978-1	t o m															
1052-1	n aː m b uː															
1070-1	Ø u g o															
1942-1	j oː															
2456-1	k o d i															
2514-1	d u s u															
2666-1	s i g i															
2817-1	a Ø g j															
3132-1	d u ŋ w̃ uː															
3300-1	e w̃ e															
3976-1	s uː															
4152-1	k i r̃ a															
4361-1	t e g e															
4570-1	n n g ɔː o n															
4648-1	j oː															
5318-1	d ɔ r Ø															
5673-1	d e r e															
5887-1	j a n															
446-1	g oː Ø g o oː															
521-1	k o t i															
1108-1	j o															
1124-1	u r n n e															
1745-1	dʒ a j a															
1823-1	g oː n															
2143-1	b a															
2265-1	u r ɔ															
2392-1	d oː s u															
2579-1	d a n															
2774-1	k e n u															
3339-1	k a r a															
