COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u r ɨ									
18-1	θ a r i									
35-1	i θ u tɕ i									
36-1	h u θ o tɕ i									
48-1	n a g a s a r.i									
60-1	θ u r i ɴ ɨ									
63-1	s i r a m									
64-1	x i									
67-1	h ɴ o									
68-1	n e ɴ ɴ									
71-1	ɴ ts i									
76-1	h u n ɨ									
83-1	ts ɨ n u									
87-1	h a n ɨ									
95-1	m i m i									
98-1	h a n a									
99-1	k u ts i									
-102-1	s i θ ɴ ɴ ɴ ɴ a									
103-1	ts ɨ m ɨ									
110-1	θ e									
116-1	m i n ɴ ɴ i									
120-1	n u m u r.i									
132-1	k i k u r.i									
139-1	ɴ x u r u s u r.i									
140-1	ʔ u j u ɴ u									
156-1	θ a ts u r ɴ i									
168-1	ɴ ts ɨ ts i									
169-1	h u s i									
170-1	m i d i									
173-1	ʔ i s i									
180-1	k u m u									
185-1	h ɴ i									
186-1	m u i r u r.i									
187-1	m i ts i									
190-1	ʔ a x a s a r.i									
193-1	k i r s									
194-1	s i r s a r.i									
195-1	k u r s a r.i									
216-1	m a r s a r.i i									
221-1	n o ɴ i									
239-1	ʔ i tɕ i									
252-1	m i ts i									
253-1	j u ts i									
254-1	ʔ i ts i tɕ ɨ									
266-1	x a d ɨ									
267-1	n a g a r ɨ r u r.i									
268-1	ʔ u m i									
272-1	ʔ a m i ɨ									
276-1	ʔ a r a u r.i									
281-1	m o s i ɴ i									
304-1	ts ɨ r.i ɴ k i									
305-1	ɴ ts i									
308-1	h a n a									
309-1	k u s a									
310-1	θ u									
311-1	n i									
342-1	j u ts i									
346-1	k u r a s a r.i									
347-1	k i r i r.i									
348-1	h i r o s a r.i									
351-1	θ o s a r.i									
361-1	ʔ r.i i o m o r ɴ									
379-1	k u s a r a									
394-1	h i θ a r i									
395-1	m i ɴ i r i									
400-1	h i a r u ɴ r.i									
412-1	s a x ɨ r u r.i									
413-1	tɕ i k s s u r.i									
414-1	h u r u r.i									
422-1	h u x ɨ r ɨ r u									
423-1	x a ɴ g ɨ r i									
430-1	h a k u r.i									
435-1	h u x u r.i									
446-1	s i θ r.i a									
447-1	ʔ r.i i									
458-1	θ u s i									
56-1	h i θ u									
62-1	ʔ i n u									
70-1	θ a n ɨ									
96-1	m e									
101-1	h o									
14-2		k o r e								
18-2		d u r e								
35-2		h t o ts u								
36-2		h u t u ts u								
48-2		n a g a a a								
60-2		t o r								
63-2		s i r a m i								
64-2		k i								
67-2		h u								
68-2		n e								
71-2		tɕ i								
76-2		h o n e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m e								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i t a								
103-2		ts u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m u u								
132-2		k i k u								
139-2		k o r o s u								
140-2		o j o g								
156-2		t a tɕ e								
168-2		ts u k i								
169-2		h o s i								
170-2		m i u								
173-2		i s i								
180-2		k u m o								
185-2		h a i								
186-2		m o e r u								
187-2		m i tɕ i								
190-2		a k a a								
193-2		k a r o i								
194-2		s i r u o i								
195-2		k u r u o i								
216-2		m a r u a								
221-2		n u								
239-2		i ts u								
252-2		m ts u								
253-2		j o ts u								
254-2		i ts u ts u								
266-2		k a r e								
267-2		n a g a r e r u								
268-2		u m i								
272-2		a m e u								
276-2		a r a u								
281-2		m u s i								
304-2		ts u b e								
305-2		tɕ i tɕ i								
308-2		h a n a								
309-2		k u s a								
310-2		t o								
311-2		n i								
342-2		j u k i								
346-2		k u r a a a								
347-2		k i r u								
348-2		h i r o a i								
351-2		t oː a i								
361-2		o b o a i								
379-2		k u s u r u								
394-2		h i d a r i								
395-2		m i g i								
400-2		h i k u r u								
412-2		s a k e r u u								
413-2		ts u k i s a s u								
414-2		h o r u u								
422-2		h u k u r e r u								
423-2		k a g e r u								
430-2		h a k u								
435-2		h u k u								
446-2		s i t o								
447-2		u i								
458-2		t o s i								
56-2		h i t o								
65-2		k u a								
70-2		t u n e								
75-2		k u a								
14-3			k o r e							
18-3			d a r e							
35-3			iː t ts u							
36-3			t a.i ts u							
48-3			n a g e							
60-3			t o r							
63-3			s iː r a ɴ iː							
64-3			k iː							
67-3			h a							
68-3			n e.i							
71-3			tɕ iː							
76-3			h o n e							
83-3			ts u n o							
87-3			h a n e							
95-3			m m i							
98-3			h a n a							
99-3			k u tɕ i							
-102-3			s i t a							
103-3			ts u m e							
110-3			t e.i							
116-3			n e							
120-3			n o m u							
132-3			k i k u							
139-3			k o r o ɕ u							
140-3			j g u							
156-3			t a j o o							
168-3			ts u k i							
169-3			h o s i							
170-3			m iː z u							
173-3			iː s i							
180-3			k u m o							
185-3			h a a							
186-3			m e u							
187-3			m i tɕ i							
190-3			a k e							
193-3			k i r e							
194-3			ɕ r e							
195-3			k u r e							
216-3			m a r u i							
221-3			n a.i							
239-3			iː ts u							
252-3			m i ts u							
253-3			j ts u							
254-3			iː ts u ts u							
266-3			k a z e							
267-3			n a g a r e u							
268-3			u m i							
272-3			a m a							
276-3			a r a u							
281-3			m u s iː							
304-3			ts u i							
305-3			tɕ i							
308-3			h a n a							
309-3			k u s a							
310-3			t o							
311-3			n							
342-3			j k i							
346-3			k u r e							
347-3			k i u u							
348-3			h iː r e							
351-3			t oː							
361-3			o m e							
379-3			k u ɕ a k j a							
394-3			h iː d a i							
395-3			ɴ i g i							
400-3			h m a r							
412-3			s a k e u u							
413-3			ts u k i ɕ ɕ							
414-3			h o u u							
422-3			h u k e u							
423-3			k a ɴ g a e ɴ u							
430-3			h a u							
435-3			h u k u							
446-3			ɕ i t a							
447-3			e.i							
458-3			t o s i							
56-3			iː t o							
62-3			iː n u							
65-3			k a.i w a							
70-3			t a n e							
75-3			k a.i w a							
96-3			m e.i							
101-3			h a.i							
14-4				k o r e						
18-4				d a r e						
35-4				h i t o t u						
36-4				h u t a t u						
48-4				n a g a i						
60-4				t o r i						
63-4				s i r a m i						
64-4				k i						
67-4				h a						
68-4				n e						
71-4				t i						
76-4				h o n e						
83-4				t u n o						
87-4				h a n e						
95-4				m i m i						
98-4				h a n a						
99-4				k u t i						
-102-4				s i t a						
103-4				t u m e						
110-4				t e						
116-4				m u n e						
120-4				n o m u						
132-4				k i k u						
139-4				k o r o s u						
140-4				o j o g u						
156-4				t a uː						
168-4				t u k i						
169-4				h o s i						
170-4				m i s u						
173-4				i s i						
180-4				k u m o						
185-4				h a i						
186-4				m o e r u						
187-4				m i t i						
190-4				a k a i						
193-4				k e r o i						
194-4				s i r o i						
195-4				k u r o i						
216-4				m a r ui						
221-4				n a m						
239-4				i t u						
252-4				m i t u						
253-4				j o t u						
254-4				i t u t u						
266-4				k a s e						
267-4				n a g a r e r u						
268-4				u m i						
272-4				a m e a						
276-4				a r a u						
281-4				m u s i						
304-4				t u k i						
305-4				t i i						
308-4				h a n a						
309-4				k u s a						
310-4				t o						
311-4				n i						
342-4				j u k i						
346-4				k u r a i						
347-4				k i r u						
348-4				h i r o i						
351-4				t oː a						
361-4				o a i						
379-4				k u s a r a						
394-4				h i d a r i						
395-4				m i g i						
400-4				h i k a r u						
412-4				s a k e r u						
413-4				t u k i s a s u						
414-4				h o r u						
422-4				h u k u r e r u						
423-4				k a ɴ g a e r u						
430-4				h a k u						
435-4				h u k u						
446-4				s i t a						
447-4				u i						
458-4				t o s i						
56-4				h i t o						
62-4				i n u						
65-4				k a w a						
70-4				t a n e						
75-4				k a w a						
96-4				m e						
101-4				h a						
14-5					k o r e					
18-5					d a r e					
35-5					h i t oː ts u					
36-5					h u t ts u					
48-5					n a ŋ a i					
60-5					t oː r i					
63-5					s i r a m i					
64-5					k i					
67-5					h a					
68-5					n e					
71-5					tɕ i					
76-5					h o n e					
83-5					ts u n o					
87-5					h a n e					
95-5					m i m i					
98-5					h a n a					
99-5					k u tɕ i					
-102-5					s i t a					
103-5					ts u m e					
110-5					t e					
116-5					m u n e					
120-5					n o m u					
132-5					k i k u					
139-5					k o r oː s u					
140-5					oː j oː ŋ u					
156-5					t a t e r u					
168-5					ts u k i					
169-5					h o s i					
170-5					m i z u					
173-5					i s i					
180-5					k u m o					
185-5					h a i					
186-5					m oː e r u					
187-5					m i tɕ i					
190-5					a k a i					
193-5					k eː r o i					
194-5					s i r o a					
195-5					k u r o a					
216-5					m a r ui					
221-5					n a					
239-5					i ts u					
252-5					m i ts u					
253-5					j oː ts u					
254-5					i ts u ts u					
266-5					k a z e					
267-5					n a ŋ a r e r u					
268-5					u m i					
272-5					a m e					
276-5					a r a u					
281-5					m u s i					
304-5					ts u k i					
305-5					tɕ i r					
308-5					h a n a					
309-5					k u s a					
310-5					t o					
311-5					n i					
342-5					j u k i					
346-5					k u r a i					
347-5					k i r u					
348-5					h i r o i					
351-5					t o					
361-5					o a i					
379-5					k u s a r a					
394-5					h i d a r i					
395-5					m i ŋ i					
400-5					h i k a r u					
412-5					s a k e r u					
413-5					ts u k i a s u					
414-5					h o r u					
422-5					h u k u r e r u					
423-5					k a ɴ ŋ a e r u					
430-5					h a k u					
435-5					h u k u					
446-5					s i t a					
447-5					u e					
458-5					t o s i					
56-5					h i t o					
62-5					i n u					
65-5					k a w a					
70-5					t a n e					
75-5					k a w a					
96-5					m eː					
101-5					h a					
14-6						k u ɭ i				
18-6						d a ɭ i				
35-6						p t u ts ɨ				
36-6						p t a ts ɨ				
48-6						n a a u				
60-6						t u ɭ i				
63-6						s ɨː r a m				
64-6						k i				
67-6						p a				
68-6						n i				
71-6						ts ɨ				
76-6						p u n i				
83-6						ts ɨ n u				
87-6						p a n i				
95-6						m ɨː m ɨ				
98-6						p a n a				
99-6						k ɨ				
-102-6						s ɨ b a				
103-6						ts ɨ m i				
110-6						t i				
116-6						m n i				
120-6						n u m				
132-6						ts ɨ k				
139-6						k u r u s				
140-6						u j u				
156-6						t a t o ɭ				
168-6						ts ɨ ts ɨ				
169-6						p u s ɨ				
170-6						m ɨ				
173-6						ɨ s ɨ				
180-6						k m u				
185-6						p				
186-6						m u i ɭ				
187-6						m ɨ ɨ				
190-6						a k a i				
193-6						ts u ɭ				
194-6						s ɨː r u				
195-6						k r u				
216-6						m a r ɨ				
221-6						n a				
239-6						i ts ɨ				
252-6						m ɨː				
253-6						j u ɨ				
254-6						ɨ ts ts ɨ				
266-6						k a Ø i				
267-6						n a a r i ɭ				
268-6						m ɨ				
272-6						a m i				
276-6						a r a				
281-6						m u s ɨ				
304-6						ts ɨ vː a				
305-6						ts ɨː				
308-6						p a n a				
309-6						k s a				
310-6						t u				
311-6						n ɨː				
342-6						j ts ɨ				
346-6						k r a u				
347-6						ts ɨː ɭ				
348-6						p ɨ r u				
351-6						t u u				
361-6						u β i				
379-6						k s a r aː				
394-6						p ɨ d a ɭ ɨː				
395-6						β ɨ ɨ r ɨ				
