COGID	dutch	english	french	german
1469-1	z ɑu d			
2047-1	z ɔ n ə s			
2054-1	d ɔ n d ə r			
1375-1	l ɪ x t s s s			
760-1	w ə n d			
756-1	z n aː s			
726-1	m ɔ Ø ə r			
1351-1	ɣ r ɑ t + v ɑ Ø ə r			
1353-1	ɣ r ɑ + m ɔ Ø ə r			
412-1	l ɛɪ ɣ ə r + v ɑ Ø ə r + ə + l ɑ			
406-1	l ɛɪ ɣ ə r + m ɔ Ø ə r + ə + l ɑ			
1005-1	z t ɛɪ p s + v ɑ Ø ə r			
1012-1	z ɛɪ p + m ɔ Ø ə r			
1016-1	w ə d l ə r			
1069-1	s ɪ x			
509-1	v ɔ l ə n			
693-1	m j Ø l s + t ɛɪ r			
2179-1	n ɛ s t			
1753-1	s f ə Ø s			
1131-1	w k l f s			
1198-1	b ʉ ə t			
2032-1	h ɑ r n			
2241-1	n aː z ə			
2244-1	l ə p s ə			
610-1	x s n iː			
945-1	h ɛ t			
1534-1	l ə k n			
384-1	z oː k n			
1650-1	n s ɔ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə n			
471-1	z ɔ s n			
1385-1	z Ø s s d			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə n			
2020-1	l oː ŋ			
867-1	h ɔ n d.ə ə r ə d			
1970-1	v k l s			
1230-1	d r s ʉ d s ə s			
2017-1	n s j Ø			
968-1	w Ø l d			
1674-1	l ɑ n d			
1671-1	h Ø ɣ ə l			
829-1	k l ə Ø ə			
1025-1	w ɑ t ə r			
1027-1	z Ø			
1832-1	r oː v			
-1816-1	ɔ Ø ɛɪ Ø n			
-335-1	l eː ɣ Ø n ə			
1043-1	z t r Ø m			
423-1	z t Ø n			
2049-1	m Ø n t			
2062-1	z t uː r m			
2065-1	r ɛɪ ɣ ə n + b ɔ ɣ ə n			
1368-1	Ø ɑ d ɔ n			
1365-1	d Ø Ø			
754-1	r ɛɪ ɣ ə n			
768-1	w ɛ Ø ə r			
1211-1	v Ø ə r			
106-1	m ɑ n			
-98-1	b ɛɪ b ɛɪ			
719-1	v ɑ Ø ə r			
1341-1	z ɔ n			
-2027-1	t ɑ n t ə			
-2026-1	n ɛ v Ø Ø			
409-1	z Ø ɛɪ ɣ ɔ + z Ø n + Ø Ø			
402-1	Ø Ø ɛɪ ɣ ə r + d Ø x t ə r + ə Ø + Ø Ø			
1014-1	z t ɛɪ p + d Ø x t ə r			
1059-1	w iː r			
120-1	z t ɑ l			
2183-1	Ø Ø Ø Ø Ø			
2194-1	ɔ k s ə			
2199-1	k ɑ l Ø			
2197-1	Ø Ø p			
1523-1	z			
1521-1	Ø Ø			
512-1	m Ø r aː			
2141-1	h Ø n			
2147-1	ɣ Ø n s			
814-1	k r Ø ə			
810-1	d oː b ə			
1755-1	Ø Ø Ø Ø Ø			
1758-1	m œy Ø			
1760-1	r ɑ t			
1620-1	v ə n ə			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l œy s			
1307-1	n ə t ə			
1305-1	v l Ø			
711-1	w Ø s p ə			
1442-1	v l iː ɣ ə			
62-1	m ʉ x ə			
-73-1	m Ø s k iː t ɔ			
1810-1	h oː d			
1805-1	v l ɛɪ Ø			
1813-1	h aː r			
1811-1	b l Ø d			
690-1	r ə Ø ə			
2177-1	h Ø p d			
246-1	oː ɣ ə n + b r œy ə			
249-1	oː ɣ ə n + l ɛɪ d			
1506-1	n Ø z r ə + l Ø x			
2242-1	m ɔ n Ø			
2245-1	t ɔ ŋ ə			
1196-1	Ø Ø Ø Ø Ø			
2174-1	Ø ɔ l d ə r			
575-1	Ø Ø Ø Ø l Ø Ø Ø Ø Ø			
603-1	ɛ l ə n + b ɔ ɣ ə n			
601-1	h ɑ n d			
615-1	v ə ŋ Ø ə r			
901-1	k l uː ə			
608-1	v Ø t			
596-1	t ə			
937-1	b r Ø s t			
936-1	n aː b ə l			
646-1	l ɔ ŋ ə			
947-1	l ɛɪ b ə r			
1606-1	h ʉ p t ə			
472-1	s n iː z ə n			
1535-1	z w eː t ə n			
1546-1	z p Ø ə n			
1959-1	z l Ø p ə n			
694-1	z n ɑ r x ə n			
1961-1	d r Ø m ə n			
323-1	+ l ɛɪ b ə n			
1885-1	ɣ r ɑ Ø			
2156-1	ə r + k l d + Ø ŋ			
1903-1	w ɔ n d.ə ə			
525-1	z w ɛ l Ø ŋ			
276-1	l ɑ m Ø			
274-1	d Ø Ø			
278-1	b l ɪ n d			
258-1	Ø ə + d r ɔ ŋ k ə n			
256-1	n aː k ə d			
383-1	Ø t ə n			
207-1	r ɛɪ p			
376-1	d r ə ŋ k ə n			
2009-1	ɔ v ə n			
2003-1	k ɛ t ə l			
2024-1	p ɑ n ə			
1321-1	k.ə ɔ p			
1976-1	t oː ŋ Ø ə			
1243-1	m Ø l t ɛɪ t			
1265-1	p iː l			
1261-1	z ɛɪ b ə n			
655-1	b r Ø d			
650-1	d Ø x			
1532-1	x n Ø d ə n			
-36-1	z Ø p ə			
34-1	b Ø n ə			
-1647-1	v ɛɪ ɣ ə			
-1615-1	oː ə l			
125-1	v ɑ t			
1659-1	h ɔ n ə x			
1661-1	m ə l k.ə			
1676-1	b ɔ t ə r			
480-1	ɣ ə + d r ə ŋ k			
1466-1	k l Ø Ø Ø Ø			
2277-1	w Ø l ə			
2271-1	v eː l t			
2293-1	l ɛɪ Ø ə r			
624-1	z p ə n ə n			
628-1	z p ə n d.ə ə l			
626-1	w Ø b ə n			
633-1	n Ø d.ə ə l			
1185-1	Ø Ø + Ø Ø Ø t ə r			
1179-1	h Ø t			
2168-1	k ɑu m			
1952-1	d uː r			
899-1	l ɛɪ d ə r			
922-1	b ɛ d			
-934-1	l ɑ m p ə			
916-1	t r ɔ Ø			
1726-1	v Ø l d			
2108-1	p l uː ɣ ə n			
1133-1	v ɔ r x ɔ			
2114-1	z p aː d ə n			
1272-1	r oː ɣ ə n			
1979-1	ɣ r ɑ s			
1989-1	h Ø			
-2260-1	p l ɑ n t ə n			
70-1	b uː k ə			
-89-1	v ɛɪ n + Ø t Ø x			
-12-1	p ɛɪ p ə			
713-1	z ɑ p t			
747-1	n ɛ t ə l			
308-1	d Ø n			
289-1	b ɪ n d.ə ə n			
1930-1	b r aː k.ə ə n			
1928-1	z p ə l ə t ə n			
858-1	z t r ɛ k ə n			
1577-1	œy p + h ɑ ŋ ə ŋ			
908-1	w oː Ø ə n			
648-1	b uː r ə n			
1855-1	œy t + h oː l ɔ n			
657-1	h ɑ m ə r			
2058-1	n aː ɣ ə l			
949-1	Ø + z m ɛɪ d			
1642-1	ɣ ɔ l d			
1640-1	z ə l b ə r			
1633-1	ɛɪ Ø ə n			
1630-1	t ə n			
1469-2		s ɑː n d		
2047-2		s ɔ n l		
2054-2		t ɔ n d r		
1375-2		l ɪ d		
760-2		w ɪ n d		
756-2		s n		
726-2		m θ ə r		
1351-2		ɡ r ɔ + v əʊ θ ə r		
1353-2		ɡ r ɔ + m θ ə r		
412-2		s l əʊ ɡ aɪ + v əʊ θ ə r		
406-2		s s əʊ + m θ ə r		
1005-2		s d iː l + v əʊ θ ə r		
1012-2		s d v + m θ ə r		
1016-2		w ɪ θ Ø w əʊ r		
1069-2		Ø ɪ tʃ		
509-2		v əʊ l		
693-2		m ɪ l + ɪ s ə		
2179-2		n aɪ d		
1753-2		l v ɪ s Ø		
1131-2		w ɔ l v əʊ		
1198-2		b əʊ r d		
2032-2		h ɔ r n		
2241-2		n s		
2244-2		l ɪ p		
610-2		k l n iː		
945-2		h r t		
1534-2		l ɪ k ə		
384-2		s ɪ ɡ ə		
1650-2		n l ɔ		
1663-2		s æ l l		
2279-2		l aɪ n		
471-2		s Ø ə		
1385-2		s əʊ l l d		
792-2		Ø ɪ tʃ		
1111-2		m ɑː d		
197-2		s ɪ θ ə		
2020-2		l ɑː ŋ		
867-2		h ɔ n θ ə r d		
1970-2		v ɔ l Ø		
1230-2		t ɪ r l l θ l l		
2017-2		n ɪ l		
968-2		w Ø Ø d		
1674-2		ɑː n d		
1671-2		h Ø Ø		
829-2		k ɪ f		
1025-2		w əʊ r		
1027-2		ɪ		
1832-2		r Ø		
-1816-2		aɪ s ɪ Ø əʊ n		
-335-2		əʊ ɡ Ø n		
1043-2		s d r aɪ m		
423-2		s d Ø n		
2049-2		m Ø n d		
2062-2		s d ɔ r m		
2065-2		r ɪ ɡ n + b aɪ ɡ		
1368-2		s Ø əʊ d Ø Ø		
1365-2		d Ø		
754-2		r ɪ ɡ		
768-2		w Ø d r		
1211-2		f Ø r		
106-2		m ɑː n		
-98-2		b ɪ b ɪ		
719-2		f əʊ d r		
1341-2		aɪ n		
-2027-2		d ɑː n d		
-2026-2		n Ø f		
409-2		s Ø əʊ ɡ Ø + aɪ n		
402-2		s Ø əʊ ɡ Ø + d ɔ d r		
1014-2		s d ɪ f + d ɔ d r		
1059-2		w ɪ Ø		
120-2		s d ɑː		
2194-2		ɔ		
2199-2		k ɑː f		
2197-2		s Ø əʊ p		
1523-2		Ø Ø		
512-2		m Ø r		
2141-2		h Ø n		
2147-2		ɡ ɑː n		
814-2		k r Ø Ø		
810-2		d Ø Ø		
1758-2		m Ø		
1760-2		r ɑː Ø		
1620-2		f ɪ n		
1282-2		w ɑː Ø		
1136-2		f ɔ		
1309-2		Ø		
1307-2		n Ø		
1305-2		f aɪ		
711-2		w aɪ p		
1442-2		f ɪ ɡ		
62-2		m ɪ		
-73-2		m ɪ k ɪ d Ø		
1810-2		h Ø d		
1805-2		f Ø s		
1813-2		h əʊ r		
1811-2		b Ø d		
690-2		r ɪ p		
2177-2		h ʌ f d		
246-2		Ø Ø Ø Ø Ø + b r Ø		
249-2		ʌ ɡ + Ø d		
1506-2		n Ø s + Ø Ø Ø Ø		
2242-2		m ɔ n d		
2245-2		t ɔ ŋ		
2174-2		s Ø Ø l d r		
603-2		aɪ + b aɪ ɡ		
601-2		h ɑː n d		
615-2		f ɪ ŋ r		
901-2		k Ø		
608-2		f Ø		
596-2		t ɪ Ø		
937-2		b Ø r Ø d		
936-2		n əʊ b		
646-2		ɔ ŋ		
947-2		ɪ b r		
1606-2		h Ø p d		
472-2		n ɪ		
1535-2		s w Ø t		
1546-2		s p Ø Ø		
1959-2		s əʊ p		
694-2		s n Ø r tʃ		
1961-2		d r Ø m		
323-2		ɪ b		
1885-2		ɡ r ɑː f		
2156-2		r + k Ø l d + Ø uː Ø		
1903-2		w ɔ n Ø		
525-2		s w aɪ Ø ŋ		
276-2		ɑː m		
274-2		d ʌ f		
278-2		b ɪ n d		
258-2		Ø Ø d r ɔ ŋ k		
256-2		n əʊ k d		
383-2		Ø		
207-2		r ɪ p		
376-2		d r ɪ ŋ k		
2014-2		r uː Ø t Ø		
2009-2		aɪ f		
2003-2		k Ø		
2024-2		p ɑː n		
1321-2		k əʊ p		
1976-2		t ɑː ŋ		
1243-2		m əʊ Ø Ø d uː		
1265-2		p ɪ l ə		
1261-2		Ø b		
655-2		b r aɪ d		
650-2		d Ø		
1532-2		k n ɪ d		
-36-2		s Ø p		
34-2		b aɪ n		
-1647-2		f ɪ ɡ		
-1615-2		Ø Ø		
125-2		f aɪ d		
1659-2		h aɪ n ɪ Ø		
1661-2		m ɪ tʃ		
1676-2		b ɔ d r		
480-2		Ø d r Ø ŋ k		
1466-2		k Ø θ Ø ŋ		
2277-2		w ɔ		
2271-2		f ɪ t		
2293-2		ɪ Ø r		
624-2		s p ɪ n		
628-2		s p ɪ n θ		
626-2		w ɪ b		
633-2		n əʊ Ø Ø l		
1185-2		Ø Ø Ø Ø Ø Ø d r		
1179-2		h Ø d		
2168-2		k ɑː m		
1952-2		d Ø r		
899-2		Ø d r		
922-2		b aɪ d		
-934-2		ɑː m p		
916-2		d r Ø		
1726-2		f aɪ d		
2108-2		p Ø ɡ		
1133-2		f ɔ r Ø		
2114-2		s p əʊ d		
1272-2		r ɔ ɡ		
1979-2		ɡ r ɑː		
1989-2		h Ø Ø		
-2260-2		p ɑː n t		
70-2		b Ø tʃ		
-89-2		w aɪ Ø Ø Ø Ø d əʊ		
-12-2		p ɪ p		
713-2		s ɑː p d		
747-2		n Ø		
308-2		d Ø n		
289-2		b ɪ n θ		
1930-2		b r Ø tʃ		
1928-2		s p əʊ uː d		
858-2		Ø Ø d r aɪ k		
1577-2		ʌ p + h Ø ŋ		
908-2		w ɑː s		
648-2		b aɪ r		
1855-2		Ø + h Ø		
657-2		h əʊ m r		
2058-2		n əʊ ɡ		
949-2		s m Ø d		
1642-2		ɡ Ø l d		
1640-2		ɪ b r		
1633-2		ɪ		
1630-2		t ɪ n		
1469-3			Ø Ø Ø t	
2047-3			Ø Ø Ø Ø	
2054-3			Ø Ø Ø t Ø ʀ	
1375-3			l Ø Ø t	
760-3			Ø Ø Ø t	
756-3			Ø Ø Ø ʀ	
726-3			Ø Ø Ø ʀ	
1351-3			Ø ʀ Ø Ø t Ø Ø Ø Ø Ø ʀ	
1353-3			Ø ʀ Ø Ø Ø Ø Ø Ø ʀ	
