COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1506-1	l a̰ ⁵						
546-1	n j ei ⁴⁵						
944-1	p a n ³⁴						
1495-1	n j u k ⁴²						
592-1	kʰ w i ⁴⁵						
1755-1	w u ʔ ⁴²						
496-1	n j u ³						
758-1	d z w i ³¹						
909-1	n ⁴³						
1021-1	p ṵ ⁵						
327-1	pʰ ə ³						
657-1	n ɔ ³						
1151-1	l ɔ ʔ ⁴²						
969-1	kʰ j ei ³						
215-1	s w i ⁵						
2841-1	m ɛ ³¹						
1595-1	n j e ŋ ³¹						
2030-1	n j a ŋ ³¹						
609-1	m ɔ ʔ ³¹						
311-1	n j ɔ̰ p ⁵²						
1315-1	s a t ⁵²						
832-1	w ɛ ³						
193-1	n ɔ ʔ ³¹						
1856-1	n ɛ ³¹						
185-1	kʰ ɔ ⁵						
2181-1	m au ³⁴						
2375-1	l u k ³						
1093-1	x j e n ³						
2551-1	d z u ³⁴						
1029-1	ʃ i ⁵						
2038-1	ʔ a ³²						
84-1	w u ³⁴						
2405-1	pʰ ɨ ŋ ⁵						
1727-1	m j ɛ ³						
1048-1	s o n ³						
1973-1	tsʰ ɔ ⁵						
1793-1	t j ṵ ³						
1479-1	n au ⁵						
292-1	l w i ⁴						
299-1	kʰ j æu ³						
165-1	ŋ ɔ̰ ʔ ⁵²						
2813-1	d u ŋ ³¹						
1535-1	k j a̰ ŋ ³						
147-1	d j ɔ ³						
815-1	n j ɔ ʔ ⁴³						
253-1	ʔ u ⁴⁵						
793-1	n j ɔ ʔ ³						
1669-1	n ɔ̰ ³						
369-1	b ə ⁴						
134-1	n ɔ̰ t ⁵⁴						
1188-1	l a m ³²						
1506-2		l ḛ ²³					
546-2		n e ʔ ⁵²					
944-2		p j e ⁵²					
1495-2		m j au ʔ ⁵²					
592-2		kʰ w i ²³					
1755-2		v w a ⁵²					
496-2		n au ⁵²					
758-2		t w i ³					
909-2		ŋ ə					
1021-2		p a ²³					
327-2		pʰ ə ³					
657-2		n e ³					
1151-2		l a̰ ⁵²					
969-2		kʰ i ³					
215-2		s w i ²³					
2841-2		m ɛ ³					
1595-2		m a ŋ ²³					
2030-2		m j a̰ ŋ ⁵²					
609-2		m a ⁵²					
311-2		n j æ̰ p ⁵²					
1315-2		s ḛ ʔ ⁵²					
832-2		v e ⁵²					
193-2		n a ʔ ⁵²					
1856-2		n ẽ ³					
185-2		kʰ a ²³					
2181-2		m au ⁵²					
2375-2		l au ʔ ²³					
1093-2		x a ŋ ³					
2038-2		ʔ a					
1727-2		m e ³					
1048-2		s au n ²³					
1973-2		tʰ a ²³					
1479-2		n au ²³					
292-2		l w i ⁵²					
299-2		kʰ j u ³					
2457-2		m i ⁵²					
165-2		ŋ a̰ ʔ ⁵²					
1535-2		k j a̰ ŋ ³					
147-2		p j a ⁵²					
815-2		m j a ʔ ²³					
253-2		ʔ u					
793-2		m j a ²³					
1669-2		n ã ³					
134-2		n au ⁵²					
1188-2		l a m ⁵²					
1409-2		s a ŋ ²³					
1506-3			l a ⁵				
546-3			n j eː ⁵				
944-3			b ai n ⁴				
1495-3			m j o k ³²				
592-3			kʰ w e ³²				
1755-3			w u ʔ ³				
496-3			n ũ ³				
758-3			d z i ⁵²				
909-3			ŋ ə ³				
1021-3			p u ⁵				
327-3			pʰ ə ⁵³				
657-3			n ai ³				
1151-3			l ɔ̰ ʔ ³				
969-3			kʰ j e ⁵³				
215-3			s oi ⁵				
2841-3			m e ⁴				
1595-3			m j ə ŋ ³¹				
2030-3			m j a ŋ ³¹				
609-3			m ɔ ʔ ²¹				
311-3			n j ø p ⁵³				
1315-3			s a̰i ʔ ⁴²				
832-3			w e ²				
193-3			n ɔ̃ ʔ ³				
1856-3			n e ³¹				
185-3			kʰ ɔ ⁴				
2181-3			m au ³				
2375-3			l o k ³				
1093-3			ʃ ə ŋ ⁵²				
2551-3			d z u ⁴				
1029-3			ʃ i ⁴				
2038-3			ʔ a ³				
84-3			w ɔ ³				
2405-3			pʰ ə ŋ ⁴⁵				
1727-3			m j e ŋ ³²				
1048-3			s oi n ⁴²				
1973-3			tsʰ o ⁵				
1793-3			b j u ³				
1479-3			n au ⁴				
292-3			l i ³				
299-3			kʰ j au ³²³				
2457-3			m e ³				
165-3			ŋ ɔ̰ ʔ ⁵²				
2813-3			d o ŋ ⁵¹				
1535-3			k j a̰ ŋ ⁵²				
147-3			b j ɔ ³				
815-3			m j ɔ̃ ʔ ⁴				
793-3			m j ɔ̃ ʔ ⁴				
1669-3			n ũ ³				
369-3			b ə ³				
134-3			n o̰i ʔ ⁵³				
1188-3			l ɛ m ²				
1409-3			s ə ŋ ⁵				
1506-4				l o̰ ⁴³			
546-4				n a ³¹			
944-4				p ḛ n ⁴			
1495-4				m j æu ʔ ³¹			
592-4				kʰ a ²			
1755-4				v ɔ ʔ ³²			
496-4				n o ŋ ⁴			
758-4				d z œ i ³¹			
909-4				ŋ o ³			
1021-4				p o̰ ³			
327-4				pʰ ə t ³²			
657-4				n o ³			
1151-4				l o ʔ ³²			
969-4				kʰ i t ⁵³			
215-4				s a ²			
2841-4				m j ɪ ²			
1595-4				m a̰ ŋ ³¹			
2030-4				m j a ⁴			
609-4				m o ʔ ³²			
311-4				n j a̰ p ⁵			
1315-4				s ḛ ʔ ⁵⁴			
832-4				w a ³⁴			
193-4				n o ʔ ²¹			
1856-4				n e ³			
185-4				kʰ o ⁵			
2375-4				l au ⁴³			
1093-4				x a ŋ ⁴²			
2551-4				d z au ⁴			
1029-4				ʃ i ⁴³			
2038-4				ʔ a ³			
84-4				v o ⁴			
2405-4				pʰ au ŋ ⁴			
1727-4				m i ²³			
1973-4				tsʰ o ⁴³			
1793-4				p j ṵ ⁵²			
292-4				l œ i ³			
299-4				kʰ j o ʔ ⁵²			
2457-4				m ḭ ⁴³			
165-4				ŋ ɔ̰ ʔ ⁵⁴			
2813-4				d au ŋ ⁴¹			
1535-4				g j a̰ ²¹			
147-4				b j ɔ ²			
815-4				m j ɔ ʔ ³			
253-4				ʔ au ³			
793-4				m j ɔ ʔ ³²			
1669-4				n o̰ ⁴¹			
369-4				b ə ³²			
134-4				n a̰ ḭ ʔ ⁵⁴			
1409-4				s a ŋ ³²			
1506-5					l a ³¹		
546-5					n i ³¹		
944-5					p ɛ ³¹		
1495-5					m j ai ŋ ⁵⁵		
592-5					kʰ w i ³¹		
1755-5					w ʊ ʔ ³¹		
496-5					n u ³¹		
758-5					sʰ w i ⁵⁵		
909-5					ŋ a ³¹		
