COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1583		s a ŋ ²³	s ə ŋ ⁴	s a ŋ ⁴³	ʃ ai ŋ ³¹	s a ɲ	s i ŋ ³¹
924	ʃ ɔ ⁵		ʃ u ⁵	ʃ ɔ ³²	ʃ a ³¹	s aː	ʃ ɔ ³¹
2800		m i ⁵²	m e ⁴	m ḭ ⁴	m i ⁵⁵	m aˀ	m i ³¹
2788	m u ⁵		m ɔ̃ ⁴	m ɔ ⁴	m ai ³¹	m a	m ɔ ³
741	m a ŋ ³		m a ŋ ⁴	m a ²	m o ³¹	m aˀ	m a ŋ ⁵³
602	kʰ w a m ⁵	kʰ a m ²³	kʰ æ m ⁴	kʰ a m ³		kʰ aː	kʰ u m ³¹
1933	kʰ o ŋ ³		kʰ o ŋ ⁴²	kʰ au ŋ ³¹	kʰ au ŋ ⁵⁵	kʰ a ŋ	kʰ u ŋ ⁵³
1626	ŋ a̰ p ⁵⁴	n e ʔ ⁵²	ŋ æ̃ p ⁵³	ŋ ḛ ʔ ⁵⁴		ʔ a p	ʔ a̰ p ⁵
902	tʰ a ŋ ⁵		tʰ a ŋ ⁴	tʰ a ³²	tʰ o ³¹	tʰ a ŋ	tʰ a ŋ ³¹
895		m i ⁵²	m ɪ ⁴	m i ⁴³	m i ³¹	m iː	m ḭ ³¹
2224	kʰ au ⁵	kʰ au ²³	kʰ au ⁵		kʰ u ³¹	kʰ w iː	kʰ au ³¹
2305	l a̰ m ³		l æ̰ m ³	l e ³²	l ɛ ⁵⁵	h l a m	l a̰ m ⁵³
1177	g j ɔ ⁴¹	k j a	g j ɔ ³¹	g j o ⁵		k r aː	g j ɔ ⁵³
691	d z ɔ ³	t a ⁵²	d z ɔ ³	d z o ⁴		ts aː	d z ɔ ⁵³
617	ʃ o k ⁵²	ʃ au ²³	ʃ j o ʔ ³¹		ʃ o ʔ ³¹	s au k	ʃ u ʔ ⁵
1702	n ɔ ³¹		n o ²³	n o ²³	n a ʔ ⁵⁵	n a	n ɔ ³¹
1468	tʃʰ ei ⁵	tʃʰ ə ²³	tʃʰ e ⁵	tʃʰ i t ⁵⁴		tsʰ eː	tʃʰ i ³¹
567	ʃ ei ³		ʃ e ³²	ʃ i t ⁵⁴	ʃ i ʔ ⁵⁵	s e	ʃ i ⁴³
2157	d z o̰ ŋ ³	ts aː ŋ ³	d z o ŋ ²	d z au ŋ ³		tʰ w i ŋ	d z u ŋ ³¹
506	d u ³	t a̰u ⁵²	d ɔ ²	d u ⁴²		t w aː	d ɔ ³²
1086	d j e ³		b j e ³	p j i t ⁵⁴	p e ³¹	p eː	b i ⁵³
578	d u ³		d u ³	d au t ⁴	t u ³¹	t uː	d u ⁵³
1800	tʰ u ŋ ⁵		tʰ o ŋ ⁴	tʰ au n ⁵	tʰ ɔ ŋ ³¹	tʰ au ŋ	tʰ u ŋ ⁵³
530	g ɔ ⁵		g ɔ ⁴	g o ³⁴	g a ³¹	k aˀ	g ɔ ³
319	w i ³¹	v e ³		w ai ³	w i ʔ ⁵⁵	w ai	β w i ³
2564	s ɔ m ⁵³	s a m ³	s ɛ m ³	s a m ⁴²		s u m	s u m ³²
2060	n j ɛ̰ ⁵³	n a̰u t ⁵²	n j ẽ ʔ ⁵³	n a̰ ḭ ʔ ⁵⁴		h n a ts	n j ɪ̰ t ⁵
2483	tsʰ i ³	tʰ ai ³	tsʰ e ³	tsʰ e ⁵³		tsʰ ai	tsʰ e ⁵³
1451	n j ɔ ³⁵	m j a ⁵²	m j õ ³⁵	m j ɔ ⁴⁵		m j aː	m j ɔ ³
2210	ŋ i ³¹	ŋ ai ³	ŋ e ³¹	ŋ ai ²³	ŋ j i ⁵⁵	ŋ ai	
1416	x j e ŋ ³	x a ŋ ²³	ʃ j ə ŋ ⁴³	x a ŋ ³		h r a ɲ	h ɯ ŋ ⁴³
2508	tʰ ɨu ³		tʰ u ³²	tʰ au ³	tʰ u ʔ ⁵⁵	tʰ u	tʰ u ⁴³
554	n ɔ ʔ ³²		n ɔ̃ ʔ ³	n o ʔ ⁴³	n ʊ ʔ ³¹	n a k	n ɪ k ³²
1036	d j e ŋ ⁵		b j ə ŋ ⁴	b j a ŋ ³⁴	p j ai ŋ ³¹	p r w i ŋ	b i ŋ ³⁴
1895	l ɔ ʔ ⁴³		l ɔ̰ ʔ ³	l o ʔ ³	l ʊ ʔ ³¹	l a k	l ɔ ʔ ³
2768		pʰ j u ³	pʰ j u ⁴³	pʰ j u ³	pʰ j u ʔ ⁵⁵	pʰ r u	pʰ j u ³²
1121	n j æu ³¹	n j ṵ ŋ ³	n j au ³¹	n j o̰ ʔ ⁴²		n j w i	n j w i ³²
631	k j ṵ k ⁵⁴		k j o̰ ʔ ⁵³	k j a̰u ʔ ⁵³	x o ʔ ³¹	kʰ r au k	k j ṵ ʔ ⁵⁴
2085	d z u ʔ ³¹		tʰ ɔ ʔ ⁵²	tʰ o ʔ ⁵⁴	t u ʔ ³¹	tʰ a k	tʰ ɔ ʔ ⁵⁴
2182	kʰ o ŋ ³²		kʰ o ŋ ³¹	g au ŋ ⁵¹		k au ŋ	kʰ u ŋ ⁵³
2417	p w i ³¹	p w i ³	b e ⁵¹	b a ³¹			b w i ³
2361	g i ²	k ḭ ³	k ḭ ⁵³	g i ⁵²			k ḭ ⁵³
1518	n a p ³		n æ p ³²	n ɛ ʔ ³²		n a k	n a p ³
1659	k u ŋ ⁵¹	k a̰ː ⁵²	g o ŋ ⁵¹	g au ³¹			g u ŋ ⁵³
680	b w i ⁴²	p w i ³	b ø ⁵³	b a ³¹			b a ³¹
2733	w a ŋ ³¹	w ã ŋ ³	w a ŋ ³¹	w a ³²			w a ŋ ³¹
670		m i ³	m j ḛ ⁵³	m i ʔ ³	m j i ⁵⁵	m r e	
1988	ʃ ɔ ³¹	ʃ a ³			ʃ e	s a	s u ³⁵
2134	ŋ w i ⁴²	n w i ³	ŋ ⁵²	ŋ oi ⁴²		ŋ w e	
1285	tʰ j ɛ ʔ ⁴²	t a̰ ʔ ⁵²	d ɔ ʔ ⁵²	t o̰ ʔ ⁵⁴			d ɔ ʔ ⁵
1554	b w ɔ m ³¹	p a m ²³	b ɛ m ⁵¹	b a m ³¹			b u m ³¹
2630		s a k ⁵²	s ə k ⁵⁴	s a k ⁵		s a ts	s ɪ k ⁵
268	k ɔ̰ ³¹		g o ŋ ³	g ɔ ŋ ³¹	kʰ o ³¹	k w i ŋ	
109	k ṵ k ⁵⁴		g o k ⁵³	k a̰u ʔ ⁵⁴		kʰ au k	k ṵ ʔ ⁵
1850	g j ɛ n ⁴²		g j ɛ m ⁵¹	ɣ a m ⁵¹		k r i m	g a m ⁵³
98	ŋ ɔ ʔ ³		ŋ ɔ ³	ŋ o ʔ ³	ŋ u ʔ ³¹		ŋ ɔ ⁴⁵
1709	s a ŋ ³		s a ŋ ⁵⁴	s a ŋ ⁵²		s a ŋ	s e ŋ ⁴
431	ʔ u n ³¹			ʔ ʊ n ⁴²	ʔ ʊ n ³¹	ʔ u n	ʔ ʊ n ⁵³
707	kʰ ə ³		kʰ ə ⁵	kʰ ə t ³		kʰ a	kʰ ə t ⁵
1075	tʃʰ a ŋ ⁵	tʃʰ a ŋ ²³	tʃʰ a ŋ ⁵⁴	tʃʰ a ³			tʃʰ a ŋ ³¹
1696	g u k ³		k o̰ k ⁵³	g au k ³²	k o ʔ ⁵⁵		g u ʔ ³²
2588	l u ³	l a ⁵²	l o ³		l a ³¹		l ə ³²
127	w ɔ m ³¹			w e ⁴¹	w e ⁵⁵	w a m	v a m ³¹
1424		ʃ au n ²³	ʃ e n ⁵	ʃ ɪ n ²		s a n	ʃ ɪ n ³¹
424	tʰ j ɔ ⁴²	pʰ j a ³	pʰ j ɔ ⁴²	pʰ j ɔ ³¹			pʰ j ɔ ⁵³
958	j a ŋ ³	j o ŋ	j a ŋ ³			j a ŋ	j a ŋ ³²
