COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a a a									
893-1	a a a a									
1285-1	n g a									
1303-1	g ɔ m a									
2197-1	s a l a									
2828-1	i i a a									
3572-1	s ɔ ɔ i									
1095-1	l i m a									
1755-1	i ɛ ɛ									
1789-1	k a l a									
3207-1	g ʊ l a									
3519-1	t ʊ m a									
3686-1	i i a i									
4249-1	k u m a									
4451-1	i i i i									
448-1	i u									
630-1	g ɛ ɛ									
814-1	g ɔ m									
1216-1	g a									
1228-1	i i a									
1418-1	s i									
1475-1	g ʊ a									
2026-1	t i ɛ									
2775-1	g ʊ l									
3397-1	g a l a									
3826-1	i ɔ ɔ a									
4003-1	i i a									
4040-1	g ɛ ɛ i									
4373-1	l i									
4384-1	i i ɔ									
84-1	g ʊ l a									
116-1	i i									
181-1	g ɔ ɔ									
419-1	l ɔ									
587-1	ɔ ɔ g a									
660-1	l ɛ ɛ a									
848-1	k a									
1083-1	l i l a									
1122-1	i i i a									
1159-1	i a									
1350-1	l a a									
1374-1	n a									
1396-1	i ɔ									
1430-1	i i i									
1666-1	t a									
1767-1	g ɔ ɔ ɔ									
1906-1	i									
2177-1	g g a									
2286-1	l a									
2317-1	i a l a									
2419-1	s ɛ ɛ a									
2750-1	i ɛ ɛ i									
3018-1	i i									
3275-1	k a									
3441-1	s a									
3464-1	g ɔ ɔ a									
3639-1	t ɛ									
3885-1	s ʊ									
3981-1	i i a									
4192-1	g i									
4260-1	s i a									
4350-1	l ɛ ɛ									
43-1	i i									
93-1	k ɔ ɔ i									
200-1	i i									
374-1	l									
459-1	l a									
508-1	i ɔ									
528-1	i i									
575-1	t a									
871-1	t a									
1137-1	i i									
1339-1	t i i									
1585-1	g									
1712-1	i u									
1872-1	i j									
2088-1	i i									
2166-1	g u									
2334-1	i i									
2393-1	m a									
2537-1	l ɔ									
2665-1	i i g a									
2738-1	g ɛ ɛ									
2872-1	k ɔ									
2893-1	t i									
2997-1	g a									
3075-1	g ʊ									
3675-1	l a i									
4028-1	g i ɛ									
4137-1	m i									
4238-1	i									
4316-1	t a t a									
4429-1	i a									
4440-1	i i									
4485-1	s i									
4574-1	g i i									
4688-1	g									
143-1	g a									
240-1	ɔ ɔ a									
388-1	g i									
401-1	i a									
2689-2		s a m a								
893-2		a n a a								
1303-2		s o m a								
2197-2		s a								
2828-2		s i a								
3572-2		s o n i								
1095-2		l e m a								
1789-2		k a								
3207-2		w u l a								
3519-2		t u m a								
3686-2		s s b a								
4249-2		k u m e								
4451-2		v i								
448-2		n o n u								
630-2		s e l e								
814-2		s g m m b o								
1216-2		k a								
1228-2		s u a								
1418-2		s i m a								
1475-2		k w a								
2026-2		t e u								
3826-2		s o k a								
4003-2		s s a								
4373-2		l o m e								
4384-2		s								
84-2		s o l a								
116-2		s o								
419-2		l o								
587-2		o o o g a o								
660-2		l e l a								
848-2		k a l a								
1122-2		w i								
1159-2		s a								
1350-2		l o a								
1374-2		n oː a								
1906-2		s s i a								
2419-2		s o k a								
2750-2		e								
3441-2		s o								
3464-2		v u								
3639-2		t e t e								
3981-2		s s a								
4192-2		w o								
4350-2		l e l								
278-2		s a								
3971-2		k a								
55-2		s a								
43-2		s o								
93-2		s o								
459-2		l u								
1137-2		s o								
1585-2		s								
1872-2		p j								
2166-2		u u								
2872-2		k o								
2997-2		s a								
3075-2		s u l a								
3675-2		l o u								
4137-2		s e								
4238-2		s								
4316-2		t u								
4574-2		s u								
3067-2		n oː a								
3531-2		s								
1033-2		k o o o								
3185-2		s i								
794-2		s i l a								
143-2		s u								
240-2		s o								
388-2		s u								
2689-3			β a l a							
893-3			a a							
1285-3			β a a							
1303-3			k e l a							
2197-3			s a l a							
2828-3			i i							
3572-3			s o n a							
1095-3			l i l a							
1755-3			β e							
1789-3			x a l a							
3207-3			β u l a							
3519-3			tʰ u							
3686-3			i i							
4249-3			x u							
4451-3			β i							
448-3			u u							
630-3			β e e							
1216-3			k a							
1228-3			β i a							
1418-3			s i							
1475-3			k e a							
3397-3			β o l a							
4003-3			i i							
4040-3			k e n a							
4373-3			l i							
4384-3			i i a							
181-3			k o							
419-3			l o							
587-3			o o							
660-3			l e							
1083-3			l i							
1350-3			l o a							
1374-3			β e							
1396-3			s a							
1666-3			tʰ a							
1767-3			x o							
1906-3			i e							
2177-3			β e							
2286-3			l a							
2317-3			f u							
2750-3			β e							
3275-3			x a							
3464-3			β o							
3639-3			tʰ e k a							
3981-3			β							
4192-3			β i							
4260-3			s i a							
4350-3			l e e							
278-3			β a							
745-3			tʰ a							
3971-3			x o							
93-3			x o							
200-3			β i							
374-3			β a a							
508-3			f e							
528-3			β i							
1137-3			s i							
1585-3			β							
1712-3			f u							
2088-3			β i							
2334-3			f i							
2393-3			β a							
2665-3			i							
2738-3			β e k							
3675-3			l o a							
4137-3			β i							
4440-3			β i							
4574-3			β a a							
4688-3			β a							
2798-3			β e a							
3067-3			β e							
3531-3			β							
3767-3			l o							
4632-3			x o							
401-3			β a							
2689-4				b i						
893-4				b						
1285-4				b u a a						
3572-4				b ɔ g a						
1755-4				b dʒ						
1789-4				k o r i						
3686-4				b o e a a						
4451-4				b e e a						
1216-4				b o						
4003-4				b o e a						
419-4				b u g a						
1122-4				b e e a						
1430-4				b e a l						
1666-4				t o r a						
1767-4				k o ŋ g						
55-4				b u						
94-4				b o g a						
2717-4				b g a						
1339-4				t o ŋ a						
4632-4				k						
2689-5					f a					
893-5					f					
1285-5					f i					
1303-5					f o n a					
2197-5					s a					
2828-5					i i					
3572-5					s o n i					
1095-5					l i m					
3207-5					f u l					
3519-5					t u m					
3686-5					i m					
4249-5					k u m					
448-5					ʃ u ʃ					
630-5					β e					
814-5					f o n					
1228-5					f u					
1418-5					s i m					
2026-5					t e					
2775-5					β e m					
3397-5					β o l					
3826-5					s e n					
4040-5					f e d					
4373-5					l i m					
4384-5					i p d					
84-5					s u					
116-5					f u					
587-5					t n g o					
848-5					k u l					
1159-5					t a					
1350-5					l e a					
1396-5					t e n					
1430-5					i p d e					
1767-5					t o n					
2286-5					l a					
2317-5					f u m a					
2419-5					s e					
2750-5					t e i					
3018-5					s i					
3275-5					k u					
3441-5					s e					
3885-5					t u m					
4192-5					f u					
4260-5					s e					
4350-5					l e					
278-5					f a  a					
745-5					t e k					
3971-5					k u m a					
55-5					f a					
94-5					β e n					
2717-5					f a					
4139-5					m e					
200-5					f e					
374-5					t					
508-5					f j n					
528-5					β e					
575-5					t e					
1137-5					t i					
1339-5					t e					
1872-5					p a					
2537-5					l e n					
2738-5					β e					
2872-5					k o n i					
2893-5					t i					
3675-5					l e					
4028-5					f e					
4238-5					i e n i					
4429-5					f j p e					
4485-5					s e m					
2798-5					f i					
3531-5					f					
3767-5					l e n					
4632-5					f u p i					
1033-5					k o n					
3185-5					f e					
1303-6						k o ɔ				
1755-6						ɲ ɔ l				
448-6						ɲ ɔ l d				
1475-6						k ɔ a				
3397-6						ɓ ɔ ɔ				
2286-6						l a l				
278-6						ɓ a l				
2717-6						k o l				
4137-6						k i				
3767-6						l ɔ ɔ				
1033-6						k o ɔ				
2689-7							n á			
893-7							a			
1285-7							n a a			
1303-7							ɣ o a			
2197-7							t a			
2828-7							i i			
3572-7							s o n i			
1095-7							o i a			
1755-7							n e			
1789-7							k a h a			
3519-7							t u m a			
3686-7							i m a a			
4249-7							k u m i			
4451-7							v i			
814-7							ɣ o m a o			
1216-7							k a			
1475-7							ɣ e a			
2026-7							t á e			
2775-7							v u m a			
3826-7							z o a			
4003-7							i			
4040-7							ɣ e			
84-7							z o v a			
116-7							z i			
181-7							ɣ o			
419-7							o o a			
587-7							o o g a			
660-7							o o			
848-7							k a h			
1122-7							v i			
1159-7							z u			
1374-7							n a			
1396-7							z o			
1430-7							i			
1906-7							i			
2177-7							z g a			
2419-7							s e			
3018-7							z i			
3275-7							k a n a			
3441-7							s e			
3464-7							z o n a			
3639-7							t e			
3885-7							o u m a			
4192-7							z i			
745-7							t á h a			
3971-7							k a m a			
55-7							z			
2717-7							ɣ a			
4139-7							s i			
93-7							k o			
459-7							o m a			
575-7							t á			
1712-7							o u m			
2088-7							z i			
2166-7							z m a a			
2334-7							z i			
2393-7							z a			
2537-7							o o a			
2665-7							i			
2997-7							ɣ e			
4028-7							z e a			
4316-7							t á t a			
4429-7							z			
4688-7							z e			
3067-7							z e a			
3185-7							v i			
794-7							v e			
143-7							z u v			
388-7							z m a			
2689-8								n		
1285-8								n w a		
1303-8								ŋ u m a		
2197-8								ʝ a r a		
2828-8								ʝ î n a		
3572-8								t i n d		
1755-8								n ô a a		
1789-8								k ô		
3207-8								ʝ u r a		
3519-8								t u m a		
3686-8								k u m a a		
4249-8								k u m a		
4451-8								v i		
814-8								ŋ u n a a		
1228-8								ʝ w a		
2026-8								t w e a		
2775-8								v u m a a		
3826-8								ʝ o k a		
4040-8								k o n a		
181-8								k o m g a		
660-8								r e r a		
848-8								k u		
1083-8								r u		
1159-8								ʝ u		
1350-8								r u a		
1396-8								ʝ u n a		
1666-8								t u n a		
2177-8								ŋ g a a a		
2317-8								v u p a		
