COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t t									
56-1	i o m									
96-1	t a a a									
99-1	t i i									
114-1	t o k									
115-1	t o n									
133-1	t i p a t									
144-1	t a t									
150-1	k a w a									
234-1	k o m									
236-1	p a k									
241-1	t i w a n									
249-1	i w e ʔ									
1-1	w a t a									
2-1	w a m									
65-1	i w ʔ									
74-1	p a n a									
106-1	t i n									
128-1	p o k									
147-1	t i m									
231-1	p a n a n									
232-1	p i p i									
239-1	m a m a k									
266-1	i a i ʔ									
51-1	i w w ʔ									
97-1	m a m a m									
109-1	i p i ʔ									
121-1	k a p i									
149-1	t o k o									
160-1	k i w i k									
163-1	p p e									
167-1	p a p									
207-1	m i ʔ									
259-1	t o w a									
66-1	k a p a k									
134-1	n a p a t									
139-1	m o n									
142-1	p a a a									
145-1	k a t a t									
148-1	t a t a t									
162-1	i n									
166-1	i m i ʔ									
179-1	t a k									
201-1	p e ʔ									
21-1	k a n a k									
24-1	k a k									
52-2		t a t								
56-2		o a m								
96-2		a a a a n								
99-2		a n								
114-2		t o k e t e								
115-2		t o i e								
133-2		t o i								
144-2		w a a a								
150-2		k a m a n								
234-2		k o m								
236-2		p i k i								
241-2		a n j a n								
249-2		i s i								
74-2		p a n								
93-2		t o i								
95-2		w i k i								
106-2		t o t								
119-2		i a i a								
128-2		k o k e								
147-2		t o i								
231-2		p a n a								
232-2		p i i i								
239-2		w a m a n								
266-2		i a i								
51-2		w w i								
55-2		i k i								
97-2		w a m a n								
121-2		k a n								
163-2		p i i								
167-2		p a m								
259-2		t o a								
66-2		k a m a n								
112-2		t a m a n								
116-2		t o i								
125-2		k a m a n								
135-2		t i m a n								
139-2		w o i a n								
142-2		p a m a n								
148-2		t a m a n								
162-2		i i i								
166-2		i k i								
179-2		t a								
52-3			t u k a							
56-3			o m i a							
96-3			p a j a							
99-3			p a i a t							
114-3			t u k a							
115-3			o m a a t i							
133-3			t u k a t i							
144-3			p a k a i v a							
150-3			k a k a							
234-3			k a m a							
236-3			p a k a t a							
241-3			p a i a							
249-3			t i m a							
1-3			p a i a							
2-3			p a m a							
65-3			t i m							
93-3			t u k a t i							
95-3			p a k a							
106-3			t u k a i							
119-3			t i i i i i i							
128-3			p a k a i							
147-3			t u k a							
231-3			p a k a i							
232-3			p a i a i							
239-3			p a m a i a a a							
266-3			t i i							
3-3			p a k a i							
4-3			p a k a i							
55-3			t i k a							
109-3			t u i a t i							
121-3			k a k a i v a							
149-3			t u k a							
160-3			k a m a							
207-3			p a m a							
112-3			t u k a i t i o							
125-3			k a k a i							
134-3			t i k a t i							
135-3			t u k a							
139-3			p a m a i							
52-4				t t t						
56-4				u m						
96-4				a a a a						
99-4				a i p a n						
114-4				t o k o						
115-4				u i u						
133-4				t i p a n						
144-4				a i a w						
150-4				k a w						
234-4				k o m						
236-4				p i k o n						
241-4				a w i						
249-4				i e						
1-4				w a t a						
2-4				w i m						
65-4				i w i						
74-4				p a n a						
93-4				t u p a n						
95-4				w i k						
106-4				t u n						
119-4				i a t						
128-4				k o k o						
147-4				t i m						
231-4				p a n a n						
232-4				p i p						
239-4				m a m a k						
266-4				i a i						
3-4				w i n						
4-4				w a n						
51-4				i w i						
97-4				m a m a						
109-4				i p i						
121-4				k a p i						
149-4				t o k						
160-4				k i n i						
163-4				u p i						
167-4				p a n						
207-4				m i						
259-4				t o w a						
66-4				k a n a k						
116-4				t o p a k o n						
134-4				t i p a n						
135-4				t i m o						
139-4				m o n						
142-4				p a a a a						
145-4				k a t a n						
148-4				t a p a w						
162-4				i n i						
166-4				i m i						
179-4				t a n						
201-4				p i						
21-4				k a w a						
24-4				k a k a						
52-5					t t t					
56-5					i m i					
96-5					i a a					
99-5					i r i					
114-5					t o k o r i k o					
115-5					i o r i					
133-5					t i p a p a p					
144-5					w a a i a i a					
150-5					k a w a					
234-5					k o m					
236-5					p i k o r i k					
241-5					w a i a n					
249-5					i p i					
1-5					w a t a ʔ					
2-5					w o i					
65-5					i w i					
74-5					p a n a n					
93-5					t o r a p i p					
95-5					w i k					
106-5					t i m					
119-5					i a t i					
128-5					k o k o r i k o k					
147-5					t i m					
239-5					m a a a a a a					
266-5					i a i					
3-5					w o i i k i					
4-5					w a t i					
51-5					i w i					
55-5					i m a m					
97-5					m a m a m a n					
109-5					i p i					
149-5					t o k					
160-5					k i k i k i k i					
163-5					i p i					
167-5					p a k					
207-5					m i m					
259-5					t o w a					
66-5					k a k a k i k					
112-5					t a m a t i t					
116-5					t o r a k o k					
134-5					i a p a a i					
