COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	lː a b a			
222-1	a b o b o n e			
208-1	a b u r u a			
962-1	a g o r a			
203-1	a g u d i			
138-1	s i l i			
504-1	ɗ uː s a n e			
662-1	ɓ u d a n e			
478-1	g o ɗ e			
409-1	a r e			
410-1	g u n d i			
256-1	ɓ ə l e			
622-1	n d u			
546-1	n d u			
547-1	s i tʃ e			
847-1	n ɛ n i			
95-1	b ɛ ɗ i			
105-1	b i n i			
510-1	b oː s a			
951-1	m b a m a			
468-2		θ a b a		
222-2		a b o b o o e		
208-2		a b u r b u		
962-2		a g o r a		
203-2		a g u d i ʔ		
138-2		ʃ i l i		
504-2		ɗ oː ʃ e		
662-2		ɓ u d e		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ɛ d d i e i		
95-2		b ɛ ɗ i		
105-2		b ɛ ŋ i		
510-2		b o ʃ a		
951-2		m b ə m a r a		
468-3			θ a b a	
222-3			a b a b a ʔ e	
208-3			a b ʊ r b u	
962-3			a g o r a a	
203-3			a g u d i	
138-3			ʃ i l i	
504-3			ɗ ɔ ʃ a	
662-3			p ʔ θ a	
478-3			g ɔ ɗ i	
409-3			a r e	
410-3			g u n d i	
256-3			p ʔ aː l a	
622-3			ŋ d u	
546-3			ŋ d u	
547-3			ʃ ɛ f a	
847-3			ɲ e d d i	
95-3			b ə d i	
105-3			b ɛ n i	
510-3			b ɔ ʃ a	
951-3			m b n ə	
468-4				θ a b a
222-4				a b o b o o i
208-4				a b u r b u
962-4				a g o r a a
203-4				a g u ɲ i
138-4				ʃ l l l e
504-4				ɗ uː ʃ a
662-4				ɓ u d a
478-4				g o ɗ a
409-4				a r e
410-4				g u n d i
256-4				ɓ aː l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ r a
847-4				n ɛ n i nː i
95-4				b ɛ ɗ i
105-4				b ɪ n i
510-4				b o ʃ a
951-4				m b u m a
