COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ au̯															
175-1	g ă															
241-1	ʔ u ʔ															
2163-1	kʰ u															
2181-1	n ă m															
2060-1	ʔ o m															
410-1	d ai̯															
1841-1	m ai̯															
2017-1	h e															
1004-1	d o															
614-1	b ou̯ h															
686-1	p l ai̯															
88-1	g ă ʔ															
872-1	n ɨi̯															
1891-1	d o															
68-1	s e															
631-1	p ɔ															
594-1	g ă															
1759-1	h ă n															
805-1	g ə̆ ɲ															
756-1	h ɨ															
1201-1	m u															
2042-1	ʔ a															
1968-1	d ă ʔ															
2000-1	t e ɲ															
17-1	v ɔ ŋ															
4-1	pʰ w a n															
788-1	d o															
1219-1	h ɨi̯															
141-1	ʔ a ŋ															
541-1	p r j a															
1687-1	h u															
123-1	d o m															
1652-1	c e ɲ															
576-1	ŋ au̯ h															
1738-1	d ă t															
442-1	h o m															
368-1	d j a n															
1778-1	p ă t															
1859-2		ŋ aːi̯														
175-2		k a														
241-2		ʔ uː														
2163-2		kʰ u t														
2181-2		n ɔ m														
2060-2		ʔ au̯ m														
410-2		d ɛ h														
1841-2		m u														
2017-2		h ɔi̯														
1004-2		d ɛ h														
614-2		b o h														
686-2		b l ɔːi̯														
88-2		k a k														
872-2		n ɔ ʔ														
1891-2		d ɛ														
68-2		s i m														
631-2		b əː n														
594-2		k ɔ k														
1759-2		h ɔ h														
805-2		k i n														
756-2		h ɔi̯														
1201-2		m ai̯ ʔ														
2042-2		ʔ a														
1968-2		d ɔ ʔ														
2000-2		d u ŋ														
17-2		v a ʔ														
4-2		pʰ oː m														
788-2		d ɛ h														
1219-2		h i m														
141-2		ʔ a p														
541-2		b əː n														
1687-2		h u														
123-2		m u m														
1652-2		dʑ ɔː n														
576-2		ŋ ɔ h														
1738-2		d ɔ ʔ														
442-2		h ɔi̯ m														
368-2		d ɔː n														
1778-2		b əː n														
1859-3			ŋ a													
175-3			k a													
241-3			ʔ uː													
2163-3			ɗ o ʔ													
2181-3			n a m													
2060-3			ʔ oː													
410-3			d ɛ													
1841-3			m u													
2017-3			h a													
1004-3			d ɛ													
614-3			ɓ o ʔ													
686-3			b l ai̯													
88-3			k a ʔ													
872-3			n ɔːi̯													
1891-3			d ɔː													
68-3			s iː m													
631-3			ɓ r ai̯													
594-3			k a													
1759-3			h a h													
805-3			k a n													
756-3			h o ʔ													
1201-3			m u h													
2042-3			ʔ a													
1968-3			d a ʔ													
2000-3			ɗ o ŋ													
17-3			v a t													
4-3			pʰ ɔ m													
788-3			d ɛ													
1219-3			h ɔːi̯ m													
141-3			ʔ a ŋ													
541-3			b r j													
1687-3			h o ʔ													
123-3			ɗ o m													
1652-3			dʑ ɔː n													
576-3			ŋ a													
1738-3			ɗ a t													
442-3			h ɔː m													
368-3			d j a													
1778-3			b r ai̯													
1859-4				ŋ ai̯												
175-4				k a												
241-4				ʔ uː												
2163-4				k o k												
2181-4				n ɔː m												
2060-4				ʔ au̯ m												
410-4				t a												
1841-4				m o												
2017-4				h iː												
1004-4				d ɔː ʔ												
614-4				p o h												
686-4				p a												
88-4				k ɔː ʔ												
872-4				n iː												
1891-4				t a												
68-4				s iː												
631-4				p o												
594-4				k ɔː ʔ												
1759-4				h a												
805-4				k j n												
756-4				h ai̯ ʔ												
1201-4				m o k												
2042-4				ʔ a												
1968-4				t a ʔ												
2000-4				d ɔː n												
17-4				v ɔ ʔ												
4-4				pʰ oː n												
788-4				t a												
1219-4				h iː m												
141-4				ʔ a												
541-4				p ai̯												
1687-4				h u												
123-4				dʑ ɔː m												
1652-4				dʑ ɔ n												
576-4				ŋ ai̯												
1738-4				t a k												
442-4				h o h												
368-4				t j əː												
1778-4				p a t												
1859-5					ŋ aːi̯											
175-5					k a											
241-5					ʔ uː ʔ											
2163-5					ʔ uː											
2181-5					n a m											
2060-5					ʔ ɔː m											
410-5					d ai̯											
1841-5					m iː											
2017-5					h ei̯											
1004-5					l̥ əː											
614-5					b r ei̯											
686-5					b l ei̯											
88-5					k a ʔ											
872-5					n au̯ ŋ											
1891-5					ɗ oː											
68-5					s i											
631-5					b r ei̯											
594-5					k w ai̯											
1759-5					h a n											
805-5					k əː ŋ											
756-5					h ei̯ ʔ											
1201-5					m iː											
2042-5					ʔ a											
1968-5					ɗ a t											
2000-5					l̥ əː ŋ											
17-5					k a t											
4-5					pʰ oː m											
788-5					ɗ ai̯											
1219-5					h i h											
141-5					ʔ aː ŋ											
541-5					b r ei̯											
1687-5					h ei̯											
123-5					l̥ əː m											
1652-5					dʑ əː ŋ											
576-5					ŋ aːi̯											
1738-5					ɗ a t											
442-5					h ei̯ m											
368-5					dʑ j a											
1778-5					b r ei̯											
1859-6						ʔ iː										
175-6						k a										
241-6						ʔ uː t										
2163-6						k ɔ h										
2181-6						n a m										
2060-6						ʔ oː m										
410-6						ɗ ai̯										
1841-6						m ɔ h										
2017-6						h eːi̯										
1004-6						l̥ əː										
614-6						b aː n										
686-6						b l ei̯										
88-6						k a t										
872-6						n i n										
1891-6						ɗ ə										
68-6						s i										
631-6						b aː n										
594-6						k a										
1759-6						h a n										
805-6						k əː ŋ										
756-6						h j a										
1201-6						m ɔ h										
2042-6						ʔ a										
1968-6						ɗ a t										
2000-6						l̥ əː ŋ										
17-6						b aː n										
4-6						pʰ o m										
788-6						ɗ ai̯										
1219-6						h eːi̯ m										
141-6						ʔ aː ŋ										
541-6						p aː n										
1687-6						h uː										
123-6						m̥ əː m										
1652-6						dʑ əː ŋ										
576-6						ŋ a										
1738-6						ɗ a t										
442-6						h o m										
368-6						ɗ j a										
1778-6						p a n										
1859-7							ŋ ai̯									
175-7							k a									
241-7							ʔ uː ʔ									
2163-7							l o k									
2181-7							n ɔː m									
2060-7							ʔ au̯ m									
410-7							t a									
1841-7							m aːi̯									
2017-7							h iː									
1004-7							d ɛ									
614-7							p o h									
686-7							p a n									
88-7							k j ʔ									
872-7							n ɔː									
1891-7							t a									
68-7							s i									
631-7							p o k									
594-7							k j									
1759-7							ʔ a h									
805-7							k ɔː n									
756-7							h au̯									
1201-7							m u									
2042-7							ʔ a									
1968-7							t a ʔ									
2000-7							d ɔː n									
17-7							v ɔ ʔ									
4-7							pʰ oː m									
788-7							t a									
1219-7							h iː									
141-7							ʔ ə ŋ									
541-7							p ə									
1687-7							h uː h									
123-7							f aː m									
1652-7							dʑ ɔː n									
576-7							ŋ ai̯									
1738-7							t a k									
442-7							h ɔː m									
368-7							t j a									
1778-7							p əː ʔ									
1859-8								ŋ aːi̯								
175-8								g a								
241-8								ʔ uː								
2163-8								kʰ iː								
2181-8								n a ʔ								
2060-8								ʔ i m								
410-8								t ɛ								
1841-8								m u								
2017-8								h ei̯								
1004-8								t eː								
614-8								p l h								
686-8								p l eː								
88-8								g a ʔ								
872-8								n a ŋ								
1891-8								ɗ eː								
68-8								s i								
631-8								p l ai̯								
594-8								g a								
1759-8								h a h								
805-8								g i ŋ								
756-8								h ei̯								
1201-8								m u h								
2042-8								ʔ a								
1968-8								t a ʔ								
2000-8								t eː ŋ								
17-8								v a ʔ								
4-8								pʰ ɔː m								
788-8								ɗ ɛ								
1219-8								h i t								
141-8								ʔ a ŋ								
541-8								p r j								
1687-8								h a h								
123-8								n a m								
1652-8								tɕ ɔ ŋ								
576-8								ŋ a ŋ								
1738-8								ɗ a ŋ								
442-8								h o m								
368-8								t j a								
1778-8								p l ai̯								
1859-9									ŋ aːi̯							
175-9									l i							
241-9									ʔ i t							
2163-9									kʰ iːu̯							
2181-9									n ə m							
2060-9									ʔ i m							
410-9									d e							
1841-9									m əi̯							
2017-9									h iː							
1004-9									d o							
614-9									b o ʔ							
686-9									b l i							
88-9									k ɛ ʔ							
872-9									n ə ŋ							
1891-9									d ɔː							
68-9									s i m							
631-9									b l a n							
594-9									g o ʔ							
1759-9									h a n							
805-9									g j a							
756-9									h iː							
1201-9									m ui̯ h							
2042-9									ʔ i							
1968-9									ɗ a t							
2000-9									d o ŋ							
17-9									v a t							
4-9									pʰ o m							
788-9									ɗ e							
1219-9									h i m							
141-9									ʔ i ŋ							
541-9									b r a							
1687-9									h iː							
123-9									m a m							
1652-9									tɕ a ŋ							
576-9									ŋ a							
1738-9									ɗ ɔː m							
442-9									h o m							
368-9									d j a r							
1778-9									b l ai̯							
1859-10										ŋ aːi̯						
175-10										k a t						
241-10										ʔ u ʔ						
2163-10										kʰ ɔ n						
2181-10										n a m						
2060-10										ʔ i m						
410-10										d ɛ ŋ						
1841-10										m ɛː						
2017-10										h a						
1004-10										r̥ ə						
614-10										b aː n						
686-10										b l e						
88-10										k a ʔ						
872-10										n a ŋ						
1891-10										d ɔː						
68-10										s i m						
631-10										b aː n						
594-10										k o n						
1759-10										h a n						
805-10										k ə ŋ						
756-10										h a t						
1201-10										m u ʔ						
2042-10										ʔ a						
1968-10										d a ŋ						
2000-10										dʑ ə ŋ						
17-10										b aː n						
4-10										pʰ o n						
788-10										ɗ ɛ						
1219-10										h a m						
141-10										ʔ i ʔ						
541-10										b aː n						
1687-10										h u r						
123-10										j a m						
1652-10										dʑ ə ŋ						
576-10										ŋ aːi̯						
1738-10										g ə p						
442-10										h ɔː m						
368-10										d j ŋ						
1778-10										b aː n						
1859-11											ŋ ai̯					
175-11											k a					
241-11											ʔ uː					
2163-11											k j əː					
2181-11											n aː					
2060-11											ʔ au̯					
410-11											t ɛ					
1841-11											m ai̯					
2017-11											h ɔi̯					
1004-11											d ɔ					
614-11											b aː					
686-11											b a t					
88-11											k a ʔ					
872-11											n aː ŋ					
1891-11											t a					
68-11											s ai̯					
631-11											b a n					
594-11											k ɔː					
1759-11											h a					
805-11											k ə n					
756-11											h ɔi̯ ʔ					
1201-11											m u h					
2042-11											ʔ a					
1968-11											t a ʔ					
2000-11											d ɔ ŋ					
17-11											v ɔ ʔ					
4-11											pʰ o n					
788-11											t ɛ					
1219-11											h i					
141-11											ʔ a ŋ					
541-11											b a					
1687-11											h ɔi̯ ʔ					
123-11											tɕʰ i					
1652-11											dʑ ɔː n					
