COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	s ɔ ³¹								
495-1	n i ⁵⁵								
838-1	s o ŋ ⁵⁵								
438-1	ȵ i ⁵⁵ ⁵⁵								
334-1	l ə ʔ ⁵⁵								
360-1	l ə ⁵⁵								
394-1	ȵ i ⁵⁵								
221-1	s a ⁵⁵								
202-1	k ɔ ³¹								
935-1	x ɔ								
93-1	s i ³¹								
7-1	p a ⁵⁵ ⁵⁵								
664-1	x ɔ ³¹								
246-1	k ə w ⁵⁵ ⁵⁵								
547-1	s a ŋ ⁵⁵								
555-1	s o ³¹								
464-1	ȵ ʐ ³¹								
119-1	ȵ i ⁵⁵ ³⁵								
835-1	n o ⁵⁵ ⁵⁵								
79-1	t i ³¹								
693-1	s ɔ ³¹								
477-1	n a ⁵⁵ ⁵⁵								
891-1	s o ŋ ³⁵								
528-1	x ɔ ⁵⁵								
797-1	k a w ⁵⁵ ⁵⁵								
493-1	n i ŋ ⁵⁵								
217-1	s u ⁵⁵ ⁵⁵								
896-1	tsʰ ɔ ³¹ ⁵⁵           ⁵⁵								
452-1	ȵ i ⁵⁵ ⁵⁵								
580-1	s ʐ ʔ ⁵⁵								
833-1	n a ⁵⁵ ⁵⁵								
390-1	ȵ ʐ a ⁵⁵ ³¹								
696-1	s ɔ ³¹								
86-1	tsʰ i ŋ ³⁵								
384-1	ȵ ʐ ⁵⁵ ⁵⁵								
61-1	tsʰ a ⁵⁵ ⁵⁵								
536-1	s o ʔ ⁵⁵								
731-1	ʂ a ŋ								
779-1	a ɔ ³¹								
589-1	x o ŋ ⁵⁵								
658-1	x ɔ ⁵⁵								
456-1	ȵ ʐ ə ⁵⁵ ³¹								
183-1	k ʐ w ŋ								
785-1	k a ³¹								
714-1	x a ⁵⁵ ⁵⁵								
331-1	l ə ³¹								
930-1	x i ⁵⁵								
161-1	k ə a ⁵⁵ ³¹								
814-1	x ui ³¹								
179-1	k ʐ w a ³¹ ⁵⁵								
194-1	s a a ⁵⁵ ⁵⁵								
727-1	ʂ ɔ								
260-1	k ɔ ⁵⁵ ⁵⁵								
144-1	k a ⁵⁵ ³⁵								
53-1	p ʐ ⁵⁵ ⁵⁵								
59-1	t i ʔ ⁵⁵								
506-1	p ɔ ŋ ⁵⁵								
29-1	p i ŋ ⁵⁵								
316-1	x o ʔ ⁵⁵								
389-1	ȵ ʐ ə a ³¹ ³¹								
118-1	ȵ ʐ ⁵⁵ ⁵⁵								
312-1	k a ³¹								
490-1	n i ⁵⁵ ⁵⁵								
436-1	ȵ i ⁵⁵								
927-1	x ʐ ⁵⁵ ⁵⁵								
383-1	ȵ ʐ ʔ ⁵⁵								
211-1	s u m ⁵⁵								
873-1	s i ŋ ³⁵								
877-1	s a ³¹								
344-1	l ə m ⁵⁵								
666-1	s ɔ ³¹								
595-1	tsʰ ɔ								
660-1	x a ⁵⁵								
642-1	tsʰ ə ³¹ ³⁵								
257-1	x ʐ w ⁵⁵ ⁵⁵								
167-1	k i ʔ								
880-1	k ə ⁵⁵ ⁵⁵								
484-1	n i a ⁵⁵ ³¹								
574-1	s o ³¹ ⁵⁵								
718-1	ʂ a ⁵⁵ ⁵⁵								
811-1	x a ³¹								
458-1	s o ŋ ³⁵								
884-1	ʈʂ o ³¹ ⁵⁵								
205-1	k ɔ ʔ ⁵⁵								
499-1	n i ⁵⁵								
706-1	ʂ ɔ ⁵⁵								
920-1	x o ³¹								
36-1	p ɔ ⁵⁵ ⁵⁵								
12-1	p i ⁵⁵								
350-1	l ə a ⁵⁵ ³⁵								
4-1	p ʐ ⁵⁵ ⁵⁵								
342-1	x ɔ ʔ ⁵⁵								
280-1	x ɔ ⁵⁵								
612-1	s o a ³¹ ³¹								
459-1	ȵ ʐ ə ŋ ³¹								
569-1	s i ³¹								
283-1	x ʐ w ⁵⁵								
148-1	k ɔ ⁵⁵								
652-1	x i								
220-1	s o ³¹ ³¹								
562-1	s ɔ a ⁵⁵								
31-1	p ʐ w ⁵⁵ ³¹								
386-1	ȵ ʐ ⁵⁵								
804-1	k ə ³¹								
369-1	l ə ŋ ⁵⁵								
125-1	t ʐ ³¹								
314-1	ȵ a w a ³¹								
823-1	l ɔ ⁵⁵ ⁵⁵								
471-1	n i m ⁵⁵								
40-1	p ʐ ə ŋ ³¹								
393-1	ȵ ʐ ³¹ ³⁵								
272-1	k ʐ w ⁵⁵ ³¹								
463-1	ȵ ʐ ⁵⁵								
1-1	p ʐ ³¹								
214-1	s u m ⁵⁵								
123-1	t i ³¹								
512-1	x ɔ ⁵⁵ ⁵⁵								
518-1	x ɔ w ⁵⁵								
878-1	t o ³¹								
849-1	x ɔ ⁵⁵ ⁵⁵								
524-1	x ɔ ʔ ⁵⁵								
90-1	ʈʂ o ³¹								
541-1	s a ³¹								
933-1	n o ³¹								
467-1	n i ³¹								
49-1	p ʐ ³¹								
822-1	l ʐ ⁵⁵ ⁵⁵								
52-1	p ʐ ³¹								
377-1	l ə ʔ ⁵⁵								
127-1	ʈʂ a ³¹ ⁵⁵								
67-1	ʈʂ ui ³¹ ⁵⁵								
864-1	p ɔ a ⁵⁵								
126-1	ʈʂ ui a ³¹ ⁵⁵								
656-1	x m ⁵⁵								
635-1	ʈʂ a ³¹								
473-1	n o m ⁵⁵								
98-1	ʂ a a ⁵⁵								
445-1	ȵ i ³¹								
379-1	l ui ⁵⁵								
323-1	k a w ⁵⁵								
485-1	n i a ⁵⁵ ³¹								
357-1	l i ŋ								
432-1	ȵ ʐ m ⁵⁵								
80-1	ʈʂ ui ³¹								
10-1	p a ³¹ ⁵⁵								
335-1	x ɔ ⁵⁵								
649-1	ʈʂ ɔ								
115-1	ʈʂ i ⁵⁵								
137-1	k ɔ ʔ								
844-1	p ɔ ³¹								
723-1	ʂ ɔ ⁵⁵ ⁵⁵								
