COGID	Albanian	English	French	German	Latin
560-1	k ə r				
438-1	p ə r				
1222-1	ʃ t				
353-1	p y m				
201-1	t y m				
20-1	t ə r				
503-1	p y m				
957-1	d r				
728-1	l a				
244-1	n				
289-1	n				
911-1	d r				
724-1	d r e				
145-1	d r				
992-1	k				
1181-1	k ə r d o				
741-1	p ə r				
1150-1	k ə r				
585-1	d r				
814-1	j u				
560-2		w ɪ t			
438-2		w r			
1222-2		w ɪ r			
353-2		f ɑ t			
201-2		f ɑ t			
20-2		w a n			
503-2		f l l			
957-2		n ɪ r			
728-2		l ɪ t			
244-2		n ɪ n			
289-2		n ɑ t			
911-2		w i t			
724-2		d r i			
145-2		s ɪ			
992-2		w ɪ n			
706-2		s i			
106-2		f ɑ t			
741-2		f ɑ t			
421-2		f l t			
227-2		f ɑ t			
920-2		h ɪ r			
1083-2		h ɑ t			
1066-2		s ɪ r			
1125-2		w ɪ n			
1197-2		m ə r			
473-2		n ɑ t			
284-2		n ɪ t			
661-2		w ɑ t			
701-2		r ai t			
315-2		r ai t			
1169-2		s i l			
1150-2		s ɑ r			
982-2		s i			
987-2		n ɪ t			
1055-2		s t			
1130-2		s i			
433-2		s i l			
625-2		l ɪ t			
1186-2		w ɪ n			
560-3			v u		
438-3			v r w a		
1222-3			v u		
353-3			f u		
201-3			f u		
20-3			f r a a		
503-3			f l l		
957-3			k u		
728-3			l a		
244-3			n u		
289-3			n u		
911-3			d r w a		
724-3			d r w a		
145-3			d u		
992-3			k u		
1181-3			k u		
706-3			f u		
106-3			f r		
741-3			p u		
421-3			f l		
227-3			f u		
920-3			k u r		
1083-3			k u r		
1066-3			f r		
1125-3			k u		
1197-3			m ɛ r		
473-3			n u		
284-3			n u		
661-3			v u		
701-3			d r		
315-3			d r		
1169-3			s ɑ̃		
1150-3			k u		
982-3			s ɑ̃		
987-3			s u		
1055-3			s ɑ̃		
1130-3			s ɑ̃		
433-3			s u		
585-3			d r		
625-3			l u		
1186-3			d r		
814-3			v ɑ̃		
560-4				v i n	
438-4				v r	
1222-4				v i	
353-4				f eː	
201-4				f eː n	
20-4				f a s	
503-4				f l aː	
957-4				n n	
728-4				l a n	
244-4				n i n	
289-4				n uː n	
911-4				r a s	
724-4				t r iː	
145-4				t eː	
992-4				h a l	
1181-4				ʃ a n	
706-4				v a	
106-4				f eː	
421-4				f l	
227-4				f eː	
920-4				h a r	
1083-4				h a r n	
1066-4				v eː	
1125-4				g eː n	
1197-4				m u r	
473-4				n uː n	
284-4				n uː n	
661-4				v a n	
701-4				r e	
315-4				r e n	
1169-4				z a l	
1150-4				ʃ a r	
982-4				z eː	
987-4				n eː n	
1055-4				ʃ t	
1130-4				z eː	
433-4				z eː	
585-4				t eː	
625-4				l eː	
1186-4				t eː	
814-4				v i r	
560-5					w e n t
438-5					w r n
1222-5					w e n
353-5					p u n o
201-5					p u n
20-5					k a n t
503-5					p l l
957-5					n a n u
728-5					l a n u
244-5					n oː n o
289-5					n oː n t
911-5					w e r i
724-5					s r n i
145-5					k a
992-5					k a
1181-5					k a n u
706-5					p o n u
106-5					p u r o
741-5					p u l o
421-5					f l o
227-5					p u l o
920-5					k a r m i
1083-5					k a r m i
1066-5					k e
1125-5					n e n u
1197-5					m o r m i
473-5					n oː n u i
284-5					n oː n u
661-5					w e n o
701-5					r eː m i
315-5					r eː n i
1169-5					s t l i
982-5					s t m i
987-5					n t n u
1055-5					s t n t o
1130-5					s t k
433-5					s t n i
585-5					s t
625-5					l t n t
1186-5					s a n t
814-5					w e r m
