COGID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	ProtoKaren	SouthernPao	WesternBwe
21-1	t ɔ ¹¹							
33-1	t o ¹¹							
46-1	p l e ¹¹							
126-1	s e ³³							
114-1	b e ¹¹							
149-1	p l e ¹¹							
171-1	tʰ e ³³							
191-1	w ɛ ¹¹							
203-1	n i ³³							
224-1	l e ¹¹							
275-1	kʰ ɛ ¹¹							
302-1	ʔ o ³³							
315-1	tʰ ɔ ⁵⁵							
394-1	n o ¹¹							
431-1	pʰ e ³³							
444-1	p e ³³							
445-1	n ɛ ¹¹							
514-1	s i ¹¹							
555-1	kʰ r w							
579-1	cʰ ɛ ³³							
603-1	kʰ ɛ ¹¹							
737-1	l o ¹¹							
763-1	cʰ ɨ ¹¹							
870-1	kʰ i ⁵⁵							
918-1	ʔ o ³³							
979-1	l e ¹¹							
1013-1	m e ¹¹							
1040-1	tʰ w i ¹¹							
1027-1	m e ¹¹							
1053-1	l i ¹¹							
1065-1	m e ¹¹							
1091-1	m o ¹¹							
1116-1	ʔ a ¹¹							
1129-1	n ɛ ¹¹							
1173-1	d ə ¹¹							
1207-1	cʰ ɛ ³³							
1255-1	p a ¹¹							
1277-1	t a ³³							
1290-1	b u ¹¹							
1301-1	cʰ ɨ ¹¹							
1337-1	m o ¹¹							
1323-1	m o ¹¹							
1350-1	m a ¹¹							
1372-1	j a ¹¹							
1498-1	d a ¹¹							
1664-1	l a ¹¹							
1652-1	ʔ o ¹¹							
1687-1	s e ³³							
1708-1	s o ¹¹							
1732-1	t o ¹¹							
1742-1	n o ¹¹							
1755-1	pʰ r ɔ ⁵⁵							
1767-1	s i ¹¹							
1786-1	j e ¹¹							
1803-1	w ɛ ¹¹							
1815-1	cʰ e ³³							
1840-1	p r ¹¹							
1853-1	tʰ e ³³							
1866-1	s e ³³							
1894-1	l e ¹¹							
1934-1	c w i ¹¹							
1947-1	kʰ ɛ ¹¹							
1993-1	pʰ r ³³							
2059-1	ʔ o ¹¹							
2098-1	j a ¹¹							
2086-1	tʰ u ³³							
