COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m a ⁴⁴									
53-1	ts i ²¹									
93-1	k ɯ ²¹									
216-1	s w a ⁴⁴									
236-1	ts o ³³									
267-1	tɕ j e n ³⁵									
316-1	p ɯ ³³									
327-1	ɣ ə ³³									
348-1	tɕ w ŋ									
400-1	j o ²¹									
452-1	k ə˞ ⁴⁴									
463-1	k o ⁴⁴									
512-1	p u ⁴²									
534-1	ts o ⁴⁴									
556-1	k o ³³									
568-1	x ɯ ⁴⁴									
588-1	s w a ⁴⁴									
599-1	pʰ ɯ ⁵⁵									
656-1	k u ²¹									
678-1	k o ŋ									
689-1	m a ⁴⁴									
700-1	m e ⁴⁴									
775-1	p j e n ³⁵									
786-1	k e ⁴⁴									
820-1	tɕ o ŋ									
839-1	t j ²¹ ³⁵									
863-1	k o ³³									
896-1	k ə˞ ⁵⁵									
929-1	tɕ j ⁴⁴									
1015-1	ʂ o ³⁵									
1035-1	tɕ o ³³									
1107-1	ʂ a ⁴⁴									
1173-1	ʂ i ³³									
1195-1	ʂ i ³³									
1241-1	m e n									
1252-1	l ou ²¹									
1294-1	k a ⁵⁵									
1326-1	tɕ o ³³									
1348-1	tɕ i ²¹									
1401-1	s e ⁴⁴ ⁴⁴									
1451-1	ʂ i ³³									
1473-1	t w e n ³³									
1507-1	ʈʂʰ i ⁵⁵									
1532-1	k ɯ ⁴⁴									
1543-1	ʂ ɯ ³³									
1575-1	ʂ e e n ⁵⁵									
1618-1	p ɯ ³¹									
1640-1	k u ⁴⁴									
1671-1	ʂ a ⁴⁴									
1731-1	ʂ o ⁴²									
1762-1	s w a ⁴² ⁵⁵									
1773-1	t ɯ ⁴⁴									
1794-1	k o ŋ ⁵⁵									
1805-1	ts i ²¹									
1816-1	ʂ o ³³									
1862-1	tɕ i ⁵⁵									
1885-1	k o ⁴⁴									
1914-1	ʂ i ³³									
1936-1	p u ³³									
1969-1	ʂ e e n ⁵⁵									
2018-1	ts o ŋ ⁴²									
2029-1	k a ⁵⁵									
2051-1	tɕ w ŋ									
2074-1	k o ŋ									
2085-1	m a ³³									
2130-1	p j ⁴⁴									
2245-1	ts i ⁴²									
2269-1	m e ³³									
2280-1	ʂ ou ²¹									
2291-1	s e e n ³⁵									
2316-1	tɕ i ⁴⁴									
2364-1	tɕ i ³³									
2395-1	tʰ u ⁴⁴									
2406-1	tɕʰ j ə˞ ⁴⁴									
2417-1	k o ŋ									
2428-1	k a ⁵⁵									
2450-1	ts o ²¹									
2484-1	ɕʰ a ⁴⁴									
2495-1	k o ²¹									
