COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	dʒ a ŋ							
37-1	n a n							
46-1	n a n							
98-1	kʰ a ŋ tʃ a ŋ a							
125-1	b i ŋ a ŋ							
162-1	l e i i							
171-1	o m t̪ o							
219-1	t a ŋ p u							
247-1	tʃʰ a ŋ l a							
282-1	l u s p u							
292-1	kʰ a ŋ							
301-1	l i							
354-1	m u m b a							
363-1	n a m b a							
397-1	g a m i i							
406-1	kʰ a u							
426-1	m ĭ k p a							
473-1	pʰ i n a ŋ							
499-1	ɕ a m ĭ n							
526-1	g a ʃ a							
544-1	kʰ u							
553-1	k o t a ŋ							
599-1	g o i a							
608-1	b a n							
617-1	j e n							
645-1	a n a							
663-1	s o ŋ							
672-1	t o ŋ p a							
681-1	ɲ i ɾ i							
690-1	m i ŋ							
708-1	tʃʰ a ɾ i ŋ							
717-1	dʒ o k p u							
726-1	s i							
744-1	a p a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m o m n a							
836-1	p u i							
881-1	l a m							
890-1	ɾ a b a							
899-1	s e r							
926-1	tʃʰ a m							
944-1	g a ɾ a ŋ							
953-1	ʃ a a k a ŋ							
980-1	tʃ a ɾ o ŋ							
998-1	pʰ ă i							
1022-1	g a b u							
1031-1	b i n a ŋ							
1069-1	tʃ o ŋ o  ŋ a							
1079-1	ʃ a l a							
1098-1	j a ŋ m u							
1117-1	tʃ u n							
1141-1	ɾ i ŋ m u							
1189-1	m a n							
1198-1	n u							
1208-1	ɕ a l a							
1217-1	l a n i							
1253-1	a m a							
1271-1	n u k a ŋ							
1289-1	m i ŋ							
1316-1	ŋ a ŋ							
1325-1	kʰ a m							
1334-1	s i ŋ m a							
1343-1	b u n a ŋ							
1361-1	j e n a ŋ							
1370-1	n a k u							
1388-1	m a n							
1397-1	tʃʰ u ɾ							
1406-1	tʃ o ŋ							
1424-1	g a ɾ a ŋ p a ŋ k  ŋ							
1433-1	ʃ u g u							
1442-1	l a m							
1451-1	b a i a m a							
1468-1	pʰ a k p a							
1477-1	ŋ a s							
1502-1	ŋ a m a a							
1511-1	m u t̪ j a ŋ m a							
1529-1	tʃʰ a l u							
1538-1	s u l u							
1557-1	tʃ o i u u							
1618-1	i n tʃ i							
1663-1	ɕ u m							
1689-1	ŋ o i							
1698-1	kʰ u ŋ							
1707-1	m o ŋ n a ŋ							
1716-1	ŋ a m							
1742-1	m u t̪ i							
1751-1	b u ʃ i l a							
1778-1	s a							
1787-1	tʃʰ u ɾ k u							
1823-1	l e m							
1832-1	k a ɾ m a							
1842-1	l u ŋ							
1860-1	ŋ a m							
1869-1	ʃ u p u a ŋ							
1888-1	ʃ a m a o							
1897-1	s e							
1932-1	ɾ i n a ŋ tʃ							
1950-1	ɕ u							
1968-1	t o ŋ m a							
1978-1	k u t̪ p a							
1987-1	s a m							
2015-1	ŋ a m k a							
2118-1	m o ŋ tʃ o							
2238-1	ŋ a ɾ k a							
2507-1	tʃʰ n n u ŋ							
2526-1	l e							
2535-1	ʃ a							
2544-1	ʃ i ŋ							
2560-1	s o ŋ n a ŋ i ŋ n  ŋ							
2569-1	kʰ e i u a							
2578-1	n i k i ŋ							
2596-1	d̪ u ŋ							
2615-1	ɾ i							
2663-1	g i t i							
2690-1	s i							
2719-1	ɾ i n i							
2728-1	k o tʃ u ŋ							
2747-1	ɲ i ŋ							
2756-1	s e r b u							
2774-1	b o ɲ i ŋ							
19-1	n a ʃ							
28-1	n a ʃ							
89-1	g a ŋ p u							
107-1	d̪ i m i n							
190-1	p u tʃ i							
229-1	kʰ a							
257-1	tʃʰ a ŋ k							
338-1	b ă u ŋ							
436-1	ɕ u l u							
483-1	tʃʰ a							
535-1	s o s o							
571-1	g e l e n							
699-1	d̪ u ŋ p a							
845-1	ɾ o k							
971-1	tʃʰ i p u u							
1049-1	b u							
1161-1	a m							
1180-1	ʃ a							
1226-1	l a ɲ i							
1235-1	n a m n a ŋ							
1280-1	s i ŋ a							
1352-1	g u							
1379-1	s i							
1415-1	ɾ a							
1636-1	b ă tʃ i							
1654-1	l i							
1680-1	kʰ a n							
1725-1	tʃ a p tʃ a							
2127-1	dʒ a m a a							
2181-1	d̪ i l							
2366-1	j a k a a							
2672-1	b a g a							
2681-1	b a l u ŋ							
55-1	d̪ a							
80-1	tʃʰ u ŋ							
116-1	tʃʰ u l i							
210-1	g u i							
319-1	pʰ u t k a							
453-1	tʃ a ŋ p u							
508-1	ŋ a m							
754-1	tʃ a							
764-1	g a ɾ a ŋ							
827-1	b i							
1244-1	k u o							
1460-1	s o ŋ							
1734-1	ɕ i m b							
2033-1	g o k p o							
2172-1	b i l o							
2209-1	b i t i ŋ							
2256-1	pʰ u l o							
2517-1	ŋ a m							
2654-1	b o ŋ							
2737-1	ŋ i k a							
