COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n i tʃ + n tɬ								
2-1	k e + + tɬ i								
8-1	k a w  w i								
16-1	k s + tɬ								
24-1	i s t i								
32-1	m i k +  i								
51-1	i n + oː +								
52-1	k a k + tɬ w k								
53-1	n a w a + + tɬ								
54-1	t a + + t +								
55-1	k w a +  k k w								
60-1	i ts + t i i i i								
83-1	t i + tɬ								
87-1	i a + a + +  n								
92-1	m i w a +								
103-1	m i +  i i								
106-1	k a w +  k k k k k k k k k k k k k k i k k k k k k k								
138-1	n e p a a + tɬ								
139-1	m i k + + tɬ i k								
142-1	m i + i  i								
145-1	m i + tɬ i +								
176-1	t e k a + tɬ								
179-1	n a w a + tɬ								
180-1	m i + + tɬ i								
186-1	k w tʃ + k								
190-1	j a w a tɬ								
194-1	s i +  i i								
220-1	i ʔ + t								
231-1	i i o +  i								
240-1	k o tʃ +  i								
283-1	t e + t								
293-1	i n + oː +								
314-1	k w a + a tɬ								
315-1	i n i								
322-1	t e p a a +								
323-1	t a p  i i								
9-1	t oː t oː + tɬ								
17-1	i m i + tɬ								
22-1	t a + i								
30-1	w a w +  i								
88-1	i i n t								
158-1	k a w k k +								
159-1	a ʔ o + i k t								
177-1	m i n +								
184-1	t oː n a + tɬ								
187-1	j a n + w a								
227-1	x o + + tɬ +								
235-1	m i + tɬ								
249-1	i eː n + tɬ i								
251-1	m i + tɬ								
289-1	k w aː k								
294-1	t e p a a + t								
296-1	n e n +								
313-1	t a n + t								
316-1	n e p + tɬ								
318-1	t o t t i n								
320-1	a + tɬ								
324-1	i s t e k								
326-1	a k w  k i k i								
1-2		h u tʃ u							
2-2		t o n t							
8-2		j e k u  e							
16-2		s s w t i							
24-2		i s w i							
32-2		r u k i							
51-2		h u n u							
52-2		j a + + t i							
53-2		n a + o + e  o n							
54-2		t eː + l							
55-2		k w a +  t k k n							
60-2		i uː t  i t							
83-2		t e							
87-2		tʃ a m a +							
92-2		t a +  a t a a n							
103-2		r a w t							
106-2		k o + +  t k k k							
138-2		h o k + k							
139-2		s u k + t i							
142-2		t a m  t t							
145-2		t u w t a k							
176-2		t eː k o + t							
179-2		n o + o + t							
180-2		s eː n + t i							
186-2		k o k u  t							
190-2		j e + +  t							
194-2		s e s   t							
220-2		i h + t i							
231-2		i t a +  t							
240-2		k o tʃ u							
283-2		t e w u t i k t i      t t t   t  t t t							
293-2		i uː t i							
314-2		k o k + t i  k n							
315-2		h n tʃ i  e							
322-2		t e n t i t k							
323-2		t eː m							
9-2		t eː t a							
17-2		i h + + t i  + n							
22-2		t a m i							
88-2		i h h +  t							
158-2		j e k + +							
159-2		s t i a							
177-2		s u s +							
184-2		t eː w a + t							
187-2		j a + + w a							
227-2		i u h l							
235-2		s u w t a +							
249-2		tʃ u n o t i							
289-2		k w a + a +							
294-2		t e k t k							
296-2		h							
313-2		t a n							
316-2		h							
318-2		t eː t a							
324-2		i s w i							
326-2		k +							
1-3			m o w i						
2-3			n w aː + t						
8-3			w a p eː						
16-3			j s i ʔ i ʔ						
24-3			i s i i ʔ						
32-3			m i k +						
51-3			j n + ʔ						
52-3			w a k + t i ʔ						
53-3			n a k a s i						
54-3			t a l t						
55-3			k w a h  a						
60-3			s x +  + + + i ʔ						
83-3			t e +						
87-3			p a n a +						
92-3			m i k a l  a						
103-3			m i n aː						
106-3			k a k w						
138-3			n e p a  a a						
139-3			m i k + t i ʔ						
142-3			m i n i						
145-3			m i x t i ʔ						
176-3			t a k a + ʔ						
179-3			n a k a + ʔ						
180-3			m i n + t i						
186-3			k e k +  +						
190-3			j a k a t i						
194-3			s e n  i i						
220-3			j + u t i						
231-3			i t a h  a						
240-3			k o w i						
283-3			t e p						
293-3			i n + t t						
314-3			k w a h a ʔ ʔ						
315-3			j e i k  o						
322-3			t e p u l i k						
323-3			t eː n  w a						
9-3			t e t o + ʔ						
17-3			j x i + t						
22-3			t a n a						
30-3			w a l						
88-3			i iː i h  i						
158-3			w a a a k w a						
159-3			a j i h i ʔ						
177-3			m i a h						
184-3			t o k a + ʔ						
187-3			j a n i w a ʔ ʔ						
227-3			x o l t						
235-3			m i x t i +						
249-3			p o k + t i						
251-3			m i n t w k						
289-3			k w aː h i +						
294-3			t e p a  a a						
313-3			t a n						
316-3			n e p + t						
318-3			t o n eː l						
320-3			a +						
324-3			i s i a +						
326-3			a +						
1-4				m o tʃ i					
2-4				n i x +					
8-4				w e w o					
16-4				tɬ e + t tɬ i					
24-4				i h t e tɬ +  i i					
32-4				m i k i					
51-4				i n + o					
52-4				w a k a t w					
53-4				n a k a l i					
54-4				t i l +					
55-4				k w a +  w					
60-4				i h + t i + +					
83-4				t i + t i					
87-4				tʃ e tɬ a n +					
92-4				m e k a +					
103-4				m e n o +					
106-4				k a k a k					
138-4				n e n a a					
139-4				m i k + t i k					
142-4				m e tɬ e					
145-4				m o n t i k					
176-4				t i k a + i					
179-4				n a k a + tɬ					
180-4				m e n + t i					
186-4				k e tʃ i  i					
190-4				j e k a + j					
194-4				s i w o +					
220-4				i h t t i					
231-4				i h e +  i					
240-4				k o tʃ i					
283-4				t e + t i					
293-4				i n + o					
314-4				k w w a k k					
315-4				i n e +  i					
322-4				t e p a a l					
323-4				t i n +  i					
9-4				t o t o					
17-4				i n t o					
30-4				w i n o  i					
88-4				i h w +  i					
158-4				w e j a k w					
177-4				m e j k					
184-4				t o k o + i ts					
187-4				j e n + o i					
227-4				x o l +					
235-4				m o n t i l +					
249-4				tʃ e k + t i					
251-4				m o n o i k + tɬ					
289-4				k w a k a					
294-4				t e p a a					
296-4				n e n + + e					
313-4				t a n +  tɬ					
316-4				n e w + n +					
318-4				t o t o n +					
320-4				a h tɬ i  i					
324-4				i h t e k					
326-4				a h w k +					
1-5					m o n i				
2-5					t e m t				
8-5					t a n o				
16-5					j s s t i k				
24-5					i s t i				
32-5					m iː k o				
51-5					t h + t				
52-5					t a b + t i k				
53-5					t a m a +				
54-5					t a				
55-5					b aː b  a a				
60-5					i x + t i a				
83-5					t e + t i				
87-5					i a t a				
92-5					m iː m a +				
103-5					m iː				
106-5					g a b o				
138-5					t e p t				
139-5					m iː k + t i				
142-5					m iː t i				
145-5					m iː + t i k o				
176-5					t a b a + t				
179-5					t a m a + t				
180-5					m iː + + t i				
186-5					g e tʃ +  a				
190-5					j e k + + t				
194-5					s e s				
220-5					h h t t i				
231-5					i h i +				
240-5					g o tʃ i				
283-5					t e p t i				
293-5					i oː x				
314-5					b aː + a				
315-5					h m iː p				
322-5					t e p a t +				
323-5					t e n  a				
9-5					t oː t o a t				
17-5					t h iː + t				
22-5					t a t i +				
30-5					t a x o				
88-5					i h i				
158-5					t a n a +				
159-5					t a i +				
177-5					m iː tʃ +				
184-5					t oː k o +				
187-5					j e m + a k t				
227-5					x o x +				
235-5					m iː aː t i				
249-5					ts o n + t i				
251-5					m iː n t o k o				
289-5					b aː tʃ a + a				
294-5					t e p a t				
296-5					t e n eː p i				
313-5					t a m				
316-5					t e p + t				
318-5					t oː t o t				
320-5					t + t i				
324-5					i s t i				
326-5					t h				
1-6						n i tʃ i			
2-6						t a k + t i			
8-6						t a w u			
16-6						t s i t i			
24-6						i s t i			
32-6						m i k			
51-6						u n i t			
52-6						w a +			
53-6						n a l a l e			
54-6						t a l +			
55-6						ts w a +  +			
60-6						i iː +  + + k			
83-6						t e l t i  k			
87-6						t eː t a +			
92-6						m a l a l  k			
103-6						m a l u			
106-6						t a +			
138-6						n e l  + e			
139-6						m i k			
142-6						m a t i			
145-6						m i n t e +			
176-6						t eː + a + t			
179-6						n a l a + t			
180-6						m i n + t i			
186-6						t e p i t			
190-6						j a l			
194-6						s e +  +			
220-6						u n i t i			
231-6						i t a +			
240-6						t u tʃ i			
283-6						t e k t e  k			
293-6						i n i			
314-6						t w a + a			
315-6						t n i k  e			
322-6						t e k + k i k			
323-6						t eː +  u e			
9-6						t eː t eː k t			
17-6						u n i			
22-6						t a t i			
30-6						t a l u			
88-6						i eː i  i			
158-6						t a l a l			
159-6						t t i			
177-6						m i a u l			
184-6						t uː n a k u			
187-6						j a n a			
227-6						ts + t + +			
235-6						m i n t i +			
249-6						t eː l			
251-6						m i n t			
289-6						t w a			
294-6						t e l  + e k			
296-6						n e n e k			
313-6						t a n +			
316-6						n e l + t			
318-6						t uː t a n			
320-6						t + t i			
324-6						i s t i l			
1-7							m		
2-7							ts		
8-7							t e n e		
16-7							t x t t		
24-7							m w + t		
32-7							m i n i		
51-7							o u n		
52-7							t e x t  x  t a    t x x x t x t  x t  x		
53-7							ts		
54-7							t u x		
55-7							k w e x  x  t a     x x x t a x   a  x		
60-7							a x + t		
83-7							t u n t		
87-7							t i x		
92-7							m i n i x    a    i x x x x a i   a  x		
103-7							m i tʃ tʃ		
106-7							k w n i		
138-7							ts		
139-7							m i n i		
142-7							m i t		
145-7							m u n		
176-7							t w w		
179-7							ts		
180-7							m i n		
186-7							k w n + t		
190-7							o o n o l t		
194-7							ts e n		
220-7							o w + t x		
231-7							t i e x		
240-7							k w m o		
283-7							t e n t		
293-7							m i		
314-7							k w e x e x t		
315-7							ts w i l		
322-7							t e e l		
323-7							t e n		
17-7							o w t		
22-7							t u x		
30-7							t e tʃ o		
159-7							a x e		
251-7							m u t		
296-7							ts		
320-7							a x t		
326-7							a x w      a    i x  x t a i   a		
1-8								n i tʃ iː	
2-8								n e + + tɬ ɨ	
8-8								w a l + + oː	
16-8								ɨ s s tɬ	
24-8								ɨ s t ɨ	
32-8								m i +	
51-8								j n	
52-8								w a k +  + + k	
53-8								n e k + + + k	
54-8								t a l + tɬ ɨ	
55-8								k w a + tɬ	
60-8								ɨ i +  + +	
83-8								t ɨ l +	
87-8								ɨ eː t a + +	
92-8								m a n + l  + k	
103-8								m i l +	
106-8								k w k +	
138-8								n e l + l	
139-8								m i + + t ɨ + k	
142-8								m a n ɨ	
145-8								m i s tɬ ɨ +	
176-8								t a k + + tɬ	
179-8								n e k + + tɬ	
180-8								m i n o tɬ ɨ	
186-8								k w tʃ + tɬ ɨ	
190-8								j a l + l tɬ	
194-8								s e n	
220-8								ɨ w	
231-8								ɨ h tɬ ɨ +	
240-8								k w tʃ iː	
283-8								t ɨ p tɬ	
293-8								ɨ n	
314-8								k w a + tɬ a + k	
315-8								ɨ n	
322-8								t ɨ p + l tɬ	
323-8								t a n	
9-8								t ɨ t ɨ + tɬ	
17-8								ɨ n	
22-8								t a t tɬ ɨ + tɬ	
30-8								ɨ a l o	
88-8								ɨ h ɨ +  ɨ	
158-8								w a l + + oː l k	
159-8								ɨ h ɨ +	
177-8								m i + a +	
184-8								t ɨ k + +	
187-8								j a n +	
227-8								ɨ i l + tɬ ɨ	
235-8								m i s tɬ	
249-8								ɨ eː k + tɬ ɨ	
251-8								m w + o +  + k	
289-8								k w a tɬ	
294-8								t eː p + l	
296-8								n e h +	
313-8								tɬ a n +  +	
316-8								n e + + tɬ +	
318-8								t ɨ k tɬ ɨ +	
320-8								ɨ tʃ tɬ	
324-8								ɨ s t ɨ + tɬ	
326-8								ɨ k	
1-9									m o tʃ iː
2-9									n a x o k t +
8-9									j e j w e
16-9									tɬ e + t tɬ iː
24-9									i h t e
32-9									m iː k
51-9									j n + u +
52-9									j a j + t w
53-9									n a n a l t  k a
54-9									t a tʃ a
55-9									k w a
60-9									i h + tɬ iː +
83-9									t i + t
87-9									tɬ a t a tʃ +
92-9									m a k a
103-9									m e tʃ  a +
106-9									k a k a k
138-9									n e l + l
139-9									m e k
142-9									m a t e
145-9									m o n t e + k
176-9									t m e a k +  t a
179-9									n a n a + t
180-9									m e tʃ + o tɬ
186-9									k o tʃ iː tɬ +
190-9									j e k a + j
194-9									s o tɬ
220-9									j h + t iː
231-9									i o l  i a
240-9									k o tʃ iː
283-9									t e + n tɬ e
293-9									iː e + u e
314-9									k w a + iː k tɬ
315-9									m m e
322-9									t e p a a +  t a
323-9									t a e +
9-9									t u t u + t
22-9									t a t e e +  t a
30-9									j e iː +
88-9									iː e tʃ
158-9									j e j a k w   a
159-9									a a e
177-9									m iː a a +
184-9									t u k a tʃ
187-9									j a n + w a k tɬ
227-9									x iː tʃ iː
235-9									m o n tɬ
249-9									tɬ i k o tɬ iː
251-9									m o n t
289-9									k w a k a + i k iː
294-9									t e l a
296-9									n e n +
313-9									tɬ a n + tɬ w
316-9									n e p + tɬ +
318-9									t u n e
320-9									m o tɬ o + + tɬ
324-9									i i t a i tʃ a
326-9									m o o
