COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə t ə																		
63-1	ʔ a r ɨ n ə																		
107-1	g a b ə																		
112-1	d a b ə n ə																		
331-1	ʔ ɨ g u r																		
377-1	b ə b u																		
381-1	ʔ a r kʼ																		
417-1	r a r																		
451-1	s ə b ə																		
454-1	ʔ a s ə n																		
484-1	s ə s																		
535-1	ʔ a s u r																		
543-1	s ə s ə																		
593-1	ʔ a b ə r ə																		
640-1	m ə																		
1-1	d ə b ə r o																		
65-1	tʼ ɨ r																		
212-1	ʔ ɨ zː																		
244-1	ʔ a r a																		
248-1	m ə r ɨ																		
293-1	f ə r o																		
373-1	kʼ ɨ b ə																		
408-1	b ə r a																		
414-1	d ɨ b																		
601-1	ʔ a r o																		
642-1	ʔ ɨ n ə																		
60-1	ʔ ə sː i s ə																		
115-1	ʔ ɨ r ə																		
209-1	s ə n ə n ə																		
242-1	ʔ a r ə n ə																		
415-1	j ɨ n kʼ																		
450-1	j ə r																		
490-1	tʼ ə b																		
638-1	s ə r kʼ																		
645-1	kʼ a r																		
160-1	d ə r o																		
208-1	ʔ ɨ n kʼ u r																		
214-1	ʔ a b																		
378-1	ʔ a r g a																		
379-1	ʔ ə t ə																		
409-1	g a r ə r																		
598-1	ʔ a r ɨ																		
646-1	ʔ a r ə																		
210-1	ʔ ə bː																		
215-1	ʔ ɨ r																		
285-1	m ə bː a																		
332-1	ʔ ɨ g																		
380-1	ʔ a r a																		
412-1	s ə s a n ə																		
64-1	d ɨ r																		
67-1	w ə r																		
251-1	f ə bː																		
294-1	m ə r u																		
597-1	ʔ ə t ə																		
7-1	ʔ a r ɨ a																		
158-1	kʼ ə b ə																		
372-1	ʔ ə n f ə																		
374-1	b ə b ə																		
375-1	s ə b																		
411-1	ʔ ə r a																		
541-1	kʼ ə b																		
6-1	m ə r ə																		
113-1	b ə r																		
330-1	kʼ ə b																		
448-1	kʼ ə bː																		
449-1	ʔ a r a																		
491-1	d ɨ n g																		
596-1	ʔ ə g ə																		
4-1	g ɨ b																		
8-1	kʼ ə b ə																		
106-1	m ə t																		
290-1	ʔ a g ə																		
489-1	b ə b																		
602-1	m ə n																		
2-1	ʔ a r a																		
3-1	ʔ ə bː kʼ																		
213-1	ʔ a r																		
486-1	ʔ ə b ə																		
647-1	ʔ ə																		
10-1	tʼ ɨ bː u																		
110-1	d ɨ t																		
152-1	ʔ a r e																		
211-1	m ə bː																		
328-1	s ə t																		
333-1	m ə bː u																		
334-1	ʔ a r ə																		
410-1	kʼ ə r																		
540-1	l ɨ																		
109-1	g ə r																		
61-2		d ɨ m a																	
63-2		ʔ ɨ h ɨ m a																	
107-2		g ɨ m a d a																	
112-2		d ɨ m ə r																	
331-2		n ɨ g a r a																	
377-2		b ə kʼ u ɨ																	
381-2		ʔ ə d kʼ																	
417-2		r ɨ r a																	
451-2		tʃ ə b a																	
454-2		ʔ ə r ɨ n																	
484-2		tʃ ə j ɨ m a																	
535-2		ʔ a r a s																	
543-2		tʃ ə s ə																	
593-2		ʔ ɨ m a																	
640-2		m ə m kʼ																	
1-2		d e rː ə r																	
65-2		tʼ ɨ m o																	
163-2		tʃ ə w ə																	
212-2		ʔ ɨ n kʼ																	
244-2		ʔ a r b ə																	
248-2		m ə r a																	
293-2		f ə r ə s ə																	
373-2		kʼ ɨ m a																	
408-2		b ə r a																	
414-2		d ɨ m a																	
642-2		n ɨ f i																	
60-2		n ə rː ə s																	
115-2		l ɨ r a  a																	
209-2		tʃ ə m a m																	
242-2		ʔ a m a m a																	
415-2		dʒ ɨ n kʼ																	
450-2		dʒ ə r i																	
490-2		tʼ ɨ m a																	
645-2		kʼ ə r a  a																	
160-2		d ɨ r ə																	
208-2		ʔ ɨ n kʼ u r																	
378-2		ʔ a n a a d																	
379-2		tʃ ə j e n																	
409-2		g ə w o r																	
598-2		w ɨ d o																	
646-2		ʔ a w kʼ																	
210-2		d ə w e																	
215-2		ʔ ɨ h ɨ  a																	
285-2		m ə d ɨ																	
380-2		ʔ a w e																	
412-2		tʃ ə h																	
496-2		w ə r b ə r																	
64-2		d ɨ r a																	
251-2		f ə kʼ a																	
294-2		m ə kʼ t																	
597-2		ʔ ɨ d a																	
7-2		ʔ a l g a																	
158-2		kʼ ə d a																	
296-2		w ɨ d a																	
375-2		s ə m																	
541-2		kʼ ə h ɨ h																	
113-2		b ə n a																	
252-2		n ə r ɨ																	
330-2		kʼ ə l ɨ																	
449-2		ʔ ɨ r ɨ d																	
491-2		d ɨ n g a																	
545-2		w ɨ n ə n a																	
596-2		n ə g a																	
4-2		g ɨ j g																	
106-2		m ə t a																	
254-2		dʒ ɨ m a																	
290-2		ʔ ɨ r a																	
602-2		m ə n kʼ																	
2-2		d ɨ																	
3-2		d ɨ n ə																	
213-2		ʔ a r a																	
486-2		n ə h ə																	
10-2		tʼ ɨ kʼ u																	
152-2		ʔ a d a																	
211-2		m ə r a d																	
328-2		s ə d ə																	
333-2		m ə sː a m																	
334-2		ʔ ɨ m a ə																	
540-2		l ɨ d a																	
109-2		g ɨ n kʼ																	
61-3			d ə m																
63-3			ʔ a n a r																
107-3			g a t a																
112-3			d a t a r a																
331-3			d ə n a ə ɨ																
377-3			m ə n ə ə																
381-3			ʔ a t																
417-3			r ə t																
451-3			s ə w a t																
454-3			ʔ a n e r																
484-3			s ɨ n a r ɨ																
535-3			ʔ a z a r																
543-3			s ɨ z ə																
593-3			ʔ a t a t ɨ																
640-3			m a ə																
1-3			d ə p ə r ə																
65-3			x ə t																
163-3			s ə tʃʼ ə																
212-3			ʔ e n																
244-3			ʔ a t a a																
248-3			m ə t a																
293-3			kʼ ə r ə r																
373-3			kʼ ə r a																
408-3			m ə z a																
414-3			d a n a																
601-3			ʔ ə r ə																
642-3			ʔ ə n a a																
60-3			kʼ ə n ə r ə																
115-3			ʔ ə m a																
209-3			s ɨ t ə																
242-3			ʔ a t a r ɨ																
415-3			ʔ ɨ n a																
450-3			dʒ ə r																
490-3			x ə p ə ə																
638-3			s ɨ n																
645-3			kʼ a t																
75-3			ʔ a m a a r																
160-3			d ə r ə kʼ ə																
208-3			ʔ ə n kʼ a ə n																
214-3			ʔ a t a																
218-3			ʔ o n																
378-3			ʔ a n g a																
379-3			ʒ ə p ə																
409-3			g a t ə r ə																
497-3			t ə n																
598-3			x ɨ ə																
646-3			ʔ a n																
164-3			m ə p ə																
210-3			d ə p																
215-3			ʔ a n																
256-3			t ə t a																
285-3			m ɨ n a																
332-3			ʔ ə g a r																
380-3			ʔ a h																
412-3			s ɨ n																
496-3			w ə t ə ə																
64-3			d a n a																
67-3			w ə r																
169-3			m ə r																
251-3			kʼ ə																
461-3			x ə p																
547-3			w ə n a t																
597-3			ʔ ə m ə																
655-3			m ɨ n ə																
7-3			ʔ a t e a																
158-3			kʼ ə m ə																
168-3			ʔ ə r a																
296-3			ʔ ə h a t																
372-3			kʼ u n																
374-3			m ə n ə																
375-3			s ɨ w																
385-3			w ə n ə t																
411-3			t ə r a																
500-3			ʔ ə n a r																
6-3			m ə r ə																
17-3			ʔ ə h																
123-3			x ə m ə																
252-3			x ə p ə																
421-3			m a n ə																
448-3			kʼ ə n a																
449-3			ʔ a n ə																
545-3			x ɨ n																
596-3			x ə g a																
653-3			m ə t																
4-3			g ə																
254-3			dʒ ə																
290-3			ʔ a																
339-3			m ə n ə r																
460-3			x ɨ																
489-3			m ə ə																
552-3			ʔ ɨ n																
652-3			ʔ ə t																
119-3			ʔ a n																
298-3			x a t																
340-3			g ə ə																
458-3			d ə n																
459-3			ʔ a z ɨ																
607-3			ʔ ə h																
609-3			ʔ o x																
647-3			t ə h																
10-3			x ə n ə																
15-3			ʔ o n																
18-3			x ə n ə																
73-3			tʃ ə p																
76-3			m ə ə																
110-3			d a t																
121-3			t ə n																
167-3			g ə n																
255-3			kʼ ə ə																
297-3			g ə t																
299-3			g ə t																
338-3			m ə m																
342-3			m ə																
344-3			kʼ ə p ə																
410-3			kʼ ə																
540-3			x ə																
550-3			dʒ ə n																
61-4				d a m ə  ə															
63-4				ʔ a n ə r ə															
107-4				g ə r ə															
112-4				d a n a															
331-4				ʔ ɨ g ə															
377-4				b a n ə															
381-4				ʔ a n ə  ə															
417-4				kʼ a d ə  ə															
451-4				kʼ ɨ h a e															
