COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d u															
1089-1	n a															
1319-1	n ɔː															
1398-1	s u m d															
1557-1	g i r e															
1626-1	t a w															
1840-1	t i r̃															
2247-1	g o															
4677-1	k u r e															
5162-1	m i r̃ e															
5406-1	t a n d															
359-1	k a r a															
1577-1	g i r e															
2196-1	n a n a															
2230-1	s u r̃ e															
2533-1	b a r a															
3605-1	k a n d a															
3866-1	ɔ s u															
4553-1	t a															
4822-1	k u m b															
5254-1	d u r ɔ															
503-1	k i r̃ a															
1356-1	m a															
1881-1	n ɔː m															
3218-1	p i s u															
3372-1	n a m a															
3718-1	a r a															
4135-1	b a n i															
4694-1	g u s u															
807-1	k ɔ m															
2320-1	k a n															
2476-1	k o															
3719-1	m															
4081-1	d a m b a															
4313-1	n ɛ m															
4460-1	s u j															
5810-1	p i r d i															
93-1	d o															
260-1	b i r e															
385-1	z ɛ m b															
890-1	a m															
1336-1	t e															
1703-1	b a															
1769-1	t ɛ m b															
2162-1	b ɛ r ɛ															
2635-1	s u															
3031-1	d ɛ															
4591-1	t a r a															
5301-1	p ɛ r u															
5605-1	t i m															
463-1	d u m b															
1432-1	t a r u															
1474-1	t ɔ															
1788-1	s u															
2044-1	d i m b															
2713-1	t ɛ m															
3219-1	p a s u															
3425-1	j															
4184-1	ɲ a															
4629-1	n ɔː															
4759-1	n iː															
4904-1	n ɔː															
4960-1	g i															
4980-1	t i															
5059-1	g u															
5339-1	p a															
5549-1	t a															
5905-1	t i															
5922-1	b i r a															
5938-1	a															
1-1	p iː															
483-1	g e															
629-1	d o															
667-1	ɛ															
1254-1	z a															
1415-1	ɲ															
1542-1	n															
1683-1	s i															
1898-1	p u															
2901-1	t u															
2957-1	m a n d															
3048-1	b i															
3251-1	s a															
3885-1	d ɛ															
4402-1	j															
5622-1	p e r e															
6006-1	p i															
135-1	t u															
158-1	m ɔ															
194-1	b ɛ															
221-1	ɛ															
650-1	b e															
1152-1	t i															
1374-1	k ɔ															
1452-1	g a r a															
1862-1	i															
2083-1	k a															
2108-1	n a															
2636-1	m															
2924-1	p iː															
2941-1	b i															
3405-1	ɛ															
3751-1	p i															
4066-1	g ɔ															
4535-1	s u															
4888-1	s a															
5583-1	t a															
5751-1	t i															
5981-1	a															
114-1	d ɔ															
851-1	k ɔ															
1941-1	k i															
2179-1	t d															
2351-1	b a															
2496-1	n															
3482-1	m															
3497-1	n															
3588-1	k ɔ															
4202-1	g															
4293-1	z															
4921-1	s a															
408-1	j															
545-1	i															
978-1	t															
1052-1	n															
1070-1	k u															
1942-1	j															
2456-1	k ɔ															
2514-1	d u															
2666-1	s u															
2817-1	a															
3132-1	d u															
3300-1	ɛ															
3976-1	s															
4152-1	k i															
4361-1	t e															
4570-1	k ɔ															
4648-1	j															
5318-1	d ɔ															
5673-1	d ɛ															
5887-1	j															
446-1	k															
521-1	k															
1108-1	k															
1124-1	k															
1745-1	k															
1823-1	k															
2143-1	b a															
2265-1	u															
2392-1	k															
2579-1	d o															
2774-1	k a															
3339-1	k a															
3550-1	k															
4024-1	k															
4219-1	k															
4240-1	k															
4259-1	k ɔ															
4738-1	k u															
5197-1	k															
5447-1	k i															
5531-1	k															
5733-1	n															
5828-1	j															
562-1	k u															
998-1	k															
1022-1	k															
1023-1	k															
1205-1	k															
1275-1	k															
1578-1	k															
2063-1	k															
2334-1	k															
2798-1	k															
3252-1	k															
3463-1	k															
715-2		d u														
1089-2		n a														
1319-2		n iː														
1398-2		s u														
1557-2		g i r i														
1626-2		t a														
1840-2		t i														
2247-2		g e														
4677-2		k u r u														
5162-2		m i														
5406-2		t aː n i														
359-2		k a r i														
1577-2		g i r i														
2196-2		n a r i														
2230-2		s u														
2533-2		b a r i														
3605-2		k a n a														
3866-2		o s u														
4553-2		t a														
4822-2		k u m														
5254-2		d u r ɔ														
503-2		k i														
1356-2		m														
1881-2		n u m														
2084-2		j a														
2420-2		k u														
3218-2		b u s u														
3372-2		n a m a														
3718-2		a r a														
4135-2		b a n i														
4694-2		g u s u														
807-2		k o m														
2320-2		k a r ɛ														
2476-2		k u														
2842-2		d i														
4081-2		t a m														
4313-2		n i														
4460-2		s u														
5514-2		n ɛ n														
5810-2		t i														
93-2		d ɔ														
260-2		b i														
385-2		dʒ ɛ m														
890-2		a m														
1336-2		t e g e														
1703-2		b aː r														
1769-2		t e m														
2162-2		b ɛ r ɛ														
2635-2		s o														
2735-2		t a n a														
3031-2		d ɛ														
4591-2		t i r i														
5301-2		t ɛ r i														
5605-2		t i														
296-2		dʒ a m														
463-2		d u m														
762-2		b a n a														
1432-2		t a r i														
1474-2		t ɔ														
1788-2		s a														
2044-2		d i														
2713-2		t e														
3219-2		b a														
3425-2		j														
4184-2		n a														
4629-2		n u														
4759-2		n i														
4904-2		n u														
4960-2		dʒ i														
4980-2		t ɔ														
5059-2		g u														
5125-2		ɔ r ɔ ɔ														
5339-2		t a														
5549-2		t a w														
5771-2		dʒ u														
5905-2		t i														
5938-2		a r u														
1-2		t aː														
483-2		g e s u														
629-2		t i														
667-2		ɛ w														
1254-2		dʒ a														
1415-2		dʒ a														
1542-2		n iː														
1683-2		s i														
1898-2		t u														
2551-2		b i														
2901-2		t u														
2957-2		m														
3048-2		b aː														
3251-2		s a r a														
3885-2		t i r i														
4402-2		j														
5081-2		b i														
5622-2		t ɛ g i														
6006-2		t i														
43-2		s a														
135-2		t u														
158-2		m														
194-2		b aː														
221-2		ɛ														
650-2		b aː														
1152-2		t i														
1374-2		k ɔ														
1452-2		g a r i														
1862-2		j														
2108-2		n a														
2636-2		m														
2880-2		k u														
2924-2		t o s														
2941-2		b aː														
3405-2		ɛ														
3959-2		t o r i														
4066-2		g ɔ														
4535-2		s u														
4888-2		s a m														
5180-2		s a														
5751-2		t i														
5981-2		a														
114-2		dʒ ɔ														
702-2		ɔ r ɔ														
851-2		k u														
872-2		ɛ														
952-2		k u														
2179-2		n iː														
2351-2		b a														
2496-2		n iː														
4609-2		k ɔ r ɔ														
4740-2		g u														
4921-2		s a														
5982-2		k u														
978-2		t e m														
999-2		j														
1052-2		n iː														
1989-2		m														
2456-2		k ɔ														
2666-2		s u														
2817-2		a														
3132-2		t u														
3300-2		ɛ														
3977-2		m														
3978-2		m														
4260-2		ɔ														
4278-2		k u														
4334-2		s u s														
4361-2		t e g e														
4570-2		t e														
4648-2		j														
5673-2		t ɛ														
5887-2		j a														
446-2		t e														
1108-2		j														
1124-2		k														
1237-2		t														
1745-2		dʒ a j														
1823-2		t e s														
2143-2		b aː														
2265-2		u														
2392-2		k														
2579-2		t i s														
2902-2		j														
3197-2		k														
3339-2		k a r														
3550-2		t														
3943-2		b a r														
4240-2		t														
5197-2		k														
5531-2		k														
5733-2		n iː														
409-2		j e r														
562-2		s u														
1022-2		b i														
1205-2		j														
1275-2		t e														
1524-2		k														
1578-2		n iː														
2063-2		t														
2798-2		k														
3088-2		t a														
715-3			d u l a													
1089-3			n a l													
1319-3			n i													
1398-3			s u n u													
1557-3			g i ŋ e													
1626-3			d a g a													
1840-3			t i n g       e e													
2247-3			g e													
4677-3			k u l ɛ													
5162-3			k i n ɛ													
5406-3			t aː n d e													
359-3			g a l a  a													
1577-3			g i ŋ e													
2196-3			n a l a													
2533-3			b a b a													
3866-3			k i l i													
4553-3			t a g e													
5254-3			d u l ɛ													
503-3			k i n a													
1881-3			n i n b													
2084-3			j aː ŋ ɛ													
2420-3			k u l ɛ													
3218-3			p u n u													
3372-3			n a m a													
3718-3			a a m a													
2320-3			k a l a													
2476-3			k o l													
3719-3			k i													
4460-3			s i n ɛ													
5514-3			n ɛ n d e													
890-3			a a b b i													
1336-3			t eː g e													
1703-3			b a l ɛ													
2162-3			b ɛ l ɛ													
2635-3			s i													
2735-3			d a n a													
762-3			b a n a													
1788-3			s i													
2713-3			t iː m b													
3219-3			p aː n i													
4629-3			n i n g													
4904-3			n i n g													
5125-3			p ɛ n i i													
5771-3			k a g e													
5938-3			p a l a a													
1898-3			p u n ɛ													
2901-3			t u n i e													
2957-3			p a n i e													
3048-3			b a w a													
5081-3			b i n i													
6006-3			p i l a													
716-3			j a													
1152-3			t i b ɛ													
1789-3			n i l a													
2083-3			k a l a													
2108-3			n a n ɛ													
2618-3			k i l ɛ													
2880-3			k a n i i													
2941-3			b a l i													
3405-3			p i													
3811-3			p i													
5583-3			t a l g e													
5751-3			t i w a													
2442-3			n i l b													
2496-3			p i n i													
4921-3			s a m b a													
196-3			k a l ɛ													
3639-3			t i n ɛ													
3905-3			p i l b													
3977-3			p i n i i													
3978-3			p i n i i													
4361-3			t i l e													
5532-3			p i l i													
1237-3			p i n i i													
1579-3			p i b ɛ i													
2143-3			b a l													
2774-3			k a l i													
3198-3			s i													
3534-3			p i l i													
3550-3			p i m i													
3684-3			k i n i													
3943-3			p a l i													
4259-3			g u													
4611-3			k a b b													
4983-3			s i l i													
5656-3			p i n i i													
5830-3			j a													
1026-3			p i													
1170-3			g a													
1187-3			p i l i													
1275-3			p i l													
1454-3			s i													
1668-3			b a n e													
1841-3			g e													
1970-3			p u l i													
2977-3			k a l a													
3301-3			p i m a													
3498-3			p i													
715-4				d u												
1089-4				n a												
1319-4				n iː												
1398-4				s u ŋ												
1557-4				g i r u												
1626-4				w a g a												
1840-4				t i r̃												
2247-4				g o												
4677-4				k i r u												
5162-4				m i r̃ e												
5406-4				t aː n a												
359-4				g a r u												
1577-4				g i r u												
2196-4				n a												
2230-4				s i g u												
2533-4				b a r u												
3605-4				k a n a												
3866-4				o i u												
4553-4				t a												
4822-4				k i m												
5254-4				d u r u												
503-4				k i r̃ e												
1356-4				m a												
1881-4				n u m												
2084-4				j aː												
2420-4				k i												
3218-4				b u												
3718-4				a r u												
4135-4				b a n a												
4694-4				g u ŋ u												
807-4				k o m												
2320-4				k a												
2842-4				d i												
4313-4				n ɛ												
4460-4				s u												
5514-4				n ɛ n a												
5810-4				l i												
93-4				d ɔ												
260-4				b ɛ r u												
385-4				dʒ ɛ m												
890-4				a m												
1769-4				t ɛ m												
2162-4				b ɛ r u												
2635-4				s o												
