COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r i r									
18-1	h a r i r									
35-1	h i s ɨ r									
36-1	h u θ ɨ r									
48-1	n a g ɨ r a									
60-1	θ u r i									
63-1	s i r i r									
64-1	k i b									
67-1	h a ɨː									
68-1	n ɨ b ɨ r i									
71-1	ʔ i									
76-1	h u θ ɨ r									
83-1	θ ɨ b u r									
87-1	h a ɴ g e									
95-1	m i m									
98-1	h a ɴ a									
99-1	k u θ i									
-102-1	s i b a									
103-1	ʔ ɨ b u r									
110-1	θ ɨ b									
116-1	m u θ ɨ r									
120-1	n u r u r i									
132-1	k i r u r i									
139-1	k u r ɨ r u									
140-1	ʔ u ɨː u u									
156-1	θ a x ɨ r i									
168-1	ʔ ɨ b i									
169-1	h u s i									
170-1	m i b u r									
173-1	ʔ i s i									
180-1	k u r u r									
185-1	h a ɨː									
186-1	m u u i r i									
187-1	m i sː i									
190-1	ʔ a x a									
193-1	k i s a r i									
194-1	s i r i r a ɴ i									
195-1	k u r i r a ɴ i									
216-1	m a sː i r a									
221-1	n a m									
239-1	ʔ i x ɨ r									
252-1	m i s ɨ r									
253-1	ʔ u									
254-1	ʔ i u ɨ r ɨ r									
266-1	k a x a									
267-1	n a g ɨ r u									
268-1	ʔ u θ i									
272-1	ʔ a ɴ a r									
276-1	ʔ a ɴ a									
281-1	m u s i									
304-1	ʔ ɨ b a r									
305-1	ʔ i									
308-1	h a ɴ a									
309-1	k u r a									
310-1	θ u θ									
311-1	n ɨ ɴ									
342-1	ʔ u r i									
346-1	k u r i r a									
347-1	k i r i r i									
348-1	h i r i r a ɴ i									
351-1	θ u									
361-1	ʔ u θ u r a									
379-1	k u r a r u									
394-1	h i x i r i									
395-1	m i g u									
400-1	h i g a r u r i									
412-1	s a d a									
413-1	ʔ ɨ b i									
414-1	h u r i r i									
422-1	h u r u r u r i r i									
423-1	k a ɴ									
430-1	h a x j r i									
435-1	h u θ u r i									
446-1	s i θ a									
447-1	ʔ u ɨː s a									
458-1	θ u s i									
56-1	h i θ  r u									
62-1	ʔ i									
70-1	θ a ɴ a r									
96-1	m u s									
101-1	h a ɨː									
114-1	k u r u									
119-1	k i m u r									
134-1	s i									
138-1	s i g u r i									
146-1	ʔ a ɴ j r i									
161-1	ʔ a r i									
182-1	k i b u r a									
188-1	w a m a									
196-1	ʔ u r u r									
262-1	h i r i r a									
300-1	h i s i r									
313-1	h ɨ ɴ									
350-1	s i d a r a									
352-1	ʔ i x a r a									
396-1	h u r i r a									
401-1	ʔ u θ i r i									
420-1	ʔ u θ u r u r i									
424-1	ʔ ɨ u									
442-1	s i d u									
455-1	ʔ i x i r a r i									
15-1	ʔ a ɴ i r									
49-1	ʔ a a g e									
130-1	m i									
149-1	k u r i									
175-1	s i b a									
199-1	ʔ a ɴ ɨ r a									
230-1	ʔ a ɴ									
233-1	ʔ a ɴ									
264-1	k i r i									
274-1	n ɨ r u r									
298-1	k j g									
303-1	h a r a									
354-1	ʔ a ɴ a									
369-1	k i r i									
376-1	w a r i r a									
415-1	m u s u r u r i									
418-1	n ɨ g									
456-1	ʔ ɨ b a									
59-1	ʔ a θ									
118-1	s i									
142-1	θ u θ u r i									
14-2		k o r e								
18-2		d a r e								
35-2		h i r u								
36-2		h u tɕ a								
48-2		n a g a								
60-2		tɕ o r i								
63-2		s o r i a								
64-2		k i								
67-2		h a								
68-2		n e								
71-2		tɕ i								
76-2		h o n e								
83-2		tɕ u tɕ u								
87-2		h a n e								
95-2		m i dʑ i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i r a								
103-2		tɕ u m e								
110-2		h e								
116-2		m u m e								
120-2		n o m u								
132-2		k i k u								
139-2		k o r o								
140-2		o o o								
156-2		h a r e								
168-2		tɕ u k i								
169-2		h o s i								
170-2		m i dʑ u								
173-2		i s u								
180-2		k u m u								
185-2		h a dʑ								
186-2		m o e								
187-2		m i dʑ i								
190-2		a k a								
193-2		k i r o								
194-2		s i r u								
195-2		k u r u								
216-2		m a r u								
221-2		n a								
239-2		i t u								
252-2		m i dʑ u								
253-2		w o								
254-2		i t u kʲ u								
266-2		k a k e								
267-2		n a g a r a								
268-2		u m u								
272-2		a m e								
276-2		a a a								
281-2		m u s u								
304-2		tɕ u tɕ u								
305-2		tɕ i tɕ								
308-2		h a n a								
309-2		k u s u								
310-2		tɕ o								
311-2		n i								
342-2		w u k i								
346-2		k u r u								
347-2		k i r u								
348-2		h i r u								
351-2		k o r a								
361-2		o m a								
379-2		k u s u								
394-2		h i dʑ a								
395-2		m i dʑ i								
400-2		h i dʑ a								
412-2		s a k e								
413-2		tɕ u k i								
414-2		h o r u								
422-2		h u k u r u								
423-2		k a r n k u								
430-2		h a k u								
435-2		h u k u								
446-2		s i dʑ a								
447-2		u a								
458-2		tɕ o s i								
56-2		h u dʑ o								
65-2		k a a								
70-2		h a n e								
75-2		k a a								
114-2		k u tɕ i								
119-2		k i dʑ o								
161-2		u u								
171-2		k a a								
188-2		w a m a								
196-2		w o r u								
262-2		h i r u								
300-2		h e b e								
313-2		d e								
350-2		s u b u								
352-2		tɕ i k a								
396-2		h u r u								
401-2		o s u								
420-2		o u a								
424-2		u a a u								
442-2		s i dʑ e								
455-2		i k a i a								
22-2		n a								
24-2		m i dʑ i a								
49-2		o m n a								
78-2		a b u a a								
89-2		k u t								
149-2		k u r u								
183-2		h i								
192-2		a o								
250-2		h o k a								
264-2		k i r i								
298-2		k u ɴ u								
303-2		h a r a r a								
314-2		m o s i								
354-2		a a u kʲ a								
369-2		k i r e								
376-2		w a r e								
415-2		m u s u								
451-2		h o k o								
456-2		tɕ u tɕ a								
72-2		n i k u								
80-2		h a m a								
104-2		a s u								
118-2		s i dʑ i								
150-2		n e								
204-2		i t a								
14-3			k o i							
18-3			d a r							
35-3			h e ɴ e							
36-3			h a i a							
48-3			n a i a							
60-3			t o i							
63-3			s i r a							
64-3			k i							
67-3			h a							
68-3			n e							
71-3			tɕ i							
76-3			h o i e							
83-3			o u i e							
87-3			h a i n e							
95-3			m i m							
98-3			h a i n e							
99-3			k u r							
-102-3			s i							
103-3			h u r i							
110-3			t e							
116-3			m iː i e							
120-3			n o i							
132-3			k i							
139-3			k o o k o							
140-3			o t o							
156-3			t a sː o							
168-3			k t k k u							
169-3			h o i							
170-3			m i							
173-3			h s							
180-3			k u i u							
185-3			h a i							
186-3			m i i							
187-3			m i							
190-3			a k k a							
193-3			k i							
194-3			s i r e							
195-3			k u r u							
216-3			m a r							
221-3			n a i n							
239-3			h i  u							
252-3			m i ɕ							
253-3			d o i							
254-3			h t u ɴ							
266-3			k a k k u							
267-3			n a i u							
268-3			ui i							
272-3			a iː i							
276-3			a iː a a							
281-3			m iː s							
304-3			k u i a							
305-3			tɕ i							
308-3			h a i a							
309-3			k u s u							
310-3			t o i							
311-3			n i  a							
342-3			d u k							
346-3			k u r a							
347-3			k i r e							
348-3			h i r e							
351-3			t e i a							
361-3			o i o i							
379-3			k u s a							
394-3			h e i a							
395-3			m i							
400-3			h i ɴ a							
412-3			s a k e							
413-3			s u k							
414-3			h o i							
422-3			h u k u							
423-3			k a i							
430-3			h a k							
435-3			h u k							
446-3			s i sː a							
447-3			ui e i							
458-3			t o s k							
56-3			h e							
62-3			m n							
65-3			k a							
70-3			t a i e							
75-3			k a							
96-3			m i							
101-3			h a							
114-3			k u							
119-3			k i ɴ i							
134-3			s i							
138-3			s i							
146-3			a iː i k							
161-3			d u							
171-3			k a							
182-3			k e							
188-3			h a sː a							
262-3			h i r u							
300-3			h e							
313-3			d e							
350-3			s e							
352-3			tɕ i k a							
396-3			h u r u							
401-3			o s o u							
420-3			o t u							
424-3			o t a							
442-3			s i m i							
455-3			h k e							
15-3			a iː							
22-3			n a i a							
49-3			o i e							
78-3			a iː a							
89-3			k e							
130-3			m i							
149-3			k u r							
175-3			s u i a							
183-3			h e							
192-3			a iː i							
199-3			a iː i							
230-3			a iː							
233-3			a iː							
250-3			h a k o							
264-3			k i							
274-3			n e i e							
298-3			k e							
303-3			h a i a							
314-3			m iː i k							
354-3			a iː							
369-3			k i							
376-3			n a r a							
418-3			n e							
456-3			k u i a							
59-3			ui o i							
72-3			n e k							
80-3			t a sː a							
104-3			a s							
118-3			s i							
142-3			t o i							
150-3			n e i							
204-3			h i							
14-4				k o r e						
18-4				d a r e						
35-4				h i t o						
36-4				h u t a i a						
48-4				n a n a i						
60-4				t o r i						
63-4				s i r a m a						
64-4				k i						
67-4				h a i						
68-4				n e						
71-4				t i						
76-4				h o n i						
83-4				t u n o						
87-4				h a n i						
95-4				m i m i						
98-4				h a n a						
99-4				k u t i						
-102-4				s i t a						
103-4				t u m i						
110-4				t e						
116-4				m u n i						
120-4				n o m u						
132-4				k i k o						
139-4				k o r o						
140-4				o						
156-4				t a k o r u a						
168-4				t u k i						
169-4				h o s i						
170-4				m i						
173-4				i s i						
180-4				k u m o						
185-4				h a i						
186-4				m o e						
187-4				m i t i						
190-4				a k a i						
193-4				k oː r o						
194-4				s i r o						
195-4				k u r o						
216-4				m a r u						
221-4				n a m						
239-4				i t u						
252-4				m i						
253-4				j o s u						
254-4				i t u						
266-4				k a i o						
267-4				n a n a r u						
268-4				u m i						
272-4				a m i						
276-4				a r a u						
281-4				m u s i						
304-4				t u b a						
305-4				t i						
308-4				h a n a						
309-4				k u s a						
310-4				t o						
311-4				n i						
342-4				u u k o						
346-4				k u r a i						
347-4				k i r u						
348-4				h i r o						
351-4				t oː r						
361-4				o m o						
379-4				k u s a r a						
394-4				h i						
395-4				m i						
400-4				h i j a r u						
412-4				s a k o r u						
413-4				t u k i						
414-4				h o r u						
422-4				h u k u r u						
423-4				k a n						
430-4				h a k u						
435-4				h u k u						
446-4				s i t a						
447-4				u e						
458-4				t o s i						
56-4				h i t o						
62-4				i						
65-4				k a w a						
70-4				t a n i						
75-4				k a w a						
96-4				m i						
101-4				h a						
114-4				k u b i						
119-4				k i m o						
134-4				s i						
138-4				s i n u						
146-4				a r u						
161-4				h u						
171-4				k a i a						
182-4				k e m u						
188-4				h a m a						
196-4				u o r u						
262-4				h i r u						
300-4				h e s o						
313-4				d e						
350-4				s e b a i						
352-4				t i k a i						
396-4				h u r u						
424-4				u t a u						
442-4				s i m i						
455-4				i k i						
15-4				a r e						
22-4				n a i						
24-4				m i						
49-4				o						
78-4				a						
89-4				k e						
130-4				m i r u						
149-4				k u r u						
175-4				s u n a						
183-4				h i						
192-4				a o						
199-4				a t i						
230-4				a n i						
233-4				a n i						
250-4				h o k a						
264-4				k i r i						
274-4				n u r e						
298-4				k e n a i a						
303-4				h a r a						
354-4				a t i						
369-4				k i r i						
415-4				m u s u						
418-4				n u						
451-4				h o k o						
456-4				t u n a						
59-4				h						
72-4				n i k o						
80-4				t a m a						
104-4				a s i						
142-4				t o						
150-4				n e t o						
204-4				i						
14-5					k o r e					
18-5					d a r e					
35-5					h i t o					
36-5					h u t e					
48-5					n a n a					
60-5					t o r i					
63-5					s i r a					
64-5					k i					
67-5					h a tɕ					
68-5					n e					
71-5					tɕ i					
76-5					h o n e					
83-5					ts u n o					
87-5					h a n e					
95-5					m i z i					
98-5					h a n a					
99-5					k u tɕ i					
-102-5					s i t a					
103-5					ts u m e					
110-5					t e					
116-5					m u n e					
120-5					n o m i					
132-5					k i k u					
139-5					k o r u					
140-5					o k o					
156-5					t a t e r u					
168-5					ts u k i					
169-5					h o s i					
170-5					m i z u					
173-5					eː s i					
180-5					k u m o					
185-5					h a i					
186-5					m o ts r u					
187-5					m i dʑ i					
190-5					a k a i					
193-5					k o r u					
194-5					s i r u					
195-5					k u r u					
216-5					m a r u					
221-5					n a tɕ					
239-5					eː					
252-5					m i ts u					
253-5					k o ts u					
254-5					m u u					
266-5					k a i e					
267-5					n a n a r a r u					
268-5					u					
272-5					a m iː					
276-5					a r a u					
281-5					m u s i					
304-5					ts u tɕ i					
305-5					ts i					
308-5					h a n a					
309-5					k u s a					
310-5					t o					
311-5					n i					
342-5					k u k i					
346-5					k u r u					
347-5					k i r u					
348-5					h i r u					
351-5					t e s					
361-5					o m o					
379-5					k u s a r e					
394-5					h i d a					
395-5					m i dʑ i					
