COGID	dutch	english	french	german
1469-1	s ɑ n t			
2047-1	s ɔ n			
2054-1	d ɑ n			
1375-1	l ɪ m			
760-1	w ɪ n t			
756-1	s n t			
726-1	m ɔ t ə r			
1351-1	x r ɑ n			
1353-1	x r ɑ n			
412-1	v x eː p			
406-1	m x l ə			
1005-1	s t eː p k			
1012-1	s t eː p + + eː t ə			
1016-1	w ɪ d ə			
1069-1	k k ə  ə			
509-1	v ɑ l			
693-1	m ɑ l			
2179-1	n ɛ s t			
1753-1	v ɪ s			
1131-1	w ɔ l			
1198-1	b ɑ r t			
2032-1	h ɔ r			
2241-1	n aː z ə			
2244-1	l ɪ p			
610-1	k ə n			
945-1	h ɛ r			
1534-1	l ɪ k			
384-1	s w k ə			
1650-1	n ɔ t			
1663-1	s ɑ l			
2279-1	l ɛɪ n			
471-1	s ə j			
1385-1	s ə d			
792-1	k ɑ x			
1111-1	m ɑ s t			
197-1	s uː t ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə			
1970-1	v l l			
1230-1	d r ɪ			
2017-1	n ɔ r			
968-1	w ɛ l			
1674-1	l ɑ n t			
1671-1	h ɛ l ə			
829-1	k l ɪ p			
1025-1	w ɑ j			
1027-1	z ə n  ə			
1832-1	r ɔ v			
-1816-1	oː t t			
-335-1	l ɑ x ə			
1043-1	s t r			
423-1	s t eː n			
2049-1	m oː n			
2062-1	s t			
2065-1	r aː n ə			
1368-1	s ɑ t j ə			
1365-1	d ə w			
754-1	r aː n ə			
768-1	w ɛ n			
1211-1	v ə r			
106-1	m ɑ n			
-98-1	b oː v ə			
719-1	v ə j ə r			
1341-1	z oː n			
-2027-1	d n n			
-2026-1	n ɛ v			
409-1	s x n n			
402-1	d x eː ə			
1014-1	s t eː p ə			
1059-1	w eː r  ə			
120-1	s t			
2183-1	s t			
2194-1	ɔ k t  ə			
2199-1	k ɑ l			
2197-1	s x p			
1523-1	z ə ə			
1521-1	b oː k			
512-1	m ɑ r			
2141-1	h ɛ n			
2147-1	x uː n			
814-1	k r ɑ			
810-1	d ə b			
1755-1	h ɛ n			
1758-1	m ɔ z			
1760-1	r ɑ t			
1620-1	v ɪ n			
1282-1	w aː l			
1136-1	v ɔ k t			
1309-1	l ɑ s			
1307-1	n ɪ t			
1305-1	v l ə			
711-1	w ɛ s p			
1442-1	v l ə			
62-1	m ɪ x			
-73-1	m ə s k ə			
1810-1	h oː t			
1805-1	v l ə			
1813-1	h ɛ r			
1811-1	b l ə t			
690-1	r ɪ p			
2177-1	h ɛ p			
246-1	v eː r			
1469-2		s t n d		
2047-2		s ɔ n		
2054-2		d aʊ n		
1375-2		l ɪ m		
760-2		f ɛ n d		
756-2		s n eɪ		
726-2		m iː d		
1351-2		ɡ r aɪ t		
1353-2		ɡ r aɪ k		
412-2		s æ v		
406-2		s iː l		
1005-2		s t ɪ p		
1012-2		s t l f		
1016-2		f ɛ d		
1069-2		b r		
509-2		f ɪ l		
693-2		m ɪ l		
2179-2		n iː s t		
1753-2		f ɪ ŋ		
1131-2		w ɔ l		
1198-2		b iː r r		
2032-2		h æ r		
2241-2		n iː		
2244-2		l ɪ p		
610-2		k iː n		
945-2		h æ r		
1534-2		l ɪ k		
384-2		s ɪ ŋ		
1650-2		n iː ŋ		
1663-2		s ɪ l		
2279-2		l ɪ n		
471-2		s ɪ		
1385-2		s iː d		
792-2		ɡ uː		
1111-2		m iː s t		
197-2		s ɪ d		
2020-2		l æ ŋ		
867-2		h æ n d		
1970-2		f l l		
1230-2		d r k		
2017-2		n iː		
968-2		w ɛ l		
1674-2		l æ n d		
1671-2		h æ v		
829-2		k l ɪ p		
1025-2		w iː s		
1027-2		s ɪ p		
1832-2		r aɪ v		
-1816-2		s iː		
-335-2		l iː r		
1043-2		s t r		
423-2		s t		
2049-2		m iː		
2062-2		s t		
2065-2		r aɪ l		
1368-2		s əʊ t		
1365-2		d r		
754-2		r aɪ l		
768-2		w ɛ r		
1211-2		f ɪ		
106-2		m iː n		
-98-2		b iː v		
719-2		f iː d		
1341-2		s p n		
-2027-2		d æ n		
-2026-2		n iː p		
409-2		s w v		
402-2		s r r		
1014-2		s t		
1059-2		w iː p		
120-2		s t		
2194-2		s ʌ		
2199-2		k əʊ l		
2197-2		s əʊ p		
1523-2		s ɪ		
512-2		m iː r		
2141-2		h æ n		
2147-2		ɡ əʊ		
814-2		k r		
810-2		d r v		
1758-2		m ɪ t		
1760-2		r aɪ t		
1620-2		f ɪ n		
1282-2		w iː l		
1136-2		f ɔ k		
1309-2		l iː z		
1307-2		n iː d		
1305-2		f l		
711-2		w ɛ t p		
1442-2		f l		
62-2		m ɪ k		
-73-2		m ɪ r k		
1810-2		h æ d		
1805-2		f l aɪ s		
1813-2		h æ r r		
1811-2		b l		
690-2		r ɪ p		
2177-2		h æ p		
246-2		w r ə n		
1469-3			ʀ ɑ̃ k e	
2047-3			ʀ ɑ̃ t	
2054-3			t y t	
1375-3			l ə k	
760-3			p n t	
756-3			ʀ y s	
726-3			n u s	
1351-3			p ʀ i	
1353-3			p ʀ i	
412-3			p ɔ z	
406-3			ʀ ɔ s	
1005-3			ʀ ʀ z	
1012-3			ʀ ʀ s	
1016-3			p a i	
1069-3			b u ʀ	
509-3			p ə l	
693-3			b s k	
2179-3			n y ʀ	
1753-3			p ə a	
1131-3			p ə p	
1198-3			b ɔ ʀ	
2032-3			p u t	
2241-3			n y s	
2244-3			l ə l e	
610-3			k u l	
945-3			p u i	
1534-3			l ə	
384-3			ʃ ɑ̃ k e	
1650-3			n y i	
1663-3			ʃ ɑ̃ l	
2279-3			l ə a	
471-3			ʀ ɑ̃ l	
1385-3			ʃ ɑ̃ t	
792-3			e u p	
1111-3			n s i	
197-3			ʀ ɑ̃ k	
2020-3			l ə a	
867-3			p ɑ̃ t	
1970-3			p ə a	
1230-3			t ɑ̃ i	
2017-3			n y p e	
2183-3			ʀ ɑ̃ t	
1521-3			b ɔ p	
1755-3			p o k	
1760-3			ʀ ɔ ɡ	
1469-4				ʃ a n t
2047-4				ʃ ʊ n
2054-4				t ʊ n t n
1375-4				l ai m t
760-4				v ɪ n t
756-4				ʃ n aː ə
726-4				m ʊ t ə r
1351-4				ɡ r ɛ t t ɛ t b
1353-4				ɡ r ɛ t + ɛ
412-4				b a ai n ə n
406-4				m ɛ l n ə n
1005-4				ʃ t + f ɛ ɛ ɛ b
1012-4				ʃ t l f ɛ ʃ
1016-4				v eː t
1069-4				ɪ x
509-4				f ɛ l ə n
693-4				m au l ə l
2179-4				n ɛ s t
1753-4				f ɪ ʃ t
1131-4				v ʊ l f
1198-4				b ɪ r t
2032-4				h oː n n
2241-4				n aː z ə n
2244-4				l ɪ f ə
610-4				n n
945-4				h a r t ə
1534-4				l ɪ x ə n
384-4				ʃ ʊ s ə n
1650-4				n v t ə
1663-4				ʃ a l t
2279-4				l ɪ n
471-4				ʃ eː ə n
1385-4				ʃ iː t
792-4				j ʊ k
1111-4				m a s t
197-4				ʃ ʊ t ə n
2020-4				l a ŋ ə
867-4				h ʊ n t ə n
1970-4				f l l
1230-4				t r t t ə n  ə t
2017-4				n aː b  ə
968-4				v eː r ə
1674-4				l a n t
1671-4				h ɪ l ə l
829-4				k l ɪ f ə n
1025-4				v eː t ə r
1027-4				z iː ə  ə
1832-4				r ʊ f  ə
-1816-4				a s ə ə
-335-4				l aː ɡ ə
1043-4				ʃ t r
423-4				ʃ t
2049-4				m aː n
2062-4				ʃ t
2065-4				r ɛ n ə n + b ə
1368-4				ʃ a t t n
1365-4				t au
754-4				r ɛ ə ə n
768-4				v ɛ r ə r
1211-4				f ɛ ə r
106-4				m a n
-98-4				b ɛ b ə
719-4				f ɛ d ə r
1341-4				z ʊ n
-2027-4				ts n n
-2026-4				n ɛ f ə n
409-4				ʃ ʊ n n ə n
402-4				ʃ p t n ə n
1014-4				ʃ t ɛ f ə ʃ
1059-4				v ai
120-4				ʃ t a l
2183-4				ʃ t
2194-4				au k ə ə
2199-4				k a f
2197-4				ʃ ʊ aː t
1523-4				z iː ə  ə
1521-4				b ə k ə
512-4				m ɛ r
2141-4				h ɛ n
2147-4				ɡ a n
814-4				k r aː ə n
810-4				t au f ə
1755-4				h ʊ n
1758-4				m ʊ s ə
1620-4				f ɪ n
1282-4				v a l
1136-4				f ɔ k ə
1309-4				l ʊ s ə
1307-4				n ɪ t ə n
1305-4				f l
711-4				v ɛ s ə ə n
1442-4				f l iː
62-4				m ɪ k ə
-73-4				m ə s k ə
1810-4				h ɪ t
1805-4				f l ai
1813-4				h ɛ r
1811-4				b l ə t
690-4				r ɪ b ə n
2177-4				h ɛ t ə
246-4				v s ə n
