COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m i ⁵						
4-1	l a ḭ						
18-1	n j ɛ n ³						
19-1	n j ɛ ³						
44-1	l u k ⁵⁴						
50-1	ʃ j ɛ ³ ³						
62-1	s a ʔ ⁵³						
70-1	b a n ³¹						
75-1	m j m ³						
97-1	tʃʰ a ŋ ³						
112-1	tsʰ a ³						
122-1	n j ɔ k ⁵⁴						
127-1	kʰ j a ⁵						
132-1	w a k ³¹						
133-1	n u u ³¹						
135-1	n u ⁵						
142-1	d z ɔ a ³						
143-1	ŋ a ³ ⁵³						
149-1	ʔ u k ⁵³						
152-1	ŋ j						
157-1	b a k						
183-1	ʔ u ⁵						
184-1	n u k ⁵⁴						
185-1	tsʰ a m ³						
189-1	m j ɔ ʔ ⁴²						
192-1	n j ³¹						
195-1	n a ³						
200-1	g ei ³						
216-1	s a ɛ n ³						
218-1	l a ʔ ³¹						
225-1	s a ʔ						
235-1	kʰ j ɛ ³						
244-1	s a a ⁵						
253-1	m j t						
270-1	m j ɛ ⁵ ³¹						
278-1	m j ɛ ³ ³						
279-1	w a ³						
285-1	j a ḭ ³						
308-1	d a ɛ ḭ						
322-1	m j ɛ ⁵						
325-1	kʰ j ⁵						
337-1	m j ɔ m ³						
341-1	d z ɔ ³						
347-1	ʃ ɛ ʔ ⁵³						
362-1	j ɛ ³						
391-1	j ɔ n ³¹						
394-1	m a ʔ ⁵³						
397-1	tʃʰ a ³						
443-1	n j ɔ ³¹ ⁴²						
460-1	s a t ⁵³						
463-1	w a ³						
464-1	ʔ u ŋ ⁵						
473-1	s a m ³						
476-1	kʰ j u k ⁵⁴						
481-1	tsʰ a ³						
494-1	g j k						
496-1	tsʰ j ɛ ³ ³						
516-1	w a t						
522-1	n a ʔ ³¹						
523-1	pʰ j ɔ ³						
524-1	n j t						
540-1	kʰ j ³						
3-1	b a a ⁵						
6-1	g j ³						
7-1	d ei ³						
20-1	n a n ³¹						
51-1	ŋ a a ⁵						
64-1	g j ŋ						
65-1	kʰ u k ⁵⁴						
66-1	d z ɔ ⁵						
71-1	ʃ ɛ ³						
72-1	ʔ a ³						
76-1	w a ŋ						
77-1	n j ɛ ⁵ ⁴²						
78-1	m a ⁵						
82-1	pʰ ə ŋ ³						
87-1	ŋ a ʔ ³¹						
93-1	l a m ³						
94-1	m a ɛ n						
100-1	s a n ³						
116-1	l a ŋ						
119-1	w a m ³						
124-1	pʰ j ɔ ⁵						
136-1	l a ɔ ⁵						
137-1	kʰ j ɔ ⁵						
144-1	s a a m ⁵⁴						
145-1	d j ŋ ³						
146-1	m i ⁵						
150-1	g j ɔ ʔ ⁴²						
154-1	m j ɛ ⁵						
165-1	kʰ j a m ³						
166-1	pʰ j ɔ ³¹						
169-1	g j u ŋ ³						
170-1	b j ɔ ³¹						
171-1	j a ŋ ³						
174-1	l j ɛ m ³						
181-1	m j ɔ ʔ ⁴²						
193-1	b a ³						
205-1	n ṵ ³¹ ³¹						
206-1	m i ⁵						
212-1	tʃʰ a ʔ ⁵³						
214-1	l a m ³						
217-1	ʔ u ⁵						
224-1	n j ɛ ʔ k						
228-1	b au ⁵						
238-1	j u ⁵						
241-1	ʃ ɔ ³						
246-1	g j ɛ n						
256-1	ʔ a ŋ						
257-1	pʰ a ŋ						
272-1	m a ⁵						
273-1	ʔ a ŋ						
274-1	m a ŋ ³						
286-1	kʰ a a m ³						
289-1	kʰ j ŋ ³						
294-1	ʔ u ⁵						
301-1	j ɔ ʔ ³¹						
306-1	kʰ j ³ ³¹						
307-1	ŋ a ḭ ³¹						
321-1	tʰ u ŋ ³						
331-1	m j ɔ ³¹						
332-1	l a ḭ ³						
335-1	g j ɔ ʔ						
336-1	n j m ³						
340-1	ŋ a ³						
342-1	n j ɔ ʔ k						
360-1	dʒ au p ³¹						
376-1	s a t ⁵³						
389-1	n j ḭ k						
395-1	n a ʔ						
401-1	ʃ ɛ ³						
404-1	d z ɔ ³ ³						
408-1	d j ŋ						
409-1	l a ³						
413-1	d j a n ³						
421-1	n j ɔ ʔ ⁴²						
425-1	b j ɛ ³						
430-1	tʃʰ a ³						
442-1	d j ŋ						
447-1	tʰ u ŋ ⁵						
456-1	g u ³						
458-1	ʃ ɔ t						
469-1	kʰ j ³						
470-1	d a ʔ						
475-1	ŋ a						
477-1	n j ɛ n						
478-1	ʃ j ɛ t						
480-1	g u ⁵						
485-1	m j ɔ ⁵						
495-1	ŋ a ³						
499-1	m j ɔ ŋ ³						
500-1	n j ɛ ʔ ³						
501-1	tʰ u ³						
506-1	dʒ a ɔ ³						
507-1	n ṵ ʔ ³¹						
509-1	l a ʔ						
510-1	b j ɔ ³ ³						
511-1	l a ʔ ³¹						
521-1	h u ⁵						
525-1	n j ɔ ⁵						
538-1	tʃʰ au ⁵						
539-1	dʒ ei ɛ n ³						
544-1	g j u k ⁵⁴						
550-1	tʰ j ɔ k ⁵³						
562-1	n j ɔ ŋ ³						
568-1	g u ³						
2-1	kʰ j ŋ ³						
11-1	s a ʔ						
12-1	j ɔ ŋ ³						
22-1	g u ŋ ³						
28-1	b w ɔ ⁵						
1-2		m au ⁵²					
4-2		l a ʔ					
18-2		m i a ⁵²					
19-2		n a ²³ ⁵²					
44-2		l a ⁵² ⁵²					
50-2		ʃʰ w ŋ ³					
62-2		ts a ⁵² ⁵²					
70-2		p a ²³ ²³					
75-2		m i ʔ					
97-2		ʃ ḛ ŋ ³					
112-2		ts au ⁵²					
122-2		m i a ⁵²					
127-2		k a i ³					
132-2		w a i ⁵²					
133-2		n a ⁵²					
135-2		n a ⁵²					
142-2		t au i ³					
143-2		n w ʔ ⁵²					
149-2		ʔ a ⁵²					
152-2		n w ³					
157-2		p a ⁵²					
183-2		ʔ a ³					
184-2		n a ⁵² ⁵²					
185-2		ts i ³					
189-2		m i a ⁵²					
192-2		n a ŋ					
195-2		n a ²³					
200-2		ts j ³ ⁵²					
216-2		ts a ŋ ³					
218-2		l a ʔ					
225-2		ts a ŋ ³					
235-2		k j ³					
244-2		ts w i ³					
253-2		m i ²³					
270-2		m i ³					
278-2		m a ŋ ³					
279-2		ts i ŋ					
285-2		j a ʔ ²³					
308-2		p o ⁵² ²³					
322-2		m i ³					
325-2		k i ⁵²					
337-2		m a a ⁵²					
341-2		t ḭ ŋ					
347-2		ʃʰ au ⁵²					
362-2		j i ²³					
391-2		j a ʔ ²³					
394-2		m a ⁵²					
397-2		ʃ ḛ ³					
443-2		m a a ⁵²					
460-2		ts a ʔ ⁵²					
463-2		ts a ²³					
464-2		ʔ a ŋ ³					
473-2		ts a m ²³					
476-2		k j a ⁵²					
481-2		ts au ⁵²					
494-2		k j ²³					
496-2		l w ŋ ³					
516-2		w a ²³					
522-2		n a ʔ ⁵²					
523-2		pʰ ə ²³ ³					
524-2		n a ²³					
540-2		k a ⁵²					
3-2		p a i ³					
6-2		k j ²³					
7-2		ts a̰ ʔ ²³					
20-2		n a ²³					
39-2		m i ³					
51-2		n a i ³					
72-2		ʔ a ŋ					
94-2		m i ²³					
100-2		ts a ⁵² ²³					
116-2		l a ŋ					
136-2		l a i ³					
137-2		k j a ³					
139-2		m i ³					
150-2		k a ⁵² ⁵²					
154-2		m au ²³					
166-2		j ə a ⁵²					
169-2		k j a ⁵²					
170-2		p j a ⁵²					
171-2		j a ŋ ³					
174-2		l a ²³					
181-2		m i a ⁵²					
205-2		n a ⁵²					
206-2		m au a̰ ²³					
214-2		l a m ²³					
217-2		ʔ i ³					
224-2		n a a ⁵²					
228-2		p au ⁵²					
246-2		k j a ²³					
256-2		ʔ a ŋ					
257-2		p a ŋ					
273-2		ʔ a ⁵²					
286-2		k a m ²³					
307-2		ʔ a ²³ ⁵²					
335-2		k j a ⁵²					
342-2		m i a ⁵²					
376-2		ts au ²³ ²³					
389-2		n a ʔ ⁵²					
404-2		t a̰ ⁵² ³					
408-2		t au ⁵²					
413-2		t a̰ ʔ ²³					
421-2		m a ŋ ²³					
430-2		ʃ ḛ ³					
458-2		ʃʰ a ³					
470-2		t ḭ ŋ					
475-2		m w ŋ					
477-2		n a ⁵² ²³					
478-2		ʃʰ au ²³ ²³					
480-2		k j ⁵²					
485-2		m i a ⁵²					
495-2		n w ⁵²					
499-2		m i a ⁵²					
500-2		n a a ⁵²					
506-2		ts a̰ ʔ ⁵²					
509-2		l a ŋ ³					
525-2		n a a ⁵²					
22-2		k j ⁵²					
28-2		p a i ³					
1-3			m ɔ ⁵				
4-3			l a ŋ				
18-3			m j e ŋ ⁵				
19-3			n j e ŋ				
44-3			l o ʔ ⁵³				
50-3			ʃ e ŋ ³¹				
62-3			s ɔ k ⁵³				
70-3			b j n ³				
75-3			m j o ⁴ ⁵³				
97-3			tʃʰ a ŋ ³¹				
112-3			tsʰ a ŋ				
122-3			m j o ŋ ⁵³				
127-3			kʰ o ɛ ⁴				
132-3			w a ʔ ⁵³				
133-3			n j ³				
135-3			n o ⁵				
142-3			d z au ³				
143-3			ŋ ə ʔ ⁵³				
149-3			ʔ a ʔ ⁵³				
152-3			ŋ ə ³				
157-3			b j ³²				
183-3			ʔ a ³				
184-3			n o ʔ ⁵³				
185-3			tsʰ a m ³				
189-3			m j e ³ ⁵³				
192-3			n ɔ̃ ³				
195-3			n ɔ̃ n				
200-3			g e n ³				
216-3			s ɔ ŋ ³¹				
218-3			l a ʔ ⁵³				
225-3			s ɔ ŋ ³¹				
235-3			kʰ j o ⁴				
244-3			s ɔ ʔ				
253-3			m j ⁵¹				
270-3			m j ⁵¹				
278-3			m j e ³ ⁵				
279-3			w a ³				
285-3			j e m ³				
308-3			d j ³				
322-3			m j n				
325-3			kʰ o ⁵				
337-3			m j o ŋ ⁵				
341-3			d z au ⁴				
347-3			ʃ o o ŋ ⁵³				
362-3			j e ʔ				
391-3			j e p ⁵³				
394-3			m ɔ ʔ ⁵³				
397-3			tʃʰ o ⁵¹				
443-3			m j o p ⁵³				
460-3			s ɔ ʔ ⁵³				
463-3			w e ⁵				
464-3			ʔ au ŋ ³¹				
473-3			s ɔ m ³				
476-3			kʰ j o ŋ ⁵³				
481-3			tsʰ u ⁵¹				
494-3			g e ⁵¹				
496-3			j e e ³ ⁵				
516-3			w a ⁵¹				
522-3			n ɔ̃ ʔ ⁵³				
523-3			pʰ j o ³²				
524-3			n ɔ̃ ⁵¹				
540-3			kʰ o ʔ				
3-3			b j ⁵¹				
6-3			g j ʔ				
7-3			d o m				
20-3			n a m ³				
39-3			m j e				
51-3			ŋ o				
64-3			g e ŋ ³¹				
65-3			g o k ⁵³				
66-3			d z au ³²				
71-3			ʃ e ³				
72-3			ʔ a ŋ				
76-3			w a ʔ				
77-3			m j e ³² ⁵³				
78-3			m ɔ ⁵				
82-3			pʰ ə ŋ ³¹				
87-3			ŋ o ʔ				
93-3			l a m ³				
94-3			m j e ⁴ ⁵				
100-3			s ɔ ʔ ³				
116-3			l a ŋ				
119-3			w a m ⁵³				
124-3			b j o ³²				
136-3			l au ³				
137-3			kʰ j o ⁵³				
139-3			m j ⁵¹				
144-3			s ɔ ʔ ⁵³				
145-3			d z ŋ ³¹				
146-3			m j ⁵				
150-3			g j o ⁴ ⁵³				
154-3			m j e ³				
165-3			g j o m ³²				
166-3			pʰ j o ⁴				
169-3			g j o ŋ ⁵				
170-3			b j e ⁴				
171-3			j o ŋ ³¹				
174-3			l a m ³²				
181-3			m j e ³ ⁵³				
193-3			b a ³				
205-3			n o ʔ ⁵³				
206-3			m j ⁵				
212-3			tʃʰ au ʔ ⁵³				
214-3			l a m ³				
217-3			ʔ ɛ ³²				
224-3			n j o				
228-3			b o ⁵				
238-3			j o ³¹				
241-3			ʃ e ³²				
246-3			g j e				
256-3			ʔ a ŋ				
257-3			pʰ ə ŋ ⁵³				
272-3			m ɔ ³				
273-3			ʔ a ŋ				
274-3			m a ŋ ³¹				
286-3			kʰ o m ³				
289-3			kʰ o ŋ ³¹				
294-3			ʔ a ³				
301-3			j o ʔ ⁵³				
306-3			kʰ j ɛ m ⁵³				
307-3			ŋ ə ʔ ⁵³				
321-3			tʰ u ŋ ³¹				
331-3			m j e ³				
332-3			l a p ³				
335-3			g j o ⁴				
336-3			n j m ³				
340-3			ŋ o ⁵				
342-3			m j o ⁵³				
360-3			tʃʰ o ɛ ³ ⁵³				
376-3			s ɔ m ⁵³				
389-3			n j k ⁵³				
395-3			n ɔ̃ ŋ				
401-3			ʃ e ʔ				
404-3			d z au ŋ ⁵				
408-3			d z ʔ				
409-3			l a ʔ				
413-3			d z ɛ ⁴				
421-3			n j e ŋ ⁵³				
425-3			b j e ⁴				
430-3			tʃʰ o ⁵¹				
442-3			d z ³²				
447-3			tʰ u ŋ ⁵³				
456-3			g e ʔ				
458-3			ʃ e ŋ				
469-3			kʰ o ⁵				
470-3			d e n				
475-3			ŋ ɔ				
477-3			n j e ŋ ⁵³				
478-3			ʃ e ʔ ⁵³				
480-3			g o ⁵				
485-3			m j e ŋ				
495-3			ŋ e ⁵¹				
499-3			m j e				
500-3			n j e				
501-3			tʰ u ³²				
506-3			d a m ⁵³				
507-3			n o ³ ⁵³				
509-3			l a ŋ ³¹				
510-3			b j e ŋ ⁵				
511-3			l a ʔ ⁵³				
521-3			h a ⁵				
525-3			n j o ⁵³				
538-3			tʃʰ au ³¹				
539-3			dʒ j ⁵¹ ³¹				
544-3			g j o k ⁵³				
550-3			tʰ u ʔ ⁵³				
562-3			m j o ŋ ⁵				
568-3			g e ⁵¹				
2-3			g o ŋ ³¹				
11-3			s ɔ ³ ³¹				
12-3			j o ʔ ⁵³				
22-3			g o ŋ ³¹				
28-3			b j m				
1-4				m o̰ ³² ⁵⁴			
4-4				l a k			
18-4				m j ʔ			
19-4				n a ⁴³			
44-4				l au k			
50-4				ʃ a ³² ³			
62-4				s a k ⁵			
70-4				b j ʔ ⁴			
75-4				m j ɔ ³² ³²     o̰			
97-4				tʃʰ a ³²			
112-4				tsʰ o ʔ			
122-4				m j u ʔ ³²			
127-4				kʰ i ⁴³			
132-4				w w ʔ ⁵⁴			
133-4				n au ³ ³			
135-4				n au ʔ ²			
142-4				d z a̰u i ⁵			
143-4				ŋ a ³ ⁵⁴			
149-4				ʔ au			
152-4				ŋ a ³			
157-4				b au k			
183-4				ʔ au ²			
184-4				n au ŋ ⁵⁴			
185-4				tsʰ a ʔ			
189-4				m j ɔ ʔ ³²			
192-4				n a ʔ			
195-4				n a ³			
200-4				g i t ⁵			
216-4				s a ŋ ³			
218-4				l a ʔ ⁵⁴			
225-4				s a ŋ ³			
235-4				kʰ j t ³			
244-4				s a p			
253-4				m a u n			
270-4				m j ʔ			
278-4				m j ³¹ ³			
279-4				w a ʔ			
285-4				ʔ a m ³²			
308-4				d a ɔ ʔ			
322-4				m j t			
325-4				kʰ au ʔ ⁵⁴			
337-4				m j ɔ ³²			
341-4				d z o ³²			
347-4				ʃ ɪ k ⁵			
362-4				j i t			
391-4				j a t ³²			
394-4				m a ʔ ⁵⁴			
397-4				tʃʰ a t ⁵⁴			
443-4				m j u ³¹ ³²			
460-4				s a ʔ ⁵⁴			
463-4				w a ³¹			
464-4				ʔ au ŋ ⁵⁴			
473-4				s a m ³²			
476-4				kʰ j æu ʔ ³²			
481-4				tsʰ a ʔ			
494-4				g a t			
496-4				kʰ a ³² ³			
516-4				w a ²			
522-4				n au ʔ ⁵⁴			
523-4				pʰ j u ⁵			
524-4				n a ʔ			
540-4				kʰ o ʔ			
3-4				b a p			
6-4				g j t			
7-4				dʒ i m ³²			
20-4				n a ʔ ⁵⁴			
39-4				m j t ⁵⁴			
51-4				ŋ a ³			
64-4				g au ʔ ³			
65-4				g au k ⁵⁴			
66-4				d z a̰u ³			
71-4				ʃ ɪ t			
72-4				ʔ a ²			
76-4				w a ʔ			
77-4				m j t ³²			
78-4				m au ³² ³²			
82-4				pʰ ə ŋ ³			
87-4				ŋ a ʔ ⁵⁴			
93-4				l a ʔ			
94-4				m j t			
119-4				w a ʔ			
124-4				b j u k			
136-4				l a i ³²			
137-4				kʰ j u ³² ⁵⁴			
139-4				m a t			
144-4				s a ³¹ ⁵			
145-4				d au ŋ ²			
146-4				m o̰ k ⁵⁴			
150-4				g a ʔ ⁵⁴			
154-4				m j ³			
165-4				kʰ o ³¹ ⁵⁴			
166-4				pʰ j ɔ ³²			
169-4				g j æu ³¹			
170-4				b j ɔ ³¹			
174-4				l a ʔ			
181-4				m j ɔ ʔ ⁵⁴			
193-4				b a t			
205-4				n a̰ t t ⁵⁴			
206-4				m au k ⁵⁴			
212-4				tʃʰ u ʔ ⁵⁴			
217-4				ʔ au ²			
224-4				n j u ʔ ⁵⁴			
228-4				b o ŋ ²			
238-4				j a ʔ ⁵⁴			
241-4				ʃ ɪ ʔ			
246-4				g j æu i			
256-4				ʔ o n ²			
257-4				pʰ ɔ ʔ			
272-4				m a ³			
273-4				ʔ o ²			
274-4				m a ³²			
286-4				kʰ au m ³²			
289-4				kʰ au ŋ ³			
294-4				ʔ au ³			
301-4				j o ʔ ⁵⁴			
306-4				kʰ j u ṵ			
307-4				ʔ a ʔ ⁵⁴			
321-4				tʰ a ŋ			
331-4				m j t			
332-4				l a ʔ			
335-4				g j ɔ ³²			
336-4				n a ɔ ⁴¹			
340-4				ŋ a ³ ⁵⁴			
342-4				m j u ⁵ ⁵⁴			
360-4				dʒ au t ³²			
389-4				n a k ⁵			
395-4				n au ʔ			
401-4				ʃ ɪ t ⁵			
404-4				d z a̰u ŋ ³			
408-4				d u k			
409-4				l a ʔ			
413-4				d z k ³²			
421-4				m a ³² ³²			
425-4				b j ɔ ⁵ ³			
430-4				tʃʰ a t ⁵⁴			
442-4				d au ³ ³			
447-4				tʰ au ŋ ⁴			
456-4				g au ʔ			
458-4				ʃ ɪ n			
469-4				kʰ au ʔ ⁵⁴			
470-4				d z ʔ			
475-4				ŋ a ³			
477-4				n j t t ⁵⁴			
478-4				ʃ ɪ ⁵ ⁵⁴			
480-4				g au ʔ ³²			
485-4				m j ɔ ³²			
495-4				ŋ a ³²			
499-4				m j u ³²			
500-4				n j u ³² ³²			
501-4				tʰ au ²			
507-4				n au ʔ ⁵⁴			
510-4				b a ɔ ³² ³			
511-4				l a ʔ ⁵⁴			
521-4				h a ³²			
525-4				n j u ʔ ⁵⁴			
538-4				tʃʰ u ʔ ⁵⁴			
539-4				dʒ i n ⁴			
544-4				g j u ⁴ ⁵⁴			
550-4				tʰ au ʔ ⁵⁴			
562-4				m j u ŋ ³			
568-4				g au ³¹			
2-4				kʰ au ŋ ²			
11-4				s a ² ² ⁵⁴			
12-4				j o ³²			
22-4				g au ŋ			
28-4				b a p			
1-5					m i ³¹		
4-5					l i ʔ		
18-5					m j		
19-5					n e ³¹		
44-5					l i ʔ ⁵⁵		
50-5					ʃ e ʔ ⁵⁵		
62-5					ʃ e ʔ ⁵⁵		
70-5					p a		
75-5					m j ʔ ⁵⁵ ³¹		
97-5					ʃ e ⁵⁵		
112-5					ʃ i ŋ		
122-5					m j o ʔ ³¹		
127-5					k ə ai ³¹		
132-5					ʃ i n ⁵⁵		
133-5					ʃ e ³¹		
135-5					ʃ e ³¹		
142-5					j i ai ³¹		
143-5					ʃ e ʔ		
149-5					ʔ ə ³¹		
152-5					ʃ a ŋ		
157-5					ʃ a ŋ		
183-5					ʔ ə ʔ		
184-5					ʃ e ʔ ⁵⁵ ³¹		
185-5					ʃ i		
189-5					m a ³¹ ⁵⁵		
192-5					ʃ e ³¹ ⁵⁵		
195-5					ʃ e ³¹		
200-5					k i ³¹		
216-5					ʃ e ʔ ³¹		
218-5					l i n ⁵⁵		
225-5					ʃ e ʔ ³¹		
235-5					kʰ ə ³¹		
244-5					ʃ e ai ³¹		
253-5					m i ³¹		
270-5					m i ³¹		
278-5					m j ʔ ³¹		
279-5					ʃ i ʔ		
285-5					j ə ʔ ³¹		
308-5					k u		
322-5					m i ³¹		
325-5					kʰ ə ³¹		
337-5					m j o ⁵⁵		
341-5					k i ³¹		
347-5					ʃ e ʔ ⁵⁵		
362-5					j i ³¹ ⁵⁵		
391-5					j ə ʔ ⁵⁵		
394-5					m i n ⁵⁵		
397-5					ʃ e ³¹ ⁵⁵		
443-5					m j o		
460-5					ʃ e ³¹ ⁵⁵		
463-5					ʃ i ³¹ ⁵⁵		
464-5					ʔ i ŋ ³¹		
473-5					ʃ e ³¹ ³¹		
476-5					kʰ ə ŋ ³¹		
481-5					ʃ e ŋ		
494-5					k i ³¹		
496-5					ʃ ɔ		
516-5					ʃ i ʔ		
522-5					n e ³¹ ⁵⁵		
523-5					pʰ u		
524-5					ʃ e		
540-5					kʰ ə ʔ		
39-5					m i ʔ ³¹		
64-5					k ə ʔ		
65-5					k ə ai ⁵⁵		
66-5					ʃ i ³¹		
71-5					ʃ e ³¹		
72-5					ʔ ə ʔ		
76-5					ʃ i ʔ		
77-5					m i ʔ ⁵⁵		
78-5					m i ³¹		
82-5					pʰ a		
87-5					ʃ a		
93-5					l i		
100-5					ʃ e ai ³¹		
116-5					l i ŋ		
119-5					ʃ i ʔ		
124-5					p u		
136-5					l i ³¹		
139-5					m i ³¹		
144-5					ʃ e ʔ ⁵⁵		
145-5					tʰ i ŋ ³¹		
146-5					m i ʔ ʔ    ʔ		
165-5					k w		
171-5					j a ⁵⁵		
193-5					p a ³¹		
212-5					ʃ i ʔ ⁵⁵		
214-5					l i ʔ ³¹		
238-5					j i		
241-5					ʃ e ³¹		
246-5					k ɔ ai ʔ		
256-5					ʔ ə		
257-5					pʰ u ŋ		
272-5					m i ʔ		
274-5					m i ʔ		
289-5					kʰ ə		
294-5					ʔ ə ʔ ⁵⁵		
301-5					j e n ⁵⁵		
306-5					ʃ ɔ i		
321-5					tʰ a ʔ		
331-5					m i ³¹ ³¹		
332-5					l i		
336-5					ʃ e		
340-5					ʃ e		
360-5					ʃ i ŋ ⁵⁵		
376-5					ʃ e ³¹		
395-5					ʃ e ³¹ ⁵⁵		
401-5					ʃ e ³¹ ⁵⁵		
409-5					l i n ⁵⁵		
425-5					p a ³¹		
430-5					ʃ e ʔ		
442-5					tʰ i ³¹		
447-5					tʰ a ŋ ³¹		
456-5					k e ʔ		
458-5					ʃ i ⁵⁵		
469-5					kʰ ə ʔ		
470-5					k i ʔ ⁵⁵		
478-5					ʃ e ³¹ ⁵⁵		
495-5					ʃ e		
501-5					tʰ a		
506-5					ʃ e ŋ ³¹		
507-5					ʃ e n ⁵⁵		
509-5					l i ʔ ⁵⁵		
510-5					p a		
511-5					l i n ⁵⁵		
521-5					ʃ ai n ³¹		
538-5					ʃ e ai		
539-5					tʰ e		
544-5					k ɔ ʔ ⁵⁵		
550-5					tʰ i ³¹ ⁵⁵		
562-5					m a ŋ		
568-5					k o ŋ ³¹		
11-5					ʃ i		
12-5					j a n ³¹		
1-6						m w iː	
4-6						l a	
18-6						m a m	
19-6						h a	
44-6						l au au k	
50-6						s a a a	
62-6						s a ts	
70-6						p a n	
75-6						m r a	
97-6						tsʰ j ŋ	
112-6						tsʰ u	
122-6						m r au k	
127-6						kʰ a	
132-6						w a k	
133-6						h a iː	
135-6						h au iː	
142-6						t a	
143-6						h n	
149-6						ʔ w	
152-6						h a	
157-6						p u	
183-6						ʔ w	
184-6						h n aˀ k	
185-6						tsʰ a m	
189-6						m r a ts	
192-6						h n a	
195-6						h a	
200-6						k a iː	
216-6						s a ŋ	
218-6						l a k	
225-6						s a ŋ	
235-6						kʰ j a	
244-6						s a a	
253-6						m a a a	
270-6						m iˀ	
278-6						m r ŋ	
279-6						w a a	
285-6						j ə m	
308-6						p b aːu	
322-6						m iˀ	
325-6						kʰ au iː	
337-6						m r a	
341-6						tsʰ w	
347-6						s a k	
362-6						k a	
391-6						j ə p	
394-6						m a k	
397-6						tsʰ a	
443-6						h r a t	
460-6						s a k	
463-6						w a	
464-6						ʔ a ŋ	
473-6						s a m	
476-6						kʰ j w k	
481-6						tsʰ a	
494-6						k j a	
496-6						kʰ r a ts	
516-6						w a	
522-6						h a k	
523-6						p j w t	
524-6						h a	
540-6						kʰ j	
3-6						p a k	
6-6						k j a	
7-6						tsʰ a m	
20-6						h a	
