COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t e									
56-1	u m e									
96-1	a a k									
99-1	a t e r o n									
114-1	t o k									
115-1	u u									
133-1	t i p a									
144-1	ʔ a t a w									
150-1	k a w									
234-1	k o m									
236-1	p i k u n									
241-1	a w i n									
249-1	i tʃ e									
1-1	w a z a									
2-1	w u m									
65-1	i w									
74-1	p a n a									
52-2		e t e								
56-2		u m e								
96-2		a r a t								
99-2		r e j e								
114-2		t o k i s i								
115-2		i r e s i								
133-2		t i p r a s i								
144-2		r a a s i								
150-2		k a w								
234-2		k e n								
236-2		p i k i n								
241-2		a w i n								
249-2		i s e								
74-2		p a n a								
93-2		t u p a r i s i								
95-2		w i i s i								
52-3			e t o							
56-3			m							
96-3			a t i a tʃ e							
99-3			a i i r a n o							
114-3			t o k o tʃ e							
115-3			p p e e tʃ e							
133-3			tʃ i p a t i a tʃ e							
144-3			a t i e w a tʃ e							
150-3			k a w							
234-3			p k o m							
236-3			p e k n							
241-3			a w i n							
249-3			i s							
1-3			w a tʃ a							
2-3			j i m							
65-3			a w i							
93-3			t p r e tʃ e							
95-3			p w i s i i							
52-4				i t i						
56-4				u m						
96-4				a o tʃ						
99-4				i i r i n e						
114-4				t o k						
115-4				e u r u						
133-4				t i p a tʃ i						
144-4				o t a w i						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a ʒ̟ a						
2-4				u m						
65-4				i w						
74-4				p a n o						
93-4				ʒ̟ o p a r i						
95-4				w k n e						
52-5					i t e					
56-5					y m e					
96-5					a r a s i					
99-5					a r i k e					
114-5					t o k s i					
115-5					y r s i					
133-5					t i p r a s i					
144-5					w a r a w a s i					
150-5					k a w					
234-5					k o m					
236-5					p a k y n					
241-5					a w i n					
249-5					i s e					
1-5					w a t a					
2-5					w i m					
65-5					i f i i					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					w i k i s i					
52-6						i t a				
56-6						u m i				
96-6						a t tʃ i				
99-6						a r i p e				
114-6						t u k u tʃ i				
115-6						u r i tʃ i				
133-6						t i p t a tʃ i				
144-6						a t a a tʃ i				
150-6						k a w				
234-6						k u m				
236-6						p i k u n				
241-6						a w i n				
249-6						i tʃ i				
1-6						w a a				
2-6						m h				
65-6						i w				
74-6						p a n a				
93-6						t u p a r i tʃ i				
95-6						w k i tʃ i				
52-7							u i t i			
56-7							u m e			
96-7							r a a			
99-7							r i j i			
114-7							t o k a i			
115-7							u r a a			
133-7							t i p r a a			
144-7							w a t a w ʃ i			
150-7							k a w			
234-7							k o n			
236-7							p k u n			
241-7							a w i n			
249-7							i r e			
1-7							w a z a			
2-7							o m			
65-7							i w i			
74-7							p a n a			
93-7							t o p r i a			
95-7							w i k a ʔ			
52-8								y t e		
56-8								y m e		
96-8								a r a s		
99-8								e n		
114-8								t o k s i		
115-8								y s i		
133-8								t i p r a s i		
144-8								r a w a s i		
150-8								k a w		
234-8								k o m		
236-8								p i k y n		
241-8								a w i n		
249-8								i s e		
1-8								w a t a		
2-8								y n m v		
65-8								i i		
74-8								p a n a		
93-8								t y p a i s i		
95-8								w i k		
52-9									i t i	
56-9									ʔ i m i	
96-9									a r a ʃ i	
99-9									i a r i a	
114-9									t o k i ʃ i	
115-9									i r a ʃ i	
133-9									t i p a r a ʃ i	
144-9									w a r a w a ʃ i	
150-9									k a w	
234-9									a k o m	
236-9									p i k i	
241-9									a w i	
249-9									i ʃ i	
1-9									w a t a	
2-9									w i m	
65-9									i w ʔ i	
74-9									p a n a	
93-9									t o p a r i ʃ i	
95-9									a w i i ʃ	
52-10										t e a
56-10										ʔ m ʔ
96-10										ʔ a r a tʃ
99-10										a r k o n a
114-10										tʃ o k i tʃ i ʔ
115-10										r tʃ i ʔ
133-10										t i p a r a tʃ i ʔ
144-10										ʔ ʔ r w i tʃ i
150-10										k a w ʔ
234-10										a k o m
236-10										p a k n
241-10										a w i n
249-10										i tʃ e
1-10										w a tʃ a ʔ
2-10										w o m
65-10										i w i
74-10										p a n a
93-10										tʃ o p a r i tʃ i ʔ
95-10										a w k i ʔ
