COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	l e b e			
222-1	e b o b o n e			
208-1	e b u r b u d u			
962-1	e g o r l e			
203-1	e g u d e ʔ			
138-1	e s i l e			
504-1	ɗ oː s e e e			
662-1	ɓ Ø d e			
478-1	ʔ g oː ɗ e			
409-1	e r e			
410-1	g u n d e			
256-1	ɓ a l e			
622-1	n d u			
546-1	n d u			
547-1	s e Ø e ʔ			
847-1	n ɛ n d i g e			
95-1	b e ɗ e			
105-1	b i n e			
510-1	b o s e			
951-1	m b o m e r e			
1116-1	m b o m a			
149-1	ɓ o s ʔ e			
376-1	ɓ a l e			
815-1	g o r e e e			
453-1	ɗ o n e			
67-1	ɗ a s e			
47-1	ɗ o k o l e			
869-1	ɗ oː l e			
57-1	k a g u			
303-1	g e s ʔ e e			
443-1	g eː r e			
884-1	g o n d e			
166-1	g u n d e			
918-1	e b e r e			
831-1	h a s e			
616-1	b eː e			
84-1	h o s e l e			
346-1	h o h e l u			
601-1	s e g e			
177-1	k ʔ e Ø e e			
341-1	k ʔ o l e			
468-2		l aː b a		
222-2		aː b aː b o e		
208-2		a b u r b u d u		
962-2		a g o r θ a		
203-2		a g u d i ʔ e		
138-2		a ʃ i l e		
504-2		ɗ oː ʃ ə n a		
662-2		ɓ oː d e a		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ɛ d ɛ g e		
95-2		b ɛ ɗ i		
105-2		b ɛ n i		
510-2		b o ʃ a		
951-2		m b ə m a r e		
1116-2		m b ə m a		
149-2		ɓ u i		
376-2		ɓ ɛ l i		
815-2		g o r a a		
453-2		ɗ u ŋ e		
67-2		ɗ e ʃ e		
47-2		d o k e ɛ θ a		
869-2		ɗ oː l a		
57-2		k aː g u		
303-2		g ʔ aː i a		
443-2		g ɛ r a		
884-2		g u n d e		
166-2		g u n d i		
918-2		a b a r e		
831-2		h aː ʃ e		
616-2		b iː e		
84-2		h o ʃ a l a		
346-2		h o h o l o		
601-2		s i g i		
177-2		k a f a ŋ		
341-2		k o l a		
468-3			θ aː b ə	
222-3			a b ɛ b Ø i	
208-3			ə b u r b u d u	
962-3			ə g ɔ r m ə	
203-3			ə g u d i ʔ	
138-3			m ʃ i l e	
504-3			ɗ ɔ ʃ ɛ a	
662-3			p ʔ uː d a	
478-3			ɲ g ɔ ɗ a	
409-3			ə r e	
410-3			g u n d i	
256-3			p ʔ a l e	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f ə	
847-3			ɲ ɛ n d i g i	
95-3			b ɛ ɗ i	
105-3			b ɛ n i	
510-3			b ɔ ʃ ə	
951-3			m b ə m ə r e	
1116-3			m b ə m ə	
149-3			p ʔ u z i	
376-3			p ʔ l i	
815-3			g ɔ r m m ə	
453-3			ɗ u n e	
67-3			ɗ a ʃ e	
47-3			d u k u θ a	
869-3			ɗ ʊː θ ə	
57-3			k a g u	
303-3			a z i ə	
443-3			g i r a	
884-3			g uː n d i	
166-3			g u n d u	
918-3			ə b ɛ r e	
831-3			h Ø m ʃ e	
616-3			b iː e	
84-3			h ɔ ʃ a l a	
346-3			h ɔː h ɔ l u	
601-3			s i g i	
177-3			k ə f ə ŋ	
341-3			k ɔ l ə	
468-4				θ o b a
222-4				a b ɛ b Ø n
208-4				a b u r b u d u
962-4				a g o r a
203-4				a g u d i a a
138-4				ʃ i l e
504-4				ɗ oː ʃ a a a
662-4				ɓ uː d a a a
478-4				g o ɗ a
409-4				a r e
410-4				g u n d i
256-4				ɓ aː l a
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a
847-4				n ɛ d i g i
95-4				b ɛ ɗ i
105-4				b a a i
510-4				b o ʃ a
951-4				m ɓ ə m a r e
1116-4				m b ə m a
149-4				ɓ u z i
376-4				ɓ a l i
815-4				g o r a
453-4				ɗ u ŋ a
67-4				ɗ aː ʃ e
47-4				ɗ o k o θ a a a
869-4				ɗ uː θ a
57-4				k aː g u
303-4				g a a z i a
443-4				g e r a
884-4				g u n d i
166-4				g u n d ɪ
918-4				a b ɛ r o
831-4				h aː ʃ e
616-4				ɓ iː e
84-4				h o ʃ ɛ l a
346-4				h u h u l u
601-4				z i g i
177-4				k a f a
341-4				k o l a
