COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ ɔ ⁵⁵								
495-1	n au ³⁵								
838-1	ʐ ə ⁵⁵								
438-1	ȵ ɔ ʔ ⁵⁵								
334-1	l ɔ ʔ ⁵⁵								
360-1	l i ³¹								
394-1	m ə ³¹								
221-1	i pʰ ⁵⁵								
202-1	tɕ au ³¹								
935-1	u ³¹								
93-1	tsʰ ɔ ŋ ³¹								
7-1	p a n ³¹								
664-1	a ŋ ⁵⁵								
246-1	x ɔ ʔ ⁵⁵								
547-1	s ə k ⁵⁵								
555-1	a ȵ ⁵⁵								
464-1	m au ³¹								
119-1	m tsʰ ə ŋ ⁵⁵								
835-1	n o p ⁵⁵								
79-1	t o ³¹								
693-1	ŋ au ⁵⁵								
477-1	n ə p ⁵⁵								
891-1	t ə ŋ ³⁵								
528-1	ʐ o ⁵⁵								
797-1	x w u ʔ ⁵⁵								
493-1	n ə k ⁵⁵								
217-1	a p ⁵⁵								
896-1	tsʰ u t ⁵⁵								
452-1	ȵ u ʔ ⁵⁵								
580-1	ŋ ə ʔ ⁵⁵								
833-1	n ɔ ⁵⁵								
390-1	m a ŋ ³¹								
696-1	ŋ u ⁵⁵								
86-1	t u ŋ ⁵⁵								
384-1	ȵ a n ³⁵								
61-1	t a m ⁵⁵								
536-1	s a ʔ ⁵⁵								
731-1	s i ³¹								
779-1	o ⁵⁵								
589-1	x a ŋ ⁵⁵								
658-1	a m ⁵⁵								
456-1	ȵ a ŋ ³¹								
183-1	k w i ³¹								
785-1	x ɔ ³¹								
714-1	u ⁵⁵								
331-1	l ɔ ³¹								
930-1	ŋ o p ⁵⁵								
161-1	tɕ a ŋ ⁵⁵								
814-1	x ui ³¹								
179-1	k ʐ w ɔ ʔ ⁵⁵								
194-1	w ɔ ʔ ⁵⁵								
727-1	ʂ a ŋ ⁵⁵								
260-1	x a p ⁵⁵								
144-1	tɕ a m ⁵⁵								
53-1	p u m ⁵⁵								
59-1	t ɔ ʔ ⁵⁵								
506-1	k a ʔ ⁵⁵								
29-1	p ə k ⁵⁵								
316-1	t ɔ ʔ ⁵⁵								
389-1	m w a ŋ ⁵⁵								
118-1	m ɔ ³⁵								
312-1	x o ³¹								
490-1	n i ³⁵								
436-1	ȵ ɔ ³¹								
927-1	ŋ o n ⁵⁵								
383-1	m ɔ ʔ ⁵⁵								
211-1	a m ⁵⁵								
873-1	s ə ŋ ⁵⁵								
877-1	ʂ a ³⁵								
344-1	l a m ⁵⁵								
666-1	ŋ ɔ ³¹								
595-1	t a ŋ ³⁵								
660-1	o t ⁵⁵								
642-1	Ø a ŋ ³⁵								
257-1	x a m ⁵⁵								
167-1	k ɔ ³¹								
880-1	t ɔ ʔ ³⁵								
484-1	n a ŋ ⁵⁵								
574-1	ʂ u m ³¹								
718-1	ʂ i n ³¹								
811-1	x au ³¹								
458-1	t u ŋ ³¹								
884-1	t i ³⁵								
205-1	tɕ u ʔ ⁵⁵								
499-1	n a ⁵⁵								
706-1	ʂ ɔ ⁵⁵								
920-1	u ŋ ³¹								
36-1	p a ŋ ⁵⁵								
12-1	p i ⁵⁵								
350-1	l a ŋ ³⁵								
4-1	p a n ⁵⁵								
342-1	ʐ u ʔ ⁵⁵								
280-1	x i ⁵⁵								
612-1	t a ŋ ³¹								
459-1	m w ə ŋ ⁵⁵								
569-1	s ui ³¹								
283-1	x u ³¹								
148-1	k ʐ a ŋ ³¹								
652-1	i ⁵⁵								
220-1	a ŋ ³¹								
562-1	Ø ə ŋ ³¹								
31-1	p o ʔ ³¹								
386-1	m o ʔ ³¹								
804-1	x w u ŋ ³¹								
369-1	l ə ʔ ⁵⁵								
125-1	t u ³¹								
314-1	k w a ³¹								
823-1	l̥ o p ⁵⁵								
471-1	n a m ³¹								
40-1	p w ə ŋ ³⁵								
393-1	m a ŋ ³⁵								
272-1	x a ŋ ³⁵								
463-1	m au ⁵⁵								
1-1	p ɔ ⁵⁵								
214-1	a m ³¹								
123-1	t u t ⁵⁵								
512-1	ŋ ə k ⁵⁵								
518-1	p w au ⁵⁵								
878-1	t ɔ ³¹								
849-1	Ø a t ⁵⁵								
524-1	p u ʔ ⁵⁵								
90-1	t ɔ ³⁵								
541-1	w a n ³¹								
933-1	ŋ au ³¹								
467-1	n ɔ ³¹								
49-1	p au ³¹								
822-1	l ɔ ʔ ³⁵								
52-1	p o ⁵⁵								
377-1	l u ʂ ³¹								
127-1	ʈʂ a p ³¹								
67-1	t a t ⁵⁵								
864-1	pʰ w a ³¹								
126-1	ʈʂ ɔ ʔ ³¹								
656-1	a m ³⁵								
635-1	Ø ɔ ʔ ⁵⁵								
473-1	n o m ⁵⁵								
98-1	ʂ ɔ ³¹								
445-1	m au ⁵⁵								
379-1	l Ø t ³⁵								
665-2		ŋ o ⁵¹							
495-2		n ui ⁵⁵							
838-2		j n a k ⁵⁵							
438-2		m o ʔ ⁵⁵							
334-2		l o ʔ ⁵⁵							
360-2		l a ²¹							
394-2		m j i ²¹							
221-2		j i t ²¹							
202-2		k ui ²¹							
935-2		o ²¹							
93-2		l o ²¹							
7-2		p a ²¹							
664-2		j a ŋ ⁵¹							
246-2		k a ʔ ²¹							
547-2		j k i k ²¹							
555-2		j i m ⁵¹							
464-2		m ui ²¹							
119-2		m j i ŋ ⁵¹							
835-2		j n a̱ p ²¹							
79-2		t j a̱ j ²¹							
693-2		ŋ ui ⁵¹							
477-2		n j e ⁵⁵							
