COGID	Albanian	English	French	German	Latin
560-1	e t t				
438-1	y r e t				
1222-1	Ø t				
353-1	p e Ø t				
201-1	Ø Ø Ø n e				
20-1	t a Ø u r				
503-1	p n l e n				
957-1	d e n				
728-1	l i n t				
244-1	n Ø m i n				
289-1	n t i n				
911-1	n n r e d n				
724-1	d r i				
145-1	d n Ø				
992-1					
1181-1	k t a n i				
741-1	p j Ø				
1150-1	Ø u r d				
585-1	d y				
814-1	r				
560-2		v k Ø n i			
438-2		i r ə s			
1222-2		i l ɑ f			
353-2		p w ə s l i			
201-2		l l n i			
20-2		s e t r			
503-2		p i l i n			
957-2		ɪ n			
728-2		l au n Ø			
244-2		n l m au n			
289-2		n i ə d			
911-2		w i r ə i ə n			
724-2		θ r w ə			
145-2		t w o			
992-2		s i			
706-2		au l			
106-2		p i t t r			
741-2		p Ø			
421-2		b l ə r			
227-2		p t			
920-2		k i r t t t			
1083-2		k ɑ r n			
1066-2					
1125-2		k n o			
1197-2		m ə t t r			
473-2		n o w l			
284-2		n t s			
661-2		Ø n			
701-2		r o t			
315-2		r au t n			
1169-2		s ə l t			
1150-2		k ɛ r t			
982-2		ə s ɪ			
987-2		t n ə			
1055-2		s t w ə l t			
1130-2		s u s			
433-2		s ɑ l ə			
625-2		l ɪ n Ø ə			
1186-2		ɪ n t			
560-3			w v e n w		
438-3			r		
1222-3			w w o w		
353-3			p t ʃ		
201-3			r d w v		
20-3			w a f r		
503-3			p u l w d		
957-3					
728-3			n e v w d		
244-3			a m ɑ̃		
289-3			u t		
911-3			v v r e d i t		
724-3			f r		
145-3			t v i		
992-3			e		
1181-3			k		
706-3			a w		
106-3			f a t a r		
741-3			p a ʃ		
421-3			f l Ø r		
227-3			f u		
920-3			k ɔ r t d d		
1083-3			k Ø r w		
1066-3			a		
1125-3			w w Ø		
1197-3			a t a r		
473-3			i w		
284-3					
661-3					
701-3			r o w		
315-3			r ɔ̃ w		
1169-3			s a l		
1150-3			t ʃ ɛ r t		
982-3			s ɑ̃ t w		
987-3			Ø w		
1055-3			s t a r d w		
1130-3			s ʒ w		
433-3			s d		
585-3			t w		
625-3			t ɛ Ø w		
1186-3			t i w		
814-3			v ɑ̃ r		
560-4				k s eː ŋ	
438-4				e r eː	
1222-4				e f	
353-4				f e ʃ	
201-4				f Ø n h	
20-4				t r	
503-4				f eː l n	
957-4				e ŋ	
728-4				l a n t	
244-4				n Ø m n	
289-4				ŋ t	
911-4				r a s	
724-4				d r eː	
145-4				s Ø	
992-4				h eː	
1181-4				Ø r Ø ŋ	
706-4				Ø	
106-4				f a r	
421-4				f l au	
227-4				f s	
920-4				h a r s	
1083-4				h a r n	
1066-4				Ø	
1125-4				n a	
1197-4				m r	
473-4				n a v	
284-4				n a	
661-4				v Ø n	
701-4				r au	
315-4				r au n	
1169-4				z a l	
1150-4				ʃ n a r t n	
982-4				z eː s	
987-4				z n a	
1055-4				z t a	
1130-4				z Ø	
433-4				z n	
585-4				t e	
625-4				n Ø	
1186-4				s i n d	
814-4				v r Ø	
560-5					w oː m
438-5					w r a
1222-5					a oː f
353-5					p oː s a w
201-5					p a w a w
20-5					k aː t o r
503-5					p w l
957-5					w n a
728-5					l a a
244-5					n oː m a r
289-5					n w a a
911-5					a a r w w d e
724-5					t r eː
145-5					d a e
992-5					k w
1181-5					k e n a
706-5					Ø a
106-5					p r a r
741-5					p a a k
421-5					f l u r r i
227-5					p o d
920-5					k r d a a
1083-5					k a r n
1066-5					g a a
1125-5					d a n e
1197-5					m e r a r
473-5					n oː l a l
284-5					n aː r a
661-5					r i n
701-5					r u d
315-5					r u n d
1169-5					s a l d
982-5					a s e
987-5					r n aː g
1055-5					r a g r a
1130-5					s uː l a
433-5					s a n i
585-5					a
625-5					a Ø a
1186-5					d i r
814-5					w eː r
