COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a tʼ ɨ m																		
107-1	g ɨ m ə a																		
112-1	d ə t ə n a																		
331-1	n ɨ g u s																		
377-1	b ə ʔ																		
381-1	ʔ a nː d																		
417-1	r u n																		
451-1	s ə nː t																		
454-1	h a nː ɨ r																		
484-1	s ɨ ɨ s t																		
535-1	ʔ a tʃʼ ɨ r																		
543-1	s o ə s t																		
593-1	ʔ a m ɨ s																		
640-1	m a ɲː																		
1-1	d ə mː ə r ə																		
65-1	tʼ u b																		
212-1	ʔ ai̯ n																		
244-1	ʔ a r b ɨ t																		
248-1	m ɨ a ʔ a																		
293-1	f ə r ə s																		
373-1	Ø ɨ m a																		
408-1	b ɨ ʔ r a																		
414-1	d u Ø a a																		
601-1	ʔ ə r ə b u ʔ																		
642-1	n ɨ f a s																		
60-1	n ə f ə s ə																		
115-1	a m																		
209-1	s ə m ə n t																		
242-1	ʔ a m ɨ s t																		
415-1	n ɨ n a b																		
450-1	j ə r ə																		
490-1	tʼ ə Ø ə																		
638-1	s ɨ r ɲː ai̯																		
645-1	Ø a Ø																		
160-1	d ə r ə ʔ a																		
208-1	ʔ ɨ n Ø o a																		
214-1	ʔ a b																		
378-1	ʔ a Ø g b ə t b																		
379-1	Ø ə h tʼ ə b																		
409-1	ʔ ə t ə r																		
598-1	ʔ t																		
646-1	ʔ a n t ə																		
210-1	n ə b o n b																		
215-1	ʔ a b a ʔ ɨ t																		
285-1	mː ɨ tʼ a d																		
332-1	ʔ ɨ g ɨ r																		
380-1	ʔ a h ɨ ʔ b																		
412-1	s u h ə n																		
64-1	d a mː b b o																		
67-1	w ɨ r																		
251-1	f ə ɲː																		
294-1	m ɨ ʔ ə																		
597-1	h ə b mː b b ə ɲː a																		
7-1	ʔ a Ø g a																		
158-1	Ø ə m ɨ s																		
372-1	Ø ə n f ə r																		
374-1	Ø ə Ø o Ø o																		
375-1	s ə b																		
411-1	ə ə t ə r ə a s																		
541-1	Ø ə Ø ɨ n																		
6-1	ə Ø Ø a a																		
113-1	b u ɲː a																		
330-1	Ø ə t d																		
448-1	Ø ə d a ə n ə t																		
449-1	ʔ a b j ə																		
491-1	d ɨ n g ə t																		
596-1	n ə g b																		
4-1	dʒ Ø d b																		
8-1	Ø ə Ø ə t ɲː ɲː																		
106-1	m ə t a																		
290-1	h a g ə j ə																		
489-1	Ø Ø Ø Ø Ø a																		
602-1	m ɨ n																		
2-1	w ə Ø u																		
3-1	ʔ ə Ø ɨ																		
213-1	ʔ a r o tʃʼ																		
486-1	n ə Ø ə Ø ə																		
647-1	Ø ə t t ə t t																		
10-1	tʼ ɨ Ø ɨ r																		
110-1	Ø a Ø																		
152-1	ʔ a n o																		
211-1	m ɨ s a t																		
328-1	s ə Ø ə b ə b																		
333-1	m ɨ tʃʼ ɨ r																		
334-1	ʔ a n b ə s a																		
410-1	Ø a Ø ɨ j Ø																		
540-1	l ə Ø a																		
109-1	g u n tʃʼ ɨ																		
153-1	w ə nː ə n ə																		
250-1	b b t ə w ə b b																		
289-1	l ɨ b ə																		
326-1	m ɨ t																		
594-1	g ə j ə																		
154-1	ʔ a f ə r ə s ə																		
245-1	Ø a Ø Ø																		
247-1	ʔ ɨ n Ø u r a r ɨ t																		
286-1	s ə g ə r																		
643-1	g Ø a a a																		
62-1	f ə Ø u h u																		
288-1	r ʔ a s																		
416-1	Ø ə ʔ ɨ																		
5-1	g ə b s																		
61-2		d ə m																	
63-2		ʔ a tʼ i m t																	
107-2		g a m ɨ l																	
112-2		d a b ə n a																	
331-2		n ɨ g ɨ s																	
377-2		b ə kʼ l o																	
381-2		ʔ a d																	
417-2		r ɨ dʒ																	
451-2		s ə b a t																	
454-2		k a h i r																	
484-2		s ɨ i s t																	
535-2		ʔ a s i r																	
543-2		tʃ o ʔ s t																	
593-2		h a m i s																	
640-2		m a k																	
