COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d u ŋ ŋ															
1089-1	n aː ŋ															
1319-1	n ŋ ŋ ɔ															
1398-1	s u g u ŋ ŋ u															
1557-1	g i r e															
1626-1	w a g a															
1840-1	t i r̃ u															
2247-1	g o ŋ															
4677-1	k u r o j ŋ															
5162-1	m i ŋ r̃ ɛ															
5406-1	t aː n d uː															
359-1	g a r u ŋ															
1577-1	g i r e															
2196-1	n a r̃ a															
2230-1	s i g aː															
2533-1	b a r ŋ i															
3605-1	k a n d a															
3866-1	ŋ oː s u															
4553-1	t a ŋ g u															
4822-1	k u m b oː															
5254-1	d u r ɔ															
503-1	k i r̃ a o															
1356-1	m a j															
1881-1	n u m w̃ ŋ															
3218-1	b u ŋ ŋ s u															
3372-1	n a m a															
3718-1	ŋ a r a															
4135-1	b a n ŋ ŋ															
4694-1	g u s ŋ ŋ u															
807-1	k oː m ŋ iː															
2320-1	k a ŋ e															
2476-1	k uː n̩ n̩															
3719-1	m															
4081-1	d a m b ŋ u															
4313-1	n ɛ m ŋ ŋ															
4460-1	s ɔ j															
5810-1	p i r u															
93-1	d o															
260-1	b ɛ ŋ r a															
385-1	z e m b ɛ ŋ															
890-1	ŋ a m i r i															
1336-1	t e g e															
1703-1	b a n̩															
1769-1	t ɛ m b i															
2162-1	b ɛ r ɛ															
2635-1	s oː															
3031-1	d ɛ g ɛ															
4591-1	t aː r u															
5301-1	b ɛ r u															
5605-1	t i m a															
463-1	d u m b aː															
1432-1	t a r u															
1474-1	t ɔ ŋ ŋ ŋ															
1788-1	s i ŋ ŋ															
2044-1	d i m b oː															
2713-1	t aː m ŋ ŋ d ɛ r ɛ															
3219-1	b a s u															
3425-1	j uː															
4184-1	ŋ ɛ ŋ ŋ															
4629-1	n u ŋ ŋ ɔ															
4759-1	n i j̃ e															
4904-1	n ŋ u ŋ o a															
4960-1	g i ŋ aː dʒ o															
4980-1	t a															
5059-1	g u j o															
5339-1	p aː g a															
5549-1	t a w ŋ a															
5905-1	t i r̃ u															
5922-1	b i r aː															
5938-1	ŋ a d uː n r a															
1-1	p ɛ															
483-1	g e s u															
629-1	d o ŋ ŋ															
667-1	ɛ w ɛ															
1254-1	z a n d u r u															
1415-1	ɲ ŋ ɛ															
1542-1	n ŋ aː ŋ															
1683-1	s u ŋ ŋ															
1898-1	b u r̃ ɔ															
2901-1	t u ŋ u															
2957-1	m a n d u															
3048-1	b i j e															
3251-1	b a r a															
3885-1	d e r u															
4402-1	j i															
5622-1	p e ŋ j e j															
6006-1	b i r̃ i															
135-1	t u n d u															
158-1	m ɔ s u															
194-1	b ɛ															
221-1	ɛ s u															
650-1	b e s e															
1152-1	t i w ɛ															
1374-1	k o ŋ ŋ o															
1452-1	g aː r a															
1862-1	i s u															
2083-1	k a ŋ ŋ uː															
2108-1	n a j															
2636-1	m ŋ															
2924-1	p o r ŋ															
2941-1	b i r u															
3405-1	ŋ ɛ m ɛ															
3751-1	p aː n															
4066-1	g ɔː r̃ o															
4535-1	s u g ɔ															
4888-1	s aː m n̩ n a															
5583-1	t a ŋ g a															
5751-1	t i j ɛ															
5981-1	a r̃ a ŋ															
114-1	d ɔ j̃ n															
851-1	g ɔ ŋ ŋ															
1941-1	k i r i															
2179-1	n d u															
2351-1	b a b a															
2496-1	n u ŋ															
3482-1	m i s i d ŋ ŋ ŋ ɛ															
3497-1	ŋ n aː ŋ ŋ															
3588-1	k ɔ r ɔ															
4202-1	g oː r o o ɔ															
4293-1	z ɔ w ɔ															
4921-1	s a m b n̩ i															
408-1	j oː m b u															
545-1	i r iː															
978-1	t o m ŋ															
1052-1	n aː m b u															
1070-1	d u g o															
1942-1	j oː															
2456-1	k ɔ r i															
2514-1	d u s u															
2666-1	s u g i															
2817-1	a ŋ g e															
3132-1	d u ŋ g															
3300-1	ɛ w aː															
3976-1	ŋ s u															
