COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	o ɣ ɜ d o ŋ						
514-1	m ĩ k						
464-1	ɜ n̪ ɑ						
1020-1	s̪ n̪ ɜ m s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ e						
302-1	b r̪ ɜ ŋ						
237-1	l̪ t̪ ʑ ɑ						
205-1	p r̪ ɜ m ɜ						
1089-1	l ɜ m ʑ l						
804-1	k ɜ ŋ ɜ						
1263-1	b ɑ x s̪ p ɑ						
286-1	r̪ u s̪ p ɑ						
717-1	s̪ n̪ ɪ ŋ						
269-1	r̪ ɜ kʰʲ						
1512-1	x tɕ ɪ n̪						
555-1	kʰʲ ɜ k p ɜ						
751-1	n̪ ɜ ŋ						
439-1	z̪ g o						
601-1	ɕ ɪ ŋ						
320-1	ɜ ɜ x m ɜ						
1106-1	b u						
693-1	kʰ ɜ tθʰ o kʰʲ ɑ						
221-1	s̪ t̪ ɜ r̪ e						
1199-1	t̪ʰ ɜ p ɑ						
1424-1	s̪ k u t̪ p ɑ						
904-1	l tθʰ o t̪						
1273-1	ɣ n̪ ɜ m						
1323-1	s̪ k ɜ r̪ ɜ						
1127-1	tɕʰ ɜ r̪ p ɜ						
1529-1	tɕʰ u						
1175-1	ɾ kʰʲ ɛ m m o						
383-1	p s̪ kʰʲ l						
820-1	l̪ o k						
1636-1	x l̪ u ŋ						
1331-1	ʊ ɾ d̪ ʑ ɑ						
1097-1	l ɜ m						
1223-1	h ɜ ŋ ɜ						
592-1	m e						
1290-1	t̪ u t̪ p ɜ						
669-1	x s̪ ɛ ɾ						
1472-1	s̪ t̪ ɑ ɣ m ɪ						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɑ						
626-1	m ĩ n̪ d o kʰʲ						
844-1	ɑ m						
879-1	tɕʰ ɑ						
1151-1	b r̪ ɜ s̪						
1119-1	ɑ l u						
365-1	s̪ ȵ ɛ r̪ m ɜ						
1480-1	j u ŋ						
653-1	z̪ g o k p ɑ						
1081-1	tθʰ o ŋ						
1448-1	p ɑ ɣ ɜ n̪						
1029-1	m ɑ ɾ						
863-1	ɕ ɜ						
539-1	kʰʲ ʑ l						
610-1	kʰʲ ɑ						
350-1	h ɜ ŋ o						
871-1	o ŋ m ɑ						
734-1	ɾ kʰʲ ɑ						
431-1	kʰ ɪ						
1298-1	kʰ ɣ b ʊ l						
929-1	h ɜ ŋ k ɪ						
1315-1	t̪ ɜ k s̪ k ɜ n̪						
964-1	m k n̪ t̪ ɜ x i						
836-1	m ɪ						
1644-1	ɾ ʊ s̪ t̪ r̪ ɪ ŋ						
547-1	ɜ t̪ ɜ						
1048-1	k ɜ k ɑ						
