COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t e									
56-1	j m e									
96-1	t									
99-1	r i z a									
114-1	t o k									
115-1	j z									
133-1	t i p a n									
144-1	t a w									
150-1	k a w									
234-1	k o m									
236-1	p i k u n									
241-1	a n									
249-1	i tʃ e									
1-1	w a z a									
2-1	m o m r a									
65-1	i w									
74-1	p a n a									
106-1	t u n e n									
128-1	p o k									
147-1	t u k									
231-1	p a n a w o ʔ									
232-1	p i p i o									
239-1	n a m a k a n									
266-1	i z i m									
51-1	j w e ʔ									
97-1	m a p o m									
109-1	p p w i k									
121-1	k a p a j a k									
149-1	t o k									
160-1	k i r k									
163-1	j p e n									
167-1	p a									
207-1	m									
259-1	t o w a									
66-1	k r a k a w									
134-1	n i p a t									
139-1	m k u r									
142-1	p t a m									
145-1	k t a t									
148-1	z a w a n									
162-1	i j n									
166-1	i m i									
179-1	t a									
201-1	p w e									
21-1	t a n									
24-1	p o k o r a n									
50-1	i n a ʔ									
57-1	t o k o w a n									
84-1	p i w a n									
91-1	m o k o n									
131-1	t u k z i m									
151-1	k i w									
154-1	w e									
192-1	t u t									
197-1	j j j ʔ									
205-1	i p a n									
227-1	m a p i t o									
246-1	i i									
251-1	w a n a									
271-1	tʃ i w									
285-1	i r a i n									
75-1	p p e ʔ									
79-1	t a n									
104-1	k i p n									
153-1	tʃ a k									
157-1	t z a m									
174-1	p u r									
240-1	t i m a k									
270-1	k a w a z i									
52-2		e e								
56-2		e m e								
96-2		a r a s								
99-2		e r e o e								
114-2		t o h e s o								
115-2		e r e s o								
133-2		t o r a s u								
144-2		e r a h a s u								
150-2		k a o								
234-2		k o m								
236-2		j a h u								
241-2		a o o								
249-2		e s e								
74-2		j a h a								
93-2		t a h a r u s o								
95-2		j o h u s								
106-2		t e k e r o								
119-2		e j e h u s u								
128-2		o u o								
147-2		r o m u o								
231-2		j a h a o u								
232-2		j e h u e u o p u								
239-2		m a h a h a p								
266-2		k u o m								
51-2		e o e								
55-2		e e a m								
97-2		w o m o p u								
121-2		k a h u o a h a s u								
163-2		e h e								
167-2		h a								
259-2		t a o a								
66-2		e a r a h a u								
112-2		t r a o o s o								
116-2		t a h a h a s p								
125-2		k a h u m a s o								
135-2		k u								
139-2		m o o p o								
142-2		e o r u m u u								
148-2		t r o o u o o								
162-2		k u o u								
166-2		e m u								
179-2		t o								
45-2		e o o a m o								
84-2		r o o u								
131-2		u k u r p u p p								
146-2		e r u m u u								
154-2		e o e								
192-2		o								
197-2		t e m								
235-2		s o o o								
237-2		r o m o o u								
246-2		e h u								
250-2		m o r a u j e h o								
267-2		t o o u								
39-2		j a m e r a m a								
42-2		k o t r a m a								
44-2		o o o o m								
75-2		o o p								
94-2		e e r e k o								
122-2		u k o o p u								
52-3			t i a p a							
56-3			u i m							
96-3			p a t a t i e							
99-3			a t i o a t i a							
114-3			t i k i tʃ i							
115-3			j t i tʃ e							
133-3			tʃ i p a a tʃ e							
144-3			u a tʃ i a tʃ e							
150-3			k a							
234-3			a k i n							
236-3			u i k o							
241-3			e a i e							
249-3			w							
1-3			e a p a							
2-3			a i i s m u e							
65-3			a e d u e							
93-3			t i p a u tʃ e							
95-3			a tʃ s u e							
106-3			tʃ i ɲ o e tʃ e							
119-3			p a t i tʃ e							
128-3			u o k i tʃ i							
147-3			w i m u ʃ i							
231-3			p a a t i							
232-3			w i u i s a u e							
239-3			e a m a k a							
266-3			a i t i o							
3-3			e a i k i i h							
4-3			e a i h							
55-3			e i a m							
109-3			j a i p a tʃ e							
121-3			j e a j a m m							
149-3			tʃ e d d m							
160-3			k i m i k							
207-3			m i							
112-3			t a i t i a t a tʃ e							
125-3			k a u i m a ʃ e							
134-3			h i p a tʃ i m m e							
135-3			t i k i u o m a ʃ							
139-3			p a k i ɲ o i tʃ e							
57-3			t i k a p a k e							
71-3			s e o							
131-3			t i k i p a k o u e m a ʃ e							
146-3			i a a a m m m							
227-3			p a o i i t i k							
132-3			m u ʃ i							
240-3			tʃ i m a k							
52-4				w i t e j						
56-4				j m e j						
96-4				a t j						
99-4				a j i						
114-4				t o k						
115-4				j w						
133-4				a t i p a n						
144-4				a t a w						
150-4				k a w						
234-4				k o m						
236-4				p i k a n						
241-4				a w i n						
249-4				i tʃ e j						
1-4				w a j a						
2-4				j m						
65-4				i w						
74-4				p a n a						
93-4				a a a a						
95-4				k a i a						
106-4				t j n a						
119-4				a a a						
128-4				p o k						
147-4				t o k a						
231-4				p a n a w o i						
232-4				p i						
239-4				n a m o k a n						
266-4				w i i i m						
3-4				a w a k i a i						
4-4				w a w a						
51-4				j w e						
97-4				m a p a m						
109-4				j p e k						
121-4				k a p a w a k						
149-4				t o k						
160-4				k i j i k						
163-4				j p i n						
167-4				p a						
207-4				m i j						
259-4				t o w a						
66-4				k a j o k a w						
116-4				a a k a a						
134-4				n i p a t j						
135-4				a a i a i						
