COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	h a							
5-1	n a							
4-1	tʰ ɛ k							
6-1	n a ŋ							
15-1	b i							
55-1	r ɔˀ							
56-1	u							
60-1	s i							
61-1	kʰ u ŋ							
80-1	tɕʰ ɔ k							
87-1	tɕʰ u							
86-1	pʰ aˀ							
92-1	pʰ a							
102-1	m ɛi							
106-1	pʰ ɔ k							
108-1	d e							
107-1	p l a							
112-1	pʰ ɛ ŋ							
115-1	ɕ a							
114-1	tʰ ɔ m							
120-1	t aˀ							
124-1	e							
125-1	tʰ ɔ k							
132-1	h i							
131-1	n i ŋ							
136-1	b u							
134-1	kʰ a t							
137-1	u							
138-1	d ɔ k							
140-1	kʰ a							
143-1	tɕʰ a k							
145-1	tɕʰ a m							
147-1	kʰ ɔi							
149-1	h i t							
153-1	ɕ a							
152-1	kʰ ɛ n							
158-1	kʰ i s							
163-1	r i							
164-1	ɲ u							
167-1	pʰ a ŋ							
171-1	ɲ u ŋ							
172-1	b i k							
173-1	tʰ ɔ n							
183-1	r ɛi							
185-1	m a							
188-1	kʰ u n							
189-1	ts u n							
193-1	kʰ ɛi							
196-1	m a ɹ							
199-1	ɕ ɛi							
200-1	kʰ a ɹ							
201-1	kʰ i							
202-1	kʰ o							
203-1	tʰ ɔ ŋ							
204-1	b u							
206-1	ɲ a ŋ							
117-1	b u							
146-1	kʰ i p							
219-1	h j a							
218-1	kʰ i							
224-1	m a ŋ							
240-1	ɕ a k							
244-1	w a t							
255-1	t a s							
260-1	b ɛi							
263-1	r ɔu							
269-1	kʰ j e ŋ							
271-1	tʰ a k							
209-1	kʰ i p							
277-1	m ɛ m							
278-1	l ɔ ŋ							
135-1	d e							
284-1	m u							
797-1	u							
290-1	n i ŋ							
289-1	k i k							
296-1	n i							
310-1	ɕ i							
319-1	i							
325-1	r i							
327-1	tʰ i							
331-1	k u							
337-1	b r ɛ m							
338-1	d i ŋ							
339-1	a ɹ							
350-1	kʰ u							
349-1	t u ŋ							
357-1	tɕʰ aˀ							
355-1	u							
363-1	l a ŋ							
361-1	tʰ u							
365-1	s a							
364-1	tʰ ɛ s							
375-1	r ɔ k							
379-1	ɕ ɛ t							
380-1	kʰ u							
396-1	j u							
400-1	m a							
405-1	d a ŋ							
404-1	s u m							
409-1	ɹ j ɛ k							
410-1	h i t							
415-1	b ɛi							
416-1	b u							
101-1	ŋ aˀ							
37-1	kʰ a							
424-1	pʰ ɔi							
434-1	ɕ ɛ ɹ							
445-1	p aˀ							
446-1	ɕ i							
451-1	t aˀ							
457-1	n a m							
456-1	b a							
464-1	p ɕ i m							
473-1	ɕ i							
474-1	ɔ ŋ							
479-1	s ɛ ɹ							
489-1	j i							
490-1	j a ŋ							
494-1	ɕ e							
503-1	kʰ u							
502-1	ɕ a ŋ							
235-1	n ŋ							
519-1	l i							
523-1	i k							
527-1	kʰ j ɛ ŋ							
538-1	s							
544-1	w a m							
850-1	a							
554-1	b i							
553-1	d u n							
558-1	kʰ a m							
561-1	ɕ a							
562-1	p u							
564-1	j e							
567-1	m a							
570-1	pʰ u							
575-1	ai							
582-1	ɹ e							
585-1	a t							
589-1	kʰ u m							
593-1	d ɛ n							
594-1	l ŋ							
595-1	tʰ u ŋ							
596-1	ŋ a k							
598-1	ʑ aˀ m							
599-1	tʰ ɛ m							
602-1	ʑ ɛi							
603-1	r a p							
606-1	s u m							
605-1	b a							
620-1	l ɛi							
637-1	pʰ a k							
639-1	dʑ i							
645-1	kʰ ɔˀ							
646-1	n i ŋ							
168-1	kʰ j ɛ k							
658-1	kʰ ɔ ŋ							
665-1	pʰ a							
668-1	pʰ a							
677-1	t a ŋ							
75-1	k ɔ ŋ							
678-1	ɕ a							
682-1	p ɛ ŋ							
493-1	ʑ u							
693-1	ɕ a							
694-1	m a							
702-1	tsʰ u m							
704-1	m a							
176-1	l a							
709-1	s a m							
710-1	t u p							
714-1	m ɹ ɔ ŋ							
718-1	kʰ a							
719-1	tɕʰ a m							
22-1	m u							
723-1	tɕʰ i n							
726-1	l i ŋ							
729-1	b ɔˀ							
730-1	d i							
739-1	p ɕ i							
740-1	b e							
741-1	kʰ ɔ p							
744-1	u							
743-1	h e n							
746-1	pʰ ɔ ŋ							
748-1	t i k							
747-1	kʰ u							
749-1	kʰ ɛ n							
751-1	t a n							
762-1	b ɛ n							
764-1	kʰ i n							
765-1	b i							
788-1	h u ɹ							
615-1	ɹ a k							
803-1	ɕ aˀ							
802-1	b a k							
808-1	b i							
809-1	ts i							
819-1	d i k							
821-1	ɕ e							
820-1	b i							
828-1	ɕ a k							
827-1	p u							
835-1	h ɛi							
308-1	d u							
844-1	ʑ i m							
848-1	m u							
705-1	l a							
613-1	u							
649-1	kʰ j ɛ k							
876-1	ɕ u							
878-1	j ɔ m							
889-1	kʰ a m							
898-1	n i t							
902-1	kʰ a ŋ							
910-1	i n							
916-1	l i							
919-1	r i							
922-1	ɕ i s							
930-1	ɕ u							
933-1	k i							
939-1	d j i k							
947-1	j ɛ n							
948-1	n aˀ							
963-1	ʑ a							
967-1	ɕ i p							
969-1	ɕ a							
970-1	kʰ ɔ t							
972-1	n e							
