COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d u															
1089-1	n a m a															
1319-1	n ɔ n															
1398-1	s u m r d u															
1557-1	g i r e															
1626-1	w a g a															
1840-1	t i r u															
2247-1	g o															
4677-1	k u r o j															
5162-1	m i r ɛ															
5406-1	t o n u															
359-1	g a r i															
1577-1	g i r e															
2196-1	n a r a															
2230-1	s i m															
2533-1	b a r ŋ i															
3605-1	k a n d a															
3866-1	o s u															
4553-1	t a n a															
4822-1	k u m b o															
5254-1	d u r a															
503-1	k i r ɛ j̃															
1356-1	m a j̃ a															
1881-1	n u m u j̃															
3218-1	d u s u															
3372-1	n a m a															
3718-1	a r a															
4135-1	b a r a e															
4694-1	g u s n m u															
807-1	k o m b iː															
2320-1	k a ɛ															
2476-1	k u n															
3719-1	m iː															
4081-1	d a m b ŋ i															
4313-1	n ɛ n															
4460-1	s u j̃ a															
5810-1	d i n r ɛ															
93-1	d ɔ															
260-1	b i r e															
385-1	z ɛ m b ɛ															
890-1	a m b e r u															
1336-1	t e g e															
1703-1	b o															
1769-1	t ɛ m b u															
2162-1	b ɛ r ɛ															
2635-1	s o															
3031-1	d ɛ k ɛ															
4591-1	k e r u															
5301-1	d ɛ r u															
5605-1	t i m ɛ j̃															
463-1	d u m b u															
1432-1	t a r iː															
1474-1	t u n															
1788-1	s iː m															
2044-1	t i m b e															
2713-1	t e m ɛ d ɛ r ɛ															
3219-1	d uː s a															
3425-1	j u															
4184-1	n ɛ j̃															
4629-1	n u n d ɔ															
4759-1	n iː j̃ i															
4904-1	n u ɔ															
4960-1	g i n o z o															
4980-1	t ɔ															
5059-1	k u r o															
5339-1	d a a															
5549-1	t a w a															
5905-1	t i r u															
5922-1	b i r a															
5938-1	a t u n ɔ															
1-1	d ɛ															
483-1	g e s u															
629-1	t ɔ															
667-1	ɛ w ɛ															
1254-1	s u m r u															
1415-1	ɲ ɛ															
1542-1	n u															
1683-1	s iː m															
1898-1	d u r u j															
2901-1	t u d u															
2957-1	m a n ŋ i															
3048-1	b i j e															
3251-1	d a r a															
3885-1	d ɔ r ɔ															
4402-1	j i															
5622-1	d e r u j e j															
6006-1	d i r a															
135-1	t u n d u															
158-1	m ɔ s u															
194-1	b ɛ j̃															
221-1	ɛ s u															
650-1	b ɛ s u															
1152-1	t i w ɛ															
1374-1	k ɔ r ɔ															
1452-1	d o r a															
1862-1	i s i															
2083-1	k a r iː															
2108-1	n a n j̃															
2636-1	m															
2924-1	d o o															
2941-1	b i r iː															
3405-1	ɛ m ɛ j̃															
3751-1	p e															
4066-1	d o r ɔ															
4535-1	s u g a															
4888-1	s a m n a															
5583-1	k a w i															
5751-1	t i j ɛ															
5981-1	a r a															
114-1	d ɔ j̃ a															
851-1	k u ɔ															
1941-1	k iː s iː															
2179-1	n ŋ i															
2351-1	d a a															
2496-1	n u															
3482-1	m i z i e e g e															
3497-1	i uː e a															
3588-1	k ɔ r ɔ															
4202-1	g o r e e															
4293-1	ɔ ɔ															
4921-1	s a m b a															
408-1	k e m b iː															
545-1	o r iː															
978-1	t a m															
1052-1	n a m b u															
1070-1	i u ɔ															
1942-1	dʒ e															
2456-1	k ɔ r i															
2514-1	d u z iː															
2666-1	s i j iː															
2817-1	a d i															
3132-1	d u d u															
3300-1	ɛ w e															
3976-1	ɔ e e e															
4152-1	k iː r a e															
4361-1	t e e															
4570-1	t o w															
4648-1	j e															
715-2		d u i														
1089-2		n a r̃ i														
1319-2		n ɔ r̃ i														
1398-2		s u i n i e														
1557-2		g i r e														
1626-2		w a w i														
1840-2		t i n i														
2247-2		g o														
4677-2		k u r eː j i														
5162-2		r̃ d e														
5406-2		t aː n i i														
359-2		g a r u														
1577-2		g i r e														
2196-2		n ɛ r̃ a														
2230-2		s i j e														
2533-2		b a n i i														
3605-2		k a n a														
3866-2		o s u														
4553-2		t a i g e														
4822-2		k e b o														
5254-2		d u r ɔ														
503-2		k iː r̃ e j̃														
1356-2		a w														
1881-2		n u u j̃ i														
2084-2		j aː p ɛ														
