COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r ɨ									
18-1	θ a r ɨ									
35-1	θ ɨ ts i									
36-1	θ u ts i									
48-1	n a g a s a r i									
60-1	θ u r r m i									
63-1	s aː r r ɨ									
64-1	k a									
67-1	h a									
68-1	n e g u ɴ i									
71-1	tɕ a									
76-1	h u n									
83-1	ts ɨ n i									
87-1	h a n ɨ g ɨ									
95-1	m i m i									
98-1	h a n a									
99-1	k u tɕ i									
-102-1	dʑ aː θ u b o g a									
103-1	ts ɨ m ɨ									
110-1	θ a									
116-1	m ʔ n a									
120-1	n u ɴ o r i									
132-1	k i k u r i									
139-1	j k u r u ts u i									
140-1	ʔ w ɨ sː u ɴ i									
156-1	θ a tɕ u r r i									
168-1	ts e x u s a									
169-1	h u s a									
170-1	m i tɕ i									
173-1	ʔ i s i									
180-1	x u m o									
185-1	h a ɴ i									
186-1	m r u r i									
187-1	m i tɕ i									
190-1	ʔ a kʲ s a r ɨ									
193-1	k i r u g i									
194-1	s aː r u s a r i									
195-1	x u r u s a r i									
216-1	m a r u dʑ a i r i									
221-1	n i m r i									
239-1	ʔ i ts i									
252-1	m i ts i									
253-1	w ts u									
254-1	ʔ i ts ɨ ts i									
266-1	kʲ a g a									
267-1	n e g e r e r u r i									
268-1	u m i									
272-1	ʔ a m ɨ ɴ u									
276-1	ʔ a r a r u r i									
281-1	m o dʑ ɨ g i									
304-1	ts e b u k i									
305-1	ʔ r tɕ a									
308-1	h a n a									
309-1	x u s a									
310-1	θ u									
311-1	ɴ x i									
14-2		k o r e								
18-2		d a r e								
35-2		h i t o ts u								
36-2		h u t a ts u								
48-2		n a g a kʲ i								
60-2		t o r i								
63-2		s i r a m i								
64-2		k i								
67-2		h a a								
68-2		n e o								
71-2		tɕ i								
76-2		h o n e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i u u a								
103-2		ts u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m u								
132-2		k i k u								
139-2		k o r o s u								
140-2		o j o g u								
156-2		t a e r u								
168-2		ts u k u i								
169-2		h o s i								
170-2		m i u								
173-2		i s i								
180-2		k u m o								
185-2		h kʲ a i								
186-2		m o e r u								
187-2		m i tɕ i								
190-2		a k u kʲ a kʲ i								
193-2		k i r o i								
194-2		s i r o kʲ i								
195-2		k u r o kʲ i								
216-2		m a r u kʲ a								
221-2		n a a								
239-2		i ts u								
252-2		m i ts u								
253-2		j o ts u								
254-2		i ts u ts u								
266-2		k a e								
267-2		n a g a r e r u								
268-2		u m i								
272-2		a m e a								
276-2		a r a u								
281-2		m u s i								
304-2		ts u b u a								
305-2		o i tɕ i								
308-2		h a n a								
309-2		k u s a								
310-2		t o								
311-2		n a i								
14-3			k o e							
18-3			a e							
35-3			h i t o							
36-3			h t							
48-3			n a e							
60-3			t o i							
63-3			s i a m e							
64-3			k i							
67-3			a							
68-3			n e							
71-3			i							
76-3			h o n e							
83-3			n o							
87-3			h a n e							
95-3			m i m i							
98-3			h a n a							
99-3			k i							
-102-3			e a							
103-3			m e							
110-3			t e							
116-3			n e							
120-3			n o m							
132-3			k i k							
139-3			k o o s							
140-3			o o							
156-3			t a							
168-3			k i							
169-3			h o s i							
170-3			m e							
173-3			e s i							
180-3			k m o							
185-3			h a							
186-3			m o e							
187-3			m e i							
190-3			a e							
193-3			k o							
194-3			s i e							
195-3			k e							
216-3			m a							
221-3			n a							
239-3			e							
252-3			m i							
253-3			o							
254-3			e							
266-3			k a e							
267-3			n a a e							
268-3			m i							
272-3			a m e							
276-3			a a							
