COGID	Albanian	English	French	German	Latin
560-1	p p				
438-1	r ə				
1222-1	ə ə				
353-1	p ə p ə				
201-1	p ə p ə				
20-1	p p ə ə				
503-1	p ə p ə				
957-1	p ə				
728-1	p ə p ð				
244-1	p p m ə				
289-1	p p				
911-1	r ə ə ə				
724-1	r ə				
145-1	p ə				
992-1					
1181-1	ə p p ə				
741-1	p p p				
1150-1	ə ə p p				
585-1					
814-1	p r p ə				
916-1					
1079-1	p ə p				
630-1	ə ð ə ə				
343-1	p p ə				
8-1	p ə ə ə				
385-1					
683-1	p p ə ə ə				
650-1	p p ə				
612-1	ə m				
871-1	r p ə p				
667-1	ə ə				
527-1	ə ə ə				
499-1					
1029-1					
560-2		k h i m d			
438-2		ɪ r i d			
1222-2		h r ai d			
353-2		f h ɪ s d			
201-2		f a n f d			
20-2		f a d r			
503-2		f h ɛ l ɪi			
957-2		h ɪ n			
728-2		l ŋ t d			
244-2		n ɛ m n			
289-2		n h o f d			
911-2		w a r f l			
724-2		θ r i ai			
145-2		f w ai d			
992-2		w i			
706-2		e g r			
106-2		p a d ə r			
741-2		h h r t			
421-2		b l ə m			
227-2		f r ə			
920-2		h ɪ r f			
1083-2		h ɪ r n d			
1066-2		ɪ f r			
1125-2		k n n i			
1197-2		m ɪ d ə r			
473-2		n ɪ r d			
284-2		n ɛ s			
661-2		h o n d			
701-2		r au r d d			
315-2		r ɪ t n d			
1169-2		ʃ a l p			
1150-2		t k ɪ r f s			
982-2		h s ɪ f d			
987-2		s n i d			
1055-2		s h d d i r			
1130-2		s e d			
433-2		s ɪ n d			
625-2		f ɪ ŋ θ			
1186-2		p ɛ n d			
416-2		h w r d			
1233-2		w ɪ n d d			
884-2		w a r m d			
1016-2		h h n d			
952-2		h r			
78-2		b l a s			
514-2		b p r i n			
116-2		ɪ s r			
188-2		f h u d r			
745-2		f a v ə r			
1100-2		f r r i f t			
47-2		h h n d			
111-2		h r d			
1061-2		h h n t d			
24-2		n ɪ f d			
232-2		n ʊ n d			
671-2		p r r i f t			
385-2		s i			
945-2		s ɛ m n			
644-2		h r ʃ d			
1041-2		s t o d d			
492-2		θ ɪ n d			
1209-2		h h r t d			
527-2		w s ə r			
14-2		g ɪ l t			
1-2		a l			
915-2		au d			
271-2		a s			
560-3			v r ɛ n		
438-3			p r e		
1222-3			p v r		
353-3			p ɛ s e		
201-3			p ɑ̃ s		
20-3			n o e r		
503-3			p l n		
957-3			ɛ		
728-3			l ɔ e		
244-3			n ɑ̃ a		
289-3			p r e s		
911-3			r u s e		
724-3			t r e		
145-3			d ɛ		
992-3			ɛ		
1181-3			p k a s		
706-3			ɔ k ø e		
106-3			p ɔ t s r		
741-3			p r e		
421-3			f l t e		
227-3			p r ɛ r		
920-3			k ɔ r e e		
1083-3			k ɔ r n		
1066-3			ɛ e		
1125-3			n a n		
1197-3			m u t t r		
473-3			n ɔ e a e		
284-3			n ɛ s		
661-3			n a n		
701-3			r u e r		
315-3			r ɔ t s		
1169-3			s ɔ l e		
1150-3			e ɛ r t e e		
982-3			g s ɛ d		
987-3			ɑ̃ r e		
1055-3			s t e ø j e		
1130-3			s ɥ		
433-3			s u j e e		
585-3			t		
625-3			l ɑ̃ e		
1186-3			d a t		
814-3			v u r r		
416-3			g r r		
1233-3			v ɑ̃		
884-3			v u r		
916-3			u t		
1016-3			ɑ̃ ɛ l e l		
952-3			ɔ r		
514-3			g ɛ e t e		
1079-3			b r		
1100-3			g ɛ e p e j		
47-3			g ɛ ø		
111-3			l ɔ		
1061-3			m ɔ s t n		
1155-3			k ɔ l		
343-3			v ɛ ɛ t r		
671-3			g ɛ e p e j		
460-3			p u s r s		
8-3			p ɛ r p s s		
644-3			s e		
683-3			ʃ ɑ̃ n t e		
650-3			p k n l		
612-3			f a ɥ		
871-3			n r d		
1209-3			v ɔ ɛ r		
667-3			l a l e		
499-3			ɛ		
14-3			g r e t		
1029-3			v		
272-3			k ɑ̃ n ɛ r		
560-4				k ə m	
438-4				eː r a	
1222-4				p a aː g	
353-4				f iː r ə	
201-4				f eː a ə	
20-4				f eː a ə ə r	
503-4				f iː l	
957-4				i n	
728-4				l eː ŋ ə	
244-4				n eː m d	
289-4				n u g s	
911-4				r eː a s ə	
724-4				d r a aː	
145-4				s a iː	
992-4				h iː	
1181-4				h h i ə ə	
706-4				eː p a l	
106-4				f eː d ə	
421-4				f l iː ə r	
227-4				f a uː s	
920-4				h eː r s ə	
1083-4				h eː r n	
1066-4				p a aː	
1125-4				p a n aː	
1197-4				m eː d ə	
473-4				n eː a d	
284-4				n u r	
661-4				v ə n	
701-4				r a a t	
315-4				r eː a ə n t	
1169-4				z u l s	
1150-4				ʃ eː r s ə n	
982-4				ʃ uː s f	
987-4				ʃ n iː f	
1055-4				ʃ s f u r ə	
1130-4				ʃ ə k f	
433-4				ʃ eː n f	
585-4				h t	
625-4				s eː ŋ ə	
1186-4				s u n d	
814-4				h h i ə ə	
416-4				v uː s	
1233-4				v a n t	
884-4				v eː r m	
78-4				b l iː	
514-4				b eː r ə n n	
116-4				uː s a	
188-4				f eː ə ə r	
745-4				f eː d ə	
1100-4				f r a iː ə s	
630-4				h eː t ə ə ə	
1155-4				h h t l	
24-4				n u a s	
232-4				n u a	
671-4				r a iː g s	
460-4				h h t ə ə ə	
8-4				h h i ə ə n	
385-4				z iː	
945-4				ʃ eː a f t	
1041-4				ʃ t a n d	
492-4				d eː n ə	
527-4				v uː s ə r	
14-4				eː l ə aː	
1-4				u l	
915-4				a n d	
271-4				eː r a	
560-5					w i d t
438-5					o r i
1222-5					a a f
353-5					p i s i a
201-5					s a n i
20-5					k u t i i s
503-5					p l i n t
957-5					d e t
728-5					l a n i r
244-5					a m i
289-5					n iː d t
911-5					r i n s iː eː
724-5					t r
145-5					d a
992-5					k iː
1181-5					k a n i a
706-5					a n i i t
106-5					p u n i s
741-5					p a d t
421-5					f l a d s
227-5					p g i t
920-5					k o r i i t
1083-5					k o r i eː
1066-5					u g t
1125-5					g a n t
1197-5					m a n i s
473-5					g a w i l
284-5					g i d u
661-5					k i d t
701-5					r a n i t
315-5					r a n i i d t
1169-5					s i l aː
982-5					a s iː d t
987-5					k g i
1055-5					d i t i a l i t
1130-5					s a s t
433-5					s o l i eː
585-5					t i
625-5					l a n i t
1186-5					d e d
814-5					w u r i r
416-5					k g i t
1233-5					w a n i t
884-5					w a r i t
916-5					i a
1016-5					a n iː m a l
952-5					i t
78-5					k e l t
1079-5					p a
116-5					u e t
188-5					d u u e l l t
745-5					k e e l t
47-5					d e a m a t
111-5					l i k t
1061-5					m a n t e t
630-5					u n u u l a
1155-5					k u n i a
24-5					k e l t
232-5					k u l t
343-5					w i n i
460-5					p u n r iː d a
945-5					k e e l t
644-5					k u d t
683-5					i n i t
650-5					s a n l aː
612-5					f a m a
1041-5					k u u l t
871-5					d r a n t i
492-5					k u u l t
1209-5					w a m iː eː
667-5					l a w o
499-5					n o
1029-5					w
272-5					s i d i s
