COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z oː w ə l			
2054-1	d n d ə r			
1375-1	l ɛ + k b t			
760-1	w ɪ n t			
756-1	s w aː j			
726-1	m oː d r			
1351-1	x r oː n s + ɑ d r			
1353-1	x r oː s + m oː d r			
412-1	z w eː ə r + ɑ d ɔ r + n n l ɔ			
406-1	z w eː ə r + m oː d r + n n l ɔ			
1005-1	s t ɛɪ p + ɑ d r			
1012-1	s t ɛɪ p + m oː d r			
1016-1	w ɛ d w ə r l t			
1069-1	œy ɪ x			
509-1	v ʉ l ə			
693-1	m + ɔ l + + d iː r			
2179-1	n ɛ s t			
1753-1	v t ɛ x			
1131-1	w aː l f			
1198-1	b aː r t			
2032-1	h oː r			
2241-1	n aː z			
2244-1	l ɛ p t ə			
610-1	k n iː			
945-1	h ɛ r t			
1534-1	l eː k			
384-1	z oː k			
1650-1	n r oː			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ɑ k ə			
1385-1	z aː ə h			
792-1	p oː k			
1111-1	m ɑ s			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r t			
1970-1	v ɑu l ə			
1230-1	r j ɛ d ə ə l			
2017-1	n j oː j h			
968-1	w ɑ k h l t			
1674-1	l ɑ n t			
1671-1	h øː ɣ l			
829-1	k l ɛ f			
1025-1	w aː t ə r			
1027-1	z aː			
1832-1	r oː f			
-1816-1	oː s aː n n			
-335-1	l aː ɣ ɑu n			
1043-1	s t r oː m			
423-1	s t eː n			
2049-1	m uː n t			
2062-1	s t uː r m			
2065-1	r aː ɣ + b oː x			
1368-1	s x aː d ə			
1365-1	d r oː f			
754-1	r aː ɣ			
768-1	w eː r			
1211-1	v uː r			
106-1	m ɑ n			
-98-1	b aː v iː			
719-1	v ɑ d r			
1341-1	z oː n			
-2027-1	d ɑ n t			
-2026-1	n ɑ f ə			
409-1	z w eː ə r + z oː w ə l ɔ			
402-1	z w eː ə r + d oː k r + n n l ɔ			
1014-1	s t ɛɪ p + d oː k ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t ɛɪ r ə			
2194-1	oː k t			
2199-1	k ɑ l f			
2197-1	s x aː p			
1523-1	z oː f			
1521-1	b oː			
512-1	m eː r ə			
2141-1	h uː n			
2147-1	x eː n s			
814-1	k r aː j ə			
810-1	d oː v			
1755-1	h ɔ n t			
1758-1	m œy s			
1760-1	r ɛɪ t			
1620-1	v ɛ n			
1282-1	w aː l ə t			
1136-1	v yː k s			
1309-1	l oː s			
1307-1	n ɛ t			
1305-1	v l oː			
711-1	w ɛ s p			
1442-1	v l iː x			
62-1	m ʉ x			
-73-1	m oː s k ɪ t oː			
1810-1	h oː t			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l oː t			
690-1	r ɛ p			
2177-1	h oː f t			
246-1	œy oː x ɣ b b r n			
1469-2		s æ n d		
2047-2		s ʌ n		
2054-2		d ʌ n d ə r		
1375-2		l ɪ s t t		
760-2		w aɪ n d		
756-2		s n ɛ r		
726-2		m uː d ə r		
1351-2		ɡ əʊ + + f aʊ d ə r		
1353-2		ɡ əʊ + m uː d ə r		
412-2		ʃ ɡ ə n f aʊ d ə + + k k k k		
406-2		ʃ ɡ n m uː d ə + + k k k k		
1005-2		s iː f + f aʊ d ə r		
1012-2		s iː f + m uː d ə r		
1016-2		w ɪ d n k eɪ r		
1069-2		b ɪ k		
509-2		f ɔ l		
693-2		m əʊ l + ɪ s		
2179-2		n ɪ s		
1753-2		f ɪ s t		
1131-2		w ɛ v		
1198-2		b eɪ ə d		
2032-2		h ɔː r n		
2241-2		n ɛ z		
2244-2		l ɪ p d		
610-2		k əʊ n iː		
945-2		h æ		
1534-2		l ɪ k		
384-2		s aɪ		
1650-2		n əʊ ɛ		
1663-2		s æ l		
2279-2		l aɪ n		
471-2		s aʊ		
1385-2		s aʊ t		
792-2		iː ɪ k		
1111-2		p		
197-2		s d aʊ		
2020-2		l æ ŋ		
867-2		h ʌ n d ə r d d		
1970-2		f ɛ l k		
1230-2		d r z aɪ d		
2017-2		n əʊ ɪ r t		
968-2		v ɑː r l̩ d		
1674-2		l æ n d		
1671-2		h əʊ v aʊ l̩		
829-2		k l ɪ f		
1025-2		w eɪ d ə r		
1027-2		s ə		
1832-2		r ɪ r		
-1816-2		əʊ s ɛ eɪ n		
-335-2		l iː ɪ æ		
1043-2		s t r ʌ m		
423-2		s t aɪ n		
2049-2		m eɪ		
2062-2		s t ɔː r m		
2065-2		ɪ ə m + b əʊ		
1368-2		ʃ ɡ aʊ d		
1365-2		d əʊ æ r		
754-2		r ɪ		
768-2		w əʊ ə r		
1211-2		f ɪ ə r		
106-2		m æ		
-98-2		b æ iː		
719-2		f aʊ d ə r		
1341-2		s ʌ n		
-2027-2		t ɑː n d		
-2026-2		n ɪ f t		
409-2		ʃ ɡ n + s ʌ n + t k		
402-2		ʃ ɡ n d əʊ ə + + k k k k		
1014-2		s iː f + d əʊ t ə r		
1059-2		w ɪ		
120-2		s t ɔː l̩		
2194-2		ɔ əʊ z		
2199-2		k ɔː f		
2197-2		ʃ ɡ aʊ p		
