COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
5263-1	x ɯ ⁴²								
452-1	t ɯ ²¹								
4342-1	t ɯ ²¹								
4344-1	tɕ i ³¹								
5487-1	t ɯ ²¹								
1401-1	pʰ ɯ ³¹								
6496-1	tɕ i ³¹								
1064-1	n ɯ ⁵⁵								
1065-1	tɕ i ³¹								
6617-1	t ɯ ²¹								
4367-1	t ɯ ⁴⁴								
4378-1	tɕ ɯ ⁵⁵								
4379-1	n i ⁵⁵								
3984-1	ʂ i ³³								
5086-1	ʈʂ i ⁴²								
3333-1	ʂ i ⁴²								
2226-1	x v ɯ ⁵⁵								
2373-1	kʰ v ɔ ³³								
2363-1	ʂ ɯ ⁴²								
672-1	tɕ i ³¹								
673-1	ʈʂ ɯ ³¹								
2690-1	p ɯ ²¹								
6337-1	p ɯ ⁴⁴								
6319-1	ʈʂ i ³¹								
2617-1	x ɯ ³³								
2066-1	x ɯ ³³								
2094-1	x ɯ ³³								
2096-1	tɕʰ a ⁵⁵								
798-1	p ɯ ⁴⁴								
6668-1	ɕ i ³³								
4028-1	t ɯ ⁴⁴								
6555-1	kʰ ɯ ɔ ⁴²								
2281-1	p ɯ ⁴⁴								
701-1	kʰ ɯ ɔ ⁴²								
628-1	x i i ⁵⁵								
3096-1	tɕ i ³¹								
3021-1	ʈʂ i ³¹								
2708-1	tɕ i ⁴²								
3462-1	k ɯ ³⁵								
1932-1	s i ³³								
6469-1	ʂ i ³³								
4454-1	n ɯ ²¹								
4455-1	k ɯ ³⁵								
6926-1	n i ²¹								
6927-1	n ɯ ²¹								
3916-1	m ɯ ³⁵								
6822-1	t j i ²¹								
5417-1	tɕ i ³¹								
1959-1	x ɯ ²¹								
1960-1	t ɯ ²¹								
2899-1	x ɯ ²¹								
3651-1	tɕ i ³¹								
811-1	t ɯ ³³								
1633-1	m ɯ ²¹								
1775-1	k ɯ ²¹								
5801-1	tɕʰ i ⁵⁵								
4769-1	n ɯ ³¹								
3720-1	k ɯ ³⁵								
6446-1	m ɯ ⁴²								
1255-1	pʰ ɯ ³¹								
3595-1	n i ⁴⁴								
1600-1	p ɯ ³¹								
242-1	tɕ i ³¹								
3739-1	tɕʰ ɯ ⁵⁵								
5984-1	ʈʂ i ³¹								
838-1	ʂ ɯ ⁴²								
839-1	t ɯ ⁴⁴								
3149-1	j i ⁴²								
2829-1	ʈʂ ɤ ⁴²								
4602-1	tɕ i ³¹								
5225-1	j ɯ ²¹								
3933-1	x ɯ ⁵⁵								
5763-1	tɕ i ³¹								
2134-1	tɕ i ⁴²								
5724-1	t ɯ ⁴⁴								
5704-1	ʈʂ i ³¹								
5705-1	kʰ ɯ ɯ ⁵⁵								
5037-1	tɕ i ³¹								
5038-1	t ɯ ⁴⁴								
4332-1	tɕ i ³¹								
5447-1	tɕ i ³¹								
3702-1	ʂ i ⁴²								
1549-1	ʂ i ⁴²								
2394-1	t a ³³								
1-1	j ɯ ⁴²								
2947-1	t ɯ ²¹								
4653-1	tɕʰ i ⁴²								
4989-1	tɕʰ i ⁴²								
3749-1	j ɯ ⁴⁴								
3452-1	tɕ i ³¹								
598-1	n i ²¹								
638-1	p ɯ ³¹								
2819-1	p ɯ ⁴⁴								
4477-1	kʰ ɯ i ⁴²								
4487-1	tɕ i ³¹								
4666-1	tɕ i ⁴²								
5661-1	t ɯ ⁴⁴								
4923-1	ʈʂ i ³¹								
4913-1	k ɯ ³¹								
1143-1	m ɯ ⁴⁴								
4864-1	tɕ ɯ ⁵⁵								
3184-1	x ɯ ³³								
4591-1	tɕ i ³¹								
1431-1	ʂ ɯ ⁴²								
3323-1	p ɯ ⁵⁵								
6709-1	tɕ i ³¹								
903-1	m ɯ ⁴²								
5098-1	p ɯ ³¹								
5994-1	k ɯ ³⁵								
6971-1	x w a ⁵⁵								
763-1	tɕ i ³¹								
691-1	x u a ⁵⁵								
1083-1	t ɯ ²¹								
1421-1	tɕʰ ɯ ⁵⁵								
6699-1	t ɯ ²¹								
2628-1	ʂ ɯ ⁴²								
1696-1	x ɯ ⁴⁴								
6179-1	tɕʰ ɯ ⁵⁵								
6180-1	tɕ i ³¹								
6658-1	ʂ ɯ ³³								
1231-1	x ɯ ⁵⁵								
4265-1	p ɯ ³¹								
2787-1	ʈʂ i ³¹								
3247-1	tɕ i ³¹								
252-1	t ɯ ⁴⁴								
6004-1	k ɯ ³¹								
4728-1	x ɯ ⁵⁵								
3843-1	t w i ⁴²								
4965-1	tɕ i ³¹								
5641-1	t w ɯ ²¹								
3280-1	x ɯ ⁴²								
1390-1	kʰ ɯ ⁴²								
2156-1	t w i ⁴²								
3433-1	tɕ i ⁵⁵								
552-1	x i ⁵⁵								
4845-1	tɕ i ³¹								
4846-1	t ɯ ⁴⁴								
2292-1	m ɯ ⁵⁵								
6635-1	ɲ j ɯ ⁴²								
3994-1	t ɯ ⁴⁴								
3031-1	ʈʂ i ³¹								
6078-1	tɕ i ³¹								
1644-1	t ɯ ⁵⁵								
2435-1	n i ⁴⁴								
1676-1	kʰ ɯ i ³³								
6281-1	tɕʰ ɯ ⁵⁵								
5915-1	tɕ i ³¹								
1560-1	tɕ i ⁵⁵								
575-1	t ɯ ⁴⁴								
5319-1	ʂ ɯ ⁴²								
2797-1	k ɯ ³⁵								
6991-1	t ɯ ²¹								
3513-1	ʈʂ i ³¹								
5205-1	tɕ i ³¹								
6109-1	tɕ i ⁴⁴								
2056-1	m ɯ ⁵⁵								
6099-1	k ɯ ³¹								
6119-1	p ɯ ⁴⁴								
1978-1	t ɯ a ³³								
3973-1	tɕ i ³¹								
2046-1	ɕ ɯ ³³								
5622-1	x ɯ ⁵⁵								
648-1	tɕ i ³¹								
6789-1	p ɯ ⁴⁴								
618-1	x i ⁴⁴								
2384-1	m w i ³³								
1124-1	k ɯ ⁴⁴								
1125-1	tɕ i ⁴²								
4178-1	k ɯ ²¹								
1686-1	k ɯ ³⁵								
