COGID	1	10	2	3	4	5	6	7	8	9
2689-1	ʃ a m a									
893-1	a ɛ a b a									
1285-1	z w a									
1303-1	s t ɔ m a									
2197-1	g l ʊ l a									
2828-1	ʃ i n a									
3572-1	ʃ ɔ n a									
1095-1	l i m a									
1755-1	w ŋʰ ɛ									
1789-1	k u l a a ŋ g a									
3207-1	m u l a									
3519-1	m u m a									
3686-1	a i j b a									
4249-1	m u m a									
4451-1	m i s a									
448-1	l ɛ ŋʰ i l ʊ									
630-1	p ɔ ʊ l ʊ									
814-1	s ɔ ɔ m b a									
1216-1	g a β i b a									
1228-1	p w i a									
1418-1	l u m ɔ n l a									
1475-1	k i ɛ									
2026-1	p w i i									
2775-1	s a ɔ m b a									
3397-1	m ɔ l a									
3826-1	s ɔ g a									
4003-1	i i ʊ β a									
4040-1	g a h a									
4373-1	l i n i									
4384-1	i ŋʰ a									
84-1	s i g ʊ l a									
116-1	ʃ i k a									
181-1	g ɔ á ŋ g a									
419-1	ʊ ɔ h a									
587-1	a ɔ ŋ a ɔ									
660-1	m a l a									
848-1	k i l a									
1083-1	m i l a									
1122-1	ʃ i t a									
1159-1	s ɛ									
1350-1	l j i a									
1374-1	l a ʊ l a									
1396-1	g ɔ β a									
1430-1	i l s a									
1666-1	t a a ŋ ɔ									
1767-1	k ɔ β a									
1906-1	ɔ ŋ g i a a									
2177-1	n g ɔ dʒ a									
2286-1	j i									
2317-1	m ʊ l ʊ									
2419-1	s i g a									
2750-1	ʊ a n i									
3018-1	ʃ i l a									
3275-1	k a ʊ n a									
3441-1	s ɔ ɔ ŋ g ʊ									
3464-1	ʃ ɔ t a									
3639-1	p ɛ l ɛ g ɛ l a									
3885-1	l u m a									
3981-1	u ɛ m a ŋ a									
4192-1	s a k m b ɔ									
4260-1	z w i i									
4350-1	l ɛ a m b a									
43-1	b ɔ ɔ m a									
93-1	m ɔ m ɔ									
200-1	p i i									
374-1	ɲ a a n a a a									
459-1	l u m a									
508-1	m ɔ a u									
528-1	m i l a									
575-1	p i i									
871-1	l u n a									
1137-1	m a p ʊ									
1339-1	p w i									
1585-1	ɔ a l a									
1712-1	m u l a									
1872-1	p w i									
2088-1	ʃ i s a									
2166-1	a á m b a									
2334-1	m i h a									
