COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	Xiamen	XiAn	Yangzhou	ZhongyuanYinyun
2-1	i ³⁵																		
4-1	ʈʂʰ i ³⁵																		
5-1	ʈʂʰ a ŋ ⁵¹																		
6-1	ʂ a n ⁵⁵																		
7-1	ʂ a ŋ ⁵¹																		
8-1	ɕ j a ⁵¹																		
9-1	p a ³⁵																		
17-1	ʈʂ u ŋ ⁵⁵																		
31-1	tɕ j ou ²¹⁴																		
32-1	l i ²¹⁴																		
33-1	ʈʂ u ²¹⁴																		
38-1	ʂ i ⁵¹																		
40-1	ə n ³⁵																		
42-1	u ²¹⁴																		
43-1	tɕʰ i ŋ ²¹⁴																		
46-1	w a ŋ ³⁵																		
52-1	l j a ŋ ⁵⁵																		
53-1	ʂ ə n ³⁵																		
56-1	tɕ i n ⁵⁵																		
59-1	tʰ ei ⁵⁵																		
60-1	ʈʂʰ a ŋ ⁵⁵																		
64-1	l i ŋ ⁵⁵																		
68-1	tɕ j a n ⁵¹																		
85-1	w ei ⁵¹																		
86-1	t i ⁵¹																		
87-1	ʈʂ u ⁵¹																		
93-1	l i ²¹⁴																		
98-1	l ai ³⁵																		
109-1	ɕ i n ⁵⁵																		
115-1	t au ⁵¹																		
118-1	tɕ j a ⁵¹																		
124-1	tɕ j ou ²¹⁴																		
127-1	ʈʂ w ou ⁵¹																		
133-1	tʰ ou ⁵⁵																		
144-1	ʂ ou ⁵⁵																		
161-1	ɕ y ŋ ⁵⁵																		
166-1	k w a ŋ ⁵⁵																		
170-1	tʰ i ³⁵																		
171-1	t au ⁵¹																		
173-1	t ʐ i ⁵¹																		
174-1	l w ei ⁵¹																		
175-1	tɕʰ j a n ³⁵																		
176-1	l j a ŋ ²¹⁴																		
177-1	p a ⁵⁵																		
179-1	l ou ³⁵																		
181-1	p i ŋ ⁵⁵																		
182-1	tɕʰ i ³⁵																		
189-1	k w a n ⁵⁵																		
191-1	t u ŋ ⁵⁵																		
193-1	l i ŋ ⁵⁵																		
198-1	t u ŋ ⁵¹																		
199-1	ɕ y ŋ ⁵⁵																		
200-1	ʈʂ u ³⁵																		
202-1	t au ⁵¹																		
205-1	f ə n ⁵⁵																		
206-1	t j e ⁵⁵																		
209-1	x w a ⁵⁵																		
211-1	tsʰ u ⁵⁵																		
215-1	l i ³⁵																		
216-1	k w a ⁵⁵																		
217-1	t au ⁵¹																		
219-1	ʂ j a ⁵⁵																		
220-1	ʈʂʰ ʅ ⁵¹																		
225-1	tɕʰ j a n ³⁵																		
230-1	tɕ j a n ⁵¹																		
234-1	pʰ i ³⁵																		
238-1	l i ³⁵																		
242-1	ʈʂʰ ou ⁵¹																		
253-1	tɕ i n ³⁵																		
256-1	ʂ ou ³⁵																		
261-1	x w a ⁵⁵																		
262-1	p ai ⁵⁵																		
263-1	ʂ ʅ ⁵⁵																		
264-1	ɕ j a ŋ ⁵⁵																		
271-1	ʂ ʅ ³⁵																		
272-1	tɕʰ j a n ⁵⁵																		
274-1	kʰ u ²¹⁴																		
275-1	p a n ⁵⁵																		
279-1	n a n ³⁵																		
287-1	l a n ⁵⁵																		
291-1	x ou ⁵¹																		
295-1	tɕʰ y ⁵¹																		
300-1	j ou ³⁵																		
303-1	ʈʂ u ²¹⁴																		
306-1	k ou ²¹⁴																		
307-1	k u ²¹⁴																		
308-1	tɕ y ⁵¹																		
312-1	tɕ j au ⁵¹																		
313-1	k o ²¹⁴																		
314-1	tʰ ai ⁵¹																		
323-1	m i ŋ ³⁵																		
325-1	t u ³⁵																		
330-1	f ou ²¹⁴																		
334-1	tɕ i ³⁵																		
335-1	ʈʂ w ei ⁵⁵																		
338-1	k au ⁵⁵																		
339-1	ʈʂ ou ⁵⁵																		
341-1	x u ³⁵																		
342-1	m i ŋ ⁵⁵																		
343-1	x o ³⁵																		
344-1	pʰ j au ²¹⁴																		
349-1	k u ³⁵																		
353-1	ʈʂʰ a ŋ ⁵⁵																		
360-1	x ou ³⁵																		
375-1	ʈʂ w ei ²¹⁴																		
388-1	ʂ i ⁵¹																		
389-1	x w ei ⁵¹																		
392-1	k w ə n ⁵⁵																		
394-1	tɕʰ j a n ⁵⁵																		
401-1	t u ²¹⁴																		
402-1	ai ⁵¹																		
403-1	t i ⁵¹																		
409-1	ts w o ²¹⁴																		
418-1	m ai ³⁵																		
441-1	tʰ j a n ³⁵																		
443-1	m o ⁵¹																		
459-1	w ei ⁵¹																		
460-1	t w o ⁵⁵																		
461-1	l a ²¹⁴																		
464-1	t au ⁵¹																		
465-1	tʰ j a n ⁵⁵																		
466-1	tʰ ai ³⁵																		
467-1	f u ²¹⁴																		
469-1	ʂ ʅ ³⁵																		
480-1	n a ²¹⁴																		
482-1	l i ²¹⁴																		
484-1	x u ²¹⁴																		
491-1	m ei ⁵¹																		
492-1	ʈʂ i ⁵⁵																		
495-1	tɕ j ou ²¹⁴																		
496-1	k u ⁵⁵																		
507-1	ɕ j a ŋ ³⁵																		
509-1	ʈʂ u ²¹⁴																		
510-1	pʰ o ³⁵																		
513-1	ʂ i ⁵⁵																		
518-1	ʂ au ²¹⁴																		
525-1	ʈʂ ʅ ²¹⁴																		
527-1	i n ⁵⁵																		
533-1	x ai ³⁵																		
548-1	kʰ ai ⁵⁵																		
554-1	x ai ⁵¹																		
558-1	ʐ u ŋ ³⁵																		
564-1	f u ²¹⁴																		
580-1	ʂ a ⁵¹																		
587-1	ɕ j au ²¹⁴																		
588-1	ʂ ou ²¹⁴																		
589-1	tɕ j a n ⁵¹																		
594-1	ʈʂ ai ⁵⁵																		
602-1	u ³⁵																		
604-1	ʂ ʅ ²¹⁴																		
611-1	ʂ a n ⁵⁵																		
630-1	ts w o ²¹⁴																		
637-1	tɕ i n ⁵⁵																		
638-1	ʂ ʅ ⁵¹																		
