COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	kʰ u							
5-1	n a							
4-1	tʰ u k							
6-1	n a ŋ							
15-1	b i							
55-1	l a							
56-1	ɔ							
60-1	ɕ a							
61-1	t u ŋ							
80-1	tɕʰ a k							
87-1	dʑ u							
86-1	pʰ l a							
92-1	pʰ l a							
102-1	m a							
106-1	pʰ ɔ k							
108-1	d ɛi							
107-1	pʰ l a							
112-1	pʰ ɔ ŋ							
115-1	ɕ a							
114-1	d ɔ m							
120-1	kʰ a							
124-1	ɔ							
125-1	tʰ ɔ k							
132-1	ɕ a							
131-1	r i ŋ							
136-1	ɕ u							
134-1	kʰ a k							
137-1	ɔ							
138-1	d u k							
140-1	h a a							
143-1	tɕʰ a k							
145-1	tɕʰ a n							
147-1	ɕ a							
149-1	m i k							
153-1	ɕ a							
152-1	kʰ ɛ n							
158-1	kʰ i k							
163-1	l i							
164-1	n a							
167-1	pʰ a ŋ							
171-1	n u ŋ							
172-1	tɕʰ u k							
173-1	t a n							
183-1	r i							
185-1	m a							
188-1	kʰ a							
189-1	dʑ i n							
193-1	n a							
196-1	m a n							
199-1	dʑ u							
200-1	kʰ ɛ n							
201-1	kʰ i							
202-1	kʰ a							
203-1	d ɔ ŋ							
204-1	b u							
206-1	n a n							
117-1	b u							
146-1	tɕʰ a t							
219-1	t b a							
218-1	dʑ u							
224-1	m a ŋ							
240-1	tɕʰ a k							
244-1	j a s							
255-1	h a m							
260-1	b ɛi							
263-1	w i							
269-1	kʰ j a k							
271-1	tʰ a k							
209-1	tɕʰ a t							
277-1	m a m							
278-1	d ɔ ŋ							
135-1	tʰ ɛi							
284-1	m u							
797-1	ɔ							
290-1	l i ŋ							
289-1	tɕʰ i k							
296-1	n i							
310-1	ɕ a							
319-1	i							
325-1	l a							
327-1	tʰ ɛi							
331-1	kʰ ɛi							
337-1	b j ɛ n							
338-1	l i ŋ							
339-1	ɔ n							
350-1	kʰ a							
349-1	t ɔ ŋ							
357-1	dʑ u							
355-1	ɔ							
363-1	m a m							
361-1	kʰ ɛi							
365-1	s a ŋ							
364-1	dʑ a t							
375-1	l u k							
379-1	ɕ a s							
380-1	kʰ u							
396-1	j u							
400-1	m u							
405-1	d a ŋ							
404-1	s a ŋ							
409-1	h j a k							
410-1	tʰ i k							
415-1	b ɛi							
416-1	b u							
101-1	n a							
37-1	kʰ a							
424-1	pʰ ɔi							
434-1	dʑ ɛ n							
445-1	b ɹ							
446-1	ɕ a							
451-1	kʰ a							
457-1	n a n							
456-1	b l a							
464-1	kʰ j a ŋ							
473-1	tɕʰ i							
474-1	ɔ ŋ							
479-1	s a ŋ							
489-1	j u							
490-1	h a n							
494-1	ɕ a							
503-1	kʰ u							
502-1	s i ŋ							
235-1	l u ŋ							
519-1	l i							
523-1	u k							
527-1	kʰ j a ŋ							
538-1	ɕ							
544-1	j a ŋ							
850-1	ɔ							
554-1	dʑ u							
553-1	l u ŋ							
558-1	kʰ a ŋ							
561-1	ɕ a							
562-1	b ɛi							
564-1	j u							
567-1	m u							
570-1	pʰ u							
575-1	ɔ							
582-1	l a							
585-1	ɔ s							
589-1	kʰ u ŋ							
593-1	d ɛ n							
594-1	l a							
595-1	tʰ u n							
596-1	n a s							
598-1	ɕ a p							
599-1	d a							
602-1	ɕ a							
603-1	l a k							
606-1	s a ŋ							
605-1	b ɛi							
620-1	l a							
637-1	kʰ a k							
639-1	dʑ u							
645-1	kʰ u							
646-1	r i ŋ							
168-1	h j ɛ k							
658-1	h i n							
665-1	kʰ u							
668-1	ɕ a							
677-1	t a ŋ							
75-1	d ɔ ŋ							
678-1	ɕ a							
682-1	m ɛ n							
493-1	ɕ a							
693-1	ɕ a							
694-1	m a							
702-1	dʑ u n							
704-1	m u							
176-1	l a							
709-1	ɕ a n							
710-1	t u							
714-1	m j a k							
718-1	kʰ a							
719-1	tɕʰ a ŋ							
22-1	m u							
723-1	dʑ i ŋ							
726-1	dʑ i n							
729-1	b a							
730-1	n i							
739-1	pʰ l i							
740-1	b u							
741-1	kʰ u k							
1-2		kʰ uː						
5-2		n ə						
4-2		tʰ y k						
6-2		n ə ŋ						
15-2		dʑ i						
55-2		l uː						
56-2		ə						
60-2		s ɐ						
61-2		d u ŋ						
80-2		tɕʰ ɐ k						
87-2		dʑ i						
86-2		pʰ l uː						
92-2		pʰ l uː						
102-2		m ə						
106-2		pʰ u k						
108-2		d ɔː						
107-2		pʰ l uː						
112-2		pʰ u ŋ						
115-2		s						
114-2		d u ŋ						
120-2		d uː						
124-2		ə						
125-2		tʰ y k						
132-2		s ə						
131-2		r i ŋ						
136-2		dʑ ə						
134-2		kʰ ɐ k						
137-2		ə						
138-2		d u k						
140-2		h uː						
143-2		tɕʰ ɐ k						
145-2		tɕʰ ɐ						
147-2		s ɛː						
149-2		n i k						
153-2		s						
152-2		tɕ ɛ n						
158-2		kʰ i k						
163-2		l uː						
164-2		n ə						
167-2		pʰ u ŋ						
171-2		n u ŋ						
172-2		tɕʰ y k						
173-2		t u						
183-2		l ɛː						
185-2		m ə						
188-2		kʰ ɛ						
189-2		tɕ i ŋ						
193-2		s u						
196-2		m ə						
199-2		tɕʰ i						
200-2		kʰ ɛ n						
201-2		kʰ i						
202-2		kʰ ɐ						
203-2		d u ŋ						
204-2		b yː						
206-2		n ə n						
117-2		b yː						
146-2		tɕʰ ĩː						
219-2		t b y						
218-2		dʑ i						
224-2		m ə n						
240-2		tɕʰ ɐ k						
244-2		j ɔ̃ː						
255-2		n ɐ̃						
260-2		b a						
263-2		l ɛː						
269-2		h ɐ k						
271-2		tʰ ɐ k						
209-2		tɕʰ ĩː						
277-2		m ə						
278-2		d u ŋ						
135-2		d ə						
284-2		m yː						
797-2		ə						
290-2		l i ŋ						
289-2		tɕʰ i k						
296-2		n ə						
310-2		s						
319-2		iː						
325-2		l ɛː						
327-2		b ɛː						
331-2		kʰ ɔː						
337-2		b ɛ n						
338-2		h i ŋ						
339-2		ɐ̃ː						
350-2		kʰ						
349-2		d u ŋ						
357-2		tɕʰ ə						
355-2		ə						
363-2		s ə						
361-2		kʰ ɔː						
365-2		s ɐ n						
364-2		tɕʰ ɐ ʔ						
375-2		l u k						
379-2		s i						
380-2		kʰ yː						
396-2		j ɔː						
400-2		m ə						
405-2		d u ŋ						
404-2		s ø n						
409-2		r ɐ k						
410-2		tɕʰ i k						
415-2		b a						
416-2		b yː						
101-2		n u						
37-2		kʰ uː						
424-2		b ɛː						
434-2		tɕ ɛ n						
445-2		b						
446-2		s iː						
451-2		kʰ yː						
457-2		n ə n						
456-2		b l uː						
464-2		pʰ i ŋ						
473-2		tɕʰ iː						
474-2		u ŋ						
479-2		s i n						
489-2		j ɐ						
490-2		h ɐ̃ː						
494-2		s ə						
503-2		kʰ yː						
502-2		s i n						
235-2		l y ŋ						
519-2		l iː						
523-2		y k						
527-2		h tɕ a ŋ						
538-2		s						
544-2		j u ŋ						
850-2		ə						
554-2		dʑ i						
553-2		r i ŋ						
558-2		kʰ ɔ̃ː ŋ						
561-2		s ə						
562-2		b ɐ						
564-2		j u						
567-2		m ə						
570-2		kʰ yː						
575-2		ɔː						
582-2		l uː						
585-2		j						
589-2		kʰ ɔː ŋ						
593-2		d ɛ n						
594-2		l y ŋ						
595-2		tʰ øː						
596-2		n u						
598-2		z u						
599-2		d u						
602-2		s uː						
603-2		l uː k						
606-2		s ɐ̃ː n						
605-2		b ɔː						
620-2		l ɛː						
637-2		pʰ ɐ k						
639-2		dʑ i						
645-2		kʰ ɔː						
646-2		r i ŋ						
168-2		h ɛ k						
658-2		h ɛ ŋ						
665-2		kʰ uː						
668-2		s uː						
677-2		t u ŋ						
75-2		d u ŋ						
678-2		s uː						
682-2		m ɛ n						
493-2		z uː						
693-2		s ə						
694-2		m						
702-2		tɕ ɐ̃ː ŋ						
704-2		m ə						
176-2		l uː						
709-2		s						
710-2		t ɛː						
714-2		m ɛ k						
