COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
6882-1	h ə t ¹															
6485-1	ˀb a n ¹															
4690-1	m a n ¹															
5671-1	t h a n ¹															
4272-1	l e p ¹															
10935-1	p a ¹															
4760-1	l j a n ¹															
1881-1	m a n ¹															
4777-1	s ə t ¹															
10969-1	m a n ¹															
10970-1	s a ¹															
10206-1	m a n ¹															
6565-1	ˀd j a n ¹															
1281-1	ts j e n ¹															
10569-1	ˀn a m ¹															
6899-1	pʰ j a ŋ ¹															
7081-1	k a ¹															
4090-1	t a m ¹															
2197-1	h u m ¹															
3352-1	t a ¹															
3892-1	t ə t ¹															
1071-1	q a m ¹															
10313-1	s ai ¹															
2671-1	t j e t ¹															
5502-1	f a k ¹															
7382-1	ⁿd a n ¹															
932-1	t a ŋ ¹															
533-1	s ai ¹															
4159-1	f a ¹															
2804-1	l aː k ¹															
5451-1	s aːu ¹															
5773-1	ʔ a ¹															
6933-1	ʔ a ¹															
4657-1	ʔ a ¹															
4658-1	t j e ŋ ¹															
6966-1	h aːu ¹															
5351-1	s aːu ¹															
4073-1	t a ¹															
2163-1	ˀb j e ŋ ¹															
1121-1	f a ¹															
5790-1	m aː ŋ ¹															
10413-1	s a ¹															
6731-1	s a ¹															
1645-1	s a ¹															
4914-1	s a ¹															
6175-1	ˀȵ a ¹															
3092-1	m a ŋ ¹															
1247-1	l j e n ¹															
5620-1	ɕ j u ¹															
4897-1	ʁ a ¹															
4811-1	ˀd a ŋ ¹															
1213-1	k a ¹															
11019-1	m aː ŋ ¹															
11020-1	k a ¹															
2129-1	p aː p ¹															
3211-1	m a n ¹															
714-1	l aː k ¹															
1729-1	tʰ a ¹															
3679-1	s a ¹															
1054-1	m u ¹															
7448-1	m u m ¹															
582-1	m i ¹															
4743-1	f a n ¹															
5419-1	l j e n ¹															
5601-1	t i n ¹															
2705-1	m a ŋ ¹															
6381-1	m a ŋ ¹															
1017-1	pʰ a ¹															
645-1	l aː k ¹															
273-1	m i t ¹															
4338-1	ˀd j a k ¹															
2533-1	t a ¹															
1089-1	q u p ¹															
843-1	ˀn a n ¹															
2787-1	f ə t ¹															
4462-1	ˀn a ŋ ¹															
10918-1	h aː n ¹															
6582-1	h ui ¹															
2070-1	k a ¹															
3075-1	ȵ t aː k ¹															
10848-1	f a ¹															
2480-1	h a n ¹															
2214-1	k a ¹															
7225-1	h ə t ¹															
3515-1	pʰ j a m ¹															
2588-1	h a n ¹															
2908-1	pʰ j e k ¹															
2393-1	n a ¹															
1156-1	m ai ¹															
2374-1	ȶ a ¹															
2146-1	k a ¹															
5133-1	ˀn a ŋ ¹															
4981-1	l u k ¹															
10239-1	s a ¹															
599-1	l j ə t ¹															
5048-1	t o ¹															
6331-1	h a ¹															
290-1	t i n ¹															
311-1	h aː k ¹															
3430-1	l j ai ¹															
5369-1	l j ai ¹															
2749-1	t a n ¹															
2621-1	l j e p ¹															
1181-1	t a k ¹															
949-1	ʔ j ai ¹															
2839-1	t a n ¹															
861-1	l aː k ¹															
6773-1	l aː k ¹															
5739-1	l aː k ¹															
5740-1	ts ə t ¹															
3550-1	ɕ j a m ¹															
4445-1	ts ə t ¹															
680-1	m aː ŋ ¹															
817-1	t a n ¹															
782-1	pʰ j ə t ¹															
10396-1	l j ai ¹															
4606-1	m a n ¹															
5207-1	m a n ¹															
7280-1	ˀd j ai ¹															
6983-1	ʔ j ə t ¹															
5168-1	kʰ u ŋ ¹															
1264-1	ts ⁿd u ¹															
915-1	t a ¹															
1767-1	ts a ŋ ¹															
10901-1	t j a ŋ ¹															
10867-1	ˀd a ŋ ¹															
417-1	ˀd j aː n ¹															
2285-1	pʰ s ai ¹															
11002-1	t h i t ¹															
6348-1	s ai ¹															
6349-1	m aː n ¹															
10602-1	ˀb a n ¹															
5654-1	l j a n ¹															
880-1	l aːu ¹															
983-1	m a n ¹															
2033-1	t o ¹															
1433-1	ˀd j ai ¹															
1467-1	ˀd aː k ¹															
469-1	t j a m ¹															
3127-1	l j ai ¹															
4623-1	h a ¹															
7099-1	l j e k ¹															
4726-1	ɕ j a n ¹															
10465-1	h aː n ¹															
5519-1	h aː n ¹															
5893-1	t m a n ¹															
2857-1	t a n ¹															
3645-1	m aː n ¹															
3032-1	f j aː n ¹															
2088-1	f j a n ¹															
2463-1	p a ¹															
4794-1	n i ¹															
4569-1	m u ŋ ¹															
4586-1	ts ⁿd u ¹															
4552-1	p a ¹															
3228-1	q a ŋ ¹															
3245-1	j a ¹															
6651-1	l aː k ¹															
6652-1	ˀd aː n ¹															
1817-1	l aː k ¹															
1818-1	ˀb j e k ¹															
11052-1	n a ¹															
1230-1	l aː k ¹															
3380-1	h aː k ¹															
8174-1	h a m ¹															
8599-1	pʰ j a m ¹															
7782-1	ˀd j ai ¹															
8294-1	l e k ¹															
8514-1	h aːu ¹															
9669-1	l j a k ¹															
8531-1	p a ¹															
7954-1	p aː k ¹															
9968-1	h aː m ¹															
8040-1	t a ¹															
9304-1	t a ¹															
8345-1	t a k ¹															
8765-1	ȶ e k ¹															
8849-1	s a ŋ ¹															
9286-1	ⁿd m a ŋ ¹															
9581-1	ȵ a n ¹															
9267-1	l j ə ¹															
8497-1	ts a n ¹															
7602-1	p aː k ¹															
8431-1	v j e n ¹															
10036-1	h aː k ¹															
10019-1	l aː k ¹															
9216-1	n i ¹															
8074-1	q a t ¹															
9511-1	t a n ¹															
8243-1	ʔ j a m ¹															
9250-1	t j e m ¹															
7568-1	s a ¹															
8832-1	t a ¹															
8057-1	ȵ a ¹															
7716-1	h u p ¹															
9899-1	t a ¹															
7585-1	k a ¹															
8582-1	ˀd j ai ¹															
9097-1	l a m ¹															
10125-1	f a ¹															
9460-1	l aːu ¹															
9649-1	ts ə t ¹															
9870-1	ˀn a p ¹															
8680-1	ˀn a m ¹															
7699-1	ȶ i t ¹															
9001-1	s j ə t ¹															
9494-1	t i p ¹															
7666-1	ɕ a n ¹															
9598-1	t a k ¹															
8023-1	q a m ¹															
9053-1	s ə t ¹															
10091-1	s e k ¹															
10002-1	pʰ j ai ¹															
7765-1	t aːu ¹															
8800-1	m ai ¹															
9934-1	k a ¹															
9985-1	ʔ aːu ¹															
7850-1	t aː k ¹															
7816-1	t a m ¹															
8663-1	h a m ¹															
8697-1	ȶ i t ¹															
9615-1	ʔ j a n ¹															
8362-1	t i t ¹															
8091-1	t a ¹															
