COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	m ai̯															
175-1	ʔ ă ʔ															
241-1	ʔ ă ʔ															
2163-1	c ă n															
2181-1	n ă m															
2060-1	ʔ ă m															
410-1	d ai̯															
1841-1	m ai̯															
2017-1	s e															
1004-1	m ai̯															
614-1	b ou̯ h															
686-1	ʔ m ə̆															
88-1	g ou̯ ʔ															
872-1	n ă ŋ															
1891-1	d ai̯															
68-1	s e m															
631-1	g ə̆ n															
594-1	ʔ o															
1759-1	c ă n															
805-1	c e ɲ															
756-1	s ou̯															
1201-1	m ă t															
2042-1	ʔ ă															
1968-1	d ou̯ ʔ															
2000-1	n e ŋ															
17-1	s ă ʔ															
4-1	c ă m															
788-1	d ɛ															
1219-1	c ă m															
141-1	c ă ŋ															
541-1	p r j a n															
1687-1	s ă h															
123-1	n ă m															
1652-1	c e ŋ															
576-1	n ai̯															
1738-1	d ou̯ ʔ															
442-1	c ă m															
368-1	g j a n															
1778-1	b ă ʔ															
1859-2		m ai̯														
175-2		g ɔ ʔ														
241-2		ʔ ɔ ʔ														
2163-2		ʔ ɔ t														
2181-2		n ɔː m														
2060-2		ʔ ɔː m														
410-2		d ai̯														
1841-2		m ai̯														
2017-2		m ai̯														
1004-2		m ai̯														
614-2		dʑ o h														
686-2		ʔ m ai̯														
88-2		k o k														
872-2		n ɔ ŋ														
1891-2		d ai̯														
68-2		s i m														
631-2		k oː n														
594-2		ʔ ai̯														
1759-2		dʑ ɔː n														
805-2		dʑ ɔː n														
756-2		n o k														
1201-2		m o k														
2042-2		ʔ i ʔ														
1968-2		ɗ ɔ ʔ														
2000-2		m ɔː ŋ														
17-2		n ɔ ʔ														
4-2		dʑ ɔː m														
788-2		d o														
1219-2		s ɔː m														
141-2		dʑ a n														
541-2		m̥ dʑ ɔː m														
1687-2		s ɔː m														
123-2		n ɔː m														
1652-2		dʑ ɔː n														
576-2		n ɔ ʔ														
1738-2		d o ʔ														
442-2		dʑ ɔː m														
368-2		k dʑ ɔː m														
1778-2		g ɔ ʔ														
1859-3			m ai̯													
175-3			g a													
241-3			ʔ a													
2163-3			dʑ a t													
2181-3			n a m													
2060-3			ɗ a m													
410-3			tɕ ai̯													
1841-3			m ai̯													
2017-3			m ai̯													
1004-3			m ai̯													
614-3			d o h													
686-3			k m ai̯													
88-3			k a p													
872-3			n a ŋ													
1891-3			tɕ ai̯													
68-3			s a m													
631-3			pʰ a n													
594-3			tɕ ai̯													
1759-3			dʑ a n													
805-3			d o n													
756-3			n i t													
1201-3			m a t													
2042-3			ʔ i													
1968-3			k o ʔ													
2000-3			j a ŋ													
17-3			n a													
4-3			d a m													
788-3			ɗ o													
1219-3			s a m													
141-3			dʑ a ŋ													
541-3			b r j a h													
1687-3			s iː n													
123-3			j a m													
